Run	ReleaseDate	LoadDate	spots	bases	spots_with_mates	avgLength	size_MB	AssemblyName	download_path	Experiment	LibraryName	LibraryStrategy	LibrarySelection	LibrarySource	LibraryLayout	InsertSize	InsertDev	Platform	Model	SRAStudy	BioProject	Study_Pubmed_id	ProjectID	Sample	BioSample	SampleType	TaxID	ScientificName	SampleName	g1k_pop_code	source	g1k_analysis_group	Subject_ID	Sex	Disease	Tumor	Affection_Status	Analyte_Type	Histological_Type	Body_Site	CenterName	Submission	dbgap_study_accession	Consent	RunHash	ReadHash
SRR8772758	2019-03-23 07:02:17	2019-03-23 06:50:22	6940017	2082005100	6940017	300	897	NA	https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR8772758/SRR8772758	SRX5562887	25_not available	RNA-Seq	RT-PCR	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 4000	SRP189222	PRJNA526975	3	526975	SRS4526446	SAMN11242391	simple	55513	Pistacia vera	25	NA	NA	NA	NA		NA	no	NA	NA	NA	NA	CHINESE ACADEMY OF SCIENCES	SRA865004	NA	public	32201935718B9CED452593D83D2D9DDD	1003F96412A11C776A87A74F8FF551C7
SRR8772759	2019-03-23 07:02:17	2019-03-23 06:50:10	6806709	2042012700	6806709	300	831	NA	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-14/SRR008/772/SRR8772759.sralite.1	SRX5562886	26_not available	RNA-Seq	RT-PCR	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 4000	SRP189222	PRJNA526975	3	526975	SRS4526445	SAMN11242392	simple	55513	Pistacia vera	26	NA	NA	NA	NA		NA	no	NA	NA	NA	NA	CHINESE ACADEMY OF SCIENCES	SRA865004	NA	public	3B5C972C8018C2071B5E927C7D7A4789	C02131032F53F92FDEEE1DD9597AFBD8
SRR8772756	2019-03-23 07:02:17	2019-03-23 06:50:51	6675448	2002634400	6675448	300	875	NA	https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR8772756/SRR8772756	SRX5562889	27_not available	RNA-Seq	RT-PCR	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 4000	SRP189222	PRJNA526975	3	526975	SRS4526447	SAMN11242393	simple	55513	Pistacia vera	27	NA	NA	NA	NA		NA	no	NA	NA	NA	NA	CHINESE ACADEMY OF SCIENCES	SRA865004	NA	public	9E380A1081EE098E771BE90F381D205B	84E1988FED906E0804CE702B40439AD7
SRR8772757	2019-03-23 07:02:17	2019-03-23 06:50:29	6949943	2084982900	6949943	300	911	NA	https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR8772757/SRR8772757	SRX5562888	28_not available	RNA-Seq	RT-PCR	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 4000	SRP189222	PRJNA526975	3	526975	SRS4526448	SAMN11242394	simple	55513	Pistacia vera	28	NA	NA	NA	NA		NA	no	NA	NA	NA	NA	CHINESE ACADEMY OF SCIENCES	SRA865004	NA	public	1415682CC33AF9FD87C7A3D1DA7DE2E6	DDE861B0CE356A3AC842351A5D4FE5F6
SRR8772754	2019-03-23 07:02:17	2019-03-23 06:49:31	6805649	2041694700	6805649	300	819	NA	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/SRR008/772/SRR8772754.sralite.1	SRX5562891	29_not available	RNA-Seq	RT-PCR	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 4000	SRP189222	PRJNA526975	3	526975	SRS4526450	SAMN11242395	simple	55513	Pistacia vera	29	NA	NA	NA	NA		NA	no	NA	NA	NA	NA	CHINESE ACADEMY OF SCIENCES	SRA865004	NA	public	0AEE143D1A4C40F322B0E9F142C6C218	EE3D6F2AF4F2D1A6D7535AB393467CF2
SRR8772755	2019-03-23 07:02:17	2019-03-23 06:50:05	6796309	2038892700	6796309	300	829	NA	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/SRR008/772/SRR8772755.sralite.1	SRX5562890	30_not available	RNA-Seq	RT-PCR	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 4000	SRP189222	PRJNA526975	3	526975	SRS4526449	SAMN11242396	simple	55513	Pistacia vera	30	NA	NA	NA	NA		NA	no	NA	NA	NA	NA	CHINESE ACADEMY OF SCIENCES	SRA865004	NA	public	8753CE864F26E1008AD9717A4F020FA0	BEBA5A6FDFD118D6622137E4983E1E41
SRR8772752	2019-03-23 07:02:17	2019-03-23 06:49:20	6936081	2080824300	6936081	300	856	NA	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-14/SRR008/772/SRR8772752.sralite.1	SRX5562893	31_not available	RNA-Seq	RT-PCR	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 4000	SRP189222	PRJNA526975	3	526975	SRS4526451	SAMN11242397	simple	55513	Pistacia vera	31	NA	NA	NA	NA		NA	no	NA	NA	NA	NA	CHINESE ACADEMY OF SCIENCES	SRA865004	NA	public	260D38BF2D2954A720D9258EC26BAB06	52231D1D1D63A79AC5C2583B4BAF9151
SRR8772753	2019-03-23 07:02:17	2019-03-23 06:49:03	6876701	2063010300	6876701	300	852	NA	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-14/SRR008/772/SRR8772753.sralite.1	SRX5562892	32_not available	RNA-Seq	RT-PCR	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 4000	SRP189222	PRJNA526975	3	526975	SRS4526452	SAMN11242398	simple	55513	Pistacia vera	32	NA	NA	NA	NA		NA	no	NA	NA	NA	NA	CHINESE ACADEMY OF SCIENCES	SRA865004	NA	public	A965C6C9783B22590E939BB521D1D165	250831D84257468F9A858630F8DD9621
SRR8772779	2019-03-23 07:02:17	2019-03-23 06:51:22	6912454	2073736200	6912454	300	852	NA	https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR8772779/SRR8772779	SRX5562866	33_not available	RNA-Seq	RT-PCR	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 4000	SRP189222	PRJNA526975	3	526975	SRS4526430	SAMN11242399	simple	55513	Pistacia vera	33	NA	NA	NA	NA		NA	no	NA	NA	NA	NA	CHINESE ACADEMY OF SCIENCES	SRA865004	NA	public	16F8DFD71619030CE8490CE4AE5EE3F2	7CC697CBA2558A8C1DA431347A5495A2
SRR8772778	2019-03-23 07:02:17	2019-03-23 06:52:09	6777687	2033306100	6777687	300	884	NA	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/SRR008/772/SRR8772778.sralite.1	SRX5562868	34_not available	RNA-Seq	RT-PCR	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 4000	SRP189222	PRJNA526975	3	526975	SRS4526431	SAMN11242400	simple	55513	Pistacia vera	34	NA	NA	NA	NA		NA	no	NA	NA	NA	NA	CHINESE ACADEMY OF SCIENCES	SRA865004	NA	public	BACB3CC79D41B38D9E819E9B57A0FAF5	C1B0DEA59B7B7FB2D6069639D1A70287
