Run	ReleaseDate	LoadDate	spots	bases	spots_with_mates	avgLength	size_MB	AssemblyName	download_path	Experiment	LibraryName	LibraryStrategy	LibrarySelection	LibrarySource	LibraryLayout	InsertSize	InsertDev	Platform	Model	SRAStudy	BioProject	Study_Pubmed_id	ProjectID	Sample	BioSample	SampleType	TaxID	ScientificName	SampleName	g1k_pop_code	source	g1k_analysis_group	Subject_ID	Sex	Disease	Tumor	Affection_Status	Analyte_Type	Histological_Type	Body_Site	CenterName	Submission	dbgap_study_accession	Consent	RunHash	ReadHash
SRR15404790	2021-09-01 00:42:19	2021-08-10 21:32:52	20606887	6182066100	20606887	300	1824	NA	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-zq-24/SRR015/15404/SRR15404790/SRR15404790.lite.1	SRX11706974	PD30C3	RNA-Seq	RANDOM	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 2000	SRP331920	PRJNA752768	NA	752768	SRS9737782	SAMN20692462	simple	46731	Pocillopora damicornis	PD30C3	NA	NA	NA	NA		NA	no	NA	NA	NA	NA	SOUTH CHINA SEA INSTITUTE OF OCEANOLOGY, CHINESE ACADEMY OF SCIENCES	SRA1275503	NA	public	519DF68FB00283D2F5C3733F221AB367	484D64F54396F41C53BD1D2238F9BE13
SRR15404789	2021-09-01 00:42:19	2021-08-10 21:38:24	21568284	6470485200	21568284	300	1913	NA	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos1/sra-pub-zq-38/SRR015/15404/SRR15404789/SRR15404789.lite.1	SRX11706975	PD30H1	RNA-Seq	RANDOM	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 2000	SRP331920	PRJNA752768	NA	752768	SRS9737783	SAMN20692463	simple	46731	Pocillopora damicornis	PD30H1	NA	NA	NA	NA		NA	no	NA	NA	NA	NA	SOUTH CHINA SEA INSTITUTE OF OCEANOLOGY, CHINESE ACADEMY OF SCIENCES	SRA1275503	NA	public	E281CA04700DE723CF88327B02B7E1C8	80AA95EE62D21DCA5FEECDFFF603BF4E
SRR19174880	2022-06-24 22:32:35	2022-05-12 06:33:46	13897428	4169228400	13897428	300	1609	NA	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos2/sra-pub-zq-20/SRR019/19174/SRR19174880/SRR19174880.lite.1	SRX15240234	HTOA1	RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	HiSeq X Ten	SRP374866	PRJNA837396	NA	837396	SRS12973160	SAMN28200674	simple	46731	Pocillopora damicornis	C1, C2, C3, OA1, OA2, OA3, HT1, HT2, HT3, HTOA1, HTOA2, HTOA3	NA	NA	NA	NA		NA	no	NA	NA	NA	NA	CHINESE ACADEMY OF SCIENCES	SRA1419081	NA	public	4842E82A1B71DC536DCFA38D678B3E37	67BBF9A7E1C61738111AADACEE5EC87E
SRR19174881	2022-06-24 22:32:35	2022-05-12 06:33:58	17806311	5341893300	17806311	300	2065	NA	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-zq-24/SRR019/19174/SRR19174881/SRR19174881.lite.1	SRX15240233	HT3	RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	HiSeq X Ten	SRP374866	PRJNA837396	NA	837396	SRS12973160	SAMN28200674	simple	46731	Pocillopora damicornis	C1, C2, C3, OA1, OA2, OA3, HT1, HT2, HT3, HTOA1, HTOA2, HTOA3	NA	NA	NA	NA		NA	no	NA	NA	NA	NA	CHINESE ACADEMY OF SCIENCES	SRA1419081	NA	public	4C46D3096DD024251E211B3E81C36BF2	44F62762DE6D8A5B4F9D73DC57A35C4F
SRR12807383	2020-10-13 08:45:59	2020-10-13 08:25:20	19729634	42844577537	0	2171	10385	NA	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-zq-24/SRR012/12807/SRR12807383/SRR12807383.lite.1	SRX9276142	Coral_OA1_day0	RNA-Seq	size fractionation	TRANSCRIPTOMIC	SINGLE	0	0	PACBIO_SMRT	Sequel	SRP199550	PRJNA544778	NA	544778	SRS7504647	SAMN16237127	simple	46731	Pocillopora damicornis	Coral_OA1_day0	NA	NA	NA	NA		NA	no	NA	NA	NA	NA	STATE KEY LAB FOR BIOELECTROINCS	SRA1141463	NA	public	5B5DC7B8D722551E9D36A48B21D57964	D07BEB626C17D72CFB7F5A69519DCFEA
SRR12849115	2020-10-21 08:57:34	2020-10-21 08:55:43	22408	59082353	0	2636	14	NA	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-zq-22/SRR012/12849/SRR12849115/SRR12849115.lite.1	SRX9316332	Coral_OA1_day0_Gene_Expression	RNA-Seq	size fractionation	TRANSCRIPTOMIC	SINGLE	0	0	PACBIO_SMRT	Sequel	SRP199550	PRJNA544778	NA	544778	SRS7541045	SAMN16456055	simple	46731	Pocillopora damicornis	Coral_OA1_day0_Gene_Expression	NA	NA	NA	NA		NA	no	NA	NA	NA	NA	STATE KEY LAB FOR BIOELECTROINCS	SRA1145428	NA	public	A64458F1FDEE802BC6373AFF809641C5	DB366BBBA5B7843481C5DFEAC81C9D6A
SRR12786906	2020-10-07 11:07:37	2020-10-07 11:03:47	22073311	6621993300	22073311	300	1941	NA	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-zq-22/SRR012/12786/SRR12786906/SRR12786906.lite.1	SRX9256153	Coral_OA_1_day0_1	RNA-Seq	size fractionation	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	HiSeq X Ten	SRP199550	PRJNA544778	NA	544778	SRS7487947	SAMN16365802	simple	46731	Pocillopora damicornis	Coral_OA_1_day0_1	NA	NA	NA	NA		NA	no	NA	NA	NA	NA	STATE KEY LAB FOR BIOELECTROINCS	SRA1139838	NA	public	5B9777C36F8A4F86F8D15A1356485F5C	A24E680090C2132357D318D1C86C8287
SRR12786905	2020-10-07 11:13:32	2020-10-07 11:09:30	28987325	8696197500	28987325	300	2562	NA	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-zq-22/SRR012/12786/SRR12786905/SRR12786905.lite.1	SRX9256154	Coral_OA_1_day0_2	RNA-Seq	size fractionation	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	HiSeq X Ten	SRP199550	PRJNA544778	NA	544778	SRS7487948	SAMN16365803	simple	46731	Pocillopora damicornis	Coral_OA_1_day0_2	NA	NA	NA	NA		NA	no	NA	NA	NA	NA	STATE KEY LAB FOR BIOELECTROINCS	SRA1139838	NA	public	249289D1419198E2B4DBFDF3EA9D77CA	D91E5AB834041B6B5C510BB55053A34F
SRR12786902	2020-10-07 11:13:32	2020-10-07 11:07:26	27590794	8277238200	27590794	300	2437	NA	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-zq-22/SRR012/12786/SRR12786902/SRR12786902.lite.1	SRX9256157	Coral_OA_1_day0_3	RNA-Seq	size fractionation	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	HiSeq X Ten	SRP199550	PRJNA544778	NA	544778	SRS7487951	SAMN16365804	simple	46731	Pocillopora damicornis	Coral_OA_1_day0_3	NA	NA	NA	NA		NA	no	NA	NA	NA	NA	STATE KEY LAB FOR BIOELECTROINCS	SRA1139838	NA	public	464DE36DB00C4E9F67AA2AF3060F235A	00EA6FE5BD7751B25CC3BD20755B84C5
SRR12710868	2020-09-27 03:14:45	2020-09-27 01:56:41	26049518	7814855400	26049518	300	2337	NA	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-zq-22/SRR012/12710/SRR12710868/SRR12710868.lite.1	SRX9189739	Coral_OA_1_day3_1	RNA-Seq	size fractionation	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	HiSeq X Ten	SRP199550	PRJNA544778	NA	544778	SRS7425755	SAMN16237439	simple	46731	Pocillopora damicornis	Coral_OA_1_day3_1	NA	NA	NA	NA		NA	no	NA	NA	NA	NA	STATE KEY LAB FOR BIOELECTROINCS	SRA1130829	NA	public	2AE2EFEF0E1941310B3A3BE962C709A2	384D4FDC0483EDCF77712B371DA835B2
