Run	ReleaseDate	LoadDate	spots	bases	spots_with_mates	avgLength	size_MB	AssemblyName	download_path	Experiment	LibraryName	LibraryStrategy	LibrarySelection	LibrarySource	LibraryLayout	InsertSize	InsertDev	Platform	Model	SRAStudy	BioProject	Study_Pubmed_id	ProjectID	Sample	BioSample	SampleType	TaxID	ScientificName	SampleName	g1k_pop_code	source	g1k_analysis_group	Subject_ID	Sex	Disease	Tumor	Affection_Status	Analyte_Type	Histological_Type	Body_Site	CenterName	Submission	dbgap_study_accession	Consent	RunHash	ReadHash
SRR5859153	2017-12-16 00:00:15	2017-07-25 13:40:34	41469460	8293892000	41469460	200	5370	NA	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-14/SRR005/859/SRR5859153.sralite.1	SRX3027962	PZ108_24C_E3.bam	RNA-Seq	RANDOM	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 2000	SRP113322	PRJNA394646	NA	394646	SRS2376952	SAMN07357074	simple	64176	Podarcis muralis	Podarcis muralis	NA	NA	NA	NA	not determined	NA	no	NA	NA	NA	NA	LUND UNIVERSITY	SRA588792	NA	public	FD3839ACA26E9FB7D9AC14295A51D7A6	9B80E845309E2FD48DD318DAD856DA13
SRR5859154	2017-12-16 00:00:15	2017-07-25 13:38:59	44569616	8913923200	44569616	200	5764	NA	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-14/SRR005/859/SRR5859154.sralite.1	SRX3027961	PZ108_15C_E4.bam	RNA-Seq	RANDOM	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 2000	SRP113322	PRJNA394646	NA	394646	SRS2376952	SAMN07357074	simple	64176	Podarcis muralis	Podarcis muralis	NA	NA	NA	NA	not determined	NA	no	NA	NA	NA	NA	LUND UNIVERSITY	SRA588792	NA	public	42669D7A3D277A2AFDA763DB56355A1D	FFA766F1C61F9566FA7CE7FF67C4F9C1
SRR5859155	2017-12-16 00:00:15	2017-07-25 13:41:30	42360491	8472098200	42360491	200	5469	NA	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-14/SRR005/859/SRR5859155.sralite.1	SRX3027960	PZ107_24C_E3.bam	RNA-Seq	RANDOM	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 2000	SRP113322	PRJNA394646	NA	394646	SRS2376952	SAMN07357074	simple	64176	Podarcis muralis	Podarcis muralis	NA	NA	NA	NA	not determined	NA	no	NA	NA	NA	NA	LUND UNIVERSITY	SRA588792	NA	public	17CE0E2168A66AB72CFEB234D93EEC5B	DC844C3BD8BC8251EDE4ACFE66564B57
SRR5859156	2017-12-16 00:00:15	2017-07-25 13:37:09	40773825	8154765000	40773825	200	5289	NA	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-14/SRR005/859/SRR5859156.sralite.1	SRX3027959	PZ107_15C_E5.bam	RNA-Seq	RANDOM	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 2000	SRP113322	PRJNA394646	NA	394646	SRS2376952	SAMN07357074	simple	64176	Podarcis muralis	Podarcis muralis	NA	NA	NA	NA	not determined	NA	no	NA	NA	NA	NA	LUND UNIVERSITY	SRA588792	NA	public	7876559588396258619B00E5C3F70CB5	4B8B3BDE5C052ACAE1862A7B8D2AC76E
SRR5859157	2017-12-16 00:00:15	2017-07-25 13:37:17	33731867	6746373400	33731867	200	4351	NA	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-14/SRR005/859/SRR5859157.sralite.1	SRX3027958	VB3_24C_E3.bam	RNA-Seq	RANDOM	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 2000	SRP113322	PRJNA394646	NA	394646	SRS2376952	SAMN07357074	simple	64176	Podarcis muralis	Podarcis muralis	NA	NA	NA	NA	not determined	NA	no	NA	NA	NA	NA	LUND UNIVERSITY	SRA588792	NA	public	F17F2D0B69C24A78D35E1F4D891E431D	A6EF8A841F6606D64CDEA53C6597D779
SRR5859158	2017-12-16 00:00:15	2017-07-25 13:44:47	46138339	9227667800	46138339	200	5954	NA	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-14/SRR005/859/SRR5859158.sralite.1	SRX3027957	VB3_15C_E4.bam	RNA-Seq	RANDOM	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 2000	SRP113322	PRJNA394646	NA	394646	SRS2376952	SAMN07357074	simple	64176	Podarcis muralis	Podarcis muralis	NA	NA	NA	NA	not determined	NA	no	NA	NA	NA	NA	LUND UNIVERSITY	SRA588792	NA	public	A6B6D1D1CDFE3FEC5CA7F4B8C0835708	664250D49379745041FC82871E36B1AE
SRR5859159	2017-12-16 00:00:15	2017-07-25 23:40:23	42922684	8584536400	42922680	199	5546	NA	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-14/SRR005/859/SRR5859159.sralite.1	SRX3027956	PZ109_24C_E2.bam	RNA-Seq	RANDOM	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 2000	SRP113322	PRJNA394646	NA	394646	SRS2376952	SAMN07357074	simple	64176	Podarcis muralis	Podarcis muralis	NA	NA	NA	NA	not determined	NA	no	NA	NA	NA	NA	LUND UNIVERSITY	SRA588792	NA	public	12FF954D6A5B926EFF36251EBBD0D55D	E96FEF975DE2D5001B97A8662312944C
SRR5859160	2017-12-16 00:00:15	2017-07-25 13:41:49	41759958	8351991600	41759958	200	5418	NA	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-14/SRR005/859/SRR5859160.sralite.1	SRX3027955	PZ109_15C_E4.bam	RNA-Seq	RANDOM	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 2000	SRP113322	PRJNA394646	NA	394646	SRS2376952	SAMN07357074	simple	64176	Podarcis muralis	Podarcis muralis	NA	NA	NA	NA	not determined	NA	no	NA	NA	NA	NA	LUND UNIVERSITY	SRA588792	NA	public	44D447A5E9C89096FA3CF4826DCC29CA	01B5BD4EEEEAA43EA36DD4DD60056641
SRR5859161	2017-12-16 00:00:15	2017-07-25 13:40:34	46488707	9297741400	46488707	200	6009	NA	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-14/SRR005/859/SRR5859161.sralite.1	SRX3027954	VB4_24C_E3.bam	RNA-Seq	RANDOM	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 2000	SRP113322	PRJNA394646	NA	394646	SRS2376952	SAMN07357074	simple	64176	Podarcis muralis	Podarcis muralis	NA	NA	NA	NA	not determined	NA	no	NA	NA	NA	NA	LUND UNIVERSITY	SRA588792	NA	public	B66C471EB54F1826F9A1CAE0BA81A502	2A5FAC2B56308B40C55F88D6FCA66337
SRR5859162	2017-12-16 00:00:15	2017-07-25 13:39:03	39749872	7949974400	39749872	200	5136	NA	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-14/SRR005/859/SRR5859162.sralite.1	SRX3027953	VB4_15C_E5.bam	RNA-Seq	RANDOM	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 2000	SRP113322	PRJNA394646	NA	394646	SRS2376952	SAMN07357074	simple	64176	Podarcis muralis	Podarcis muralis	NA	NA	NA	NA	not determined	NA	no	NA	NA	NA	NA	LUND UNIVERSITY	SRA588792	NA	public	61F4538DC5568F8E549F80BB22C42DE1	5F919C6587CDBC32A79FD8E417B4B266
