Run	ReleaseDate	LoadDate	spots	bases	spots_with_mates	avgLength	size_MB	AssemblyName	download_path	Experiment	LibraryName	LibraryStrategy	LibrarySelection	LibrarySource	LibraryLayout	InsertSize	InsertDev	Platform	Model	SRAStudy	BioProject	Study_Pubmed_id	ProjectID	Sample	BioSample	SampleType	TaxID	ScientificName	SampleName	g1k_pop_code	source	g1k_analysis_group	Subject_ID	Sex	Disease	Tumor	Affection_Status	Analyte_Type	Histological_Type	Body_Site	CenterName	Submission	dbgap_study_accession	Consent	RunHash	ReadHash
DRR029857	2015-02-13 10:27:41	2015-02-13 10:44:13	13641152	2344955425	13641152	171	1338		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/DRR029/857/DRR029857.sralite.1	DRX026875		RNA-Seq	RACE	TRANSCRIPTOMIC	PAIRED	100	0	ILLUMINA	Illumina HiSeq 2000	DRP002507	PRJDB3493		275460	DRS018852	SAMD00025273	simple	144034	Pogonomyrmex barbatus	DRS018852							no					OIST (OKINAWA INSTITUTE OF SCIENCE AND TECHNOLOGY)	DRA003026		public	5BE5CE3AD3244C1C4BAC9E9FBAEA89F1	B3FAF0BC9718942EF39E86DF956A2E71
DRR029858	2015-02-13 10:27:42	2015-02-13 10:38:47	9889804	1711916165	9889804	173	974		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/DRR029/858/DRR029858.sralite.1	DRX026876		RNA-Seq	RACE	TRANSCRIPTOMIC	PAIRED	100	0	ILLUMINA	Illumina HiSeq 2000	DRP002507	PRJDB3493		275460	DRS018853	SAMD00025274	simple	144034	Pogonomyrmex barbatus	DRS018853							no					OIST (OKINAWA INSTITUTE OF SCIENCE AND TECHNOLOGY)	DRA003026		public	0C7F2010743C6BA06741859573745AA1	0FF62B0164FFAE4E60F7311077675558
DRR029859	2015-02-13 10:27:42	2015-02-13 11:25:15	17803269	2980473720	17803269	167	1683		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/DRR029/859/DRR029859.sralite.1	DRX026877		RNA-Seq	RACE	TRANSCRIPTOMIC	PAIRED	100	0	ILLUMINA	Illumina HiSeq 2000	DRP002507	PRJDB3493		275460	DRS018854	SAMD00025275	simple	144034	Pogonomyrmex barbatus	DRS018854							no					OIST (OKINAWA INSTITUTE OF SCIENCE AND TECHNOLOGY)	DRA003026		public	27AFA52E5EDB8C24F6F8ACC6B94DFF1D	E47E9421BFE5B3F13A4F7053D33BAC32
DRR029860	2015-02-13 10:27:41	2015-02-13 10:43:13	17144251	2935949654	17144251	171	1664		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/DRR029/860/DRR029860.sralite.1	DRX026878		RNA-Seq	RACE	TRANSCRIPTOMIC	PAIRED	100	0	ILLUMINA	Illumina HiSeq 2000	DRP002507	PRJDB3493		275460	DRS018855	SAMD00025276	simple	144034	Pogonomyrmex barbatus	DRS018855							no					OIST (OKINAWA INSTITUTE OF SCIENCE AND TECHNOLOGY)	DRA003026		public	D82355DDFC00B9C95169945014E35396	296BD4B8CAD47A604844E3502789519B
DRR029861	2015-02-13 10:27:42	2015-02-13 10:42:30	13550087	2313246692	13550087	170	1313		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/DRR029/861/DRR029861.sralite.1	DRX026879		RNA-Seq	RACE	TRANSCRIPTOMIC	PAIRED	100	0	ILLUMINA	Illumina HiSeq 2000	DRP002507	PRJDB3493		275460	DRS018856	SAMD00025277	simple	144034	Pogonomyrmex barbatus	DRS018856							no					OIST (OKINAWA INSTITUTE OF SCIENCE AND TECHNOLOGY)	DRA003026		public	454D525A15E246985676F6540BABCC95	7CA6A53DCC7A7810A9ECD79FD4964376
DRR029862	2015-02-13 10:27:42	2015-02-13 10:37:26	18355324	3139492525	18355324	171	1791		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/DRR029/862/DRR029862.sralite.1	DRX026880		RNA-Seq	RACE	TRANSCRIPTOMIC	PAIRED	100	0	ILLUMINA	Illumina HiSeq 2000	DRP002507	PRJDB3493		275460	DRS018857	SAMD00025278	simple	144034	Pogonomyrmex barbatus	DRS018857							no					OIST (OKINAWA INSTITUTE OF SCIENCE AND TECHNOLOGY)	DRA003026		public	C2DFA3ACE09721B842F280CC9A8A5CF0	17C66FFFE4DE254686E028C363EAC3D8
DRR029863	2015-02-13 10:27:42	2015-02-13 10:37:50	7243605	1256949073	7243605	173	722		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/DRR029/863/DRR029863.sralite.1	DRX026881		RNA-Seq	RACE	TRANSCRIPTOMIC	PAIRED	100	0	ILLUMINA	Illumina HiSeq 2000	DRP002507	PRJDB3493		275460	DRS018858	SAMD00025279	simple	144034	Pogonomyrmex barbatus	DRS018858							no					OIST (OKINAWA INSTITUTE OF SCIENCE AND TECHNOLOGY)	DRA003026		public	10C3E5D814D5FC992B8E28CE1DB7EDDD	F2669A0D2C50E120D502453DEE3D4813
DRR029864	2015-02-13 10:27:42	2015-02-13 10:40:46	7882238	1358647707	7882238	172	781		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/DRR029/864/DRR029864.sralite.1	DRX026882		RNA-Seq	RACE	TRANSCRIPTOMIC	PAIRED	100	0	ILLUMINA	Illumina HiSeq 2000	DRP002507	PRJDB3493		275460	DRS018859	SAMD00025280	simple	144034	Pogonomyrmex barbatus	DRS018859							no					OIST (OKINAWA INSTITUTE OF SCIENCE AND TECHNOLOGY)	DRA003026		public	4B9AC7F7944230989389FE81CB02651B	286B53E0908FCE99DC7AF01BC61EA594
DRR029865	2015-02-13 10:27:42	2015-02-13 10:38:24	13195053	2322131698	13195053	175	1321		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/DRR029/865/DRR029865.sralite.1	DRX026883		RNA-Seq	RACE	TRANSCRIPTOMIC	PAIRED	100	0	ILLUMINA	Illumina HiSeq 2000	DRP002507	PRJDB3493		275460	DRS018860	SAMD00025281	simple	144034	Pogonomyrmex barbatus	DRS018860							no					OIST (OKINAWA INSTITUTE OF SCIENCE AND TECHNOLOGY)	DRA003026		public	5185CDB56CEC9BBFF2310B38705D6233	BBAC7F3E77013358E11DA7665398DA85
DRR029866	2015-02-13 10:27:41	2015-02-13 10:35:07	11444610	2013329200	11444610	175	1145		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/DRR029/866/DRR029866.sralite.1	DRX026884		RNA-Seq	RACE	TRANSCRIPTOMIC	PAIRED	100	0	ILLUMINA	Illumina HiSeq 2000	DRP002507	PRJDB3493		275460	DRS018861	SAMD00025282	simple	144034	Pogonomyrmex barbatus	DRS018861							no					OIST (OKINAWA INSTITUTE OF SCIENCE AND TECHNOLOGY)	DRA003026		public	E41E7EA3EF11B7807151A3E07DA2235F	7845D2E3FE804B4DD0996B71575DEB97
