Run	ReleaseDate	LoadDate	spots	bases	spots_with_mates	avgLength	size_MB	AssemblyName	download_path	Experiment	LibraryName	LibraryStrategy	LibrarySelection	LibrarySource	LibraryLayout	InsertSize	InsertDev	Platform	Model	SRAStudy	BioProject	Study_Pubmed_id	ProjectID	Sample	BioSample	SampleType	TaxID	ScientificName	SampleName	g1k_pop_code	source	g1k_analysis_group	Subject_ID	Sex	Disease	Tumor	Affection_Status	Analyte_Type	Histological_Type	Body_Site	CenterName	Submission	dbgap_study_accession	Consent	RunHash	ReadHash
ERR225815	2013-01-30 22:51:09	2013-01-30 22:50:41	36266549	1450661960	0	40	1471		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/ERR225/815/ERR225815.sralite.1	ERX200475	unknown	RNA-Seq	unspecified	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina Genome Analyzer	ERP001342	PRJEB2957		204743	ERS209865	SAMEA1689804	simple	91411	Polistes canadensis	SAMEA1689804							no					CRG	ERA192040		public	9D3EFA12070C02FFEC5C3AED3BC50099	0C0CEB093F2F018A2E229F3A70BDA4D7
ERR225816	2013-01-30 22:47:09	2013-01-30 22:46:59	26235787	1049431480	0	40	506		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/ERR225/816/ERR225816.sralite.1	ERX200476	unknown	RNA-Seq	unspecified	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina Genome Analyzer	ERP001342	PRJEB2957		204743	ERS209866	SAMEA1689805	simple	91411	Polistes canadensis	SAMEA1689805							no					CRG	ERA192040		public	65D04C05284C5C6F6FCFFCA22C9FEF27	8EA538D64577F7B1B87B127DF2F85093
ERR225814	2013-01-30 22:47:09	2013-01-30 22:46:13	31739265	1269570600	0	40	712		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/ERR225/814/ERR225814.sralite.1	ERX200474	unknown	RNA-Seq	unspecified	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina Genome Analyzer	ERP001342	PRJEB2957		204743	ERS209864	SAMEA1689813	simple	91411	Polistes canadensis	SAMEA1689813							no					CRG	ERA192040		public	F1CD32F583F8863187722CCF27485E6E	EDAB7081224AA09EE978F9E5B7067A07
SRR1519108	2015-09-30 16:44:43	2014-07-17 16:50:07	9862785	1972557000	9862785	200	1242		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/SRR001/519/SRR1519108.sralite.1	SRX656293		RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 2000	SRP044613	PRJNA255520	2	255520	SRS661867	SAMN02924085	simple	91411	Polistes canadensis	GSM1438827							no					GEO	SRA175913		public	7CEDEEDC1AF52DF39E64ECE8FCFDD4DB	91970C01754195662B5584E16617779D
SRR1519109	2015-09-30 16:44:43	2014-07-17 16:59:12	15258968	3051793600	15258968	200	1911		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/SRR151/9109/SRR1519109.sralite.1	SRX656294		RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 2000	SRP044613	PRJNA255520	2	255520	SRS661868	SAMN02924086	simple	91411	Polistes canadensis	GSM1438828							no					GEO	SRA175913		public	26F829E71CD767193B65108B2EF0166C	763D042C885B0A6FF76285EC8BFA45F7
SRR1519110	2015-09-30 16:44:43	2014-07-17 16:59:36	16553799	3310759800	16553799	200	2083		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/SRR151/9110/SRR1519110.sralite.1	SRX656295		RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 2000	SRP044613	PRJNA255520	2	255520	SRS661869	SAMN02924087	simple	91411	Polistes canadensis	GSM1438829							no					GEO	SRA175913		public	69EC364CB99D9725FEC4E7AD8B84E850	65D4BB60A1A295ED918D8EB2418D7BD8
SRR1519111	2015-09-30 16:44:43	2014-07-17 16:59:42	17569187	3513837400	17569187	200	2209		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/SRR001/519/SRR1519111.sralite.1	SRX656296		RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 2000	SRP044613	PRJNA255520	2	255520	SRS661872	SAMN02924088	simple	91411	Polistes canadensis	GSM1438830							no					GEO	SRA175913		public	CC34EC947BCB0DE860BE4D9D25ED67CA	45342A16E8D3F13ECD73A36FA4A3E4C0
SRR1519112	2015-09-30 16:44:43	2014-07-17 16:54:43	13872494	2774498800	13872494	200	1742		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/SRR001/519/SRR1519112.sralite.1	SRX656297		RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 2000	SRP044613	PRJNA255520	2	255520	SRS661871	SAMN02924089	simple	91411	Polistes canadensis	GSM1438831							no					GEO	SRA175913		public	3D824FFB9E2CE9D4998D985FD380905E	97F4E8E7D093D132E963B34A69ED4B67
SRR1519113	2015-09-30 16:44:43	2014-07-17 16:56:55	9783742	1956748400	9783742	200	1230		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/SRR151/9113/SRR1519113.sralite.1	SRX656298		RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 2000	SRP044613	PRJNA255520	2	255520	SRS661870	SAMN02924090	simple	91411	Polistes canadensis	GSM1438832							no					GEO	SRA175913		public	081A9720DF11C15143DF3DF5D17491EE	6D86D77026C873EF21DAF5BCA7F08F62
SRR1519114	2015-09-30 16:44:43	2014-07-17 16:57:31	10041670	2008334000	10041670	200	1265		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/SRR001/519/SRR1519114.sralite.1	SRX656299		RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 2000	SRP044613	PRJNA255520	2	255520	SRS661875	SAMN02924091	simple	91411	Polistes canadensis	GSM1438833							no					GEO	SRA175913		public	03625B1D1DD94D9E3008595018E3E75A	ECA92A6C00C075B24B34931C99008484
SRR1519115	2015-09-30 16:44:43	2014-07-17 16:56:21	9161792	1832358400	9161792	200	1149		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/SRR001/519/SRR1519115.sralite.1	SRX656300		RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 2000	SRP044613	PRJNA255520	2	255520	SRS661874	SAMN02924092	simple	91411	Polistes canadensis	GSM1438834							no					GEO	SRA175913		public	C7E12DB4D479EA1D2C8FCDD1D81DFC60	A3849A4F468802F54EC18B3AD187A745
