Run	ReleaseDate	LoadDate	spots	bases	spots_with_mates	avgLength	size_MB	AssemblyName	download_path	Experiment	LibraryName	LibraryStrategy	LibrarySelection	LibrarySource	LibraryLayout	InsertSize	InsertDev	Platform	Model	SRAStudy	BioProject	Study_Pubmed_id	ProjectID	Sample	BioSample	SampleType	TaxID	ScientificName	SampleName	g1k_pop_code	source	g1k_analysis_group	Subject_ID	Sex	Disease	Tumor	Affection_Status	Analyte_Type	Histological_Type	Body_Site	CenterName	Submission	dbgap_study_accession	Consent	RunHash	ReadHash
SRR13799643	2021-08-11 00:13:42	2021-02-27 09:47:20	7234138	587464131	0	81	250	NA	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-zq-24/SRR013/13799/SRR13799643/SRR13799643.lite.1	SRX10183441	Fuscatus_2018_126A	RNA-Seq	other	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	NextSeq 500	SRP308468	PRJNA705303	NA	705303	SRS8332239	SAMN18080139	simple	30207	Polistes fuscatus	Fuscatus_2018_126A	NA	NA	NA	NA	female	NA	no	NA	NA	NA	NA	CORNELL UNIVERSITY	SRA1200858	NA	public	43DB438130F65FEF58C3F6C217B560D0	12915F6C83031B61071B047E6D37D2B9
SRR13799632	2021-08-11 00:13:42	2021-02-27 09:47:34	8533451	692161200	0	81	288	NA	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos1/sra-pub-zq-38/SRR013/13799/SRR13799632/SRR13799632.lite.1	SRX10183452	Fuscatus_2018_126B	RNA-Seq	other	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	NextSeq 500	SRP308468	PRJNA705303	NA	705303	SRS8332249	SAMN18080140	simple	30207	Polistes fuscatus	Fuscatus_2018_126B	NA	NA	NA	NA	female	NA	no	NA	NA	NA	NA	CORNELL UNIVERSITY	SRA1200858	NA	public	941B252564EC0F20A33031AE7F1B3880	6DC1A27B1DA0B40D5A3350CA697F8F7E
SRR13799611	2021-08-11 00:13:43	2021-02-27 09:47:33	8193523	679837543	0	82	258	NA	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-zq-22/SRR013/13799/SRR13799611/SRR13799611.lite.1	SRX10183472	Fuscatus_2018_14A	RNA-Seq	other	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	NextSeq 500	SRP308468	PRJNA705303	NA	705303	SRS8332270	SAMN18080142	simple	30207	Polistes fuscatus	Fuscatus_2018_14A	NA	NA	NA	NA	female	NA	no	NA	NA	NA	NA	CORNELL UNIVERSITY	SRA1200858	NA	public	70C50DA65DC810ABA39DD3169056B23C	02B17510266868203E04A29645EB4183
SRR13799600	2021-08-11 00:13:43	2021-02-27 09:47:33	8706776	721477034	0	82	275	NA	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos2/sra-pub-zq-20/SRR013/13799/SRR13799600/SRR13799600.lite.1	SRX10183483	Fuscatus_2018_14B	RNA-Seq	other	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	NextSeq 500	SRP308468	PRJNA705303	NA	705303	SRS8332281	SAMN18080143	simple	30207	Polistes fuscatus	Fuscatus_2018_14B	NA	NA	NA	NA	female	NA	no	NA	NA	NA	NA	CORNELL UNIVERSITY	SRA1200858	NA	public	569418139B55BBD2A59187D175256FF6	9F13ABB55194EB5B7425BE55A568C040
SRR13799653	2021-08-11 00:13:41	2021-02-27 09:48:39	8781058	725039182	0	82	276	NA	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-zq-24/SRR013/13799/SRR13799653/SRR13799653.lite.1	SRX10183431	Fuscatus_2018_41A	RNA-Seq	other	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	NextSeq 500	SRP308468	PRJNA705303	NA	705303	SRS8332228	SAMN18080201	simple	30207	Polistes fuscatus	Fuscatus_2018_41A	NA	NA	NA	NA	female	NA	no	NA	NA	NA	NA	CORNELL UNIVERSITY	SRA1200858	NA	public	840CCCA54A244D67A4C75A4FC6E65E75	5A781391FF674A85ACFB4640399313A7
SRR13799652	2021-08-11 00:13:41	2021-02-27 09:49:30	8701860	720487212	0	82	275	NA	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos2/sra-pub-zq-20/SRR013/13799/SRR13799652/SRR13799652.lite.1	SRX10183432	Fuscatus_2018_41B	RNA-Seq	other	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	NextSeq 500	SRP308468	PRJNA705303	NA	705303	SRS8332229	SAMN18080202	simple	30207	Polistes fuscatus	Fuscatus_2018_41B	NA	NA	NA	NA	female	NA	no	NA	NA	NA	NA	CORNELL UNIVERSITY	SRA1200858	NA	public	81127AA3FCB3B40D28F28653E7ED2A72	D100DDC715866CF7AF650E2F2DADB12C
SRR13799651	2021-08-11 00:13:41	2021-02-27 09:48:31	6655397	557111167	0	83	212	NA	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-zq-24/SRR013/13799/SRR13799651/SRR13799651.lite.1	SRX10183433	Fuscatus_2018_429A	RNA-Seq	other	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	NextSeq 500	SRP308468	PRJNA705303	NA	705303	SRS8332230	SAMN18080203	simple	30207	Polistes fuscatus	Fuscatus_2018_429A	NA	NA	NA	NA	female	NA	no	NA	NA	NA	NA	CORNELL UNIVERSITY	SRA1200858	NA	public	68E253309980F26E4D9D8ED999DF4205	57D138F7068DA7BD401233B989320BA0
SRR13799650	2021-08-11 00:13:41	2021-02-27 09:47:49	4583077	378088223	0	82	159	NA	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos2/sra-pub-zq-20/SRR013/13799/SRR13799650/SRR13799650.lite.1	SRX10183434	Fuscatus_2018_42A	RNA-Seq	other	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	NextSeq 500	SRP308468	PRJNA705303	NA	705303	SRS8332231	SAMN18080204	simple	30207	Polistes fuscatus	Fuscatus_2018_42A	NA	NA	NA	NA	female	NA	no	NA	NA	NA	NA	CORNELL UNIVERSITY	SRA1200858	NA	public	5565681322AC0C55EB0D1BE1DDCCD3A9	FBBE8EE597FA5B0588A39E4D015AEFC0
SRR13799649	2021-08-11 00:13:41	2021-02-27 09:47:07	7051450	576354638	0	81	242	NA	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos1/sra-pub-zq-38/SRR013/13799/SRR13799649/SRR13799649.lite.1	SRX10183435	Fuscatus_2018_42B	RNA-Seq	other	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	NextSeq 500	SRP308468	PRJNA705303	NA	705303	SRS8332232	SAMN18080205	simple	30207	Polistes fuscatus	Fuscatus_2018_42B	NA	NA	NA	NA	female	NA	no	NA	NA	NA	NA	CORNELL UNIVERSITY	SRA1200858	NA	public	7C50E235CE87D1EA7E4ED132C6FC8669	967E0E59A84CD17686DC97466D15B1BF
SRR13799648	2021-08-11 00:13:41	2021-02-27 09:48:43	12010475	983228520	0	81	411	NA	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-zq-24/SRR013/13799/SRR13799648/SRR13799648.lite.1	SRX10183436	Fuscatus_2018_448B	RNA-Seq	other	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	NextSeq 500	SRP308468	PRJNA705303	NA	705303	SRS8332234	SAMN18080206	simple	30207	Polistes fuscatus	Fuscatus_2018_448B	NA	NA	NA	NA	female	NA	no	NA	NA	NA	NA	CORNELL UNIVERSITY	SRA1200858	NA	public	5B697B1E537E6897FC3251672896635F	EF1493EFF17DBE3BE524FFC859CA731B
SRR13799647	2021-08-11 00:13:41	2021-02-27 09:47:56	9872495	832967061	0	84	310	NA	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-zq-24/SRR013/13799/SRR13799647/SRR13799647.lite.1	SRX10183437	Fuscatus_2018_451A	RNA-Seq	other	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	NextSeq 500	SRP308468	PRJNA705303	NA	705303	SRS8332233	SAMN18080207	simple	30207	Polistes fuscatus	Fuscatus_2018_451A	NA	NA	NA	NA	female	NA	no	NA	NA	NA	NA	CORNELL UNIVERSITY	SRA1200858	NA	public	DBAD5C1B3D075B048EABAA6EC588A1FF	13DB422F2D5FDD92A943F91C369D5B8F
SRR13799646	2021-08-11 00:13:41	2021-02-27 09:47:16	9265672	780484609	0	84	291	NA	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-zq-24/SRR013/13799/SRR13799646/SRR13799646.lite.1	SRX10183438	Fuscatus_2018_451B	RNA-Seq	other	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	NextSeq 500	SRP308468	PRJNA705303	NA	705303	SRS8332235	SAMN18080208	simple	30207	Polistes fuscatus	Fuscatus_2018_451B	NA	NA	NA	NA	female	NA	no	NA	NA	NA	NA	CORNELL UNIVERSITY	SRA1200858	NA	public	A54A90BF48A0AD3E1B7ECABB58C06FEC	0D644E5A2C4D388EA8BADC4A5030F3AE
SRR13799645	2021-08-11 00:13:41	2021-02-27 09:48:23	8156766	661434514	0	81	278	NA	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos1/sra-pub-zq-38/SRR013/13799/SRR13799645/SRR13799645.lite.1	SRX10183439	Fuscatus_2018_453A	RNA-Seq	other	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	NextSeq 500	SRP308468	PRJNA705303	NA	705303	SRS8332236	SAMN18080209	simple	30207	Polistes fuscatus	Fuscatus_2018_453A	NA	NA	NA	NA	female	NA	no	NA	NA	NA	NA	CORNELL UNIVERSITY	SRA1200858	NA	public	CAAB69FD044A31BEAA8551CE00515330	22AFB7978C5594B488A400819527055A
SRR13799644	2021-08-11 00:13:41	2021-02-27 09:47:11	7873903	635911393	0	80	269	NA	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos2/sra-pub-zq-20/SRR013/13799/SRR13799644/SRR13799644.lite.1	SRX10183440	Fuscatus_2018_453B	RNA-Seq	other	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	NextSeq 500	SRP308468	PRJNA705303	NA	705303	SRS8332237	SAMN18080210	simple	30207	Polistes fuscatus	Fuscatus_2018_453B	NA	NA	NA	NA	female	NA	no	NA	NA	NA	NA	CORNELL UNIVERSITY	SRA1200858	NA	public	B1E281BC1DA0D6745A3C268EFB9897ED	D6EECDBB6EF162354192C45521365DF1
