Run	ReleaseDate	LoadDate	spots	bases	spots_with_mates	avgLength	size_MB	AssemblyName	download_path	Experiment	LibraryName	LibraryStrategy	LibrarySelection	LibrarySource	LibraryLayout	InsertSize	InsertDev	Platform	Model	SRAStudy	BioProject	Study_Pubmed_id	ProjectID	Sample	BioSample	SampleType	TaxID	ScientificName	SampleName	g1k_pop_code	source	g1k_analysis_group	Subject_ID	Sex	Disease	Tumor	Affection_Status	Analyte_Type	Histological_Type	Body_Site	CenterName	Submission	dbgap_study_accession	Consent	RunHash	ReadHash
ERR6685688	2022-09-07 21:58:39	2022-09-15 09:27:11	32297342	2417378686	0	74	684	NA	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos1/sra-pub-zq-38/ERR006/6685/ERR6685688/ERR6685688.lite.1	ERX6310636	unspecified	RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 2500	ERP131718	PRJEB47442	NA	877920	ERS7302868	SAMEA9580149	simple	141832	Pomphorhynchus laevis	SAMEA9580149	NA	NA	NA	NA	female	NA	no	NA	NA	NA	NA	UNIVERSITY OF MAINZ	ERA6140002	NA	public	A0F61E7130336C959BCD36E06DB7171C	A4DFA0C0FA20122D05990E9C3D2C266F
ERR6685689	2022-09-07 21:58:39	2022-09-15 09:23:49	33096545	2476726810	0	74	699	NA	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos1/sra-pub-zq-38/ERR006/6685/ERR6685689/ERR6685689.lite.1	ERX6310637	unspecified	RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 2500	ERP131718	PRJEB47442	NA	877920	ERS7302869	SAMEA9580150	simple	141832	Pomphorhynchus laevis	SAMEA9580150	NA	NA	NA	NA	female	NA	no	NA	NA	NA	NA	UNIVERSITY OF MAINZ	ERA6140002	NA	public	5D8C6B6567FCEAA9562075E886C41806	2E3F4961ABEDCCE0AC5F349A6C5769E8
ERR6685690	2022-09-07 21:58:39	2022-09-15 09:23:41	31777005	2379582311	0	74	668	NA	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos1/sra-pub-zq-38/ERR006/6685/ERR6685690/ERR6685690.lite.1	ERX6310638	unspecified	RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 2500	ERP131718	PRJEB47442	NA	877920	ERS7302870	SAMEA9580151	simple	141832	Pomphorhynchus laevis	SAMEA9580151	NA	NA	NA	NA	female	NA	no	NA	NA	NA	NA	UNIVERSITY OF MAINZ	ERA6140002	NA	public	20B6E40C6E1EF42A55D503A982E1C515	AA9DB5A53DB66560E24522203783AE0C
ERR6685691	2022-09-07 21:58:39	2022-09-15 09:21:26	28857425	2155965464	0	74	676	NA	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos1/sra-pub-zq-38/ERR006/6685/ERR6685691/ERR6685691.lite.1	ERX6310639	unspecified	RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 2500	ERP131718	PRJEB47442	NA	877920	ERS7302871	SAMEA9580152	simple	141832	Pomphorhynchus laevis	SAMEA9580152	NA	NA	NA	NA	female	NA	no	NA	NA	NA	NA	UNIVERSITY OF MAINZ	ERA6140002	NA	public	669FF3F979F5B1241657E95C5DDD7705	6BC9678BB3270E5EF10D0CCB285F8D67
ERR6685692	2022-09-07 21:58:39	2022-09-15 09:27:43	32778172	2451051094	0	74	753	NA	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos1/sra-pub-zq-38/ERR006/6685/ERR6685692/ERR6685692.lite.1	ERX6310640	unspecified	RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 2500	ERP131718	PRJEB47442	NA	877920	ERS7302872	SAMEA9580153	simple	141832	Pomphorhynchus laevis	SAMEA9580153	NA	NA	NA	NA	female	NA	no	NA	NA	NA	NA	UNIVERSITY OF MAINZ	ERA6140002	NA	public	1804096F394CADD2283477C8B2C2B7ED	EB36F4B5645FF27DE787E9079828E446
ERR6685693	2022-09-07 21:58:39	2022-09-15 09:26:20	30937845	2315505415	0	74	654	NA	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos1/sra-pub-zq-38/ERR006/6685/ERR6685693/ERR6685693.lite.1	ERX6310641	unspecified	RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 2500	ERP131718	PRJEB47442	NA	877920	ERS7302873	SAMEA9580154	simple	141832	Pomphorhynchus laevis	SAMEA9580154	NA	NA	NA	NA	male	NA	no	NA	NA	NA	NA	UNIVERSITY OF MAINZ	ERA6140002	NA	public	469C64206DC70513E4197C5AB2529CFE	F90C8E039F053C319BC31DC403BB7101
ERR6685694	2022-09-07 21:58:39	2022-09-15 09:25:10	34110850	2552137534	0	74	723	NA	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos1/sra-pub-zq-38/ERR006/6685/ERR6685694/ERR6685694.lite.1	ERX6310642	unspecified	RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 2500	ERP131718	PRJEB47442	NA	877920	ERS7302874	SAMEA9580155	simple	141832	Pomphorhynchus laevis	SAMEA9580155	NA	NA	NA	NA	male	NA	no	NA	NA	NA	NA	UNIVERSITY OF MAINZ	ERA6140002	NA	public	79A56D4A0BD1E8391CA33E88E09B8E00	28D71156ACB0106859797768EAEC8D33
ERR6685695	2022-09-07 21:58:39	2022-09-15 09:21:22	29299633	2188872872	0	74	687	NA	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos1/sra-pub-zq-38/ERR006/6685/ERR6685695/ERR6685695.lite.1	ERX6310643	unspecified	RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 2500	ERP131718	PRJEB47442	NA	877920	ERS7302875	SAMEA9580156	simple	141832	Pomphorhynchus laevis	SAMEA9580156	NA	NA	NA	NA	male	NA	no	NA	NA	NA	NA	UNIVERSITY OF MAINZ	ERA6140002	NA	public	C9B3698B7E4BE12E4293170BA096199F	281C9C3AEE561DBC9FDE424CFD9A7002
ERR6685696	2022-09-07 21:58:39	2022-09-15 09:22:17	32819532	2455112606	0	74	695	NA	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos1/sra-pub-zq-38/ERR006/6685/ERR6685696/ERR6685696.lite.1	ERX6310644	unspecified	RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 2500	ERP131718	PRJEB47442	NA	877920	ERS7302876	SAMEA9580157	simple	141832	Pomphorhynchus laevis	SAMEA9580157	NA	NA	NA	NA	male	NA	no	NA	NA	NA	NA	UNIVERSITY OF MAINZ	ERA6140002	NA	public	8AC6A181E0DFB4FE98E98B0FADE45184	04C7313735DB436B64644DE0FD31D3DC
ERR6685697	2022-09-07 21:58:39	2022-09-15 09:23:32	34702185	2594316315	0	74	748	NA	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos1/sra-pub-zq-38/ERR006/6685/ERR6685697/ERR6685697.lite.1	ERX6310645	unspecified	RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 2500	ERP131718	PRJEB47442	NA	877920	ERS7302877	SAMEA9580158	simple	141832	Pomphorhynchus laevis	SAMEA9580158	NA	NA	NA	NA	male	NA	no	NA	NA	NA	NA	UNIVERSITY OF MAINZ	ERA6140002	NA	public	B46BBF68E1AA66087DB6FCB72C3D1D5C	91C0D4C60D0C26D860A006D34C737399
