Run	ReleaseDate	LoadDate	spots	bases	spots_with_mates	avgLength	size_MB	AssemblyName	download_path	Experiment	LibraryName	LibraryStrategy	LibrarySelection	LibrarySource	LibraryLayout	InsertSize	InsertDev	Platform	Model	SRAStudy	BioProject	Study_Pubmed_id	ProjectID	Sample	BioSample	SampleType	TaxID	ScientificName	SampleName	g1k_pop_code	source	g1k_analysis_group	Subject_ID	Sex	Disease	Tumor	Affection_Status	Analyte_Type	Histological_Type	Body_Site	CenterName	Submission	dbgap_study_accession	Consent	RunHash	ReadHash
SRR14322311	2021-05-11 22:22:46	2021-04-27 23:58:30	69254400	20776320000	69254400	300	6219		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-zq-24/SRR014/14322/SRR14322311/SRR14322311.lite.1	SRX10677445	wt-poplar	RNA-Seq	Oligo-dT	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina NovaSeq 6000	SRP316288	PRJNA725066	NA	725066	SRS8771326	SAMN18869250	simple	3694	Populus trichocarpa	WT	NA	NA	NA	NA		NA	no	NA	NA	NA	NA	SHANDONG AGRICULTURAL UNIVERSITY	SRA1223495	NA	public	75F1BEB069B9D5E01201D487AD8320C8	E6801D6254DE4370AD4640CDD7FC78F7
SRR14322310	2021-05-11 22:22:46	2021-04-27 23:59:50	68785614	20635684200	68785614	300	6227		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-zq-24/SRR014/14322/SRR14322310/SRR14322310.lite.1	SRX10677446	ebb1-poplar	RNA-Seq	Oligo-dT	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina NovaSeq 6000	SRP316288	PRJNA725066	NA	725066	SRS8771327	SAMN18869251	simple	3694	Populus trichocarpa	Y2429	NA	NA	NA	NA		NA	no	NA	NA	NA	NA	SHANDONG AGRICULTURAL UNIVERSITY	SRA1223495	NA	public	CE6438E1B73B006243BD3FED8D65B3DB	591C03F218F310A149B2F3F2B3F7AD32
SRR13481183	2021-01-19 09:58:50	2021-01-19 07:42:05	21263642	5315910500	21263642	250	1857		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-zq-24/SRR013/13481/SRR13481183/SRR13481183.lite.1	SRX9893893	RNA Seq correct lib rep3	RNA-Seq	RANDOM	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 2500	SRP179723	PRJNA515420	NA	515420	SRS8073125	SAMN17378890	simple	3694	Populus trichocarpa	Illumina_xylem	NA	NA	NA	NA		NA	no	NA	NA	NA	NA	FUJIAN AGRICULTURE AND FORESTRY UNIVERSITY	SRA1185101	NA	public	52530D4BA3BD3662E21A5D2437EBFA92	96DC91F40875EEB64BA0E3D9DD10C2AC
SRR13481184	2021-01-19 09:58:50	2021-01-19 07:57:18	20305935	5076483750	20305935	250	1785		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-zq-24/SRR013/13481/SRR13481184/SRR13481184.lite.1	SRX9893892	RNA Seq correct lib rep2	RNA-Seq	RANDOM	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 2500	SRP179723	PRJNA515420	NA	515420	SRS8073125	SAMN17378890	simple	3694	Populus trichocarpa	Illumina_xylem	NA	NA	NA	NA		NA	no	NA	NA	NA	NA	FUJIAN AGRICULTURE AND FORESTRY UNIVERSITY	SRA1185101	NA	public	A01B9EFF18A8BE8520E12FCD12C4E7ED	BC23A8240FFA7DC4828D670477BBB33E
SRR13481185	2021-01-19 09:58:50	2021-01-19 07:40:39	20334886	5083721500	20334886	250	1807		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-zq-24/SRR013/13481/SRR13481185/SRR13481185.lite.1	SRX9893891	RNA Seq correct lib rep1	RNA-Seq	RANDOM	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 2500	SRP179723	PRJNA515420	NA	515420	SRS8073125	SAMN17378890	simple	3694	Populus trichocarpa	Illumina_xylem	NA	NA	NA	NA		NA	no	NA	NA	NA	NA	FUJIAN AGRICULTURE AND FORESTRY UNIVERSITY	SRA1185101	NA	public	418685483E46E7B149844896D2E72BBB	8F8D6DE75876E1F03D82AADE3BF0FE1D
SRR12676675	2020-10-22 02:15:36	2020-09-22 18:30:06	1351109	1271821954	0	941	1142		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-run-36/SRR012/12676/SRR12676675/SRR12676675.1	SRX9156840	Direct-RNA Seq-rep2 fastq	RNA-Seq	other	TRANSCRIPTOMIC	SINGLE	0	0	OXFORD_NANOPORE	MinION	SRP182578	PRJNA517295	NA	517295	SRS4295403	SAMN10824325	simple	3694	Populus trichocarpa	Direct-RNA Seq	NA	NA	NA	NA		NA	no	NA	NA	NA	NA	FUJIAN AGRICULTURE AND FORESTRY UNIVERSITY	SRA1128296	NA	public	021AA681EB2CCC21E02D186A059F710C	5E50FB92EE33DE114406CA95393BEB00
SRR12822922	2020-10-22 02:09:08	2020-10-18 09:11:17	1489277	1302298948	0	874	1079		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-zq-22/SRR012/12822/SRR12822922/SRR12822922.lite.1	SRX9290561	Direct-RNA Seq rep2 fast5	RNA-Seq	other	TRANSCRIPTOMIC	SINGLE	0	0	OXFORD_NANOPORE	MinION	SRP182578	PRJNA517295	NA	517295	SRS4295403	SAMN10824325	simple	3694	Populus trichocarpa	Direct-RNA Seq	NA	NA	NA	NA		NA	no	NA	NA	NA	NA	FUJIAN AGRICULTURE AND FORESTRY UNIVERSITY	SRA1142739	NA	public	AEA994F11D00050C1699733A428EEDDF	CC3ADAC756F75CF2AADA9F16086EAF28
SRR12881185	2020-10-23 04:19:32	2020-10-23 04:15:13	725156	613276147	0	845	463		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-zq-24/SRR012/12881/SRR12881185/SRR12881185.lite.1	SRX9347134	Direct-RNA Seq rep1 fast5	RNA-Seq	other	TRANSCRIPTOMIC	SINGLE	0	0	OXFORD_NANOPORE	GridION	SRP182578	PRJNA517295	NA	517295	SRS4295403	SAMN10824325	simple	3694	Populus trichocarpa	Direct-RNA Seq	NA	NA	NA	NA		NA	no	NA	NA	NA	NA	FUJIAN AGRICULTURE AND FORESTRY UNIVERSITY	SRA1146665	NA	public	1F0628A46620F6A648E4EF9112A5F336	BBECB9D701FA8DDF867971A6849BAEBD
SRR8491764	2020-10-22 02:15:36	2019-01-27 08:30:30	603080	558593446	0	926	137		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-zq-22/SRR008/8491/SRR8491764/SRR8491764.lite.1	SRX5296330	Direct-RNA Seq rep1 fastq	RNA-Seq	other	TRANSCRIPTOMIC	SINGLE	0	0	OXFORD_NANOPORE	MinION	SRP182578	PRJNA517295	NA	517295	SRS4295403	SAMN10824325	simple	3694	Populus trichocarpa	Direct-RNA Seq	NA	NA	NA	NA		NA	no	NA	NA	NA	NA	FUJIAN AGRICULTURE AND FORESTRY UNIVERSITY	SRA839813	NA	public	F5AD2D92C0A454ECB2407F7612850CF5	5242D796BFF01CBEA96EA39F131BCFC8
SRR12768913	2020-10-22 03:23:10	2020-10-04 03:51:16	45460224	13638067200	45460224	300	4165		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-zq-22/SRR012/12768/SRR12768913/SRR12768913.lite.1	SRX9239583	MAZTER-seq  Rep4	RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 2500	SRP286274	PRJNA667190	NA	667190	SRS7472642	SAMN16361515	simple	3694	Populus trichocarpa	MAZTER-seq  of stem-differentiating xylem in Populus trichocarpa	NA	NA	NA	NA		NA	no	NA	NA	NA	NA	FUJIAN AGRICULTURE AND FORESTRY UNIVERSITY	SRA1137590	NA	public	4D538F73E168C75C4848FE867D847D46	C571C7EEF99D67E91185AF1BBE4AAFB3
