Run	ReleaseDate	LoadDate	spots	bases	spots_with_mates	avgLength	size_MB	AssemblyName	download_path	Experiment	LibraryName	LibraryStrategy	LibrarySelection	LibrarySource	LibraryLayout	InsertSize	InsertDev	Platform	Model	SRAStudy	BioProject	Study_Pubmed_id	ProjectID	Sample	BioSample	SampleType	TaxID	ScientificName	SampleName	g1k_pop_code	source	g1k_analysis_group	Subject_ID	Sex	Disease	Tumor	Affection_Status	Analyte_Type	Histological_Type	Body_Site	CenterName	Submission	dbgap_study_accession	Consent	RunHash	ReadHash
DRR049635	2015-12-01 08:48:13	2015-12-02 10:57:03	23265578	884091964	0	38	504		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/DRR000/049/DRR049635/DRR049635.sralite.1	DRX044678		RNA-Seq	RACE	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 2000	DRP002829	PRJDB4386	2	304719	DRS022004	SAMD00043517	simple	103944	Protobothrops mucrosquamatus	DRS022004	NA	NA	NA	NA		NA	no	NA	NA	NA	NA	OIST	DRA004186	NA	public	87AD9B33002EB1A15BACB07B9E14B436	3884438E3D07A09DCE7823EDD5B6CB47
DRR076624	2016-11-18 11:26:10	2016-11-18 11:35:21	108416583	32524974900	108416583	300	7532	assembly	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/DRR000/076/DRR076624/DRR076624.sralite.1	DRX070468		RNA-Seq	RACE	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 2000	DRP002829	PRJDB4386	2	304719	DRS022004	SAMD00043517	simple	103944	Protobothrops mucrosquamatus	DRS022004	NA	NA	NA	NA		NA	no	NA	NA	NA	NA	OIST	DRA005262	NA	public	8123E89DA7E2F69413A7EAACE37E092F	7F0A9959A0786B253C4786654E88348B
DRR076625	2016-11-18 11:26:10	2016-11-18 11:47:00	108570771	32571231300	108570771	300	7915	assembly	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/DRR000/076/DRR076625/DRR076625.sralite.1	DRX070469		RNA-Seq	RACE	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 2000	DRP002829	PRJDB4386	2	304719	DRS022005	SAMD00043518	simple	103944	Protobothrops mucrosquamatus	DRS022005	NA	NA	NA	NA		NA	no	NA	NA	NA	NA	OIST	DRA005262	NA	public	6D38E274521A9D139699D896E9AC2075	75CF5E221D856828122F21A6DD490F21
DRR049636	2015-12-01 08:48:13	2015-12-02 10:57:11	22102973	839912974	0	38	479		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/DRR000/049/DRR049636/DRR049636.sralite.1	DRX044679		RNA-Seq	RACE	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 2000	DRP002829	PRJDB4386	2	304719	DRS022005	SAMD00043518	simple	103944	Protobothrops mucrosquamatus	DRS022005	NA	NA	NA	NA		NA	no	NA	NA	NA	NA	OIST	DRA004186	NA	public	9A320C727100A1343424219D166AC7FA	A876530A9E383BAC2E4A2BBB25A10CD9
DRR049637	2015-12-01 08:48:13	2015-12-02 10:57:04	21063944	800429872	0	38	456		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/DRR000/049/DRR049637/DRR049637.sralite.1	DRX044680		RNA-Seq	RACE	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 2000	DRP002829	PRJDB4386	2	304719	DRS022006	SAMD00043519	simple	103944	Protobothrops mucrosquamatus	DRS022006	NA	NA	NA	NA		NA	no	NA	NA	NA	NA	OIST	DRA004186	NA	public	4403CF05434BF3DE6DE6E088E3F6DC10	2C8E086182ECDCA72F8709C1CE544DAF
DRR076626	2016-11-18 11:26:10	2016-11-18 11:44:27	109186530	32755959000	109186530	300	7648	assembly	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/DRR000/076/DRR076626/DRR076626.sralite.1	DRX070470		RNA-Seq	RACE	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 2000	DRP002829	PRJDB4386	2	304719	DRS022006	SAMD00043519	simple	103944	Protobothrops mucrosquamatus	DRS022006	NA	NA	NA	NA		NA	no	NA	NA	NA	NA	OIST	DRA005262	NA	public	B2068BD215D5CC9590D80A32EFBC64E9	9C69FA35F2486B9EE45614742D714E2B
DRR076627	2016-11-18 11:26:10	2016-11-18 11:59:21	109331920	32799576000	109331920	300	7503	assembly	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/DRR000/076/DRR076627/DRR076627.sralite.1	DRX070471		RNA-Seq	RACE	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 2000	DRP002829	PRJDB4386	2	304719	DRS022007	SAMD00043520	simple	103944	Protobothrops mucrosquamatus	DRS022007	NA	NA	NA	NA		NA	no	NA	NA	NA	NA	OIST	DRA005262	NA	public	C8D114AC7533206111E170DA0B683424	7179E9811D73F44CC2EDBEA587851967
DRR049638	2015-12-01 08:48:13	2015-12-02 10:57:02	20183229	766962702	0	38	440		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/DRR000/049/DRR049638/DRR049638.sralite.1	DRX044681		RNA-Seq	RACE	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 2000	DRP002829	PRJDB4386	2	304719	DRS022007	SAMD00043520	simple	103944	Protobothrops mucrosquamatus	DRS022007	NA	NA	NA	NA		NA	no	NA	NA	NA	NA	OIST	DRA004186	NA	public	8B599DEBD291960C10E2B51570C0B262	5822E0BCF3F8C3F9B5681BEF5B577765
DRR049639	2015-12-01 08:48:13	2015-12-02 10:56:46	15313274	581904412	0	38	334		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/DRR000/049/DRR049639/DRR049639.sralite.1	DRX044682		RNA-Seq	RACE	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 2000	DRP002829	PRJDB4386	2	304719	DRS022008	SAMD00043521	simple	103944	Protobothrops mucrosquamatus	DRS022008	NA	NA	NA	NA		NA	no	NA	NA	NA	NA	OIST	DRA004186	NA	public	442D0C16A20141090FFFE27BE903A93B	3C88AF61B173C450379A3C0D589AA756
DRR049640	2015-12-01 08:48:13	2015-12-02 10:56:22	17076327	648900426	0	38	371		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/DRR000/049/DRR049640/DRR049640.sralite.1	DRX044683		RNA-Seq	RACE	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 2000	DRP002829	PRJDB4386	2	304719	DRS022009	SAMD00043522	simple	103944	Protobothrops mucrosquamatus	DRS022009	NA	NA	NA	NA		NA	no	NA	NA	NA	NA	OIST	DRA004186	NA	public	B07D354066FC4BD6A597BA0ECF6ADBFC	6EB22B739B68A591678727ACD45B339D
