Run	ReleaseDate	LoadDate	spots	bases	spots_with_mates	avgLength	size_MB	AssemblyName	download_path	Experiment	LibraryName	LibraryStrategy	LibrarySelection	LibrarySource	LibraryLayout	InsertSize	InsertDev	Platform	Model	SRAStudy	BioProject	Study_Pubmed_id	ProjectID	Sample	BioSample	SampleType	TaxID	ScientificName	SampleName	g1k_pop_code	source	g1k_analysis_group	Subject_ID	Sex	Disease	Tumor	Affection_Status	Analyte_Type	Histological_Type	Body_Site	CenterName	Submission	dbgap_study_accession	Consent	RunHash	ReadHash
SRR13529998	2021-01-26 09:28:13	2021-01-26 09:25:41	20130102	1224638979	0	60	502		https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR13529998/SRR13529998	SRX9938309	Black rep3	RNA-Seq	RANDOM	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 4000	SRP303297	PRJNA694423		694423	SRS8113266	SAMN17522954	simple	22663	Punica granatum	Black							no					ARO	SRA1187846		public	22F52DC337921AFAA12D9470A827944C	BA9AA845CAF6CF0AB205EC7A3D232026
SRR13530001	2021-01-26 09:28:13	2021-01-26 09:27:00	21078401	1282892831	0	60	525		https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR13530001/SRR13530001	SRX9938306	Black rep2	RNA-Seq	RANDOM	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 4000	SRP303297	PRJNA694423		694423	SRS8113266	SAMN17522954	simple	22663	Punica granatum	Black							no					ARO	SRA1187846		public	42DA3B7071EB89328F810D4649D2EB75	D029C368EF2526D6BE1FFE098CDC4CFF
SRR13530002	2021-01-26 09:27:43	2021-01-26 09:24:02	19491562	1185877093	0	60	491		https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR13530002/SRR13530002	SRX9938305	Black rep1	RNA-Seq	RANDOM	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 4000	SRP303297	PRJNA694423		694423	SRS8113266	SAMN17522954	simple	22663	Punica granatum	Black							no					ARO	SRA1187846		public	8F57D39CAC3F4E99FE657014E1E3B020	6B0602C773D2CEFC98CD1E16C7CEB1B5
SRR13529999	2021-01-26 09:28:13	2021-01-26 09:26:46	21589026	1313659221	0	60	542		https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR13529999/SRR13529999	SRX9938308	black peel bulks rep3	RNA-Seq	RANDOM	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 4000	SRP303297	PRJNA694423		694423	SRS8113267	SAMN17523758	simple	22663	Punica granatum	Black Nana x Black							no					ARO	SRA1187846		public	1DCCCA25F7B39E709B794F57FFE16AF6	C67DC1A555ED69004E9663A7A8A43331
SRR13530000	2021-01-26 09:30:36	2021-01-26 09:26:28	22422209	1364529974	0	60	562		https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR13530000/SRR13530000	SRX9938307	black peel bulks rep2	RNA-Seq	RANDOM	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 4000	SRP303297	PRJNA694423		694423	SRS8113267	SAMN17523758	simple	22663	Punica granatum	Black Nana x Black							no					ARO	SRA1187846		public	C830FAF8270B588A1971E032F6BE6CA8	4318AC07053D7874AFE81012D505FEE7
SRR13529991	2021-01-26 09:28:13	2021-01-26 09:26:02	21450166	1305165219	0	60	540		https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR13529991/SRR13529991	SRX9938316	black peel bulks rep1	RNA-Seq	RANDOM	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 4000	SRP303297	PRJNA694423		694423	SRS8113267	SAMN17523758	simple	22663	Punica granatum	Black Nana x Black							no					ARO	SRA1187846		public	9ED0E1BA1227E0156C1F6F5B9E98BD50	D8B9BC1010FE43C8C9CF3E293C3550F3
SRR11268891	2020-03-09 11:45:32	2020-03-09 11:41:53	30258463	9077538900	30258463	300	2820		https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR11268891/SRR11268891	SRX7878263	Stage4_1	RNA-Seq	RT-PCR	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	HiSeq X Ten	SRP252052	PRJNA611541		611541	SRS6284700	SAMN14334577	simple	22663	Punica granatum	FY1							no					NANJING FORESTRY UNIVERSITY	SRA1052618		public	26059BDD21CEF07C196AAE9B1BBF5795	69A3F5B44C675656036F51FBD5913083
SRR11268900	2020-03-09 11:52:38	2020-03-09 11:45:22	27823948	8347184400	27823948	300	2513		https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR11268900/SRR11268900	SRX7878254	Stage4_2	RNA-Seq	RT-PCR	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	HiSeq X Ten	SRP252052	PRJNA611541		611541	SRS6284690	SAMN14334578	simple	22663	Punica granatum	FY2							no					NANJING FORESTRY UNIVERSITY	SRA1052618		public	FF56C28405278F4605FA0CE39E23E8F2	4FD0E26C7CF40AE96D726F962EACCF7F
SRR11268899	2020-03-09 11:52:38	2020-03-09 11:45:47	22785753	6835725900	22785753	300	2109		https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR11268899/SRR11268899	SRX7878255	Stage4_3	RNA-Seq	RT-PCR	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	HiSeq X Ten	SRP252052	PRJNA611541		611541	SRS6284701	SAMN14334579	simple	22663	Punica granatum	FY3							no					NANJING FORESTRY UNIVERSITY	SRA1052618		public	951A3422A3891CF1EA1040E25B797729	E8D77706A8E43A0EB5EB27714AD17B96
SRR12436726	2020-10-21 16:30:10	2020-08-12 12:29:57	23866072	7159821600	23866072	300	2151		https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR12436726/SRR12436726	SRX8932415		RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina NovaSeq 6000	SRP277183	PRJNA656782	3	656782	SRS7188760	SAMN15802490	simple	22663	Punica granatum	GSM4724763							no					GEO	SRA1112142		public	9D3D9E14F34545A4A728711C73B1B1E0	00A4CBCAD971EE969F7B0F567ACB6CEE
