Run	ReleaseDate	LoadDate	spots	bases	spots_with_mates	avgLength	size_MB	AssemblyName	download_path	Experiment	LibraryName	LibraryStrategy	LibrarySelection	LibrarySource	LibraryLayout	InsertSize	InsertDev	Platform	Model	SRAStudy	BioProject	Study_Pubmed_id	ProjectID	Sample	BioSample	SampleType	TaxID	ScientificName	SampleName	g1k_pop_code	source	g1k_analysis_group	Subject_ID	Sex	Disease	Tumor	Affection_Status	Analyte_Type	Histological_Type	Body_Site	CenterName	Submission	dbgap_study_accession	Consent	RunHash	ReadHash
SRR5190686	2017-01-24 20:35:48	2017-01-19 20:33:03	3144654	364779864	0	116	199	NA	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-14/SRR005/190/SRR5190686.sralite.1	SRX2506443	Z12_24h_Liver_run2	RNA-Seq	Hybrid Selection	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina Genome Analyzer IIx	SRP051827	PRJNA267231	NA	267231	SRS1930688	SAMN06238977	simple	176946	Python bivittatus	Z12_24h_Liver	NA	NA	NA	NA		NA	no	NA	NA	NA	NA	UNIVERSITY OF TEXAS AT ARLINGTON	SRA529060	NA	public	6EC1EB81314AC6D483331A10BD203495	9ADC212CFD6A46544886A47D35688D2D
SRR5190688	2017-01-24 20:35:53	2017-01-19 20:33:42	8240492	412024600	0	50	257	NA	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-14/SRR005/190/SRR5190688.sralite.1	SRX2506445	V43_24h_Liver_run1	RNA-Seq	Hybrid Selection	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina Genome Analyzer IIx	SRP051827	PRJNA267231	NA	267231	SRS1930689	SAMN06238976	simple	176946	Python bivittatus	V43_24h_Liver	NA	NA	NA	NA		NA	no	NA	NA	NA	NA	UNIVERSITY OF TEXAS AT ARLINGTON	SRA529060	NA	public	C7E7462696A2935B18B683897E549DDE	6B35B2672827881C8E8524199F46F095
SRR5190689	2017-01-24 20:35:55	2017-01-19 20:34:26	6114393	305719650	0	50	192	NA	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-14/SRR005/190/SRR5190689.sralite.1	SRX2506446	U25_0h_Liver_run1	RNA-Seq	Hybrid Selection	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina Genome Analyzer IIx	SRP051827	PRJNA267231	NA	267231	SRS1930690	SAMN06238975	simple	176946	Python bivittatus	U25_0h_Liver	NA	NA	NA	NA		NA	no	NA	NA	NA	NA	UNIVERSITY OF TEXAS AT ARLINGTON	SRA529060	NA	public	319A1E5776DFDF9C634B9FE0252158BE	04EA9B6C5B1EC86864C58A3D07E9FA09
SRR5190690	2017-01-24 20:36:01	2017-01-19 20:34:04	9889952	494497600	0	50	318	NA	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-14/SRR005/190/SRR5190690.sralite.1	SRX2506447	AI8_0h_Liver_run1	RNA-Seq	Hybrid Selection	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina Genome Analyzer IIx	SRP051827	PRJNA267231	NA	267231	SRS1930691	SAMN06238974	simple	176946	Python bivittatus	AI8_0h_Liver	NA	NA	NA	NA		NA	no	NA	NA	NA	NA	UNIVERSITY OF TEXAS AT ARLINGTON	SRA529060	NA	public	CF845E940E17842D718944646D96B89A	6B047F7317B8D11959F88C977D78370C
SRR5190691	2017-01-24 20:33:54	2017-01-19 20:32:44	1303882	151250312	0	116	89	NA	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-14/SRR005/190/SRR5190691.sralite.1	SRX2506448	AI6_0h_Liver_run2	RNA-Seq	Hybrid Selection	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina Genome Analyzer IIx	SRP051827	PRJNA267231	NA	267231	SRS1930692	SAMN06240093	simple	176946	Python bivittatus	AI6_0h_Liver	NA	NA	NA	NA		NA	no	NA	NA	NA	NA	UNIVERSITY OF TEXAS AT ARLINGTON	SRA529060	NA	public	63D3AB06AD8A7C82ED24E65F290EA2A1	C95FBACD0EF1AB2E4BBA9D96D510412D
SRR5190692	2017-01-24 20:33:54	2017-01-19 20:32:30	1126685	90134800	0	80	49	NA	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-14/SRR005/190/SRR5190692.sralite.1	SRX2506449	AI6_0h_Liver_run1	RNA-Seq	Hybrid Selection	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina Genome Analyzer IIx	SRP051827	PRJNA267231	NA	267231	SRS1930692	SAMN06240093	simple	176946	Python bivittatus	AI6_0h_Liver	NA	NA	NA	NA		NA	no	NA	NA	NA	NA	UNIVERSITY OF TEXAS AT ARLINGTON	SRA529060	NA	public	02E2913CAD3E9E9E3B42776B3E658D4C	C93B72D632A2AE785532CAC55A5633BD
SRR5190693	2017-01-24 20:37:43	2017-01-19 20:35:03	13313272	665663600	0	50	426	NA	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-14/SRR005/190/SRR5190693.sralite.1	SRX2506450	AI11_0h_Liver_run1	RNA-Seq	Hybrid Selection	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina Genome Analyzer IIx	SRP051827	PRJNA267231	NA	267231	SRS1930693	SAMN06238973	simple	176946	Python bivittatus	AI11_0h_Liver	NA	NA	NA	NA		NA	no	NA	NA	NA	NA	UNIVERSITY OF TEXAS AT ARLINGTON	SRA529060	NA	public	EE52B1617B5757B9ED4A61608473C58F	9A4D53EA0597EB6444950104CF8E42CA
SRR5190694	2017-01-24 20:36:01	2017-01-19 20:33:25	6717814	335890700	0	50	219	NA	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-14/SRR005/190/SRR5190694.sralite.1	SRX2506451	Y24_96h_Kidney_run1	RNA-Seq	Hybrid Selection	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina Genome Analyzer IIx	SRP051827	PRJNA267231	NA	267231	SRS1930694	SAMN06238972	simple	176946	Python bivittatus	Y24_96h_Kidney	NA	NA	NA	NA		NA	no	NA	NA	NA	NA	UNIVERSITY OF TEXAS AT ARLINGTON	SRA529060	NA	public	1FB0D7FCFB770CC29374E0308184B959	DFCCFEFD7F4B26286AACC7A329859CA3
SRR5190695	2017-01-24 20:33:55	2017-01-19 20:31:58	124	14384	0	116	0	NA	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-14/SRR005/190/SRR5190695.sralite.1	SRX2506452	Y23_96h_Kidney_run2	RNA-Seq	Hybrid Selection	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina Genome Analyzer IIx	SRP051827	PRJNA267231	NA	267231	SRS1930695	SAMN06238971	simple	176946	Python bivittatus	Y23_96h_Kidney	NA	NA	NA	NA		NA	no	NA	NA	NA	NA	UNIVERSITY OF TEXAS AT ARLINGTON	SRA529060	NA	public	E38CFF01C9D48593217A696C963982D7	F85DC567BE48A72AA76DA86D8E9D4B52
SRR5190696	2017-01-24 20:33:56	2017-01-19 20:32:05	4190	192740	0	46	0	NA	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-14/SRR005/190/SRR5190696.sralite.1	SRX2506453	Y23_96h_Kidney_run1	RNA-Seq	Hybrid Selection	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina Genome Analyzer IIx	SRP051827	PRJNA267231	NA	267231	SRS1930695	SAMN06238971	simple	176946	Python bivittatus	Y23_96h_Kidney	NA	NA	NA	NA		NA	no	NA	NA	NA	NA	UNIVERSITY OF TEXAS AT ARLINGTON	SRA529060	NA	public	3BC1C14DA791859B2B52CAEAA69F0F69	B9C05424B11303025000743893058BA9
