Run	ReleaseDate	LoadDate	spots	bases	spots_with_mates	avgLength	size_MB	AssemblyName	download_path	Experiment	LibraryName	LibraryStrategy	LibrarySelection	LibrarySource	LibraryLayout	InsertSize	InsertDev	Platform	Model	SRAStudy	BioProject	Study_Pubmed_id	ProjectID	Sample	BioSample	SampleType	TaxID	ScientificName	SampleName	g1k_pop_code	source	g1k_analysis_group	Subject_ID	Sex	Disease	Tumor	Affection_Status	Analyte_Type	Histological_Type	Body_Site	CenterName	Submission	dbgap_study_accession	Consent	RunHash	ReadHash
ERR2592659	2019-02-19 08:01:47	2019-02-24 01:26:43	0	0	0	0	1912		https://sra-pub-run-odp.s3.amazonaws.com/sra/ERR2592659/ERR2592659	ERX2608935	1875sTS.Rat.Brain.6wpb.Male_s	RNA-Seq	PolyA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 2500	ERP108920	PRJEB26889		523153	ERS2501064	SAMEA4680868	simple	10116	Rattus norvegicus	SAMEA4680868					male		no					Lausanne Genomics Technology Facility 	ERA1492587		public	E277D2D39698C14DE48E61D96DE7AEED	DD824B511E01A7A7C421A741112C6325
ERR2592660	2019-02-19 08:01:47	2021-10-24 06:41:50	24408746	2465283346	0	101	1468		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos4/sra-pub-zq-1/ERR002/2592/ERR2592660/ERR2592660.lite.2	ERX2608936	1968sTS.Rat.Cerebellum.6wpb.Male_s	RNA-Seq	PolyA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 2500	ERP108920	PRJEB26889		523153	ERS2501065	SAMEA4680869	simple	10116	Rattus norvegicus	SAMEA4680869					male		no					Lausanne Genomics Technology Facility 	ERA1492587		public	EA682C5F038E52026F602F28BB42092E	B1B7ACD19F9B96B5573F5F2E4101C14A
ERR2592661	2019-02-19 08:01:47	2019-02-24 01:24:56	0	0	0	0	1813		https://sra-pub-run-odp.s3.amazonaws.com/sra/ERR2592661/ERR2592661	ERX2608937	1969sTS.Rat.Liver.6wpb.Male_s	RNA-Seq	PolyA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 2500	ERP108920	PRJEB26889		523153	ERS2501066	SAMEA4680870	simple	10116	Rattus norvegicus	SAMEA4680870					male		no					Lausanne Genomics Technology Facility 	ERA1492587		public	66EB2CB1D7AD1B651B4E42AFC22E3F15	EAF55CA5ECF53C62FF88EC153021C3D4
ERR2592662	2019-02-19 08:01:47	2019-02-24 01:23:35	0	0	0	0	1758		https://sra-pub-run-odp.s3.amazonaws.com/sra/ERR2592662/ERR2592662	ERX2608938	1970sTS.Rat.Testis.6wpb.Male_s	RNA-Seq	PolyA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 2500	ERP108920	PRJEB26889		523153	ERS2501067	SAMEA4680871	simple	10116	Rattus norvegicus	SAMEA4680871					male		no					Lausanne Genomics Technology Facility 	ERA1492587		public	6DAC9A47677F835411D8F0B166684950	04D2086A184BCC37D7924C73446D9E91
ERR2592663	2019-02-19 08:01:47	2019-02-24 01:26:22	0	0	0	0	2464		https://sra-pub-run-odp.s3.amazonaws.com/sra/ERR2592663/ERR2592663	ERX2608939	1971sTS.Rat.Brain.6wpb.Male_s	RNA-Seq	PolyA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 2500	ERP108920	PRJEB26889		523153	ERS2501068	SAMEA4680872	simple	10116	Rattus norvegicus	SAMEA4680872					male		no					Lausanne Genomics Technology Facility 	ERA1492587		public	3319E506848763BDB99D58C7A69D14F2	55511F0E112927FAC30412FE662D7E48
ERR2592664	2019-02-19 08:01:47	2019-02-24 01:29:21	0	0	0	0	2683		https://sra-pub-run-odp.s3.amazonaws.com/sra/ERR2592664/ERR2592664	ERX2608940	1972sTS.Rat.Cerebellum.6wpb.Male_s	RNA-Seq	PolyA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 2500	ERP108920	PRJEB26889		523153	ERS2501069	SAMEA4680873	simple	10116	Rattus norvegicus	SAMEA4680873					male		no					Lausanne Genomics Technology Facility 	ERA1492587		public	F18F04800D47C3D34D70D0E5F29D559D	A2B6BDF10D195BD0ED0DECF67052DE92
ERR2592665	2019-02-19 08:01:47	2021-10-24 07:02:37	40753892	4116143092	0	101	2662		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos4/sra-pub-zq-1/ERR002/2592/ERR2592665/ERR2592665.lite.2	ERX2608941	1973sTS.Rat.Liver.6wpb.Male_s	RNA-Seq	PolyA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 2500	ERP108920	PRJEB26889		523153	ERS2501070	SAMEA4680874	simple	10116	Rattus norvegicus	SAMEA4680874					male		no					Lausanne Genomics Technology Facility 	ERA1492587		public	8A888C94308B2A1324312F0DD2A42B50	56B43D803B0A452A17B21CEA2D44777D
ERR2592666	2019-02-19 08:01:47	2021-10-24 07:01:08	46110522	4657162722	0	101	2990		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos4/sra-pub-zq-1/ERR002/2592/ERR2592666/ERR2592666.lite.2	ERX2608942	1974sTS.Rat.Testis.6wpb.Male_s	RNA-Seq	PolyA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 2500	ERP108920	PRJEB26889		523153	ERS2501071	SAMEA4680875	simple	10116	Rattus norvegicus	SAMEA4680875					male		no					Lausanne Genomics Technology Facility 	ERA1492587		public	759381CFB16072E4FC4CAD5D0518ED2D	5E3C5321F9EC1C08E8FC8FE376740D17
ERR2592667	2019-02-19 08:01:47	2021-10-24 06:43:24	29724514	3002175914	0	101	1785		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos4/sra-pub-zq-1/ERR002/2592/ERR2592667/ERR2592667.lite.2	ERX2608943	1975sTS.Rat.Brain.6wpb.Female_s	RNA-Seq	PolyA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 2500	ERP108920	PRJEB26889		523153	ERS2501072	SAMEA4680876	simple	10116	Rattus norvegicus	SAMEA4680876					female		no					Lausanne Genomics Technology Facility 	ERA1492587		public	9FF3A04EEB004D6A1EE40BEA3EC4D555	3409B72F8972ED7955891779A367AA44
ERR2592668	2019-02-19 08:01:47	2019-02-24 01:27:53	0	0	0	0	1222		https://sra-pub-run-odp.s3.amazonaws.com/sra/ERR2592668/ERR2592668	ERX2608944	2285sTS.Rat.Cerebellum.6wpb.Female_s	RNA-Seq	PolyA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 2500	ERP108920	PRJEB26889		523153	ERS2501073	SAMEA4680877	simple	10116	Rattus norvegicus	SAMEA4680877					female		no					Lausanne Genomics Technology Facility 	ERA1492587		public	69B2D6C856875F9AC74343C46E8F6FD1	C9FBD26710348A88691AFBBEDBA40BED
