Run	ReleaseDate	LoadDate	spots	bases	spots_with_mates	avgLength	size_MB	AssemblyName	download_path	Experiment	LibraryName	LibraryStrategy	LibrarySelection	LibrarySource	LibraryLayout	InsertSize	InsertDev	Platform	Model	SRAStudy	BioProject	Study_Pubmed_id	ProjectID	Sample	BioSample	SampleType	TaxID	ScientificName	SampleName	g1k_pop_code	source	g1k_analysis_group	Subject_ID	Sex	Disease	Tumor	Affection_Status	Analyte_Type	Histological_Type	Body_Site	CenterName	Submission	dbgap_study_accession	Consent	RunHash	ReadHash
SRR7059820	2019-05-01 00:31:23	2018-04-24 14:40:05	10664288	3064448493	10664288	287	1519	NA	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-14/SRR007/059/SRR7059820.sralite.1	SRX3990754	LGB_Carcass	RNA-Seq	unspecified	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina MiSeq	SRP142514	PRJNA453377	NA	453377	SRS3215168	SAMN08976473	simple	92692	Rhyzopertha dominica	Carcass	NA	NA	NA	NA	mixed	NA	no	NA	NA	NA		USDA	SRA694927	NA	public	37AC967DDA3463291F11DC6D21841845	80481254855FF75FE869A15F2B682334
SRR10810913	2021-01-01 04:08:55	2019-12-31 18:08:17	2733069	776729024	2733069	284	385	NA	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-16/SRR010/10810/SRR10810913/SRR10810913.lite.1	SRX7484425	Carcass3	RNA-Seq	PCR	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina MiSeq	SRP239203	PRJNA598370	3	598370	SRS5927070	SAMN13705036	simple	92692	Rhyzopertha dominica	Carcass	NA	NA	NA	NA	mixed	NA	no	NA	NA	NA		USDA	SRA1018567	NA	public	5EC0D1823E748C482DA1BA938A35427E	0E226C710FE507644C1A67D8F0F219CA
SRR10810914	2021-01-01 04:08:55	2019-12-31 18:08:43	3719300	1080223921	3719300	290	532	NA	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-16/SRR010/10810/SRR10810914/SRR10810914.lite.1	SRX7484423	Carcass1	RNA-Seq	PCR	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina MiSeq	SRP239203	PRJNA598370	3	598370	SRS5927070	SAMN13705036	simple	92692	Rhyzopertha dominica	Carcass	NA	NA	NA	NA	mixed	NA	no	NA	NA	NA		USDA	SRA1018567	NA	public	F6118026F3D852098C182DE853762C80	22B302F49C578ED22A93EBFE2875DF12
SRR10810917	2021-01-01 04:08:55	2019-12-31 18:09:18	4211919	1207495548	4211919	286	600	NA	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-zq-22/SRR010/10810/SRR10810917/SRR10810917.lite.1	SRX7484424	Carcass2	RNA-Seq	PCR	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina MiSeq	SRP239203	PRJNA598370	3	598370	SRS5927070	SAMN13705036	simple	92692	Rhyzopertha dominica	Carcass	NA	NA	NA	NA	mixed	NA	no	NA	NA	NA		USDA	SRA1018567	NA	public	5DC1B2052C949B82A466123AF07BF96B	CD6B0B2F25C42AF4791CAD011AD56661
SRR10810918	2021-01-01 04:08:55	2019-12-31 18:09:17	2924048	834675399	2924048	285	414	NA	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-16/SRR010/10810/SRR10810918/SRR10810918.lite.1	SRX7484420	Gut1	RNA-Seq	PCR	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina MiSeq	SRP239203	PRJNA598370	3	598370	SRS5927069	SAMN13705035	simple	92692	Rhyzopertha dominica	Gut	NA	NA	NA	NA	mixed	NA	no	NA	NA	NA		USDA	SRA1018567	NA	public	748A534316C2BBC187008A13B2E367CC	4FF621BD1A557A2585F60C2AE154EF8F
SRR10810915	2021-01-01 04:08:55	2019-12-31 18:08:24	2862547	819928399	2862547	286	413	NA	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-16/SRR010/10810/SRR10810915/SRR10810915.lite.1	SRX7484422	Gut3	RNA-Seq	PCR	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina MiSeq	SRP239203	PRJNA598370	3	598370	SRS5927069	SAMN13705035	simple	92692	Rhyzopertha dominica	Gut	NA	NA	NA	NA	mixed	NA	no	NA	NA	NA		USDA	SRA1018567	NA	public	A379AB7FF6015DF4FFFE88940D1417A7	0CBCE05B43FCB021A5E57703AFF8B0A7
SRR10810916	2021-01-01 04:08:55	2019-12-31 18:09:41	3889414	1097731715	3889414	282	555	NA	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-16/SRR010/10810/SRR10810916/SRR10810916.lite.1	SRX7484421	Gut2	RNA-Seq	PCR	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina MiSeq	SRP239203	PRJNA598370	3	598370	SRS5927069	SAMN13705035	simple	92692	Rhyzopertha dominica	Gut	NA	NA	NA	NA	mixed	NA	no	NA	NA	NA		USDA	SRA1018567	NA	public	45AB4468E5FE383E269E389271761CC3	186B5D224B3A18ED90BF3D23BD96E2DB
SRR7059821	2019-05-01 00:31:23	2018-04-24 14:38:59	9676009	2734816001	9552099	282	1374	NA	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-14/SRR007/059/SRR7059821.sralite.1	SRX3990753	LGB_Gut	RNA-Seq	unspecified	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina MiSeq	SRP142514	PRJNA453377	NA	453377	SRS3215167	SAMN08976474	simple	92692	Rhyzopertha dominica	Gut	NA	NA	NA	NA	mixed	NA	no	NA	NA	NA		USDA	SRA694927	NA	public	0BAC9DA7148BE135C0E3DD9484E7779C	273A17AC92AC317B66D1A1D4B4DFA6C3
SRR7059822	2019-05-01 00:31:23	2018-04-24 14:39:54	9820899	2805267387	9820899	285	1392	NA	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-14/SRR007/059/SRR7059822.sralite.1	SRX3990752	LGB_Head	RNA-Seq	unspecified	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina MiSeq	SRP142514	PRJNA453377	NA	453377	SRS3215165	SAMN08976475	simple	92692	Rhyzopertha dominica	Head	NA	NA	NA	NA	mixed	NA	no	NA	NA	NA		USDA	SRA694927	NA	public	2E13806CB3949593707E1EBF62CEFB90	D97A3DEF5AC941E1A1E7244498249BE1
SRR10810919	2021-01-01 04:08:55	2019-12-31 18:08:25	3109937	873965154	3109937	281	433	NA	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-16/SRR010/10810/SRR10810919/SRR10810919.lite.1	SRX7484419	Head3	RNA-Seq	PCR	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina MiSeq	SRP239203	PRJNA598370	3	598370	SRS5927068	SAMN13705034	simple	92692	Rhyzopertha dominica	Head	NA	NA	NA	NA	mixed	NA	no	NA	NA	NA		USDA	SRA1018567	NA	public	B98128875107178862E20F2AF9446DAE	89BC79C3C6FD887EE96837F22646E908
