Run	ReleaseDate	LoadDate	spots	bases	spots_with_mates	avgLength	size_MB	AssemblyName	download_path	Experiment	LibraryName	LibraryStrategy	LibrarySelection	LibrarySource	LibraryLayout	InsertSize	InsertDev	Platform	Model	SRAStudy	BioProject	Study_Pubmed_id	ProjectID	Sample	BioSample	SampleType	TaxID	ScientificName	SampleName	g1k_pop_code	source	g1k_analysis_group	Subject_ID	Sex	Disease	Tumor	Affection_Status	Analyte_Type	Histological_Type	Body_Site	CenterName	Submission	dbgap_study_accession	Consent	RunHash	ReadHash
SRR12893399	2020-10-25 20:03:40	2020-10-25 20:00:05	42635587	12875947274	42635587	302	4002	NA	https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR12893399/SRR12893399	SRX9358485	FAFU-HL-1-C	RNA-Seq	RANDOM	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina NovaSeq 6000	SRP288514	PRJNA671733	NA	671733	SRS7581419	SAMN16547681	simple	1413687	Salix dunnii	FAFU-HL-1-C	NA	NA	NA	NA	female	NA	no	NA	NA	NA	NA	FUJIAN ARGRICULTURE AND FORESTRY UNIVERSITY	SRA1147671	NA	public	27C69C3C757B61BB5DEC0593102FB969	4151B91C431C682950E50CC2D4C36D10
SRR12893410	2020-10-25 20:08:30	2020-10-25 20:01:25	43552349	13152809398	43552349	302	4019	NA	https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR12893410/SRR12893410	SRX9358474	FAFU-HL-1-L	RNA-Seq	RANDOM	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina NovaSeq 6000	SRP288514	PRJNA671733	NA	671733	SRS7581408	SAMN16547680	simple	1413687	Salix dunnii	FAFU-HL-1-L	NA	NA	NA	NA	female	NA	no	NA	NA	NA	NA	FUJIAN ARGRICULTURE AND FORESTRY UNIVERSITY	SRA1147671	NA	public	D5AB9AAF31682924C4D56956FDBD465B	B5B26AE734301F4ACD9CC98C5F7170E6
SRR12893382	2020-10-25 20:01:47	2020-10-25 19:56:06	43172557	13038112214	43172557	302	3839	NA	https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR12893382/SRR12893382	SRX9358502	FAFU-HL-1-R	RNA-Seq	RANDOM	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina NovaSeq 6000	SRP288514	PRJNA671733	NA	671733	SRS7581436	SAMN16547683	simple	1413687	Salix dunnii	FAFU-HL-1-R	NA	NA	NA	NA	female	NA	no	NA	NA	NA	NA	FUJIAN ARGRICULTURE AND FORESTRY UNIVERSITY	SRA1147671	NA	public	266118AE91996BD980950655BE931F5C	BCAD5164D84D1BB8D508193002D31576
SRR12893388	2020-10-25 20:11:14	2020-10-25 20:07:14	53205459	16068048618	53205459	302	4672	NA	https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR12893388/SRR12893388	SRX9358496	FAFU-HL-1-S	RNA-Seq	RANDOM	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina NovaSeq 6000	SRP288514	PRJNA671733	NA	671733	SRS7581430	SAMN16547682	simple	1413687	Salix dunnii	FAFU-HL-1-S	NA	NA	NA	NA	female	NA	no	NA	NA	NA	NA	FUJIAN ARGRICULTURE AND FORESTRY UNIVERSITY	SRA1147671	NA	public	A3EA4379D4F34395FDA48194B71F19AC	BB3E0F86657A61258C12A3AE1978858E
SRR12893380	2020-10-25 20:01:47	2020-10-25 19:55:33	38100465	11506340430	38100465	302	3411	NA	https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR12893380/SRR12893380	SRX9358504	FK-GDC-28-C	RNA-Seq	RANDOM	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina NovaSeq 6000	SRP288514	PRJNA671733	NA	671733	SRS7581438	SAMN16547685	simple	1413687	Salix dunnii	FK-GDC-28-C	NA	NA	NA	NA	male	NA	no	NA	NA	NA	NA	FUJIAN ARGRICULTURE AND FORESTRY UNIVERSITY	SRA1147671	NA	public	3C3BE2EF614A8E976E7BDC3803543FC1	7D9D85659D3EF69550074573C32B4803
SRR12893381	2020-10-25 20:07:16	2020-10-25 19:59:27	41771289	12614929278	41771289	302	3754	NA	https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR12893381/SRR12893381	SRX9358503	FK-GDC-28-L	RNA-Seq	RANDOM	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina NovaSeq 6000	SRP288514	PRJNA671733	NA	671733	SRS7581437	SAMN16547684	simple	1413687	Salix dunnii	FK-GDC-28-L	NA	NA	NA	NA	male	NA	no	NA	NA	NA	NA	FUJIAN ARGRICULTURE AND FORESTRY UNIVERSITY	SRA1147671	NA	public	453DB22BAA9D3ED7DB17642B8AF4BE4F	2D99ADCFE55356A8B48A24A3BE29EBBF
SRR12893431	2020-10-25 20:07:16	2020-10-25 20:00:53	42150463	12729439826	42150463	302	3771	NA	https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR12893431/SRR12893431	SRX9358453	FK-GDC-29-C	RNA-Seq	RANDOM	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina NovaSeq 6000	SRP288514	PRJNA671733	NA	671733	SRS7581387	SAMN16547687	simple	1413687	Salix dunnii	FK-GDC-29-C	NA	NA	NA	NA	male	NA	no	NA	NA	NA	NA	FUJIAN ARGRICULTURE AND FORESTRY UNIVERSITY	SRA1147671	NA	public	057A17B85BDBCA1D806F1189DA0BB0D1	B9974F82D8A291A394EF92D9F44C5BE6
SRR12893379	2020-10-25 20:04:12	2020-10-25 19:59:15	42343978	12787881356	42343978	302	3823	NA	https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR12893379/SRR12893379	SRX9358505	FK-GDC-29-L	RNA-Seq	RANDOM	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina NovaSeq 6000	SRP288514	PRJNA671733	NA	671733	SRS7581439	SAMN16547686	simple	1413687	Salix dunnii	FK-GDC-29-L	NA	NA	NA	NA	male	NA	no	NA	NA	NA	NA	FUJIAN ARGRICULTURE AND FORESTRY UNIVERSITY	SRA1147671	NA	public	9DAAF485A114C2C701DEF6A939FFC3FA	71485A30B7861A19949E1CCCFEC353CA
SRR12893429	2020-10-25 20:03:40	2020-10-25 19:58:49	38264589	11555905878	38264589	302	3430	NA	https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR12893429/SRR12893429	SRX9358455	FK-GDC-30-C	RNA-Seq	RANDOM	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina NovaSeq 6000	SRP288514	PRJNA671733	NA	671733	SRS7581389	SAMN16547689	simple	1413687	Salix dunnii	FK-GDC-30-C	NA	NA	NA	NA	female	NA	no	NA	NA	NA	NA	FUJIAN ARGRICULTURE AND FORESTRY UNIVERSITY	SRA1147671	NA	public	9702E24696573980580503063E61E737	EA72AE966B6E2F714A2D1D44759488D2
SRR12893430	2020-10-25 20:09:15	2020-10-25 20:03:45	42058969	12701808638	42058969	302	3751	NA	https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR12893430/SRR12893430	SRX9358454	FK-GDC-30-L	RNA-Seq	RANDOM	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina NovaSeq 6000	SRP288514	PRJNA671733	NA	671733	SRS7581388	SAMN16547688	simple	1413687	Salix dunnii	FK-GDC-30-L	NA	NA	NA	NA	female	NA	no	NA	NA	NA	NA	FUJIAN ARGRICULTURE AND FORESTRY UNIVERSITY	SRA1147671	NA	public	5C51EB2137E4076ED63E5500668760A5	7095BE669E70C121C8D10FBD92B50ECA
