Run	ReleaseDate	LoadDate	spots	bases	spots_with_mates	avgLength	size_MB	AssemblyName	download_path	Experiment	LibraryName	LibraryStrategy	LibrarySelection	LibrarySource	LibraryLayout	InsertSize	InsertDev	Platform	Model	SRAStudy	BioProject	Study_Pubmed_id	ProjectID	Sample	BioSample	SampleType	TaxID	ScientificName	SampleName	g1k_pop_code	source	g1k_analysis_group	Subject_ID	Sex	Disease	Tumor	Affection_Status	Analyte_Type	Histological_Type	Body_Site	CenterName	Submission	dbgap_study_accession	Consent	RunHash	ReadHash
SRR9593305	2019-06-25 08:44:18	2019-06-25 08:24:58	36201304	9122728608	36201304	252	4869		https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR9593305/SRR9593305	SRX6359048	6-Testis_WT	RNA-Seq	RANDOM	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 2000	SRP211903	PRJNA550414		550414	SRS5021659	SAMN12130829	simple	8030	Salmo salar	6-Testis_WT					male		no					INSTITUTE OF MARINE RESEARCH	SRA913158		public	37768D8AE28966BFF35A2779B0384DC8	51074E700779F8CCECF3D73DA9EA3029
SRR9593304	2019-06-25 08:43:22	2019-06-25 08:22:16	27571910	6948121320	27571910	252	3780		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-16/SRR009/593/SRR9593304.sralite.1	SRX6359049	8-Testis_GCF	RNA-Seq	RANDOM	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 2000	SRP211903	PRJNA550414		550414	SRS5021660	SAMN12130828	simple	8030	Salmo salar	8-Testis_GCF					male		no					INSTITUTE OF MARINE RESEARCH	SRA913158		public	AC5057004D5E06AA6BABD7FC516E2AAC	39AD8E5F7E01A0D0300A8BD2A6F9D18E
SRR9593307	2019-06-25 08:43:22	2019-06-25 08:33:41	45205201	11391710652	45205201	252	6095		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-14/SRR009/593/SRR9593307.sralite.1	SRX6359046	9-Testis_WT	RNA-Seq	RANDOM	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 2000	SRP211903	PRJNA550414		550414	SRS5021657	SAMN12130831	simple	8030	Salmo salar	9-Testis_WT					male		no					INSTITUTE OF MARINE RESEARCH	SRA913158		public	0FD903D97BAAB58B60F03FD0857D400D	3D15BC400E20D1F46120BAEB7E850215
SRR9593306	2019-06-25 08:43:22	2019-06-25 08:22:33	19073241	4806456732	19073241	252	2573		https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR9593306/SRR9593306	SRX6359047	7-Testis_WT	RNA-Seq	RANDOM	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 2000	SRP211903	PRJNA550414		550414	SRS5021658	SAMN12130830	simple	8030	Salmo salar	7-Testis_WT					male		no					INSTITUTE OF MARINE RESEARCH	SRA913158		public	B907A364C3058C717661821013B6426D	D75E0E96405F2E2B536F4020EE2EC3C2
SRR9593303	2019-06-28 12:33:28	2019-06-28 12:17:36	38163991	6656021316	14661575	174	4175		https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR9593303/SRR9593303	SRX6359050	5-Testis_GCF	RNA-Seq	RANDOM	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 2000	SRP211903	PRJNA550414		550414	SRS5021661	SAMN12130827	simple	8030	Salmo salar	5-Testis_GCF					male		no					INSTITUTE OF MARINE RESEARCH	SRA913158		public	69C6877211A3D6586CF959E0223F435B	4E623CCD4D6D1E2DD58A7D219C30EA51
SRR9593302	2019-06-25 08:43:22	2019-06-25 08:27:51	37927361	9557694972	37927361	252	5043		https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR9593302/SRR9593302	SRX6359051	4-Testis_GCF	RNA-Seq	RANDOM	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 2000	SRP211903	PRJNA550414		550414	SRS5021662	SAMN12130826	simple	8030	Salmo salar	4-Testis_GCF					male		no					INSTITUTE OF MARINE RESEARCH	SRA913158		public	97DBD504917CC57A262515E737794B88	5B5D5076101AAAF8971BC0C9AF8DC16A
SRR9593301	2019-06-25 08:44:18	2019-06-25 08:21:50	23708506	5974543512	23708506	252	3119		https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR9593301/SRR9593301	SRX6359052	3-Testis_GCF	RNA-Seq	RANDOM	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 2000	SRP211903	PRJNA550414		550414	SRS5021663	SAMN12130825	simple	8030	Salmo salar	3-Testis_GCF					male		no					INSTITUTE OF MARINE RESEARCH	SRA913158		public	321B117B9BAA30461F8CA6FA4BE29D05	2235A55FE06EC788F157ADD1DD371A54
SRR8479244	2019-01-23 18:47:14	2019-01-23 18:43:00	42578224	8600801248	42578224	202	5333		https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR8479244/SRR8479244	SRX5284095	G1LF-2383	RNA-Seq	RANDOM	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 2000	SRP181697	PRJNA380580		380580	SRS4283813	SAMN10795734	simple	8030	Salmo salar	G1LF-2383					male		no					INSTITUTE OF MARINE RESEARCH	SRA838364		public	ED3BB931AD8C6D1F11AE9566F9BFFDF7	C56A5F0F4EBFE75F1243DDD50E7E99C4
SRR8479249	2019-01-23 18:54:14	2019-01-23 18:48:51	43717425	8830919850	43717425	202	5511		https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR8479249/SRR8479249	SRX5284090	G1LF-2418	RNA-Seq	RANDOM	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 2000	SRP181697	PRJNA380580		380580	SRS4283808	SAMN10795735	simple	8030	Salmo salar	G1LF-2418					male		no					INSTITUTE OF MARINE RESEARCH	SRA838364		public	7135BCA7EFA134B2455B7ABF5175CAB4	9842D77A8EAFDB1AEC7CF7D24B21E45F
SRR8479250	2019-01-23 18:42:14	2019-01-23 18:40:12	37247148	7523923896	37247148	202	4664		https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR8479250/SRR8479250	SRX5284089	G1LF-2421	RNA-Seq	RANDOM	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 2000	SRP181697	PRJNA380580		380580	SRS4283807	SAMN10795736	simple	8030	Salmo salar	G1LF-2421					male		no					INSTITUTE OF MARINE RESEARCH	SRA838364		public	B9A75CCC2495AF4B94D7B30C4DE03F54	D43067BA7CD68C452425A7661FC18006
