Run	ReleaseDate	LoadDate	spots	bases	spots_with_mates	avgLength	size_MB	AssemblyName	download_path	Experiment	LibraryName	LibraryStrategy	LibrarySelection	LibrarySource	LibraryLayout	InsertSize	InsertDev	Platform	Model	SRAStudy	BioProject	Study_Pubmed_id	ProjectID	Sample	BioSample	SampleType	TaxID	ScientificName	SampleName	g1k_pop_code	source	g1k_analysis_group	Subject_ID	Sex	Disease	Tumor	Affection_Status	Analyte_Type	Histological_Type	Body_Site	CenterName	Submission	dbgap_study_accession	Consent	RunHash	ReadHash
ERR10016943	2022-08-07 22:16:33	2022-08-09 06:49:02	36472562	11014713724	36472562	302	4558	NA	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos2/sra-pub-zq-20/ERR010/10016/ERR10016943/ERR10016943.lite.1	ERX9557640	DN693709N:B2	RNA-Seq	PolyA	TRANSCRIPTOMIC	PAIRED	200	0	ILLUMINA	Illumina HiSeq 4000	ERP120854	PRJEB37529	NA	865629	ERS5134198	SAMEA7375756	simple	6184	Schistosoma bovis	SAMEA7375756	NA	NA	NA	NA		NA	no	NA	NA	NA	NA	WELLCOME SANGER INSTITUTE	ERA16763547	NA	public	8D7B0A9B836B44773136B312559B2D98	982A23AE39C194694EBC99C7E5704AA2
ERR10016944	2022-08-07 22:16:33	2022-08-10 06:04:08	25486351	7696878002	25486351	302	3137	NA	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos1/sra-pub-zq-38/ERR010/10016/ERR10016944/ERR10016944.lite.1	ERX9557641	DN693709N:D2	RNA-Seq	PolyA	TRANSCRIPTOMIC	PAIRED	200	0	ILLUMINA	Illumina HiSeq 4000	ERP120854	PRJEB37529	NA	865629	ERS5134199	SAMEA7375757	simple	6184	Schistosoma bovis	SAMEA7375757	NA	NA	NA	NA		NA	no	NA	NA	NA	NA	WELLCOME SANGER INSTITUTE	ERA16763547	NA	public	FDE118945298FEF8E0BB63EAA4E17EF9	82F0A741957ACC2C54DF0B597DAAAAF7
SRR7867966	2019-09-27 00:46:30	2018-09-18 05:49:50	28866557	5773311400	28866557	200	2167	NA	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-16/SRR007/867/SRR7867966.sralite.1	SRX4707157	sb_f_he_1	RNA-Seq	Oligo-dT	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 4000	SRP161986	PRJNA491632	NA	491632	SRS3792877	SAMN10081077	simple	6184	Schistosoma bovis	Schistosoma bovis female (heterospecific pairing) replicate 1	NA	NA	NA	NA	female	NA	no	NA	NA	NA	NA	UNIVERSITY OF PERPIGNAN VIA DOMITIA	SRA777446	NA	public	99C784240914D144DE68F71C81B78041	8EDC096B1F146D9BEDDEEE91DBC63418
SRR7867967	2019-09-27 00:46:30	2018-09-18 05:48:46	26487124	5297424800	26487124	200	2050	NA	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-zq-22/SRR007/867/SRR7867967.sralite.1	SRX4707156	sb_f_he_2	RNA-Seq	Oligo-dT	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 4000	SRP161986	PRJNA491632	NA	491632	SRS3792876	SAMN10081078	simple	6184	Schistosoma bovis	Schistosoma bovis female (heterospecific pairing) replicate 2	NA	NA	NA	NA	female	NA	no	NA	NA	NA	NA	UNIVERSITY OF PERPIGNAN VIA DOMITIA	SRA777446	NA	public	260865872FDFC4A858C038EA22E5CBB4	6FF1FBAF409DB485262109CF666FC70A
SRR12095626	2020-06-26 06:07:35	2020-06-26 06:04:58	27521016	5504203200	27521016	200	2071	NA	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-zq-24/SRR012/12095/SRR12095626/SRR12095626.lite.1	SRX8621456	sb_f_he_3	RNA-Seq	Oligo-dT	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 4000	SRP161986	PRJNA491632	NA	491632	SRS6910279	SAMN15375401	simple	6184	Schistosoma bovis	Schistosoma bovis female (heterospecific pairing) replicate 3	NA	NA	NA	NA	female	NA	no	NA	NA	NA	NA	UNIVERSITY OF PERPIGNAN VIA DOMITIA	SRA1091363	NA	public	2E801E659F4A5CC81A2451D39B00E486	D3A2BB13B00790543E7AD0EDF6B01F7E
SRR7867973	2019-09-27 00:46:29	2018-09-18 05:51:34	29923046	5984609200	29923046	200	2241	NA	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-16/SRR007/867/SRR7867973.sralite.1	SRX4707150	sb_f_ho_1	RNA-Seq	Oligo-dT	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 4000	SRP161986	PRJNA491632	NA	491632	SRS3792870	SAMN10081088	simple	6184	Schistosoma bovis	Schistosoma bovis female (homospecific pairing) replicate 1	NA	NA	NA	NA	female	NA	no	NA	NA	NA	NA	UNIVERSITY OF PERPIGNAN VIA DOMITIA	SRA777446	NA	public	B82198237DEE197B6B892393CDF3D03E	F071DB3FD1201AC68FCA4F32C6FC34EC
SRR7867968	2019-09-27 00:46:30	2018-09-18 05:49:57	32310467	6462093400	32310467	200	2409	NA	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-16/SRR007/867/SRR7867968.sralite.1	SRX4707155	sb_f_ho_2	RNA-Seq	Oligo-dT	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 4000	SRP161986	PRJNA491632	NA	491632	SRS3792875	SAMN10081089	simple	6184	Schistosoma bovis	Schistosoma bovis female (homospecific pairing) replicate 2	NA	NA	NA	NA	female	NA	no	NA	NA	NA	NA	UNIVERSITY OF PERPIGNAN VIA DOMITIA	SRA777446	NA	public	EC917B52B3CA0FB81A2B5441B4E2B0C6	D96048ACE9628D85BEF9266779D13A82
SRR7867969	2019-09-27 00:46:30	2018-09-18 05:52:28	33423222	6684644400	33423222	200	2524	NA	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-zq-22/SRR007/867/SRR7867969.sralite.1	SRX4707154	sb_f_ho_3	RNA-Seq	Oligo-dT	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 4000	SRP161986	PRJNA491632	NA	491632	SRS3792874	SAMN10081090	simple	6184	Schistosoma bovis	Schistosoma bovis female (homospecific pairing) replicate 3	NA	NA	NA	NA	female	NA	no	NA	NA	NA	NA	UNIVERSITY OF PERPIGNAN VIA DOMITIA	SRA777446	NA	public	D5E766237C9E49026527D3309306DC6B	A9723BDF9724D655F8459888374E77A0
SRR7867960	2019-09-27 00:46:30	2018-09-18 05:52:37	35452508	7090501600	35452508	200	2671	NA	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-zq-22/SRR007/867/SRR7867960.sralite.1	SRX4707163	sb_m_he_1	RNA-Seq	Oligo-dT	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 4000	SRP161986	PRJNA491632	NA	491632	SRS3792883	SAMN10081071	simple	6184	Schistosoma bovis	Schistosoma bovis male (heterospecific pairing) replicate 1	NA	NA	NA	NA	male	NA	no	NA	NA	NA	NA	UNIVERSITY OF PERPIGNAN VIA DOMITIA	SRA777446	NA	public	41BC2D4FA534906752164E407D20AE5B	925A29933887CB793EEA52843854AF47
SRR7867961	2019-09-27 00:46:30	2018-09-18 05:49:06	29653984	5930796800	29653984	200	2225	NA	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-zq-22/SRR007/867/SRR7867961.sralite.1	SRX4707162	sb_m_he_2	RNA-Seq	Oligo-dT	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 4000	SRP161986	PRJNA491632	NA	491632	SRS3792882	SAMN10081072	simple	6184	Schistosoma bovis	Schistosoma bovis male (heterospecific pairing) replicate 2	NA	NA	NA	NA	male	NA	no	NA	NA	NA	NA	UNIVERSITY OF PERPIGNAN VIA DOMITIA	SRA777446	NA	public	E557660C1E712912F985F6A738DA1C55	A0D7BE586783F40B267051C51988BF12
