Run	ReleaseDate	LoadDate	spots	bases	spots_with_mates	avgLength	size_MB	AssemblyName	download_path	Experiment	LibraryName	LibraryStrategy	LibrarySelection	LibrarySource	LibraryLayout	InsertSize	InsertDev	Platform	Model	SRAStudy	BioProject	Study_Pubmed_id	ProjectID	Sample	BioSample	SampleType	TaxID	ScientificName	SampleName	g1k_pop_code	source	g1k_analysis_group	Subject_ID	Sex	Disease	Tumor	Affection_Status	Analyte_Type	Histological_Type	Body_Site	CenterName	Submission	dbgap_study_accession	Consent	RunHash	ReadHash
ERR10016935	2022-08-07 22:16:33	2022-08-10 06:02:38	18121645	5472736790	18121645	302	2346	NA	https://sra-pub-run-odp.s3.amazonaws.com/sra/ERR10016935/ERR10016935	ERX9557632	DN693709N:B1	RNA-Seq	PolyA	TRANSCRIPTOMIC	PAIRED	200	0	ILLUMINA	Illumina HiSeq 4000	ERP120854	PRJEB37529	NA	865629	ERS5134190	SAMEA7375748	simple	6185	Schistosoma haematobium	SAMEA7375748	NA	NA	NA	NA		NA	no	NA	NA	NA	NA	WELLCOME SANGER INSTITUTE	ERA16763547	NA	public	AEBDCC76692C7FA86EAA39351D57AA2F	BF0999D66D97F5ED53DB8E319692D4B2
ERR10016938	2022-08-07 22:16:33	2022-08-10 06:07:12	34399863	10388758626	34399863	302	4243	NA	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos1/sra-pub-zq-38/ERR010/10016/ERR10016938/ERR10016938.lite.1	ERX9557635	DN693709N:E1	RNA-Seq	PolyA	TRANSCRIPTOMIC	PAIRED	200	0	ILLUMINA	Illumina HiSeq 4000	ERP120854	PRJEB37529	NA	865629	ERS5134194	SAMEA7375752	simple	6185	Schistosoma haematobium	SAMEA7375752	NA	NA	NA	NA		NA	no	NA	NA	NA	NA	WELLCOME SANGER INSTITUTE	ERA16763547	NA	public	F68C5AC7FB7C0A2DE181FE1D2B3FAB1D	8FE2D0163A57AE1AF2A25ECE3F7557E1
ERR10016940	2022-08-07 22:16:33	2022-08-09 03:32:56	31987064	9660093328	31987064	302	3812	NA	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-zq-24/ERR010/10016/ERR10016940/ERR10016940.lite.1	ERX9557637	DN693709N:G1	RNA-Seq	PolyA	TRANSCRIPTOMIC	PAIRED	200	0	ILLUMINA	Illumina HiSeq 4000	ERP120854	PRJEB37529	NA	865629	ERS5134195	SAMEA7375753	simple	6185	Schistosoma haematobium	SAMEA7375753	NA	NA	NA	NA		NA	no	NA	NA	NA	NA	WELLCOME SANGER INSTITUTE	ERA16763547	NA	public	E35D0E3F170DB2843A86D3CD1DF646D2	068891687A1BEE950439060582478118
SRR6655495	2018-01-30 21:29:12	2018-01-30 20:38:29	13083692	1936386416	13083692	148	772	NA	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/SRR006/655/SRR6655495/SRR6655495.sralite.1	SRX3632879	SHAE_mRNA_female	RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina Genome Analyzer II	SRP011039	PRJNA78265	2	78265	SRS2899609	SAMN08442091	simple	6185	Schistosoma haematobium	Schistosoma haematobium RNA adult female	NA	NA	NA	NA	female	NA	no	NA	NA	NA	NA	THE UNIVERSITY OF MELBOURNE	SRA654066	NA	public	853EE3A3EE44805F6677D5EC53DE4E35	19552DAEBAB5B0240F69157E569B2CD6
SRR6655497	2018-01-30 21:43:12	2018-01-30 20:39:37	15296788	2263924624	15296788	148	871	NA	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-14/SRR006/655/SRR6655497.sralite.1	SRX3632877	SHAE_mRNA_male	RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina Genome Analyzer II	SRP011039	PRJNA78265	2	78265	SRS2899608	SAMN08442090	simple	6185	Schistosoma haematobium	Schistosoma haematobium RNA adult male	NA	NA	NA	NA	male	NA	no	NA	NA	NA	NA	THE UNIVERSITY OF MELBOURNE	SRA654066	NA	public	9779769A1EC02D05F0703C2AA85B7298	1FC7603A3925C8D49CAE70724776A680
SRR6655493	2018-01-30 21:56:12	2018-01-30 20:47:25	11601221	2297041758	11601221	198	1155	NA	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-14/SRR006/655/SRR6655493.sralite.1	SRX3632881	SHAE_mRNA_egg	RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina Genome Analyzer II	SRP011039	PRJNA78265	2	78265	SRS2899610	SAMN08442092	simple	6185	Schistosoma haematobium	Schistosoma haematobium RNA egg	NA	NA	NA	NA		NA	no	NA	NA	NA	NA	THE UNIVERSITY OF MELBOURNE	SRA654066	NA	public	876D323341EC84A785237370198FB67B	EDC5F1B1095D1516F3321B4A8197C4B3
SRR15400748	2022-05-18 12:36:19	2021-08-10 19:11:32	16874835	4893702150	16874835	290	1773	NA	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos1/sra-pub-zq-38/SRR015/15400/SRR15400748/SRR15400748.lite.1	SRX11702965	Egg1084	RNA-Seq	Oligo-dT	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 4000	SRP011039	PRJNA78265	2	78265	SRS9734483	SAMN20692200	simple	6185	Schistosoma haematobium	Schistosoma haematobium eggs isolated from urine of infected school children	NA	NA	NA	NA		NA	no	NA	NA	NA	NA	THE UNIVERSITY OF MELBOURNE	SRA1275063	NA	public	8C6EF4680F0FC8F4ACA1C50D4BB543F9	395C393A1FF4B264131B1AEAA9F14031
SRR15400768	2022-05-18 12:36:20	2021-08-10 19:11:56	13256598	3844413420	13256598	290	1359	NA	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos1/sra-pub-zq-38/SRR015/15400/SRR15400768/SRR15400768.lite.1	SRX11702966	Egg1078	RNA-Seq	Oligo-dT	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 4000	SRP011039	PRJNA78265	2	78265	SRS9734483	SAMN20692200	simple	6185	Schistosoma haematobium	Schistosoma haematobium eggs isolated from urine of infected school children	NA	NA	NA	NA		NA	no	NA	NA	NA	NA	THE UNIVERSITY OF MELBOURNE	SRA1275063	NA	public	46FEE9D94C31D1696624BEE633A580A1	54476B9144178F0181EF15EB17336032
SRR15400769	2022-05-18 12:36:20	2021-08-10 19:13:02	17324504	5024106160	17324504	290	1795	NA	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos1/sra-pub-zq-38/SRR015/15400/SRR15400769/SRR15400769.lite.1	SRX11702964	Egg1109	RNA-Seq	Oligo-dT	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 4000	SRP011039	PRJNA78265	2	78265	SRS9734483	SAMN20692200	simple	6185	Schistosoma haematobium	Schistosoma haematobium eggs isolated from urine of infected school children	NA	NA	NA	NA		NA	no	NA	NA	NA	NA	THE UNIVERSITY OF MELBOURNE	SRA1275063	NA	public	DFA645C4CC40354505B4D2D8EE525859	E1A6B98EB38EA7E2200D77E6D75CA5BF
SRR15400753	2022-05-18 12:36:19	2021-08-10 19:11:12	8210821	2463246300	8210821	300	928	NA	https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR15400753/SRR15400753	SRX11702981	C1	RNA-Seq	Oligo-dT	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	NextSeq 500	SRP011039	PRJNA78265	2	78265	SRS9734487	SAMN20692193	simple	6185	Schistosoma haematobium	Schistosoma haematobium mRNA cercariae	NA	NA	NA	NA		NA	no	NA	NA	NA	NA	THE UNIVERSITY OF MELBOURNE	SRA1275063	NA	public	C94CED8A87557526A7D7042E14A35390	834E6C058BD12ADC108CEB6C35F52830
