Run	ReleaseDate	LoadDate	spots	bases	spots_with_mates	avgLength	size_MB	AssemblyName	download_path	Experiment	LibraryName	LibraryStrategy	LibrarySelection	LibrarySource	LibraryLayout	InsertSize	InsertDev	Platform	Model	SRAStudy	BioProject	Study_Pubmed_id	ProjectID	Sample	BioSample	SampleType	TaxID	ScientificName	SampleName	g1k_pop_code	source	g1k_analysis_group	Subject_ID	Sex	Disease	Tumor	Affection_Status	Analyte_Type	Histological_Type	Body_Site	CenterName	Submission	dbgap_study_accession	Consent	RunHash	ReadHash
SRR17216454	2022-05-19 09:22:38	2021-12-13 14:31:22	71274785	21382435500	71274785	300	6382	NA	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos2/sra-pub-zq-20/SRR017/17216/SRR17216454/SRR17216454.lite.1	SRX13396273	NA	RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	NextSeq 550	SRP350516	PRJNA788430	3	788430	SRS11299434	SAMN23970859	simple	30640	Sciurus carolinensis	GSM5730870	NA	NA	NA	NA		NA	no	NA	NA	NA	NA	GEO	SRA1342397	NA	public	45BA656A31A1050C247AE277BF090548	A9828744C2C528B5EDE03F974803BF7A
SRR17216455	2022-05-19 09:22:38	2021-12-13 14:28:02	77319236	23195770800	77319236	300	7019	NA	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos2/sra-pub-zq-20/SRR017/17216/SRR17216455/SRR17216455.lite.1	SRX13396274	NA	RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	NextSeq 550	SRP350516	PRJNA788430	3	788430	SRS11299435	SAMN23970860	simple	30640	Sciurus carolinensis	GSM5730871	NA	NA	NA	NA		NA	no	NA	NA	NA	NA	GEO	SRA1342397	NA	public	9174420A46A7812445D3E116FD829E92	2D6F52364A56192804498463D540177E
SRR17216456	2022-05-19 09:22:38	2021-12-13 13:25:17	57866300	17359890000	57866300	300	5198	NA	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos2/sra-pub-zq-20/SRR017/17216/SRR17216456/SRR17216456.lite.1	SRX13396275	NA	RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	NextSeq 550	SRP350516	PRJNA788430	3	788430	SRS11299436	SAMN23970861	simple	30640	Sciurus carolinensis	GSM5730872	NA	NA	NA	NA		NA	no	NA	NA	NA	NA	GEO	SRA1342397	NA	public	EF304B0FFAB3C2ACC175C5C675BFB049	F9E64DB8BED34945AF29A71FD2FE01E7
SRR17216457	2022-05-19 09:22:38	2021-12-13 14:21:07	69462047	20838614100	69462047	300	6299	NA	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-zq-24/SRR017/17216/SRR17216457/SRR17216457.lite.1	SRX13396276	NA	RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	NextSeq 550	SRP350516	PRJNA788430	3	788430	SRS11299437	SAMN23970862	simple	30640	Sciurus carolinensis	GSM5730873	NA	NA	NA	NA		NA	no	NA	NA	NA	NA	GEO	SRA1342397	NA	public	B2B27338D48CFBDC5E9FD93656AC8141	79C33073E0E7328EFB6B4E20B07F2D9F
SRR17216458	2022-05-19 09:22:38	2021-12-13 14:25:06	70581449	21174434700	70581449	300	6399	NA	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos2/sra-pub-zq-20/SRR017/17216/SRR17216458/SRR17216458.lite.1	SRX13396277	NA	RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	NextSeq 550	SRP350516	PRJNA788430	3	788430	SRS11299438	SAMN23970863	simple	30640	Sciurus carolinensis	GSM5730874	NA	NA	NA	NA		NA	no	NA	NA	NA	NA	GEO	SRA1342397	NA	public	694AA8861C47C1C3D0ED9326A3BB4942	3C5F0DAFDD982DD7789D749AF41EF836
SRR17216459	2022-05-19 09:22:38	2021-12-13 14:32:54	85648280	25694484000	85648280	300	7726	NA	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-zq-24/SRR017/17216/SRR17216459/SRR17216459.lite.1	SRX13396279	NA	RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	NextSeq 550	SRP350516	PRJNA788430	3	788430	SRS11299440	SAMN23970864	simple	30640	Sciurus carolinensis	GSM5730875	NA	NA	NA	NA		NA	no	NA	NA	NA	NA	GEO	SRA1342397	NA	public	8D8FA8D9DD321FFF131F1B6686F67A70	785593D968545D48ADF514CF2B3D1079
SRR17216460	2022-05-19 09:22:38	2021-12-13 14:29:17	70333838	21100151400	70333838	300	6343	NA	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos2/sra-pub-zq-20/SRR017/17216/SRR17216460/SRR17216460.lite.1	SRX13396280	NA	RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	NextSeq 550	SRP350516	PRJNA788430	3	788430	SRS11299441	SAMN23970865	simple	30640	Sciurus carolinensis	GSM5730876	NA	NA	NA	NA		NA	no	NA	NA	NA	NA	GEO	SRA1342397	NA	public	1197D3ABA023EB9D7CEB4D3D612AB99C	920840575566BEA7A35E3F1645C6D17F
SRR17216461	2022-05-19 09:22:35	2021-12-13 14:56:11	59166481	17749944300	59166481	300	5343	NA	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos1/sra-pub-zq-38/SRR017/17216/SRR17216461/SRR17216461.lite.1	SRX13396041	NA	RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	NextSeq 550	SRP350516	PRJNA788430	3	788430	SRS11299202	SAMN23970866	simple	30640	Sciurus carolinensis	GSM5730877	NA	NA	NA	NA		NA	no	NA	NA	NA	NA	GEO	SRA1342397	NA	public	6116DCABAD47C868B11CA513B5898D68	84B0212C18EA1445A476A94D13E2834C
SRR17216462	2022-05-19 09:22:35	2021-12-13 14:40:38	66396935	19919080500	66396935	300	6004	NA	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos1/sra-pub-zq-38/SRR017/17216/SRR17216462/SRR17216462.lite.1	SRX13396042	NA	RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	NextSeq 550	SRP350516	PRJNA788430	3	788430	SRS11299203	SAMN23970867	simple	30640	Sciurus carolinensis	GSM5730878	NA	NA	NA	NA		NA	no	NA	NA	NA	NA	GEO	SRA1342397	NA	public	A7FFF05AE0E8A6FDB6C5D35AACB88683	BBC9AEC9D6F43C11459126B19E845A08
SRR17216463	2022-05-19 09:22:35	2021-12-13 14:39:03	80456386	24136915800	80456386	300	7441	NA	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos2/sra-pub-zq-20/SRR017/17216/SRR17216463/SRR17216463.lite.1	SRX13396043	NA	RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	NextSeq 550	SRP350516	PRJNA788430	3	788430	SRS11299204	SAMN23970868	simple	30640	Sciurus carolinensis	GSM5730879	NA	NA	NA	NA		NA	no	NA	NA	NA	NA	GEO	SRA1342397	NA	public	1BD6D4290FF4FF6A50C9E598D62C2831	4C61CF5F140E4F4E69828F0A711BF71F
