Run	ReleaseDate	LoadDate	spots	bases	spots_with_mates	avgLength	size_MB	AssemblyName	download_path	Experiment	LibraryName	LibraryStrategy	LibrarySelection	LibrarySource	LibraryLayout	InsertSize	InsertDev	Platform	Model	SRAStudy	BioProject	Study_Pubmed_id	ProjectID	Sample	BioSample	SampleType	TaxID	ScientificName	SampleName	g1k_pop_code	source	g1k_analysis_group	Subject_ID	Sex	Disease	Tumor	Affection_Status	Analyte_Type	Histological_Type	Body_Site	CenterName	Submission	dbgap_study_accession	Consent	RunHash	ReadHash
ERR6910723	2021-10-06 23:18:57	2021-11-17 18:01:02	32490077	9747023100	32490077	300	3008		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos4/sra-pub-zq-1/ERR006/6910/ERR6910723/ERR6910723.lite.1	ERX6532992	G6320504	RNA-Seq	PolyA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina NovaSeq 6000	ERP132253	PRJEB47933	NA	769378	ERS7926274	SAMEA9267988	simple	52904	Scophthalmus maximus	SAMEA9267988	NA	NA	NA	NA		NA	no	NA	NA	NA	NA	Novogene UK	ERA6546563	NA	public	EF32BC26FE1FDC4BD5D2B089FE368E2E	A2934D0EBE22A64003FE7DABFAC97E44
ERR6910724	2021-10-06 23:18:57	2021-10-16 17:03:20	33585142	10075542600	33585142	300	3039		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos1/sra-pub-zq-38/ERR006/6910/ERR6910724/ERR6910724.lite.1	ERX6532993	G6320506	RNA-Seq	PolyA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina NovaSeq 6000	ERP132253	PRJEB47933	NA	769378	ERS7926275	SAMEA9267987	simple	52904	Scophthalmus maximus	SAMEA9267987	NA	NA	NA	NA		NA	no	NA	NA	NA	NA	Novogene UK	ERA6546563	NA	public	74BAFE41CF40D45C48F0A2443B96957E	561BC5AC31A10B9142BA205270DE02A8
ERR6910725	2021-10-06 23:18:57	2021-10-16 16:54:06	32946273	9883881900	32946273	300	3063		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos1/sra-pub-zq-38/ERR006/6910/ERR6910725/ERR6910725.lite.1	ERX6532994	G6320507	RNA-Seq	PolyA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina NovaSeq 6000	ERP132253	PRJEB47933	NA	769378	ERS7926279	SAMEA9267984	simple	52904	Scophthalmus maximus	SAMEA9267984	NA	NA	NA	NA		NA	no	NA	NA	NA	NA	Novogene UK	ERA6546563	NA	public	518396F088DE0367C844B235F9A5AAC5	EFCEEB406A8B8238E8B297C0AA0A1F8B
ERR6910730	2021-10-06 23:18:57	2021-11-17 17:56:42	33727421	10118226300	33727421	300	3164		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos4/sra-pub-zq-1/ERR006/6910/ERR6910730/ERR6910730.lite.1	ERX6532999	G6340707	RNA-Seq	PolyA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina NovaSeq 6000	ERP132253	PRJEB47933	NA	769378	ERS7926353	SAMEA9268005	simple	52904	Scophthalmus maximus	SAMEA9268005	NA	NA	NA	NA		NA	no	NA	NA	NA	NA	Novogene UK	ERA6546563	NA	public	69C4E08E58D21704FD9591753AB6A81C	5290D0B6E1AA7DEF6E6993A5DDBC2AB5
ERR6910729	2021-10-06 23:18:57	2021-11-17 17:53:18	31484850	9445455000	31484850	300	2872		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos4/sra-pub-zq-1/ERR006/6910/ERR6910729/ERR6910729.lite.1	ERX6532998	G6340706	RNA-Seq	PolyA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina NovaSeq 6000	ERP132253	PRJEB47933	NA	769378	ERS7926367	SAMEA9268008	simple	52904	Scophthalmus maximus	SAMEA9268008	NA	NA	NA	NA		NA	no	NA	NA	NA	NA	Novogene UK	ERA6546563	NA	public	2FCB7EA25C94C45100AC36E299EEF791	C99E32C3FB6C1375088C49C769F77D26
ERR6910731	2021-10-06 23:18:57	2021-10-16 17:05:46	33418263	10025478900	33418263	300	3116		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos1/sra-pub-zq-38/ERR006/6910/ERR6910731/ERR6910731.lite.1	ERX6533000	G6340807	RNA-Seq	PolyA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina NovaSeq 6000	ERP132253	PRJEB47933	NA	769378	ERS7926384	SAMEA9268012	simple	52904	Scophthalmus maximus	SAMEA9268012	NA	NA	NA	NA		NA	no	NA	NA	NA	NA	Novogene UK	ERA6546563	NA	public	0041FF151C19EF369F99ACE1F21E097F	D4F6C5D4E4D092A264AB1915E9FB8032
SRR17013848	2021-11-23 06:55:07	2021-11-23 06:51:17	25558105	7667431500	25558105	300	2386		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos1/sra-pub-zq-38/SRR017/17013/SRR17013848/SRR17013848.lite.1	SRX13203973	TSV3_2	RNA-Seq	RANDOM	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 2500	SRP347383	PRJNA781353	NA	781353	SRS11130278	SAMN23245951	simple	52904	Scophthalmus maximus	RBIV infected turbot	NA	NA	NA	NA	male and female	NA	no	NA	NA	NA	NA	YANTAI UNIVERSITY	SRA1333192	NA	public	20903D2E3340145A54FF1C7A9C15A8B7	87E2F766F9115BD11AF6309803B46484
SRR17013849	2021-11-23 07:00:45	2021-11-23 06:55:55	34655288	10396586400	34655288	300	3139		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos1/sra-pub-zq-38/SRR017/17013/SRR17013849/SRR17013849.lite.1	SRX13203972	TSC3_2	RNA-Seq	RANDOM	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 2500	SRP347383	PRJNA781353	NA	781353	SRS11130278	SAMN23245951	simple	52904	Scophthalmus maximus	RBIV infected turbot	NA	NA	NA	NA	male and female	NA	no	NA	NA	NA	NA	YANTAI UNIVERSITY	SRA1333192	NA	public	F9CC754AE4356695A995CFC20709EA0A	7F56A15A9D117E5908DEAF7E9BEAFFE4
SRR17013850	2021-11-23 07:06:29	2021-11-23 06:56:04	30256135	9076840500	30256135	300	2767		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos2/sra-pub-zq-20/SRR017/17013/SRR17013850/SRR17013850.lite.1	SRX13203971	TSC3_1	RNA-Seq	RANDOM	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 2500	SRP347383	PRJNA781353	NA	781353	SRS11130278	SAMN23245951	simple	52904	Scophthalmus maximus	RBIV infected turbot	NA	NA	NA	NA	male and female	NA	no	NA	NA	NA	NA	YANTAI UNIVERSITY	SRA1333192	NA	public	AA438F5322DFBC493074CB6899E93CE2	DD335C9221B5303D606F3E68B587E8B2
SRR17013851	2021-11-23 06:51:43	2021-11-23 06:49:36	26880393	8064117900	26880393	300	2420		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos4/sra-pub-zq-1/SRR017/17013/SRR17013851/SRR17013851.lite.1	SRX13203970	TSV3_1	RNA-Seq	RANDOM	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 2500	SRP347383	PRJNA781353	NA	781353	SRS11130278	SAMN23245951	simple	52904	Scophthalmus maximus	RBIV infected turbot	NA	NA	NA	NA	male and female	NA	no	NA	NA	NA	NA	YANTAI UNIVERSITY	SRA1333192	NA	public	50C5D11B12EFA0FED5CB9F7292C37359	957B8F86FC47C804931650FBD7246596
