Run	ReleaseDate	LoadDate	spots	bases	spots_with_mates	avgLength	size_MB	AssemblyName	download_path	Experiment	LibraryName	LibraryStrategy	LibrarySelection	LibrarySource	LibraryLayout	InsertSize	InsertDev	Platform	Model	SRAStudy	BioProject	Study_Pubmed_id	ProjectID	Sample	BioSample	SampleType	TaxID	ScientificName	SampleName	g1k_pop_code	source	g1k_analysis_group	Subject_ID	Sex	Disease	Tumor	Affection_Status	Analyte_Type	Histological_Type	Body_Site	CenterName	Submission	dbgap_study_accession	Consent	RunHash	ReadHash
SRR4046067	2017-12-06 17:59:13	2016-08-23 16:51:34	75651632	7565163200	75651632	100	5074		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/SRR004/046/SRR4046067.sralite.1	SRX2036929		RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 2500	SRP082468	PRJNA339646		339646	SRS1630739	SAMN05601449	simple	1841481	Seriola lalandi dorsalis	GSM2286682							no					GEO	SRA453744		public	C029A3EB5D6480ED344B17846C7C8131	B852718D61C16A36592901B4138DC30C
SRR4046068	2017-12-06 17:59:13	2016-08-23 16:32:59	16221076	1622107600	16221076	100	1158		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/SRR404/6068/SRR4046068.sralite.1	SRX2036930		RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 2500	SRP082468	PRJNA339646		339646	SRS1630741	SAMN05601448	simple	1841481	Seriola lalandi dorsalis	GSM2286683							no					GEO	SRA453744		public	0D65AAC6300370A351D90654F3739D09	B2E40E2658878D53E8170BA4AB0EEA46
SRR4046069	2017-12-06 17:59:13	2016-08-23 16:41:30	24772064	2477206400	24772064	100	1772		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/SRR004/046/SRR4046069.sralite.1	SRX2036931		RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 2500	SRP082468	PRJNA339646		339646	SRS1630740	SAMN05601447	simple	1841481	Seriola lalandi dorsalis	GSM2286684							no					GEO	SRA453744		public	20BA122EFC55BD022AEC0BDA02479F37	0D131A135B9C9D2278D29797E23A74D2
SRR4046070	2017-12-06 17:59:13	2016-08-23 16:35:29	20236938	2023693800	20236938	100	1362		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/SRR004/046/SRR4046070.sralite.1	SRX2036932		RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 2500	SRP082468	PRJNA339646		339646	SRS1630742	SAMN05601446	simple	1841481	Seriola lalandi dorsalis	GSM2286685							no					GEO	SRA453744		public	62C5F77779FDEBB3F918D5F30F7B84AA	7683679249C45DCF86E1AE057964031D
SRR4046071	2017-12-06 17:59:13	2016-08-23 16:41:06	36752606	3675260600	36752606	100	2615		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/SRR004/046/SRR4046071.sralite.1	SRX2036933		RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 2500	SRP082468	PRJNA339646		339646	SRS1630743	SAMN05601463	simple	1841481	Seriola lalandi dorsalis	GSM2286686							no					GEO	SRA453744		public	AA39B814DC95C7D2AE7B9B319A171781	B40EF42BCA795C06195EB27D65A552F8
SRR4046072	2017-12-06 17:59:13	2016-08-23 16:35:23	25476947	2547694700	25476947	100	1820		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/SRR004/046/SRR4046072.sralite.1	SRX2036934		RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 2500	SRP082468	PRJNA339646		339646	SRS1630744	SAMN05601462	simple	1841481	Seriola lalandi dorsalis	GSM2286687							no					GEO	SRA453744		public	92521A443920A77A29E92A1CEA365B2D	6529BE809424B0E82FFB024252961AD3
SRR4046073	2017-12-06 17:59:13	2016-08-23 16:34:59	23475706	2347570600	23475706	100	1570		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/SRR004/046/SRR4046073.sralite.1	SRX2036935		RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 2500	SRP082468	PRJNA339646		339646	SRS1630745	SAMN05601461	simple	1841481	Seriola lalandi dorsalis	GSM2286688							no					GEO	SRA453744		public	B3A1A10B1A497F01BB73AD6F940F7441	AA6290007A67FAD4E345FEA8384B8556
SRR4046074	2017-12-06 17:59:13	2016-08-23 16:31:46	8272326	827232600	8272326	100	592		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/SRR404/6074/SRR4046074.sralite.1	SRX2036936		RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 2500	SRP082468	PRJNA339646		339646	SRS1630746	SAMN05601460	simple	1841481	Seriola lalandi dorsalis	GSM2286689							no					GEO	SRA453744		public	DD2A3FE42FB5E701FCFE250B79056116	DC0D55F2A01103A1CBF30D18FD772CEE
SRR4046075	2017-12-06 17:59:13	2016-08-23 16:36:26	19011045	1901104500	19011045	100	1361		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/SRR004/046/SRR4046075.sralite.1	SRX2036937		RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 2500	SRP082468	PRJNA339646		339646	SRS1630747	SAMN05601459	simple	1841481	Seriola lalandi dorsalis	GSM2286690							no					GEO	SRA453744		public	6956E98B29856EB045434B76C223DA6B	85186480D77A2CDBAD18CA1EFCAB8A35
SRR4046076	2017-12-06 17:59:13	2016-08-23 16:38:42	29666535	2966653500	29666535	100	1987		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/SRR004/046/SRR4046076.sralite.1	SRX2036938		RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 2500	SRP082468	PRJNA339646		339646	SRS1630748	SAMN05601458	simple	1841481	Seriola lalandi dorsalis	GSM2286691							no					GEO	SRA453744		public	DBE7420812673A5E68F6247F048BC96E	1B55DC560BF3C7374F2EC767D3E990D3
