Run	ReleaseDate	LoadDate	spots	bases	spots_with_mates	avgLength	size_MB	AssemblyName	download_path	Experiment	LibraryName	LibraryStrategy	LibrarySelection	LibrarySource	LibraryLayout	InsertSize	InsertDev	Platform	Model	SRAStudy	BioProject	Study_Pubmed_id	ProjectID	Sample	BioSample	SampleType	TaxID	ScientificName	SampleName	g1k_pop_code	source	g1k_analysis_group	Subject_ID	Sex	Disease	Tumor	Affection_Status	Analyte_Type	Histological_Type	Body_Site	CenterName	Submission	dbgap_study_accession	Consent	RunHash	ReadHash
SRR11450752	2020-04-24 12:34:09	2020-03-31 00:42:58	72683739	21950489178	72683739	302	6796		https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR11450752/SRR11450752	SRX8028510	039774_11L	RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina NovaSeq 6000	SRP241501	PRJNA560942	3	560942	SRS6400982	SAMN14487840	simple	4556	Setaria viridis	ME034V_leaf							no					JOHNS HOPKINS UNIVERSITY APPLIED PHYSICS LABORATORY	SRA1060690		public	13A7FD96D9AB31F2EB0589006501D70B	B23801D1F363C6D004C68EC829226BCE
SRR11450746	2020-04-24 12:34:09	2020-03-31 00:24:16	56373899	17024917498	56373899	302	4970		https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR11450746/SRR11450746	SRX8028516	039780_9R	RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina NovaSeq 6000	SRP241501	PRJNA560942	3	560942	SRS6400983	SAMN14487842	simple	4556	Setaria viridis	ME034V_root							no					JOHNS HOPKINS UNIVERSITY APPLIED PHYSICS LABORATORY	SRA1060690		public	B2C41C0938EC8594663E1C5A358D970C	698A4DF931E93E6C7CA15F185A444F0C
SRR11450747	2020-04-24 12:34:09	2020-03-31 00:34:05	97208445	29356950390	97208445	302	8547		https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR11450747/SRR11450747	SRX8028515	039779_8R	RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina NovaSeq 6000	SRP241501	PRJNA560942	3	560942	SRS6400983	SAMN14487842	simple	4556	Setaria viridis	ME034V_root							no					JOHNS HOPKINS UNIVERSITY APPLIED PHYSICS LABORATORY	SRA1060690		public	B37F64298A002FAE8088E4C2CD3F5DC7	178A276EB9F5A8E367E15E6E05AC790C
SRR11450748	2020-04-24 12:34:09	2020-03-31 00:28:01	79658273	24056798446	79658273	302	7024		https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR11450748/SRR11450748	SRX8028514	039778_11S	RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina NovaSeq 6000	SRP241501	PRJNA560942	3	560942	SRS6400984	SAMN14487841	simple	4556	Setaria viridis	ME034V_shoot							no					JOHNS HOPKINS UNIVERSITY APPLIED PHYSICS LABORATORY	SRA1060690		public	E27E81E4B792DB0CEB52542D913C67A8	E31D59EDDD6EAE601A981454EF138ACD
SRR11450749	2020-04-24 12:34:09	2020-03-31 00:48:55	82875227	25028318554	82875227	302	7348		https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR11450749/SRR11450749	SRX8028513	039777_10S	RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina NovaSeq 6000	SRP241501	PRJNA560942	3	560942	SRS6400984	SAMN14487841	simple	4556	Setaria viridis	ME034V_shoot							no					JOHNS HOPKINS UNIVERSITY APPLIED PHYSICS LABORATORY	SRA1060690		public	63443B56BA4324430C789DC066896492	7BF8B521CB075465EBBB8191B5BED3DD
SRR11450750	2020-04-24 12:34:09	2020-03-31 00:47:01	60512151	18274669602	60512151	302	5330		https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR11450750/SRR11450750	SRX8028512	039776_9S	RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina NovaSeq 6000	SRP241501	PRJNA560942	3	560942	SRS6400984	SAMN14487841	simple	4556	Setaria viridis	ME034V_shoot							no					JOHNS HOPKINS UNIVERSITY APPLIED PHYSICS LABORATORY	SRA1060690		public	E66FB6F3F4977D218260BA9ADDF4F997	2AEA9B8B0CE60A912336F16D654B6E3C
SRR11450751	2020-04-24 12:34:09	2020-03-31 00:38:02	110441575	33353355650	110441575	302	9795		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-16/SRR011/450/SRR11450751.sralite.1	SRX8028511	039775_8S	RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina NovaSeq 6000	SRP241501	PRJNA560942	3	560942	SRS6400984	SAMN14487841	simple	4556	Setaria viridis	ME034V_shoot							no					JOHNS HOPKINS UNIVERSITY APPLIED PHYSICS LABORATORY	SRA1060690		public	D60FF1DBF0345A3CDD1F5C8B05A4F98C	29A470A8F112A93D96136730525F6285
SRR11450753	2020-04-24 12:34:09	2020-03-31 02:10:45	162314792	49019067184	162314792	302	14646		https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR11450753/SRR11450753	SRX8028509	039773_10L	RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina NovaSeq 6000	SRP241501	PRJNA560942	3	560942	SRS6400982	SAMN14487840	simple	4556	Setaria viridis	ME034V_leaf							no					JOHNS HOPKINS UNIVERSITY APPLIED PHYSICS LABORATORY	SRA1060690		public	19FCD8C1A0A5F5B8563C0BC19A3DB45E	BC589293934E999085FDD46DD0659B65
SRR11450756	2020-04-24 12:34:09	2020-03-31 01:05:42	103503860	31258165720	103503860	302	9216		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-14/SRR011/450/SRR11450756.sralite.1	SRX8028506	039772_9L	RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina NovaSeq 6000	SRP241501	PRJNA560942	3	560942	SRS6400982	SAMN14487840	simple	4556	Setaria viridis	ME034V_leaf							no					JOHNS HOPKINS UNIVERSITY APPLIED PHYSICS LABORATORY	SRA1060690		public	1C379029559A18D8A913EAFF1CC19178	FC1F0B06B3F99718556D2F22D6CA0C4C
SRR11450757	2020-04-24 12:34:09	2020-03-31 03:12:45	214547001	64793194302	214547001	302	19356		https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR11450757/SRR11450757	SRX8028505	039771_8L	RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina NovaSeq 6000	SRP241501	PRJNA560942	3	560942	SRS6400982	SAMN14487840	simple	4556	Setaria viridis	ME034V_leaf							no					JOHNS HOPKINS UNIVERSITY APPLIED PHYSICS LABORATORY	SRA1060690		public	BFE44583B6862182A707E941CA1018E3	11D4BD6BA1EDD428088E9AF63D94D5A3
