Run	ReleaseDate	LoadDate	spots	bases	spots_with_mates	avgLength	size_MB	AssemblyName	download_path	Experiment	LibraryName	LibraryStrategy	LibrarySelection	LibrarySource	LibraryLayout	InsertSize	InsertDev	Platform	Model	SRAStudy	BioProject	Study_Pubmed_id	ProjectID	Sample	BioSample	SampleType	TaxID	ScientificName	SampleName	g1k_pop_code	source	g1k_analysis_group	Subject_ID	Sex	Disease	Tumor	Affection_Status	Analyte_Type	Histological_Type	Body_Site	CenterName	Submission	dbgap_study_accession	Consent	RunHash	ReadHash
ERR2040436	2017-07-24 07:42:40	2017-07-29 08:09:19	16401105	2952198900	16401105	180	1627	NA	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-14/ERR002/040/ERR2040436.sralite.1	ERX2099493	unspecified	RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	200	0	ILLUMINA	Illumina HiSeq 2000	ERP023948	PRJEB21674	NA	393814	ERS1829498	SAMEA104170480	simple	3728	Sinapis alba	SAMEA104170480	NA	NA	NA	NA	NA	NA	no	NA	NA	NA	NA	DEPARTMENT OF BIOLOGICAL SCIENCES	ERA979340	NA	public	F9B4E058C246941EF0A58F4FF9F76CFE	62790C3F4E637C11E11FA549A2FE324E
SRR1302059	2015-06-10 00:00:00	2014-05-29 02:10:02	38634399	7726879800	38634399	200	4455	NA	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/SRR001/302/SRR1302059.sralite.1	SRX522637	SC-1	RNA-Seq	PolyA	TRANSCRIPTOMIC	PAIRED	313	50	ILLUMINA	Illumina HiSeq 1000	SRP041309	PRJNA244703	NA	244703	SRS594984	SAMN02728002	simple	3728	Sinapis alba	SC	NA	NA	NA	NA	NA	NA	no	NA	NA	NA	NA	BOSE INSTITUTE	SRA157868	NA	public	69BB064D110F9ECE33EB4A06984E5481	9784B4FDE8DC6EE5D10A9D2637983872
SRR1302060	2015-06-10 00:00:00	2014-06-09 22:48:28	42752293	8550458600	42752293	200	4940	NA	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/SRR001/302/SRR1302060.sralite.1	SRX522638	SI-1	RNA-Seq	PolyA	TRANSCRIPTOMIC	PAIRED	313	50	ILLUMINA	Illumina HiSeq 1000	SRP041309	PRJNA244703	NA	244703	SRS594985	SAMN02728004	simple	3728	Sinapis alba	SI	NA	NA	NA	NA	NA	NA	no	NA	NA	NA	NA	BOSE INSTITUTE	SRA157868	NA	public	1538773051BC8A0E3DA93AEB985A8C51	EA6BEB260D1CC51D878D9B57809A43E4
SRR2961890	2016-09-23 08:45:48	2015-12-07 02:25:34	26397896	5279579200	26397896	200	2943	NA	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/SRR002/961/SRR2961890.sralite.1	SRX1453047	sinapis alba leaf	RNA-Seq	unspecified	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 2000	SRP066721	PRJNA304264	NA	304264	SRS1180740	SAMN04297000	simple	3728	Sinapis alba	Sinapis alba leaf	NA	NA	NA	NA	NA	NA	no	NA	NA	NA	NA	INSTITUTE OF VEGETABLES AND FLOWERS, CHINESE ACADE	SRA313814	NA	public	CAB6E8CD421C5BA6F3FF52455AACE4B0	3EA96D66E4155632158A90A33A321CA8
SRR2961888	2016-09-23 08:45:48	2015-12-07 04:20:03	26300732	5260146400	26300732	200	2920	NA	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/SRR002/961/SRR2961888.sralite.1	SRX1453039	sinapis alba root RNA-seq	RNA-Seq	unspecified	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 2000	SRP066721	PRJNA304264	NA	304264	SRS1180732	SAMN04296998	simple	3728	Sinapis alba	Sinapis alba root	NA	NA	NA	NA	NA	NA	no	NA	NA	NA	NA	INSTITUTE OF VEGETABLES AND FLOWERS, CHINESE ACADE	SRA313814	NA	public	16C1C1C830950510483085CC28A66B5F	0B77560D7EC02FB3FE6A60671E33C308
SRR2961889	2016-09-23 08:45:48	2015-12-08 14:25:25	27933350	5586670000	27933350	200	3190	NA	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/SRR002/961/SRR2961889.sralite.1	SRX1453046	sinapis alba stem	RNA-Seq	unspecified	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 2000	SRP066721	PRJNA304264	NA	304264	SRS1180739	SAMN04296999	simple	3728	Sinapis alba	Sinapis alba stem	NA	NA	NA	NA	NA	NA	no	NA	NA	NA	NA	INSTITUTE OF VEGETABLES AND FLOWERS, CHINESE ACADE	SRA313814	NA	public	C13D62F1BFA2E59D745C3CF0A2235798	5C988D808C3455DA82454A3AA3AA3A48
SRR6453927	2019-04-01 00:27:37	2019-05-22 09:16:15	8294367	3973659377	8294367	479	2453	NA	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-16/SRR006/453/SRR6453927.sralite.1	SRX3544846	2020_RNA-Seq	RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 2000	SRP128554	PRJNA428769	NA	428769	SRS2817856	SAMN08321165	simple	3728	Sinapis alba	2020	NA	NA	NA	NA	NA	NA	no	NA	NA	NA	NA	UNIVERSITY OF MISSOURI	SRA645355	NA	public	364311637D742CD9DBEEAB5C39FDF32E	CDDF52587A94DAB8B5805D2F9FB789DC
SRR7289654	2019-07-07 01:15:29	2018-06-11 13:26:18	7183449	3456108802	7183449	481	2105	NA	https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR7289654/SRR7289654	SRX4192790	Sinapis_alba_bud_2x250	RNA-Seq	PCR	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 2000	SRP150224	PRJNA475309	NA	475309	SRS3403683	SAMN09386692	simple	3728	Sinapis alba	Sinapis_alba_bud_2x250	NA	NA	NA	NA	NA	NA	no	NA	NA	NA	NA	UNIVERSITY OF MISSOURI	SRA719204	NA	public	E7DF95749CA1CE88E1DDBC073439E56B	F96B5FCCE92E3D7184954202C73B60B3
SRR7289650	2019-07-07 01:15:29	2018-06-11 13:27:36	7602469	3678316252	7602469	483	2267	NA	https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR7289650/SRR7289650	SRX4192794	Sinapis_alba_leaf_2x250	RNA-Seq	PCR	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 2000	SRP150224	PRJNA475309	NA	475309	SRS3403693	SAMN09386694	simple	3728	Sinapis alba	Sinapis_alba_leaf_2x250	NA	NA	NA	NA	NA	NA	no	NA	NA	NA	NA	UNIVERSITY OF MISSOURI	SRA719204	NA	public	117CEF216D1CF365FA5C8B13B91571B5	27AFAC8865780BD12E5064BC691189B0
SRR7289663	2019-07-07 01:15:28	2018-06-11 13:27:39	7073392	3435545674	7073392	485	2095	NA	https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR7289663/SRR7289663	SRX4192781	Sinapis_alba_root_2x250	RNA-Seq	PCR	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 2000	SRP150224	PRJNA475309	NA	475309	SRS3403676	SAMN09386693	simple	3728	Sinapis alba	Sinapis_alba_root_2x250	NA	NA	NA	NA	NA	NA	no	NA	NA	NA	NA	UNIVERSITY OF MISSOURI	SRA719204	NA	public	719EE7AC3C67FE703D44809BE0B5D0D2	1AD7483EAF8E83EA4931CE26B5FFB1A7
SRR7289655	2019-07-07 01:15:29	2018-06-11 13:25:34	15685015	3137003000	15685015	200	2067	NA	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-14/SRR007/289/SRR7289655.sralite.1	SRX4192789	Sinapis_alba_shoot2_2x100	RNA-Seq	PCR	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 2000	SRP150224	PRJNA475309	NA	475309	SRS3403689	SAMN09386696	simple	3728	Sinapis alba	Sinapis_alba_shoot2_2x100	NA	NA	NA	NA	NA	NA	no	NA	NA	NA	NA	UNIVERSITY OF MISSOURI	SRA719204	NA	public	4B3268E8C17BF790263907173A8A7580	A8A60CB78ABA0698DD6D0A9DAE271108
