Run	ReleaseDate	LoadDate	spots	bases	spots_with_mates	avgLength	size_MB	AssemblyName	download_path	Experiment	LibraryName	LibraryStrategy	LibrarySelection	LibrarySource	LibraryLayout	InsertSize	InsertDev	Platform	Model	SRAStudy	BioProject	Study_Pubmed_id	ProjectID	Sample	BioSample	SampleType	TaxID	ScientificName	SampleName	g1k_pop_code	source	g1k_analysis_group	Subject_ID	Sex	Disease	Tumor	Affection_Status	Analyte_Type	Histological_Type	Body_Site	CenterName	Submission	dbgap_study_accession	Consent	RunHash	ReadHash
SRR7209534	2018-08-21 00:08:14	2018-05-23 20:16:48	13714051	1385119151	0	101	661		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-14/SRR007/209/SRR7209534.sralite.1	SRX4118426	Sinv_F1	RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 2500	SRP148603	PRJNA472392	3	472392	SRS3333704	SAMN09244410	simple	13686	Solenopsis invicta	Sinv_F1					female		no					THE ROCKEFELLER UNIVERSITY	SRA710028		public	7BC30DA1A6880AEAEDD86BA3F49FE0AF	8C3AA9A3AF26494B188A834C16835EB4
SRR7209532	2018-08-21 00:08:14	2018-05-23 20:13:26	14541554	1468696954	0	101	697		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-14/SRR007/209/SRR7209532.sralite.1	SRX4118428	Sinv_F3	RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 2500	SRP148603	PRJNA472392	3	472392	SRS3333706	SAMN09244412	simple	13686	Solenopsis invicta	Sinv_F3					female		no					THE ROCKEFELLER UNIVERSITY	SRA710028		public	B9DDF094E195AB5C1168F9C830A18FDA	DF3F62026A64643D81DC282B47C0921E
SRR7209536	2018-08-21 00:08:14	2018-05-23 20:12:06	11120508	1123171308	0	101	532		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-14/SRR007/209/SRR7209536.sralite.1	SRX4118424	Sinv_F4	RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 2500	SRP148603	PRJNA472392	3	472392	SRS3333702	SAMN09244413	simple	13686	Solenopsis invicta	Sinv_F4					female		no					THE ROCKEFELLER UNIVERSITY	SRA710028		public	067048B65380870635021C24FD643880	CB8F2FCDB798442309CD5CC5FC4ACF2A
SRR7209538	2018-08-21 00:08:14	2018-05-23 20:12:37	13497331	1363230431	0	101	648		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-14/SRR007/209/SRR7209538.sralite.1	SRX4118422	Sinv_F5	RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 2500	SRP148603	PRJNA472392	3	472392	SRS3333700	SAMN09244414	simple	13686	Solenopsis invicta	Sinv_F5					female		no					THE ROCKEFELLER UNIVERSITY	SRA710028		public	020B1DCAAE353C6B12D4ECD38D06075D	11AED5E030BD3E81DC37D252524938C9
SRR7209533	2018-08-21 00:08:14	2018-05-23 20:13:19	15133390	1528472390	0	101	725		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-14/SRR007/209/SRR7209533.sralite.1	SRX4118427	Sinv_G3	RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 2500	SRP148603	PRJNA472392	3	472392	SRS3333705	SAMN09244417	simple	13686	Solenopsis invicta	Sinv_G3					female		no					THE ROCKEFELLER UNIVERSITY	SRA710028		public	CE378EC81B7193D8A80C1620B531F70B	E4B21C06ADD63EB06EF5D99998932CB9
SRR7209539	2018-08-21 00:08:14	2018-05-23 20:13:30	14408731	1455281831	0	101	687		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-14/SRR007/209/SRR7209539.sralite.1	SRX4118421	Sinv_N3	RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 2500	SRP148603	PRJNA472392	3	472392	SRS3333699	SAMN09244407	simple	13686	Solenopsis invicta	Sinv_N3					female		no					THE ROCKEFELLER UNIVERSITY	SRA710028		public	CFA578260229FD4706EDE752F946608B	95A028B365DF314E6AAF72C1387DD0AA
SRR7209535	2018-08-21 00:08:14	2018-05-23 20:17:19	15038231	1518861331	0	101	719		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-14/SRR007/209/SRR7209535.sralite.1	SRX4118425	Sinv_N4	RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 2500	SRP148603	PRJNA472392	3	472392	SRS3333703	SAMN09244408	simple	13686	Solenopsis invicta	Sinv_N4					female		no					THE ROCKEFELLER UNIVERSITY	SRA710028		public	D608BE50DEADAEC34E6F58B3B1A18957	C2D91A9A85455A58B79122524E65BC42
SRR7209537	2018-08-21 00:08:14	2018-05-23 20:12:50	15375686	1552944286	0	101	739		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-14/SRR007/209/SRR7209537.sralite.1	SRX4118423	Sinv_N5	RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 2500	SRP148603	PRJNA472392	3	472392	SRS3333701	SAMN09244409	simple	13686	Solenopsis invicta	Sinv_N5					female		no					THE ROCKEFELLER UNIVERSITY	SRA710028		public	50D16161AA753358647B1F11C6195884	2EEF1292ED1E1CF96BED4D5B3A6D6688
SRR7209541	2018-08-21 00:08:14	2018-05-23 20:13:15	14227359	1436963259	0	101	683		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-14/SRR007/209/SRR7209541.sralite.1	SRX4118419	Sinv_Q2	RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 2500	SRP148603	PRJNA472392	3	472392	SRS3333697	SAMN09244421	simple	13686	Solenopsis invicta	Sinv_Q2					female		no					THE ROCKEFELLER UNIVERSITY	SRA710028		public	1F3C4F63295F008A1966A75008BC90F5	C944CFF5AD5B128B727B9DE5FDB7FC21
SRR7209540	2018-08-21 00:08:14	2018-05-23 20:13:21	15246823	1539929123	0	101	732		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-14/SRR007/209/SRR7209540.sralite.1	SRX4118420	Sinv_Q3	RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 2500	SRP148603	PRJNA472392	3	472392	SRS3333698	SAMN09244422	simple	13686	Solenopsis invicta	Sinv_Q3					female		no					THE ROCKEFELLER UNIVERSITY	SRA710028		public	3573AB3A0953B69895DF8E155C5F85A0	9285DB380E325EB40C03383D0F36C777
