Run	ReleaseDate	LoadDate	spots	bases	spots_with_mates	avgLength	size_MB	AssemblyName	download_path	Experiment	LibraryName	LibraryStrategy	LibrarySelection	LibrarySource	LibraryLayout	InsertSize	InsertDev	Platform	Model	SRAStudy	BioProject	Study_Pubmed_id	ProjectID	Sample	BioSample	SampleType	TaxID	ScientificName	SampleName	g1k_pop_code	source	g1k_analysis_group	Subject_ID	Sex	Disease	Tumor	Affection_Status	Analyte_Type	Histological_Type	Body_Site	CenterName	Submission	dbgap_study_accession	Consent	RunHash	ReadHash
SRR13436059	2021-01-14 13:07:37	2021-01-14 13:05:05	16802607	5040782100	16802607	300	1531		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-zq-24/SRR013/13436/SRR13436059/SRR13436059.lite.1	SRX9849562	Sb1-1	RNA-Seq	RANDOM	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 2000	SRP299569	PRJNA685968		685968	SRS8031078	SAMN17315401	simple	4558	Sorghum bicolor	Sb_segment1-replicate1							no					FUJIAN AGRICULTURE AND FORESTRY UNIVERSITY	SRA1183834		public	88C27BE736633B00CBFEFC2CE72B9294	29254A13A3029FBC89BDCF9D0277EDB0
SRR13436058	2021-01-14 13:19:34	2021-01-14 13:05:42	19871664	5961499200	19871664	300	1837		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-zq-24/SRR013/13436/SRR13436058/SRR13436058.lite.1	SRX9849563	Sb1-5	RNA-Seq	RANDOM	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 2000	SRP299569	PRJNA685968		685968	SRS8031079	SAMN17315402	simple	4558	Sorghum bicolor	Sb_segment5-replicate1							no					FUJIAN AGRICULTURE AND FORESTRY UNIVERSITY	SRA1183834		public	E12E7EB42FC5724F3EB50921538D395B	5FE767537E2A22FFA26305F42BB8403A
SRR13436057	2021-01-14 13:10:58	2021-01-14 13:01:26	20513726	6154117800	20513726	300	1865		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-zq-22/SRR013/13436/SRR13436057/SRR13436057.lite.1	SRX9849564	Sb3-9	RNA-Seq	RANDOM	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 2000	SRP299569	PRJNA685968		685968	SRS8031080	SAMN17315411	simple	4558	Sorghum bicolor	Sb_segment9-replicate3							no					FUJIAN AGRICULTURE AND FORESTRY UNIVERSITY	SRA1183834		public	8A6FEE24F1B60D63B6B96CEA48E51E43	28B324FDB58A53C6B967EBB7C2D05C9A
SRR13436056	2021-01-14 12:56:55	2021-01-14 12:53:00	17040223	5112066900	17040223	300	1558		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-zq-24/SRR013/13436/SRR13436056/SRR13436056.lite.1	SRX9849565	Sb3-13	RNA-Seq	RANDOM	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 2000	SRP299569	PRJNA685968		685968	SRS8031081	SAMN17315412	simple	4558	Sorghum bicolor	Sb_segment13-replicate3							no					FUJIAN AGRICULTURE AND FORESTRY UNIVERSITY	SRA1183834		public	8A05B3DBC22EDAA4CCE3E8E7BDC1E1BB	321BB818E0263B36558F5B3093221A4E
SRR13436055	2021-01-14 13:12:37	2021-01-14 13:08:05	21604575	6481372500	21604575	300	1940		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-zq-24/SRR013/13436/SRR13436055/SRR13436055.lite.1	SRX9849566	Sb1-9	RNA-Seq	RANDOM	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 2000	SRP299569	PRJNA685968		685968	SRS8031082	SAMN17315403	simple	4558	Sorghum bicolor	Sb_segment9-replicate1							no					FUJIAN AGRICULTURE AND FORESTRY UNIVERSITY	SRA1183834		public	CD98CBAB217E0C276448BE179FE92644	9C644A19C7A06F3681CEC48C4BE7264E
SRR13436054	2021-01-14 12:56:55	2021-01-14 12:54:19	16895566	5068669800	16895566	300	1527		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-zq-22/SRR013/13436/SRR13436054/SRR13436054.lite.1	SRX9849567	Sb1-13	RNA-Seq	RANDOM	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 2000	SRP299569	PRJNA685968		685968	SRS8031083	SAMN17315404	simple	4558	Sorghum bicolor	Sb_segment13-replicate1							no					FUJIAN AGRICULTURE AND FORESTRY UNIVERSITY	SRA1183834		public	905C09592B5283F00CC888B51BCB1E4B	025A5912BA611A894D37A4B1972A62BB
SRR13436053	2021-01-14 12:59:48	2021-01-14 12:50:54	18303148	5490944400	18303148	300	1654		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-zq-24/SRR013/13436/SRR13436053/SRR13436053.lite.1	SRX9849568	Sb2-1	RNA-Seq	RANDOM	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 2000	SRP299569	PRJNA685968		685968	SRS8031084	SAMN17315405	simple	4558	Sorghum bicolor	Sb_segment1-replicate2							no					FUJIAN AGRICULTURE AND FORESTRY UNIVERSITY	SRA1183834		public	BCC45BB6A42CAD468D9AF159FDA9577E	263EF3182DA60AC04C4D212E0A905F14
SRR13436052	2021-01-14 13:19:34	2021-01-14 13:08:20	23549424	7064827200	23549424	300	2163		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-zq-22/SRR013/13436/SRR13436052/SRR13436052.lite.1	SRX9849569	Sb2-5	RNA-Seq	RANDOM	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 2000	SRP299569	PRJNA685968		685968	SRS8031085	SAMN17315406	simple	4558	Sorghum bicolor	Sb_segment5-replicate2							no					FUJIAN AGRICULTURE AND FORESTRY UNIVERSITY	SRA1183834		public	A0E92CEEC3F86DA55C6E3E8628ADDB68	24B70FCA7DF03D0BEDCBD052A80025A5
SRR13436051	2021-01-14 13:05:24	2021-01-14 12:58:12	25823392	7747017600	25823392	300	2304		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-zq-22/SRR013/13436/SRR13436051/SRR13436051.lite.1	SRX9849570	Sb2-9	RNA-Seq	RANDOM	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 2000	SRP299569	PRJNA685968		685968	SRS8031086	SAMN17315407	simple	4558	Sorghum bicolor	Sb_segment9-replicate2							no					FUJIAN AGRICULTURE AND FORESTRY UNIVERSITY	SRA1183834		public	803DA334E56627157F4D181C29D90731	47C3B6F488A4AD6BE1BD577BDD373174
SRR13436050	2021-01-14 13:26:07	2021-01-14 13:08:05	21335056	6400516800	21335056	300	1907		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-zq-24/SRR013/13436/SRR13436050/SRR13436050.lite.1	SRX9849571	Sb2-13	RNA-Seq	RANDOM	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 2000	SRP299569	PRJNA685968		685968	SRS8031087	SAMN17315408	simple	4558	Sorghum bicolor	Sb_segment13-replicate2							no					FUJIAN AGRICULTURE AND FORESTRY UNIVERSITY	SRA1183834		public	295E7EFB96702B9D85313969A0A516F5	BBC8379D519CFC6FE42D02FF3DDD5B0E
