Run	ReleaseDate	LoadDate	spots	bases	spots_with_mates	avgLength	size_MB	AssemblyName	download_path	Experiment	LibraryName	LibraryStrategy	LibrarySelection	LibrarySource	LibraryLayout	InsertSize	InsertDev	Platform	Model	SRAStudy	BioProject	Study_Pubmed_id	ProjectID	Sample	BioSample	SampleType	TaxID	ScientificName	SampleName	g1k_pop_code	source	g1k_analysis_group	Subject_ID	Sex	Disease	Tumor	Affection_Status	Analyte_Type	Histological_Type	Body_Site	CenterName	Submission	dbgap_study_accession	Consent	RunHash	ReadHash
SRR8416296	2019-02-21 16:04:25	2019-01-08 05:15:56	30757495	9227248500	30757495	300	3491		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/SRR008/416/SRR8416296.sralite.1	SRX5225526	RNA_0007	RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 2500	SRP176614	PRJNA510316	3	510316	SRS4229391	SAMN10606322	simple	202533	Stegodyphus dumicola	RNA_0007							no					AARHUS UNIVERSITY	SRA831676		public	99B5D6F671ED22CB4B8328D577FB88C7	390E73BFB3D75ED672374C5488B9CEEF
SRR8416255	2019-02-21 16:04:26	2019-01-08 05:13:56	28541137	8562341100	28541137	300	3253		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/SRR008/416/SRR8416255.sralite.1	SRX5225567	RNA_0013	RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 2500	SRP176614	PRJNA510316	3	510316	SRS4229432	SAMN10606324	simple	202533	Stegodyphus dumicola	RNA_0013							no					AARHUS UNIVERSITY	SRA831676		public	E5087894A09962B420073186498DFE1A	91AE4D5820CFAB93E207F327238D9C65
SRR8416253	2019-02-21 16:04:26	2019-01-08 05:21:34	28990862	8697258600	28990862	300	3321		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/SRR008/416/SRR8416253.sralite.1	SRX5225569	RNA_0031	RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 2500	SRP176614	PRJNA510316	3	510316	SRS4229434	SAMN10606325	simple	202533	Stegodyphus dumicola	RNA_0031							no					AARHUS UNIVERSITY	SRA831676		public	8D62C54FCF7937F8A7A4CA2BC686AA15	EFD4159D1FF095A595A4A51424F94F70
SRR8416300	2019-02-21 16:04:25	2019-01-08 05:21:12	33459103	10037730900	33459103	300	3582		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/SRR008/416/SRR8416300.sralite.1	SRX5225522	RNA_0172	RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 2500	SRP176614	PRJNA510316	3	510316	SRS4229387	SAMN10606356	simple	202533	Stegodyphus dumicola	RNA_0172							no					AARHUS UNIVERSITY	SRA831676		public	731B46B5C43A85683A8FD4216B8AD45A	44B795884622D4194340EB1C16758847
SRR8416298	2019-02-21 16:04:25	2019-01-08 05:18:09	27733244	8319973200	27733244	300	2947		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/SRR008/416/SRR8416298.sralite.1	SRX5225524	RNA_0178	RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 2500	SRP176614	PRJNA510316	3	510316	SRS4229389	SAMN10606358	simple	202533	Stegodyphus dumicola	RNA_0178							no					AARHUS UNIVERSITY	SRA831676		public	F538683AA14DE03A1E2897713BD03CD1	4A2F24FF61169892854BADE9EE49F98F
SRR8416297	2019-02-21 16:04:25	2019-01-08 05:18:13	33494822	10048446600	33494822	300	3568		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/SRR008/416/SRR8416297.sralite.1	SRX5225525	RNA_0241	RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 2500	SRP176614	PRJNA510316	3	510316	SRS4229390	SAMN10606359	simple	202533	Stegodyphus dumicola	RNA_0241							no					AARHUS UNIVERSITY	SRA831676		public	CF3E80B6BE564C9644C9D45EDEAC8E16	3D916395DE26ADF4C18F9954ADC2CD3D
SRR8416267	2019-02-21 16:04:25	2019-01-08 05:18:35	38794617	11638385100	38794617	300	4254		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/SRR008/416/SRR8416267.sralite.1	SRX5225555	RNA_0268	RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 2500	SRP176614	PRJNA510316	3	510316	SRS4229420	SAMN10606368	simple	202533	Stegodyphus dumicola	RNA_0268							no					AARHUS UNIVERSITY	SRA831676		public	F50A685FA3AAA1AEDB727096AD28065B	6E264F9C10EFC234E8B7C515659730A3
SRR8416268	2019-02-21 16:04:26	2019-01-08 05:16:16	32346111	9703833300	32346111	300	3518		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/SRR008/416/SRR8416268.sralite.1	SRX5225554	RNA_0271	RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 2500	SRP176614	PRJNA510316	3	510316	SRS4229419	SAMN10606369	simple	202533	Stegodyphus dumicola	RNA_0271							no					AARHUS UNIVERSITY	SRA831676		public	BBE11F9F6854B6F0D410DEC4A9A024E6	E86A79B678101D6D56C793ED3827CD1A
SRR8416256	2019-02-21 16:04:26	2019-01-08 05:16:05	32558914	9767674200	32558914	300	3585		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/SRR008/416/SRR8416256.sralite.1	SRX5225566	RNA_0307	RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 2500	SRP176614	PRJNA510316	3	510316	SRS4229431	SAMN10606376	simple	202533	Stegodyphus dumicola	RNA_0307							no					AARHUS UNIVERSITY	SRA831676		public	CB069E6516C8EC4AD157BA8E851AAB9E	BD8144300978ACC9CF6A27F72070580F
SRR8416299	2019-02-21 16:04:25	2019-01-08 05:30:40	35531025	10659307500	35531025	300	3920		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/SRR008/416/SRR8416299.sralite.1	SRX5225523	RNA_0682	RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 2500	SRP176614	PRJNA510316	3	510316	SRS4229388	SAMN10606440	simple	202533	Stegodyphus dumicola	RNA_0682							no					AARHUS UNIVERSITY	SRA831676		public	769DC198B05334837EB9CDF5BFB551CA	A8F2D456D96BFC4DF2AE7BF04423AE42
