Run	ReleaseDate	LoadDate	spots	bases	spots_with_mates	avgLength	size_MB	AssemblyName	download_path	Experiment	LibraryName	LibraryStrategy	LibrarySelection	LibrarySource	LibraryLayout	InsertSize	InsertDev	Platform	Model	SRAStudy	BioProject	Study_Pubmed_id	ProjectID	Sample	BioSample	SampleType	TaxID	ScientificName	SampleName	g1k_pop_code	source	g1k_analysis_group	Subject_ID	Sex	Disease	Tumor	Affection_Status	Analyte_Type	Histological_Type	Body_Site	CenterName	Submission	dbgap_study_accession	Consent	RunHash	ReadHash
SRR19140256	2022-05-16 08:35:29	2022-05-09 01:26:20	14274942	3625835268	14274942	254	1496	NA	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos4/sra-pub-zq-1/SRR019/19140/SRR19140256/SRR19140256.lite.1	SRX15207353	P183_06_1_R106_PE127	RNA-Seq	Oligo-dT	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 1500	SRP374218	PRJNA703743	NA	703743	SRS12946059	SAMN28157511	simple	378071	Stegostoma fasciatum	Stegostoma_fasciatum_embryo_1	NA	NA	NA	NA	not determined	NA	no	NA	NA	NA	NA	RIKEN CENTER FOR BIOSYSTEMS DYNAMICS RESEARCH	SRA1417026	NA	public	5B9913DAA6801FB866CA07338F514159	453C917D9B5BB8072224B62784DCFB0F
SRR19140255	2022-05-16 08:35:29	2022-05-09 01:29:42	14942901	3795496854	14942901	254	1559	NA	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos2/sra-pub-zq-20/SRR019/19140/SRR19140255/SRR19140255.lite.1	SRX15207354	P183_07_1_R106_PE127	RNA-Seq	Oligo-dT	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 1500	SRP374218	PRJNA703743	NA	703743	SRS12946060	SAMN28157512	simple	378071	Stegostoma fasciatum	Stegostoma_fasciatum_embryo_2	NA	NA	NA	NA	not determined	NA	no	NA	NA	NA	NA	RIKEN CENTER FOR BIOSYSTEMS DYNAMICS RESEARCH	SRA1417026	NA	public	654C7DCA3C6CDBD09F60823786B4AAB5	50AF81B5E17EA0886865C9AD911CE569
SRR19140280	2022-05-16 08:35:29	2022-05-09 01:23:17	11096645	2818547830	11096645	254	1138	NA	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos1/sra-pub-zq-38/SRR019/19140/SRR19140280/SRR19140280.lite.1	SRX15207329	P430_01_1_R264_PE127	RNA-Seq	Oligo-dT	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 1500	SRP374218	PRJNA703743	NA	703743	SRS12946035	SAMN28157489	simple	378071	Stegostoma fasciatum	sSteFas3_Blood	NA	NA	NA	NA	female	NA	no	NA	NA	NA	NA	RIKEN CENTER FOR BIOSYSTEMS DYNAMICS RESEARCH	SRA1417026	NA	public	B1DE59703346200E1899F5C6A19505CC	E3B75F16CD95691774754DE2B4F86757
SRR19140275	2022-05-16 08:35:29	2022-05-09 01:24:03	11865818	3013917772	11865818	254	1231	NA	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos2/sra-pub-zq-20/SRR019/19140/SRR19140275/SRR19140275.lite.1	SRX15207334	P430_06_1_R264_PE127	RNA-Seq	Oligo-dT	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 1500	SRP374218	PRJNA703743	NA	703743	SRS12946040	SAMN28157494	simple	378071	Stegostoma fasciatum	sSteFas3_Cerebellum	NA	NA	NA	NA	female	NA	no	NA	NA	NA	NA	RIKEN CENTER FOR BIOSYSTEMS DYNAMICS RESEARCH	SRA1417026	NA	public	FC6F211B334F081BA6ED67EEF41160E4	3163109F339071DE864856C4AE69CB5C
SRR19140276	2022-05-16 08:35:29	2022-05-09 01:25:23	12666516	3217295064	12666516	254	1321	NA	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos2/sra-pub-zq-20/SRR019/19140/SRR19140276/SRR19140276.lite.1	SRX15207333	P430_05_1_R264_PE127	RNA-Seq	Oligo-dT	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 1500	SRP374218	PRJNA703743	NA	703743	SRS12946039	SAMN28157493	simple	378071	Stegostoma fasciatum	sSteFas3_Cerebrum	NA	NA	NA	NA	female	NA	no	NA	NA	NA	NA	RIKEN CENTER FOR BIOSYSTEMS DYNAMICS RESEARCH	SRA1417026	NA	public	F7C58E0DA04EA043690ACA9CD0B8D102	C149208205351C90262B1AE6727B1981
SRR19140263	2022-05-16 08:35:29	2022-05-09 01:23:42	10746434	2729594236	10746434	254	1108	NA	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos1/sra-pub-zq-38/SRR019/19140/SRR19140263/SRR19140263.lite.1	SRX15207346	P430_17_1_R264_PE127	RNA-Seq	Oligo-dT	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 1500	SRP374218	PRJNA703743	NA	703743	SRS12946052	SAMN28157505	simple	378071	Stegostoma fasciatum	sSteFas3_Colon	NA	NA	NA	NA	female	NA	no	NA	NA	NA	NA	RIKEN CENTER FOR BIOSYSTEMS DYNAMICS RESEARCH	SRA1417026	NA	public	ECE96C447EE5A66F423ADFF4C2577E7A	93EBBF56F7A6F475267A2BB9BEAF4827
SRR19140274	2022-05-16 08:35:29	2022-05-09 01:23:00	10309348	2618574392	10309348	254	1069	NA	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos2/sra-pub-zq-20/SRR019/19140/SRR19140274/SRR19140274.lite.1	SRX15207335	P430_07_1_R264_PE127	RNA-Seq	Oligo-dT	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 1500	SRP374218	PRJNA703743	NA	703743	SRS12946041	SAMN28157495	simple	378071	Stegostoma fasciatum	sSteFas3_Diencephalon	NA	NA	NA	NA	female	NA	no	NA	NA	NA	NA	RIKEN CENTER FOR BIOSYSTEMS DYNAMICS RESEARCH	SRA1417026	NA	public	781C1BC2B8AEA99931FE7606BED7E024	0A0CEBD8E6B4729440DD96F4E82BE053
SRR19140279	2022-05-16 08:35:29	2022-05-09 01:23:30	11961884	3038318536	11961884	254	1261	NA	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos1/sra-pub-zq-38/SRR019/19140/SRR19140279/SRR19140279.lite.1	SRX15207330	P430_02_1_R264_PE127	RNA-Seq	Oligo-dT	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 1500	SRP374218	PRJNA703743	NA	703743	SRS12946036	SAMN28157490	simple	378071	Stegostoma fasciatum	sSteFas3_Eye	NA	NA	NA	NA	female	NA	no	NA	NA	NA	NA	RIKEN CENTER FOR BIOSYSTEMS DYNAMICS RESEARCH	SRA1417026	NA	public	70F74067A3B94047F7AF40F25066EDEB	AD3DFC54E86BA7DB98F94085B22BFCB3
SRR19140258	2022-05-16 08:35:29	2022-05-09 01:26:44	11805421	2998576934	11805421	254	1222	NA	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-zq-24/SRR019/19140/SRR19140258/SRR19140258.lite.1	SRX15207351	P430_21_1_R264_PE127	RNA-Seq	Oligo-dT	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 1500	SRP374218	PRJNA703743	NA	703743	SRS12946057	SAMN28157509	simple	378071	Stegostoma fasciatum	sSteFas3_Fallopian_tube	NA	NA	NA	NA	female	NA	no	NA	NA	NA	NA	RIKEN CENTER FOR BIOSYSTEMS DYNAMICS RESEARCH	SRA1417026	NA	public	CCCE3659712834549A53951515FB42FF	95898B07F7996D5D45C2EA1BE19B89B6
SRR19140266	2022-05-16 08:35:29	2022-05-09 01:25:09	12334659	3133003386	12334659	254	1260	NA	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos4/sra-pub-zq-1/SRR019/19140/SRR19140266/SRR19140266.lite.1	SRX15207343	P430_14_1_R264_PE127	RNA-Seq	Oligo-dT	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 1500	SRP374218	PRJNA703743	NA	703743	SRS12946049	SAMN28157502	simple	378071	Stegostoma fasciatum	sSteFas3_Gallbladder	NA	NA	NA	NA	female	NA	no	NA	NA	NA	NA	RIKEN CENTER FOR BIOSYSTEMS DYNAMICS RESEARCH	SRA1417026	NA	public	1FB92C3728DD84AEA875313D5816D03E	E9E75B27508C088B8472E08E82F6A094
SRR19140270	2022-05-16 08:35:29	2022-05-09 01:23:48	11676270	2965772580	11676270	254	1224	NA	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos2/sra-pub-zq-18/SRR019/19140/SRR19140270/SRR19140270.lite.1	SRX15207339	P430_10_1_R264_PE127	RNA-Seq	Oligo-dT	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 1500	SRP374218	PRJNA703743	NA	703743	SRS12946045	SAMN28157498	simple	378071	Stegostoma fasciatum	sSteFas3_Gill	NA	NA	NA	NA	female	NA	no	NA	NA	NA	NA	RIKEN CENTER FOR BIOSYSTEMS DYNAMICS RESEARCH	SRA1417026	NA	public	1966C565D94C3F7EA3892AB16A931B74	52DFBF62ABD65D81E826FB056D091537
SRR19140269	2022-05-16 08:35:29	2022-05-09 01:23:08	11521954	2926576316	11521954	254	1200	NA	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos1/sra-pub-zq-38/SRR019/19140/SRR19140269/SRR19140269.lite.1	SRX15207340	P430_11_1_R264_PE127	RNA-Seq	Oligo-dT	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 1500	SRP374218	PRJNA703743	NA	703743	SRS12946046	SAMN28157499	simple	378071	Stegostoma fasciatum	sSteFas3_Heart	NA	NA	NA	NA	female	NA	no	NA	NA	NA	NA	RIKEN CENTER FOR BIOSYSTEMS DYNAMICS RESEARCH	SRA1417026	NA	public	BFBA0EE19C0AA335C3A242AA08819C43	A97F862A74CB2DC9226C25649EAB50AB
SRR19140264	2022-05-16 08:35:29	2022-05-09 01:36:03	11387924	2892532696	11387924	254	1175	NA	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-zq-24/SRR019/19140/SRR19140264/SRR19140264.lite.1	SRX15207345	P430_16_1_R264_PE127	RNA-Seq	Oligo-dT	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 1500	SRP374218	PRJNA703743	NA	703743	SRS12946051	SAMN28157504	simple	378071	Stegostoma fasciatum	sSteFas3_Intestine	NA	NA	NA	NA	female	NA	no	NA	NA	NA	NA	RIKEN CENTER FOR BIOSYSTEMS DYNAMICS RESEARCH	SRA1417026	NA	public	3CA9D481288479762A75AC2A118DBEB6	5B01500D2A94984E44AB15A14954788F
SRR19140262	2022-05-16 08:35:29	2022-05-09 01:23:57	11707732	2973763928	11707732	254	1214	NA	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos2/sra-pub-zq-20/SRR019/19140/SRR19140262/SRR19140262.lite.1	SRX15207347	P430_18_1_R264_PE127	RNA-Seq	Oligo-dT	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 1500	SRP374218	PRJNA703743	NA	703743	SRS12946053	SAMN28157506	simple	378071	Stegostoma fasciatum	sSteFas3_Kidney	NA	NA	NA	NA	female	NA	no	NA	NA	NA	NA	RIKEN CENTER FOR BIOSYSTEMS DYNAMICS RESEARCH	SRA1417026	NA	public	973B56609777B5AF200264FBDB10B9DD	5A09FC5A66BCAAE5930CE184D033B848
SRR19140267	2022-05-16 08:35:29	2022-05-09 01:32:27	11906922	3024358188	11906922	254	1224	NA	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos4/sra-pub-zq-1/SRR019/19140/SRR19140267/SRR19140267.lite.1	SRX15207342	P430_13_1_R264_PE127	RNA-Seq	Oligo-dT	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 1500	SRP374218	PRJNA703743	NA	703743	SRS12946048	SAMN28157501	simple	378071	Stegostoma fasciatum	sSteFas3_Liver	NA	NA	NA	NA	female	NA	no	NA	NA	NA	NA	RIKEN CENTER FOR BIOSYSTEMS DYNAMICS RESEARCH	SRA1417026	NA	public	2E479D66479DD1006538195D9C0A490B	EA3FDA21DBA64920A0EF9C63BCC1DF73
SRR19140271	2022-05-16 08:35:29	2022-05-09 01:23:49	10657643	2707041322	10657643	254	1107	NA	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos2/sra-pub-zq-20/SRR019/19140/SRR19140271/SRR19140271.lite.1	SRX15207338	P430_09_1_R264_PE127	RNA-Seq	Oligo-dT	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 1500	SRP374218	PRJNA703743	NA	703743	SRS12946044	SAMN28157497	simple	378071	Stegostoma fasciatum	sSteFas3_Medulla_oblong	NA	NA	NA	NA	female	NA	no	NA	NA	NA	NA	RIKEN CENTER FOR BIOSYSTEMS DYNAMICS RESEARCH	SRA1417026	NA	public	D2AB3CF5353627C92A8118DACE9F79B7	28BEC6788699379821E1F3C5A57EE8C3
SRR19140273	2022-05-16 08:35:29	2022-05-09 01:29:14	11618275	2951041850	11618275	254	1200	NA	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos2/sra-pub-zq-20/SRR019/19140/SRR19140273/SRR19140273.lite.1	SRX15207336	P430_08_1_R264_PE127	RNA-Seq	Oligo-dT	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 1500	SRP374218	PRJNA703743	NA	703743	SRS12946042	SAMN28157496	simple	378071	Stegostoma fasciatum	sSteFas3_Mesencephalon	NA	NA	NA	NA	female	NA	no	NA	NA	NA	NA	RIKEN CENTER FOR BIOSYSTEMS DYNAMICS RESEARCH	SRA1417026	NA	public	F3D7A774C4611813937BD25113BCC29F	F81523E7C6614E6D11F6EDE4CA3EB631
SRR19140277	2022-05-16 08:35:29	2022-05-09 01:22:43	10618385	2697069790	10618385	254	1108	NA	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos1/sra-pub-zq-38/SRR019/19140/SRR19140277/SRR19140277.lite.1	SRX15207332	P430_04_1_R264_PE127	RNA-Seq	Oligo-dT	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 1500	SRP374218	PRJNA703743	NA	703743	SRS12946038	SAMN28157492	simple	378071	Stegostoma fasciatum	sSteFas3_Muscle	NA	NA	NA	NA	female	NA	no	NA	NA	NA	NA	RIKEN CENTER FOR BIOSYSTEMS DYNAMICS RESEARCH	SRA1417026	NA	public	1F551AEECD9D777787DDA9CE1BD9FA38	009F9909F0ED8E09A71E2ED68E0C2294
SRR19140278	2022-05-16 08:35:29	2022-05-09 01:24:17	10885995	2765042730	10885995	254	1125	NA	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos1/sra-pub-zq-38/SRR019/19140/SRR19140278/SRR19140278.lite.1	SRX15207331	P430_03_1_R264_PE127	RNA-Seq	Oligo-dT	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 1500	SRP374218	PRJNA703743	NA	703743	SRS12946037	SAMN28157491	simple	378071	Stegostoma fasciatum	sSteFas3_Olfactory_bulb	NA	NA	NA	NA	female	NA	no	NA	NA	NA	NA	RIKEN CENTER FOR BIOSYSTEMS DYNAMICS RESEARCH	SRA1417026	NA	public	DDA493F78E42C62ACD65AB941953D432	A30D779AEF8D99C603C94191F9F549F9
SRR19140257	2022-05-16 08:35:29	2022-05-09 01:22:46	9442888	2398493552	9442888	254	983	NA	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos4/sra-pub-zq-1/SRR019/19140/SRR19140257/SRR19140257.lite.1	SRX15207352	P430_22_1_R264_PE127	RNA-Seq	Oligo-dT	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 1500	SRP374218	PRJNA703743	NA	703743	SRS12946058	SAMN28157510	simple	378071	Stegostoma fasciatum	sSteFas3_Olfactory_epithelium	NA	NA	NA	NA	female	NA	no	NA	NA	NA	NA	RIKEN CENTER FOR BIOSYSTEMS DYNAMICS RESEARCH	SRA1417026	NA	public	9095CFD379D2D407AE67D0AF2482AF56	4AA5C980135152C38F25C381986A9A76
