Run	ReleaseDate	LoadDate	spots	bases	spots_with_mates	avgLength	size_MB	AssemblyName	download_path	Experiment	LibraryName	LibraryStrategy	LibrarySelection	LibrarySource	LibraryLayout	InsertSize	InsertDev	Platform	Model	SRAStudy	BioProject	Study_Pubmed_id	ProjectID	Sample	BioSample	SampleType	TaxID	ScientificName	SampleName	g1k_pop_code	source	g1k_analysis_group	Subject_ID	Sex	Disease	Tumor	Affection_Status	Analyte_Type	Histological_Type	Body_Site	CenterName	Submission	dbgap_study_accession	Consent	RunHash	ReadHash
SRR8667934	2019-03-06 16:26:00	2019-03-04 21:58:34	9930508	841143408	9930508	84	342	NA	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-16/SRR008/667/SRR8667934.sralite.1	SRX5463966		RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	NextSeq 500	SRP187486	PRJNA525461	3	525461	SRS4437749	SAMN11053059	simple	34508	Steinernema carpocapsae	GSM3639429	NA	NA	NA	NA		NA	no	NA	NA	NA	NA	GEO	SRA856017	NA	public	CD3DE1A6D8362E03A2FF5846B8E93295	3B0146019D167FCF489613258E5F4459
SRR8667935	2019-03-06 16:26:00	2019-03-04 21:58:45	9619899	815173947	9619899	84	337	NA	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-16/SRR008/667/SRR8667935.sralite.1	SRX5463967		RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	NextSeq 500	SRP187486	PRJNA525461	3	525461	SRS4437750	SAMN11053058	simple	34508	Steinernema carpocapsae	GSM3639430	NA	NA	NA	NA		NA	no	NA	NA	NA	NA	GEO	SRA856017	NA	public	4C012C1902FDB7ACC1C768CD2DAF1580	76C82423D9A03CA32884F450D678570B
SRR8667936	2019-03-06 16:26:00	2019-03-04 21:58:03	9531436	809077920	9531436	84	327	NA	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-16/SRR008/667/SRR8667936.sralite.1	SRX5463968		RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	NextSeq 500	SRP187486	PRJNA525461	3	525461	SRS4437751	SAMN11053064	simple	34508	Steinernema carpocapsae	GSM3639431	NA	NA	NA	NA		NA	no	NA	NA	NA	NA	GEO	SRA856017	NA	public	C9E3D485F3E86D2FC781D0A05D3C971B	FDEE1842FAEEF0E5AA6C65F4585FF36A
SRR8667937	2019-03-06 16:26:00	2019-03-04 21:58:27	10757201	912548713	10757201	84	368	NA	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-16/SRR008/667/SRR8667937.sralite.1	SRX5463969		RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	NextSeq 500	SRP187486	PRJNA525461	3	525461	SRS4437752	SAMN11053063	simple	34508	Steinernema carpocapsae	GSM3639432	NA	NA	NA	NA		NA	no	NA	NA	NA	NA	GEO	SRA856017	NA	public	E5FFD27AF36EA6183C2B59D0DCACE844	6DB91C8CD8D194A793A383BDF6E36C31
SRR8667938	2019-03-06 16:26:00	2019-03-04 22:00:58	17669496	1495442575	17669496	84	603	NA	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-14/SRR008/667/SRR8667938.sralite.1	SRX5463970		RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	NextSeq 500	SRP187486	PRJNA525461	3	525461	SRS4437753	SAMN11053057	simple	34508	Steinernema carpocapsae	GSM3639433	NA	NA	NA	NA		NA	no	NA	NA	NA	NA	GEO	SRA856017	NA	public	45081C8BB5FEB24B8CB27A0326ADB959	BAC3CAF3BFEB91F4CAE6AEDF61648AEF
SRR8667939	2019-03-06 16:26:00	2019-03-04 21:58:14	8923642	756651260	8923642	84	304	NA	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-16/SRR008/667/SRR8667939.sralite.1	SRX5463971		RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	NextSeq 500	SRP187486	PRJNA525461	3	525461	SRS4437754	SAMN11053056	simple	34508	Steinernema carpocapsae	GSM3639434	NA	NA	NA	NA		NA	no	NA	NA	NA	NA	GEO	SRA856017	NA	public	98611C26EC71F1B7DFC4932C96A9C8F2	B3EEE6B208A18ECB301A3FE4BC5BAB65
SRR8667940	2019-03-06 16:26:00	2019-03-04 21:59:15	12995148	1102760776	12995148	84	443	NA	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-16/SRR008/667/SRR8667940.sralite.1	SRX5463972		RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	NextSeq 500	SRP187486	PRJNA525461	3	525461	SRS4437755	SAMN11053055	simple	34508	Steinernema carpocapsae	GSM3639435	NA	NA	NA	NA		NA	no	NA	NA	NA	NA	GEO	SRA856017	NA	public	0BCD21D460B0820872DB516873095288	7ED4195B95A667BA2DEEF282785D403C
SRR8667941	2019-03-06 16:26:00	2019-03-04 21:58:35	8319806	706353164	8319806	84	286	NA	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-16/SRR008/667/SRR8667941.sralite.1	SRX5463973		RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	NextSeq 500	SRP187486	PRJNA525461	3	525461	SRS4437756	SAMN11053054	simple	34508	Steinernema carpocapsae	GSM3639436	NA	NA	NA	NA		NA	no	NA	NA	NA	NA	GEO	SRA856017	NA	public	12CF7AF46E845611A20360F5918CEFAC	38C85E63BA43FDFEB8C78AE5FD3DF1F2
SRR8667942	2019-03-06 16:26:01	2019-03-04 21:59:07	14596172	1255270792	14596172	86	463	NA	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-zq-22/SRR008/667/SRR8667942.sralite.1	SRX5463974		RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	NextSeq 500	SRP187486	PRJNA525461	3	525461	SRS4437757	SAMN11053053	simple	34508	Steinernema carpocapsae	GSM3639437	NA	NA	NA	NA		NA	no	NA	NA	NA	NA	GEO	SRA856017	NA	public	765B243EBC0734A2ADFA0EF4CF4381AA	B634E8AF22BE4CD7427C138346D7F4D3
SRR8667943	2019-03-06 16:26:02	2019-03-04 22:01:48	18416628	1583830008	18416628	86	588	NA	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-14/SRR008/667/SRR8667943.sralite.1	SRX5463975		RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	NextSeq 500	SRP187486	PRJNA525461	3	525461	SRS4437758	SAMN11053052	simple	34508	Steinernema carpocapsae	GSM3639438	NA	NA	NA	NA		NA	no	NA	NA	NA	NA	GEO	SRA856017	NA	public	2C679C2A916AE9F926B305695C2E4737	06C51FBDC76EF4F97938921100797BA3
