Run	ReleaseDate	LoadDate	spots	bases	spots_with_mates	avgLength	size_MB	AssemblyName	download_path	Experiment	LibraryName	LibraryStrategy	LibrarySelection	LibrarySource	LibraryLayout	InsertSize	InsertDev	Platform	Model	SRAStudy	BioProject	Study_Pubmed_id	ProjectID	Sample	BioSample	SampleType	TaxID	ScientificName	SampleName	g1k_pop_code	source	g1k_analysis_group	Subject_ID	Sex	Disease	Tumor	Affection_Status	Analyte_Type	Histological_Type	Body_Site	CenterName	Submission	dbgap_study_accession	Consent	RunHash	ReadHash
SRR488687	2013-01-22 14:49:28	2012-08-12 02:01:18	22507400	4501480000	22507400	200	2592	NA	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/SRR000/488/SRR488687.sralite.1	SRX143226	Brain Male pool:2	RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	200	0	ILLUMINA	Illumina HiSeq 2000	SRP012236		2	0	SRS309717	SAMN00858080	simple	8801	Struthio camelus	SRA051785.1	NA	NA	NA	NA		NA	no	NA	NA	NA	NA	UPPSALA UNIVERSITY	SRA051785	NA	public	CFC25F95A186FFF4C2F6FC76008D3774	B8BDDB40ED605684700E705242D43A1B
SRR488565	2013-01-22 14:49:28	2012-08-12 02:00:08	26618750	5323750000	26618750	200	3073	NA	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/SRR000/488/SRR488565.sralite.1	SRX142690	Brain Male pool:1	RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	200	0	ILLUMINA	Illumina HiSeq 2000	SRP012236		2	0	SRS309475	SAMN00857833	simple	8801	Struthio camelus	SRP012236.1	NA	NA	NA	NA		NA	no	NA	NA	NA	NA	UPPSALA UNIVERSITY	SRA051785	NA	public	F13E6C5E39CDBA81FA5DFEBF2BF594A9	77403A11812C8F04B5C58FCD1C72873C
SRR513126	2013-01-22 14:49:28	2012-06-13 13:24:58	16363124	3272624800	16363124	200	1886	NA	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/SRR513/126/SRR513126.sralite.1	SRX154500	Liver Female pool:1	RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	200	0	ILLUMINA	Illumina HiSeq 2000	SRP012236		2	0	SRS345686	SAMN01048183	simple	8801	Struthio camelus	SRP012236.1-10	NA	NA	NA	NA		NA	no	NA	NA	NA	NA	UPPSALA UNIVERSITY	SRA051785	NA	public	B8F5BA140C09B5160EB17BA3DFEF3421	610849455838400BD2E14B7268B02727
SRR513754	2013-01-22 14:49:28	2012-06-18 07:09:18	35030038	7006007600	35030038	200	4232	NA	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/SRR000/513/SRR513754.sralite.1	SRX154849	Liver Female pool:2	RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	200	0	ILLUMINA	Illumina HiSeq 2000	SRP012236		2	0	SRS346187	SAMN01055118	simple	8801	Struthio camelus	SRP012236.1-11	NA	NA	NA	NA		NA	no	NA	NA	NA	NA	UPPSALA UNIVERSITY	SRA051785	NA	public	7A1291E7CAE196733630BD6986ADD0FE	B8CA119D37D467D53E246980711D1973
SRR513755	2013-01-22 14:49:28	2012-06-18 07:02:32	12447840	2489568000	12447840	200	1451	NA	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/SRR000/513/SRR513755.sralite.1	SRX154850	Liver Female pool:3	RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	200	0	ILLUMINA	Illumina HiSeq 2000	SRP012236		2	0	SRS346188	SAMN01055119	simple	8801	Struthio camelus	SRP012236.1-12	NA	NA	NA	NA		NA	no	NA	NA	NA	NA	UPPSALA UNIVERSITY	SRA051785	NA	public	D6B88A20045D54B74F06A616F09FDBAF	4D63E1E9365700481F4D2907BEB386CB
SRR493274	2013-01-22 14:49:28	2012-08-12 03:41:58	16319775	3263955000	16319775	200	1909	NA	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/SRR000/493/SRR493274.sralite.1	SRX145593	Brain Male pool:3	RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	200	0	ILLUMINA	Illumina HiSeq 2000	SRP012236		2	0	SRS311855	SAMN00990651	simple	8801	Struthio camelus	SRP012236.1-3	NA	NA	NA	NA		NA	no	NA	NA	NA	NA	UPPSALA UNIVERSITY	SRA051785	NA	public	B752F0BAB6DEACFF96DA96E9F357CAA2	E17F558D8E4EF88964726D501094F1A6
SRR493935	2013-01-22 14:49:28	2012-08-12 03:54:06	27805688	5561137600	27805688	200	3197	NA	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/SRR000/493/SRR493935.sralite.1	SRX145873	Brain Female pool:1	RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	200	0	ILLUMINA	Illumina HiSeq 2000	SRP012236		2	0	SRS312063	SAMN00990826	simple	8801	Struthio camelus	SRP012236.1-4	NA	NA	NA	NA		NA	no	NA	NA	NA	NA	UPPSALA UNIVERSITY	SRA051785	NA	public	556AB886654F1A1E7F6BB2612562494E	4B0C3743034775012CE08CF60C951EDF
SRR496182	2013-01-22 14:49:28	2012-08-12 04:13:46	22659420	4531884000	22659420	200	2648	NA	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/SRR000/496/SRR496182.sralite.1	SRX145874	Brain Female pool:2	RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	200	0	ILLUMINA	Illumina HiSeq 2000	SRP012236		2	0	SRS312064	SAMN00990827	simple	8801	Struthio camelus	SRP012236.1-5	NA	NA	NA	NA		NA	no	NA	NA	NA	NA	UPPSALA UNIVERSITY	SRA051785	NA	public	759163CFB8B07898037B13DFA0A5861E	6EF99309A5DC13F25F18533389E1BE2C
SRR496214	2013-01-22 14:49:28	2012-08-12 04:15:39	20781188	4156237600	20781188	200	2398	NA	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/SRR000/496/SRR496214.sralite.1	SRX147559	Brain Female pool:3	RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	200	0	ILLUMINA	Illumina HiSeq 2000	SRP012236		2	0	SRS332813	SAMN00992209	simple	8801	Struthio camelus	SRP012236.1-6	NA	NA	NA	NA		NA	no	NA	NA	NA	NA	UPPSALA UNIVERSITY	SRA051785	NA	public	D1CD8A2EB2617AA62D81993A10946ED6	17DF3046E4E355C602748DA4F944BA60
SRR504696	2013-01-22 14:49:28	2012-06-07 15:15:30	34201721	6840344200	34201721	200	3977	NA	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/SRR000/504/SRR504696.sralite.1	SRX151868	Liver Male pool:1	RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	200	0	ILLUMINA	Illumina HiSeq 2000	SRP012236		2	0	SRS344481	SAMN01041319	simple	8801	Struthio camelus	SRP012236.1-7	NA	NA	NA	NA		NA	no	NA	NA	NA	NA	UPPSALA UNIVERSITY	SRA051785	NA	public	F987F9D526D7F4441D790146579DCB83	AEB69857D8916BF041E1C115CAF01115
SRR507781	2013-01-22 14:49:28	2012-06-12 08:55:22	34589976	6917995200	34589976	200	4197	NA	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/SRR000/507/SRR507781.sralite.1	SRX153141	Liver Male pool:2	RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	200	0	ILLUMINA	Illumina HiSeq 2000	SRP012236		2	0	SRS344607	SAMN01041452	simple	8801	Struthio camelus	SRP012236.1-8	NA	NA	NA	NA		NA	no	NA	NA	NA	NA	UPPSALA UNIVERSITY	SRA051785	NA	public	ABB82E7956AFEF8067A7C75177470CC2	12A4B15998BF1913D19847366195EC93
SRR513096	2013-01-22 14:49:28	2012-06-13 08:44:18	24474803	4894960600	24474803	200	2838	NA	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/SRR000/513/SRR513096.sralite.1	SRX154477	Liver Male pool:3	RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	200	0	ILLUMINA	Illumina HiSeq 2000	SRP012236		2	0	SRS345670	SAMN01048167	simple	8801	Struthio camelus	SRP012236.1-9	NA	NA	NA	NA		NA	no	NA	NA	NA	NA	UPPSALA UNIVERSITY	SRA051785	NA	public	5A7330A3BAE14AF2BEE1CD4AC0ECEDD4	80AE581E0025DF2BCA96FAB24D6023CE
SRR1619445	2015-07-22 00:02:41	2014-10-23 05:31:40	35177744	7105904288	35177744	202	4721	NA	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/SRR161/9445/SRR1619445.sralite.1	SRX736627	Sc_cerebellum	RNA-Seq	PolyA	TRANSCRIPTOMIC	PAIRED	500	100	ILLUMINA	Illumina HiSeq 2000	SRP049083	PRJNA264356	NA	264356	SRS724683	SAMN03121476	simple	8801	Struthio camelus	Struthio camelus cerebellum RNA-Seq	NA	NA	NA	NA	male	NA	no	NA	NA	NA	NA	JOHANNES GUTENBERG UNIVERSITY MAINZ	SRA192744	NA	public	08F00A239993C81D316EF474B9F2BBFB	2077DF33F8628A857354DCC99E7B025B
