Run	ReleaseDate	LoadDate	spots	bases	spots_with_mates	avgLength	size_MB	AssemblyName	download_path	Experiment	LibraryName	LibraryStrategy	LibrarySelection	LibrarySource	LibraryLayout	InsertSize	InsertDev	Platform	Model	SRAStudy	BioProject	Study_Pubmed_id	ProjectID	Sample	BioSample	SampleType	TaxID	ScientificName	SampleName	g1k_pop_code	source	g1k_analysis_group	Subject_ID	Sex	Disease	Tumor	Affection_Status	Analyte_Type	Histological_Type	Body_Site	CenterName	Submission	dbgap_study_accession	Consent	RunHash	ReadHash
SRR13757107	2021-07-21 01:42:32	2021-02-21 04:20:21	33523501	3620538108	0	108	1139		https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR13757107/SRR13757107	SRX10143889	shallow_pH8.2a	RNA-Seq	other	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina NovaSeq 6000	SRP307291	PRJNA701170		701170	SRS8296915	SAMN17850049	simple	50429	Stylophora pistillata	A1							no					UNIVERSITY OF HAIFA	SRA1198425		public	05B613F99EA8129E19D59FD1685ECE5E	EECB1DBA011E6E4439CF4961CC1A9DF1
SRR13757106	2021-07-21 01:42:32	2021-02-21 04:25:52	37295107	4027871556	0	108	1267		https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR13757106/SRR13757106	SRX10143890	shallow_pH7.8a	RNA-Seq	other	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina NovaSeq 6000	SRP307291	PRJNA701170		701170	SRS8296916	SAMN17850050	simple	50429	Stylophora pistillata	A4							no					UNIVERSITY OF HAIFA	SRA1198425		public	8315D5819A41979A3AAD4658B5D2B285	8ACA632243AF1C23D1187A89F1C74B09
SRR13757115	2021-07-21 01:42:33	2021-02-21 04:23:53	43140331	4659155748	0	108	1464		https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR13757115/SRR13757115	SRX10143881	shallow_pH7.6a	RNA-Seq	other	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina NovaSeq 6000	SRP307291	PRJNA701170		701170	SRS8296909	SAMN17850051	simple	50429	Stylophora pistillata	A7							no					UNIVERSITY OF HAIFA	SRA1198425		public	3EA5C7C6C246F0841A4135DACDFC3DA7	71FE6C22FED14CF5B833FAB1E840E2DE
SRR13757114	2021-07-21 01:42:33	2021-02-21 04:28:34	51364947	5547414276	0	108	1742		https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR13757114/SRR13757114	SRX10143882	shallow_pH8.2b	RNA-Seq	other	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina NovaSeq 6000	SRP307291	PRJNA701170		701170	SRS8296907	SAMN17850052	simple	50429	Stylophora pistillata	B1							no					UNIVERSITY OF HAIFA	SRA1198425		public	CB9D065C1DAC58F68140D9E96F06BA57	8CD754FFA2084DFD33BBED87EA9D7982
SRR13757112	2021-07-21 01:42:33	2021-02-21 04:25:36	38392967	4146440436	0	108	1308		https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR13757112/SRR13757112	SRX10143883	shallow_pH7.8b	RNA-Seq	other	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina NovaSeq 6000	SRP307291	PRJNA701170		701170	SRS8296908	SAMN17850053	simple	50429	Stylophora pistillata	B4							no					UNIVERSITY OF HAIFA	SRA1198425		public	5723E30CC88DAC7FFE9CD4A496278283	CC39406D8AC92150C0DE22047DF7097B
SRR13757111	2021-07-21 01:42:32	2021-02-21 04:23:06	38286450	4134936600	0	108	1303		https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR13757111/SRR13757111	SRX10143884	shallow_pH7.6b	RNA-Seq	other	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina NovaSeq 6000	SRP307291	PRJNA701170		701170	SRS8296910	SAMN17850054	simple	50429	Stylophora pistillata	B7							no					UNIVERSITY OF HAIFA	SRA1198425		public	36BDE080779E14FCF7E93637E4B8A650	40AA146964B750007C3BA838CC214944
SRR13757110	2021-07-21 01:42:32	2021-02-21 04:32:48	56091508	6057882864	0	108	1908		https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR13757110/SRR13757110	SRX10143885	shallow_pH8.2c	RNA-Seq	other	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina NovaSeq 6000	SRP307291	PRJNA701170		701170	SRS8296912	SAMN17850055	simple	50429	Stylophora pistillata	C3							no					UNIVERSITY OF HAIFA	SRA1198425		public	15D83D0E1F05A19BC0D7C732D3E930D6	BF89D820F15E97E9E08607BBFCD5F876
SRR13757113	2021-07-21 01:42:32	2021-02-21 04:27:42	41310037	4461483996	0	108	1405		https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR13757113/SRR13757113	SRX10143886	shallow_pH7.8c	RNA-Seq	other	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina NovaSeq 6000	SRP307291	PRJNA701170		701170	SRS8296913	SAMN17850056	simple	50429	Stylophora pistillata	C4							no					UNIVERSITY OF HAIFA	SRA1198425		public	B8AE17CC7D68747E7FC353CDA8322AD4	04B67600F37D165403634FAD9D817DB3
SRR13757109	2021-07-21 01:42:32	2021-02-21 04:25:30	40881403	4415191524	0	108	1386		https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR13757109/SRR13757109	SRX10143887	shallow_pH7.6c	RNA-Seq	other	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina NovaSeq 6000	SRP307291	PRJNA701170		701170	SRS8296911	SAMN17850057	simple	50429	Stylophora pistillata	C7							no					UNIVERSITY OF HAIFA	SRA1198425		public	1235A52A74F4611CB872DD2C0F078AF2	363AF8DCBDC8AE45C6DF843241B57E82
SRR13725608	2021-05-03 16:50:15	2021-02-16 21:12:54	78295508	5872163100	78295508	75	2314		https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR13725608/SRR13725608	SRX10113623		RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	NextSeq 500	SRP306761	PRJNA702190	3	702190	SRS8269127	SAMN17927728	simple	50429	Stylophora pistillata	GSM5087791							no					GEO	SRA1196959		public	2225051CD5902723F6EFD3F22C1E3E2A	58DF087D18CC25ADEEE8FEBA5B95CF8E
SRR13725609	2021-05-03 16:50:15	2021-02-17 03:47:10	1028579061	77143429575	1028579061	75	31479		https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR13725609/SRR13725609	SRX10113623		RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	NextSeq 500	SRP306761	PRJNA702190	3	702190	SRS8269127	SAMN17927728	simple	50429	Stylophora pistillata	GSM5087791							no					GEO	SRA1196959		public	EC5BDC7AC6C38E4EE0DC2CA10148BD57	64423BF8CBD35295E57816D159BBD2FB
