Run	ReleaseDate	LoadDate	spots	bases	spots_with_mates	avgLength	size_MB	AssemblyName	download_path	Experiment	LibraryName	LibraryStrategy	LibrarySelection	LibrarySource	LibraryLayout	InsertSize	InsertDev	Platform	Model	SRAStudy	BioProject	Study_Pubmed_id	ProjectID	Sample	BioSample	SampleType	TaxID	ScientificName	SampleName	g1k_pop_code	source	g1k_analysis_group	Subject_ID	Sex	Disease	Tumor	Affection_Status	Analyte_Type	Histological_Type	Body_Site	CenterName	Submission	dbgap_study_accession	Consent	RunHash	ReadHash
SRR9024752	2019-05-07 15:01:11	2019-05-07 14:58:37	38918972	7861632344	38918972	202	3210	NA	https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR9024752/SRR9024752	SRX5802328	meerkat11_AdrenalGland	RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 4000	SRP195809	PRJNA540846	NA	540846	SRS4732055	SAMN11586965	simple	37032	Suricata suricatta	meerkat11_AdrenalGland	NA	NA	NA	NA	female	NA	no	NA	NA	NA	NA	DUKE UNIVERSITY	SRA883687	NA	public	236FAF613EE70C61DC7D26B5BBA3B89E	F50CA7E92262DE255DDF26C2B6CB0EF0
SRR9024741	2019-05-07 14:56:13	2019-05-07 14:53:05	40479736	8176906672	40479736	202	3360	NA	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-16/SRR009/024/SRR9024741.sralite.1	SRX5802339	meerkat11_Cerebrum_TemporalLobe	RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 4000	SRP195809	PRJNA540846	NA	540846	SRS4732066	SAMN11586968	simple	37032	Suricata suricatta	meerkat11_Cerebrum_TemporalLobe	NA	NA	NA	NA	female	NA	no	NA	NA	NA	NA	DUKE UNIVERSITY	SRA883687	NA	public	11B33283EFEAD011095DEB7B0F5731D5	48E9B64E93985732B784FC12AAA9186F
SRR9024740	2019-05-07 14:56:13	2019-05-07 14:53:18	40762150	8233954300	40762150	202	3325	NA	https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR9024740/SRR9024740	SRX5802340	meerkat11_Cerrebellum	RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 4000	SRP195809	PRJNA540846	NA	540846	SRS4732067	SAMN11586969	simple	37032	Suricata suricatta	meerkat11_Cerrebellum	NA	NA	NA	NA	female	NA	no	NA	NA	NA	NA	DUKE UNIVERSITY	SRA883687	NA	public	3A63EFF5F1BE450F2A74910BDCD05CB6	2FB40FADA51FD39BBA06F2E51A36815D
SRR9024746	2019-05-07 14:56:13	2019-05-07 14:52:59	37186951	7511764102	37186951	202	2990	NA	https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR9024746/SRR9024746	SRX5802334	meerkat11_Heart	RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 4000	SRP195809	PRJNA540846	NA	540846	SRS4732061	SAMN11586959	simple	37032	Suricata suricatta	meerkat11_Heart	NA	NA	NA	NA	female	NA	no	NA	NA	NA	NA	DUKE UNIVERSITY	SRA883687	NA	public	5E72C307DA90C3B0C6D7F4085C7788CA	6DE5F3848A3FF00C8BEF27199AA25DE2
SRR9024748	2019-05-07 14:59:12	2019-05-07 14:56:44	38039601	7683999402	38039601	202	3143	NA	https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR9024748/SRR9024748	SRX5802332	meerkat11_Intestine_Lower	RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 4000	SRP195809	PRJNA540846	NA	540846	SRS4732059	SAMN11586961	simple	37032	Suricata suricatta	meerkat11_Intestine_Lower	NA	NA	NA	NA	female	NA	no	NA	NA	NA	NA	DUKE UNIVERSITY	SRA883687	NA	public	15DBB4DA6689E06B566A44DCFD568AFB	07ADB2AB9A77E3E12B60872988454936
SRR9024751	2019-05-07 14:46:16	2019-05-07 14:43:21	4461243	901171086	4461243	202	402	NA	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-14/SRR009/024/SRR9024751.sralite.1	SRX5802329	meerkat11_Intestine_Middle	RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 4000	SRP195809	PRJNA540846	NA	540846	SRS4732056	SAMN11586962	simple	37032	Suricata suricatta	meerkat11_Intestine_Middle	NA	NA	NA	NA	female	NA	no	NA	NA	NA	NA	DUKE UNIVERSITY	SRA883687	NA	public	81E730FC70EA7DB1C7151BE8ACEC3CC2	576A75FDD5F1ABBB1710FC15B0AAE965
SRR9024750	2019-05-07 14:46:16	2019-05-07 14:43:24	4604632	930135664	4604632	202	419	NA	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-14/SRR009/024/SRR9024750.sralite.1	SRX5802330	meerkat11_Intestine_Upper	RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 4000	SRP195809	PRJNA540846	NA	540846	SRS4732057	SAMN11586963	simple	37032	Suricata suricatta	meerkat11_Intestine_Upper	NA	NA	NA	NA	female	NA	no	NA	NA	NA	NA	DUKE UNIVERSITY	SRA883687	NA	public	A23422943215708C430715390739314E	E0E1C559C59D4721F1FB6C7B0D0B059D
SRR9024753	2019-05-07 15:01:11	2019-05-07 14:58:30	43081970	8702557940	43081970	202	3479	NA	https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR9024753/SRR9024753	SRX5802327	meerkat11_Kidney	RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 4000	SRP195809	PRJNA540846	NA	540846	SRS4732054	SAMN11586964	simple	37032	Suricata suricatta	meerkat11_Kidney	NA	NA	NA	NA	female	NA	no	NA	NA	NA	NA	DUKE UNIVERSITY	SRA883687	NA	public	D33AB880B00CF3D80D5B8FFD31294D23	ECFFC11CE3887F2C11EAB96F69D2500B
SRR9024747	2019-05-07 15:18:34	2019-05-07 15:07:09	37865816	7648894832	37865816	202	3178	NA	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-16/SRR009/024/SRR9024747.sralite.1	SRX5802333	meerkat11_Liver	RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 4000	SRP195809	PRJNA540846	NA	540846	SRS4732060	SAMN11586958	simple	37032	Suricata suricatta	meerkat11_Liver	NA	NA	NA	NA	female	NA	no	NA	NA	NA	NA	DUKE UNIVERSITY	SRA883687	NA	public	21E90C2C65DEA67C98F3E194D3C22535	A9353DE5869172266863ED446385C241
SRR9024755	2019-05-07 15:03:12	2019-05-07 15:00:23	40253451	8131197102	40253451	202	3370	NA	https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR9024755/SRR9024755	SRX5802325	meerkat11_Lungs	RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 4000	SRP195809	PRJNA540846	NA	540846	SRS4732052	SAMN11586966	simple	37032	Suricata suricatta	meerkat11_Lungs	NA	NA	NA	NA	female	NA	no	NA	NA	NA	NA	DUKE UNIVERSITY	SRA883687	NA	public	8661988A388270C44DD63AD26C89BDA9	B958DE1A46AAC13A47F84D8DB29886B3
