Run	ReleaseDate	LoadDate	spots	bases	spots_with_mates	avgLength	size_MB	AssemblyName	download_path	Experiment	LibraryName	LibraryStrategy	LibrarySelection	LibrarySource	LibraryLayout	InsertSize	InsertDev	Platform	Model	SRAStudy	BioProject	Study_Pubmed_id	ProjectID	Sample	BioSample	SampleType	TaxID	ScientificName	SampleName	g1k_pop_code	source	g1k_analysis_group	Subject_ID	Sex	Disease	Tumor	Affection_Status	Analyte_Type	Histological_Type	Body_Site	CenterName	Submission	dbgap_study_accession	Consent	RunHash	ReadHash
ERR2930321	2019-04-25 07:37:42	2019-04-25 07:39:47	0	0	0	0	2073		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-16/ERR002/930/ERR2930321.sralite.1	ERX2933209	L_Sample_127_p	RNA-Seq	PolyA	TRANSCRIPTOMIC	PAIRED	150	0	ILLUMINA	Illumina HiSeq 3000	ERP112331	PRJEB29969		535458	ERS2915854	SAMEA5131473	simple	9823	Sus scrofa	SAMEA5131473					male		no					Institute of Molecular Medicine, University of Leeds, United Kingdom	ERA1666429		public	E15D55B00F6B4BDB1CFCAB88B777914F	1F2A50B1078BE0D15ED73122884887AC
ERR2930322	2019-04-25 07:37:42	2021-10-25 14:16:34	16435632	4963560864	16435632	302	2043		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos4/sra-pub-zq-1/ERR002/2930/ERR2930322/ERR2930322.lite.2	ERX2933209	L_Sample_127_p	RNA-Seq	PolyA	TRANSCRIPTOMIC	PAIRED	150	0	ILLUMINA	Illumina HiSeq 3000	ERP112331	PRJEB29969		535458	ERS2915854	SAMEA5131473	simple	9823	Sus scrofa	SAMEA5131473					male		no					Institute of Molecular Medicine, University of Leeds, United Kingdom	ERA1666429		public	5A8D3B759D57A4955D40E955B75A6D93	23FBD94BA2F17D8117E13340BFD3D596
ERR2930323	2019-04-25 07:37:42	2019-04-25 07:39:38	0	0	0	0	1723		https://sra-pub-run-odp.s3.amazonaws.com/sra/ERR2930323/ERR2930323	ERX2933210	L_Sample_128_p	RNA-Seq	PolyA	TRANSCRIPTOMIC	PAIRED	150	0	ILLUMINA	Illumina HiSeq 3000	ERP112331	PRJEB29969		535458	ERS2915855	SAMEA5131474	simple	9823	Sus scrofa	SAMEA5131474					male		no					Institute of Molecular Medicine, University of Leeds, United Kingdom	ERA1666429		public	3991C37A911FB15224782B50CCE7106E	47274D4E097DAFD75460099830455607
ERR2930324	2019-04-25 07:37:42	2019-04-25 07:41:41	0	0	0	0	1719		https://sra-pub-run-odp.s3.amazonaws.com/sra/ERR2930324/ERR2930324	ERX2933210	L_Sample_128_p	RNA-Seq	PolyA	TRANSCRIPTOMIC	PAIRED	150	0	ILLUMINA	Illumina HiSeq 3000	ERP112331	PRJEB29969		535458	ERS2915855	SAMEA5131474	simple	9823	Sus scrofa	SAMEA5131474					male		no					Institute of Molecular Medicine, University of Leeds, United Kingdom	ERA1666429		public	BE8671B11A4FA0CE92EF8D592AB6A374	21529E45222D4B6F608EABFE39A22403
ERR2930325	2019-04-25 07:37:42	2019-04-25 07:42:05	0	0	0	0	2187		https://sra-pub-run-odp.s3.amazonaws.com/sra/ERR2930325/ERR2930325	ERX2933211	L_Sample_129_p	RNA-Seq	PolyA	TRANSCRIPTOMIC	PAIRED	150	0	ILLUMINA	Illumina HiSeq 3000	ERP112331	PRJEB29969		535458	ERS2915856	SAMEA5131475	simple	9823	Sus scrofa	SAMEA5131475					male		no					Institute of Molecular Medicine, University of Leeds, United Kingdom	ERA1666429		public	A6B5EE5B9A0F60E7B4FBF4924FCBD06E	B18FCCEB72986BFBA8ED755D6C682BD1
ERR2930326	2019-04-25 07:37:42	2021-10-25 14:07:23	16877794	5097093788	16877794	302	2186		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos4/sra-pub-zq-1/ERR002/2930/ERR2930326/ERR2930326.lite.2	ERX2933211	L_Sample_129_p	RNA-Seq	PolyA	TRANSCRIPTOMIC	PAIRED	150	0	ILLUMINA	Illumina HiSeq 3000	ERP112331	PRJEB29969		535458	ERS2915856	SAMEA5131475	simple	9823	Sus scrofa	SAMEA5131475					male		no					Institute of Molecular Medicine, University of Leeds, United Kingdom	ERA1666429		public	055FD47C0FCA7366B404CF4E7F82A265	42B08F22EB74B711EBCE2202819DB456
ERR2930327	2019-04-25 07:37:42	2019-04-25 07:43:59	0	0	0	0	2039		https://sra-pub-run-odp.s3.amazonaws.com/sra/ERR2930327/ERR2930327	ERX2933212	L_Sample_130_p	RNA-Seq	PolyA	TRANSCRIPTOMIC	PAIRED	150	0	ILLUMINA	Illumina HiSeq 3000	ERP112331	PRJEB29969		535458	ERS2915857	SAMEA5131476	simple	9823	Sus scrofa	SAMEA5131476					male		no					Institute of Molecular Medicine, University of Leeds, United Kingdom	ERA1666429		public	FFE9E32A32530215E1D4FE315101E848	CEF965F1555BBFED46A9A2F4C74FAB17
ERR2930328	2019-04-25 07:37:42	2019-04-25 07:44:33	0	0	0	0	2037		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-16/ERR002/930/ERR2930328.sralite.1	ERX2933212	L_Sample_130_p	RNA-Seq	PolyA	TRANSCRIPTOMIC	PAIRED	150	0	ILLUMINA	Illumina HiSeq 3000	ERP112331	PRJEB29969		535458	ERS2915857	SAMEA5131476	simple	9823	Sus scrofa	SAMEA5131476					male		no					Institute of Molecular Medicine, University of Leeds, United Kingdom	ERA1666429		public	04FDB7A114A2F8B1738149B7F514B1CB	CE3873B7C6EA4EE7968BA9A3F3B5DD67
ERR2930329	2019-04-25 07:37:42	2019-04-25 07:43:46	0	0	0	0	1829		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-16/ERR002/930/ERR2930329.sralite.1	ERX2933213	L_Sample_160_p	RNA-Seq	PolyA	TRANSCRIPTOMIC	PAIRED	150	0	ILLUMINA	Illumina HiSeq 3000	ERP112331	PRJEB29969		535458	ERS2915858	SAMEA5131477	simple	9823	Sus scrofa	SAMEA5131477					male		no					Institute of Molecular Medicine, University of Leeds, United Kingdom	ERA1666429		public	5520CD3948EF2CE2DA05B8153FACD18D	DFE46014288B81458507DA7ED396D601
ERR2930330	2019-04-25 07:37:42	2019-04-25 07:46:47	0	0	0	0	1822		https://sra-pub-run-odp.s3.amazonaws.com/sra/ERR2930330/ERR2930330	ERX2933213	L_Sample_160_p	RNA-Seq	PolyA	TRANSCRIPTOMIC	PAIRED	150	0	ILLUMINA	Illumina HiSeq 3000	ERP112331	PRJEB29969		535458	ERS2915858	SAMEA5131477	simple	9823	Sus scrofa	SAMEA5131477					male		no					Institute of Molecular Medicine, University of Leeds, United Kingdom	ERA1666429		public	33E42CA90416D723E4B852132B11DB5E	23878C781F273791685AA710321ABD05
