Run	ReleaseDate	LoadDate	spots	bases	spots_with_mates	avgLength	size_MB	AssemblyName	download_path	Experiment	LibraryName	LibraryStrategy	LibrarySelection	LibrarySource	LibraryLayout	InsertSize	InsertDev	Platform	Model	SRAStudy	BioProject	Study_Pubmed_id	ProjectID	Sample	BioSample	SampleType	TaxID	ScientificName	SampleName	g1k_pop_code	source	g1k_analysis_group	Subject_ID	Sex	Disease	Tumor	Affection_Status	Analyte_Type	Histological_Type	Body_Site	CenterName	Submission	dbgap_study_accession	Consent	RunHash	ReadHash
SRR7909950	2020-10-09 17:04:10	2018-09-27 15:14:34	61791578	6179157800	61791578	100	1733	NA	https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR7909950/SRR7909950	SRX4746061		RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 2500	SRP162762	PRJNA493636	3	493636	SRS3826051	SAMN10139010	simple	50954	Talpa occidentalis	GSM3403684	NA	NA	NA	NA		NA	no	NA	NA	NA	NA	GEO	SRA785169	NA	public	3C8280A3CA72F1166348C042DE5DDB9D	7C7823622FD5DFA972AABDC7501F159A
SRR7909951	2020-10-09 17:04:10	2018-09-27 14:58:55	62551000	6255100000	62551000	100	3814	NA	https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR7909951/SRR7909951	SRX4746062		RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 2500	SRP162762	PRJNA493636	3	493636	SRS3826054	SAMN10139009	simple	50954	Talpa occidentalis	GSM3403685	NA	NA	NA	NA		NA	no	NA	NA	NA	NA	GEO	SRA785169	NA	public	92AD2029BC94E86468C66EDD7E1AB4AE	51D374DAC8AEB5F12232CEF7CAA7E155
SRR7909952	2020-10-09 17:04:10	2018-09-27 15:10:58	60073498	6007349800	60073498	100	1665	NA	https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR7909952/SRR7909952	SRX4746063		RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 2500	SRP162762	PRJNA493636	3	493636	SRS3826053	SAMN10139006	simple	50954	Talpa occidentalis	GSM3403686	NA	NA	NA	NA		NA	no	NA	NA	NA	NA	GEO	SRA785169	NA	public	54AF5F75C12B40419173AA384E1F892B	59892D65B547D44BCB3CA28D7F6E7AC0
SRR7909953	2020-10-09 17:04:10	2018-09-27 15:02:07	41664367	4166436700	41664367	100	1238	NA	https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR7909953/SRR7909953	SRX4746064		RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 2500	SRP162762	PRJNA493636	3	493636	SRS3826056	SAMN10139004	simple	50954	Talpa occidentalis	GSM3403687	NA	NA	NA	NA		NA	no	NA	NA	NA	NA	GEO	SRA785169	NA	public	D509254B30938470B6CC8C17C772F4CA	532F955B1EB0D2E64BE50940E4B13BFB
SRR7909954	2020-10-09 17:04:10	2018-09-27 15:03:36	56673232	5667323200	56673232	100	3756	NA	https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR7909954/SRR7909954	SRX4746065		RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 2500	SRP162762	PRJNA493636	3	493636	SRS3826057	SAMN10139003	simple	50954	Talpa occidentalis	GSM3403688	NA	NA	NA	NA		NA	no	NA	NA	NA	NA	GEO	SRA785169	NA	public	D81E1C7960345C3107BE5AC0444FE541	B9665D15B0EF61757EF3CFF59B772104
SRR7909955	2020-10-09 17:04:10	2018-09-27 15:04:56	69684113	6968411300	69684113	100	4706	NA	https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR7909955/SRR7909955	SRX4746066		RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 2500	SRP162762	PRJNA493636	3	493636	SRS3826058	SAMN10139001	simple	50954	Talpa occidentalis	GSM3403689	NA	NA	NA	NA		NA	no	NA	NA	NA	NA	GEO	SRA785169	NA	public	7B5EFF53372E25606D00A860D2B4159E	00AEF2E2262E7AD0E8613D7157147EAA
SRR7909956	2020-10-09 17:04:10	2018-09-27 14:58:03	65620825	6562082500	65620825	100	4505	NA	https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR7909956/SRR7909956	SRX4746067		RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 2500	SRP162762	PRJNA493636	3	493636	SRS3826059	SAMN10138999	simple	50954	Talpa occidentalis	GSM3403690	NA	NA	NA	NA		NA	no	NA	NA	NA	NA	GEO	SRA785169	NA	public	90677F240E6C775D6FE818BFB367FC96	ABFB02F0977D93302816CDFB164C30F2
SRR7909957	2020-10-09 17:04:10	2018-09-27 15:03:04	79419303	7941930300	79419303	100	5282	NA	https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR7909957/SRR7909957	SRX4746068		RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 2500	SRP162762	PRJNA493636	3	493636	SRS3826062	SAMN10138998	simple	50954	Talpa occidentalis	GSM3403691	NA	NA	NA	NA		NA	no	NA	NA	NA	NA	GEO	SRA785169	NA	public	1A2F722F469565FDC6E60E86F98816AD	AF26B056802945CE99E5D7BD5E13588F
SRR7909958	2020-10-09 17:04:10	2018-09-27 15:08:20	70827390	7082739000	70827390	100	4850	NA	https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR7909958/SRR7909958	SRX4746069		RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 2500	SRP162762	PRJNA493636	3	493636	SRS3826061	SAMN10138997	simple	50954	Talpa occidentalis	GSM3403692	NA	NA	NA	NA		NA	no	NA	NA	NA	NA	GEO	SRA785169	NA	public	C4F3C242027879CB14F38CDCD791BFEC	9DA5E7AF856891AE82C19FC51B04F353
SRR7909959	2020-10-09 17:04:10	2018-09-27 15:00:59	68915865	6891586500	68915865	100	4587	NA	https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR7909959/SRR7909959	SRX4746070		RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 2500	SRP162762	PRJNA493636	3	493636	SRS3826063	SAMN10138995	simple	50954	Talpa occidentalis	GSM3403693	NA	NA	NA	NA		NA	no	NA	NA	NA	NA	GEO	SRA785169	NA	public	608D5EC2B4C0BB61AF7E90C7CFBE6300	157B977914AE745964B0B75BACF19C94
SRR7909960	2020-10-09 17:04:10	2018-09-27 15:04:08	71929004	7192900400	71929004	100	4840	NA	https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR7909960/SRR7909960	SRX4746071		RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 2500	SRP162762	PRJNA493636	3	493636	SRS3826064	SAMN10138994	simple	50954	Talpa occidentalis	GSM3403694	NA	NA	NA	NA		NA	no	NA	NA	NA	NA	GEO	SRA785169	NA	public	B7D512E3D2A46CFFD3ABE2D24C248986	0BFC85407E19690A04928C36F9AB93A7
SRR7909961	2020-10-09 17:04:10	2018-09-27 15:11:46	83408583	8340858300	83408583	100	5642	NA	https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR7909961/SRR7909961	SRX4746072		RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 2500	SRP162762	PRJNA493636	3	493636	SRS3826065	SAMN10138992	simple	50954	Talpa occidentalis	GSM3403695	NA	NA	NA	NA		NA	no	NA	NA	NA	NA	GEO	SRA785169	NA	public	5523D38146CC149D5B72F026DEA89FFE	5C064C276B8451F21F5BA687D274A9A6
SRR7909963	2020-10-09 17:04:10	2018-09-28 01:30:09	79449840	7944984000	79449840	100	5487	NA	https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR7909963/SRR7909963	SRX4746073		RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 2500	SRP162762	PRJNA493636	3	493636	SRS3826066	SAMN10138991	simple	50954	Talpa occidentalis	GSM3403696	NA	NA	NA	NA		NA	no	NA	NA	NA	NA	GEO	SRA785169	NA	public	9208666134DDDAF5167E962EDF911FEF	A5F139AC920881B8A99575F31AFDB44A
SRR7909964	2020-10-09 17:04:10	2018-09-27 15:03:14	62242065	6224206500	62242065	100	3695	NA	https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR7909964/SRR7909964	SRX4746074		RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 2500	SRP162762	PRJNA493636	3	493636	SRS3826067	SAMN10138989	simple	50954	Talpa occidentalis	GSM3403697	NA	NA	NA	NA		NA	no	NA	NA	NA	NA	GEO	SRA785169	NA	public	47E3BABB09D00CC26067C64124974858	42B0ABD4A154B1EAD7F6729840F1791F
SRR7909965	2020-10-09 17:04:11	2018-09-27 15:00:12	59946648	5994664800	59946648	100	3584	NA	https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR7909965/SRR7909965	SRX4746075		RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 2500	SRP162762	PRJNA493636	3	493636	SRS3826068	SAMN10138988	simple	50954	Talpa occidentalis	GSM3403698	NA	NA	NA	NA		NA	no	NA	NA	NA	NA	GEO	SRA785169	NA	public	6FA2FAEB221EBECCE83C627630D8996C	6579F0237E04C9AE129D00AE47CF3DFD
SRR7909966	2020-10-09 17:04:11	2018-09-27 15:10:38	58796954	5879695400	58796954	100	3510	NA	https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR7909966/SRR7909966	SRX4746076		RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 2500	SRP162762	PRJNA493636	3	493636	SRS3826095	SAMN10138986	simple	50954	Talpa occidentalis	GSM3403699	NA	NA	NA	NA		NA	no	NA	NA	NA	NA	GEO	SRA785169	NA	public	33BEE0F95653CBF7274C2165791BE249	66365416162F343D84127355D66C9F03
SRR7909967	2020-10-09 17:04:11	2018-09-27 14:56:52	58198919	5819891900	58198919	100	3698	NA	https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR7909967/SRR7909967	SRX4746077		RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 2500	SRP162762	PRJNA493636	3	493636	SRS3826069	SAMN10138985	simple	50954	Talpa occidentalis	GSM3403700	NA	NA	NA	NA		NA	no	NA	NA	NA	NA	GEO	SRA785169	NA	public	1A963B267D4D896367D61C7B59F46824	B9D6FA4CB46B5C89165ABF2B7820C849
SRR7909968	2020-10-09 17:04:11	2018-09-27 15:08:45	85925104	8592510400	85925104	100	5248	NA	https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR7909968/SRR7909968	SRX4746078		RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 2500	SRP162762	PRJNA493636	3	493636	SRS3826070	SAMN10138983	simple	50954	Talpa occidentalis	GSM3403701	NA	NA	NA	NA		NA	no	NA	NA	NA	NA	GEO	SRA785169	NA	public	95A5083F6354487366BBCF628A0128CA	3021B3888DFFD2757445393E76AF2ABA
SRR7909969	2020-10-09 17:04:11	2018-09-27 15:02:10	73525276	7352527600	73525276	100	4533	NA	https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR7909969/SRR7909969	SRX4746079		RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 2500	SRP162762	PRJNA493636	3	493636	SRS3826071	SAMN10138982	simple	50954	Talpa occidentalis	GSM3403702	NA	NA	NA	NA		NA	no	NA	NA	NA	NA	GEO	SRA785169	NA	public	E91C7C5EF50629E392368092B2FF7CF9	69A2C97A88551AB34CAD483D1388D88F
