Run	ReleaseDate	LoadDate	spots	bases	spots_with_mates	avgLength	size_MB	AssemblyName	download_path	Experiment	LibraryName	LibraryStrategy	LibrarySelection	LibrarySource	LibraryLayout	InsertSize	InsertDev	Platform	Model	SRAStudy	BioProject	Study_Pubmed_id	ProjectID	Sample	BioSample	SampleType	TaxID	ScientificName	SampleName	g1k_pop_code	source	g1k_analysis_group	Subject_ID	Sex	Disease	Tumor	Affection_Status	Analyte_Type	Histological_Type	Body_Site	CenterName	Submission	dbgap_study_accession	Consent	RunHash	ReadHash
SRR9285891	2020-06-30 00:01:02	2019-06-12 21:04:46	49627498	10024754596	49627498	202	3770	NA	https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR9285891/SRR9285891	SRX6055590	LV_Ts	RNA-Seq	RANDOM	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 3000	SRP200731	PRJNA547721	NA	547721	SRS4890498	SAMN11975258	simple	13715	Tetracentron sinense	Tetra_gDNA	NA	NA	NA	NA	NA	NA	no	NA	NA	NA	NA	UNIVERSITY OF FLORIDA	SRA898092	NA	public	D8680FBB50F2034CEA6497D701094C9E	3D34B58D28BC6DBF7C6BDED126E31522
SRR9285892	2020-06-30 00:01:02	2019-06-12 20:26:01	55495660	11210123320	55495660	202	4369	NA	https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR9285892/SRR9285892	SRX6055589	FL_Ts	RNA-Seq	RANDOM	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 3000	SRP200731	PRJNA547721	NA	547721	SRS4890498	SAMN11975258	simple	13715	Tetracentron sinense	Tetra_gDNA	NA	NA	NA	NA	NA	NA	no	NA	NA	NA	NA	UNIVERSITY OF FLORIDA	SRA898092	NA	public	1307AFC99A2023A9F54882E90921DBF6	748784EC935E8C161F9260B54234F002
SRR11566795	2020-10-28 21:41:27	2020-04-18 12:07:58	18081841	5424552300	18081841	300	1579	NA	https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR11566795/SRR11566795	SRX8135966	rna-yn0-guo-3	RNA-Seq	RANDOM	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	HiSeq X Ten	SRP257226	PRJNA625382	3	625382	SRS6499284	SAMN14615869	simple	13715	Tetracentron sinense	yn0-guo	NA	NA	NA	NA	NA	NA	no	NA	NA	NA	NA	ORI-GENE CO. LTD.	SRA1066646	NA	public	469A416D0E31FDE1062F5A9D07A3D8CC	F44936CBF69346DBFE31819261B88C4E
SRR11566796	2020-10-28 21:41:27	2020-04-18 12:15:07	22916483	6874944900	22916483	300	1997	NA	https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR11566796/SRR11566796	SRX8135965	rna-yn0-guo-2	RNA-Seq	RANDOM	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	HiSeq X Ten	SRP257226	PRJNA625382	3	625382	SRS6499284	SAMN14615869	simple	13715	Tetracentron sinense	yn0-guo	NA	NA	NA	NA	NA	NA	no	NA	NA	NA	NA	ORI-GENE CO. LTD.	SRA1066646	NA	public	F9503FF128133FA7D1873DB56D2E49B8	080E9B6193F617447E65300F18E4DB72
SRR11566797	2020-10-28 21:41:27	2020-04-18 12:14:32	27011425	8103427500	27011425	300	2337	NA	https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR11566797/SRR11566797	SRX8135964	rna-yn0-guo-1	RNA-Seq	RANDOM	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	HiSeq X Ten	SRP257226	PRJNA625382	3	625382	SRS6499284	SAMN14615869	simple	13715	Tetracentron sinense	yn0-guo	NA	NA	NA	NA	NA	NA	no	NA	NA	NA	NA	ORI-GENE CO. LTD.	SRA1066646	NA	public	608564FC5C251CF4D95FACC0054CB885	C0ECA359D23F9A14F3016D3294E96DE1
SRR11566792	2020-10-28 21:41:28	2020-04-18 12:13:37	22844131	6853239300	22844131	300	1990	NA	https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR11566792/SRR11566792	SRX8135969	rna-yn0-jing-3	RNA-Seq	RANDOM	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	HiSeq X Ten	SRP257226	PRJNA625382	3	625382	SRS6499285	SAMN14615872	simple	13715	Tetracentron sinense	yn0-jing	NA	NA	NA	NA	NA	NA	no	NA	NA	NA	NA	ORI-GENE CO. LTD.	SRA1066646	NA	public	718D078533F655A326E2E363B55D6304	5C1C2BA7A39589B58A5C041321E8A586
SRR11566793	2020-10-28 21:41:28	2020-04-18 12:14:38	22052431	6615729300	22052431	300	1912	NA	https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR11566793/SRR11566793	SRX8135968	rna-yn0-jing-2	RNA-Seq	RANDOM	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	HiSeq X Ten	SRP257226	PRJNA625382	3	625382	SRS6499285	SAMN14615872	simple	13715	Tetracentron sinense	yn0-jing	NA	NA	NA	NA	NA	NA	no	NA	NA	NA	NA	ORI-GENE CO. LTD.	SRA1066646	NA	public	4FFFEF71A1393BF34095C0981F88EA9A	3DDB96537CB56CA6E3EAEEA546943117
SRR11566794	2020-10-28 21:41:28	2020-04-18 12:13:51	22662585	6798775500	22662585	300	1986	NA	https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR11566794/SRR11566794	SRX8135967	rna-yn0-jing-1	RNA-Seq	RANDOM	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	HiSeq X Ten	SRP257226	PRJNA625382	3	625382	SRS6499285	SAMN14615872	simple	13715	Tetracentron sinense	yn0-jing	NA	NA	NA	NA	NA	NA	no	NA	NA	NA	NA	ORI-GENE CO. LTD.	SRA1066646	NA	public	FB372C6B83068F75675A8C379E00B4BB	042F7E9C29316ED272C7F2D35BFE3711
SRR11566833	2020-10-28 21:41:27	2020-04-18 12:13:57	20336337	6100901100	20336337	300	1755	NA	https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR11566833/SRR11566833	SRX8135928	rna-yn0-ya-3	RNA-Seq	RANDOM	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	HiSeq X Ten	SRP257226	PRJNA625382	3	625382	SRS6499247	SAMN14615871	simple	13715	Tetracentron sinense	yn0-ya	NA	NA	NA	NA	NA	NA	no	NA	NA	NA	NA	ORI-GENE CO. LTD.	SRA1066646	NA	public	4842229474AF390D4C7ABD74E358D950	D5C2D3F4A2BE9FD8BD0D8681BE24B594
SRR11566834	2020-10-28 21:41:27	2020-04-18 12:13:41	23820234	7146070200	23820234	300	2068	NA	https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR11566834/SRR11566834	SRX8135927	rna-yn0-ya-2	RNA-Seq	RANDOM	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	HiSeq X Ten	SRP257226	PRJNA625382	3	625382	SRS6499247	SAMN14615871	simple	13715	Tetracentron sinense	yn0-ya	NA	NA	NA	NA	NA	NA	no	NA	NA	NA	NA	ORI-GENE CO. LTD.	SRA1066646	NA	public	4ABAF35AFB4A219968E48B09D227FA20	C6848DC17DEA62A39F50835FEE964677
