Run	ReleaseDate	LoadDate	spots	bases	spots_with_mates	avgLength	size_MB	AssemblyName	download_path	Experiment	LibraryName	LibraryStrategy	LibrarySelection	LibrarySource	LibraryLayout	InsertSize	InsertDev	Platform	Model	SRAStudy	BioProject	Study_Pubmed_id	ProjectID	Sample	BioSample	SampleType	TaxID	ScientificName	SampleName	g1k_pop_code	source	g1k_analysis_group	Subject_ID	Sex	Disease	Tumor	Affection_Status	Analyte_Type	Histological_Type	Body_Site	CenterName	Submission	dbgap_study_accession	Consent	RunHash	ReadHash
SRR5786936	2018-07-05 00:05:28	2017-06-30 21:18:15	28343569	2862700469	0	101	988	NA	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-14/SRR005/786/SRR5786936.sralite.1	SRX2973271	Tpa_SF_GN_Re1	RNA-Seq	unspecified	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 2000	SRP110799	PRJNA392384	3	392384	SRS2328276	SAMN07297600	simple	61482	Timema podura	Tpa_SF_GN_Re1	NA	NA	NA	NA	female	NA	no	NA	NA	NA	NA	UNIVERSITY OF LAUSANNE	SRA582578	NA	public	83B028EE2F79511A622F4DAFC2C49BA7	4BEBD10AFAE208AFABC870D0E97B62E6
SRR5786935	2018-07-05 00:05:28	2017-06-30 21:19:00	31001358	3131137158	0	101	1071	NA	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-14/SRR005/786/SRR5786935.sralite.1	SRX2973272	Tpa_SF_GN_Re2	RNA-Seq	unspecified	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 2000	SRP110799	PRJNA392384	3	392384	SRS2328277	SAMN07297601	simple	61482	Timema podura	Tpa_SF_GN_Re2	NA	NA	NA	NA	female	NA	no	NA	NA	NA	NA	UNIVERSITY OF LAUSANNE	SRA582578	NA	public	7AC4C25933D02051B2A3A1C5BA9A20A6	6A2373E322C9DBE8026C96227C3B6539
SRR5786934	2018-07-05 00:05:28	2017-06-30 21:17:48	27762780	2804040780	0	101	957	NA	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-14/SRR005/786/SRR5786934.sralite.1	SRX2973273	Tpa_SF_GN_Re3	RNA-Seq	unspecified	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 2000	SRP110799	PRJNA392384	3	392384	SRS2328278	SAMN07297602	simple	61482	Timema podura	Tpa_SF_GN_Re3	NA	NA	NA	NA	female	NA	no	NA	NA	NA	NA	UNIVERSITY OF LAUSANNE	SRA582578	NA	public	D47BBCAFB31E3947AD3C9BA47761F56B	8FE0C2E085B28A1C2FCCA43F455922B0
SRR5786940	2018-07-05 00:05:28	2017-06-30 21:26:55	38779682	3916747882	0	101	1313	NA	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-14/SRR005/786/SRR5786940.sralite.1	SRX2973266	Tpa_SF_HD_Re1	RNA-Seq	unspecified	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 2000	SRP110799	PRJNA392384	3	392384	SRS2328271	SAMN07297603	simple	61482	Timema podura	Tpa_SF_HD_Re1	NA	NA	NA	NA	female	NA	no	NA	NA	NA	NA	UNIVERSITY OF LAUSANNE	SRA582578	NA	public	46659C1D9B1E130396A11E3668D5A71B	5696D2369D3A6EEB2512D939B06715EC
SRR5786939	2018-07-05 00:05:28	2017-06-30 21:20:29	29081928	2937274728	0	101	997	NA	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-14/SRR005/786/SRR5786939.sralite.1	SRX2973267	Tpa_SF_HD_Re2	RNA-Seq	unspecified	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 2000	SRP110799	PRJNA392384	3	392384	SRS2328272	SAMN07297604	simple	61482	Timema podura	Tpa_SF_HD_Re2	NA	NA	NA	NA	female	NA	no	NA	NA	NA	NA	UNIVERSITY OF LAUSANNE	SRA582578	NA	public	FB353A3AE2AA5129B71AEA24143BA6EF	9826181BE00DA69197E8E5D1CEF86574
SRR5786853	2018-07-05 00:05:29	2017-06-30 20:51:50	27075065	2734581565	0	101	930	NA	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-14/SRR005/786/SRR5786853.sralite.1	SRX2973357	Tpa_SF_HD_Re3	RNA-Seq	unspecified	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 2000	SRP110799	PRJNA392384	3	392384	SRS2328363	SAMN07297605	simple	61482	Timema podura	Tpa_SF_HD_Re3	NA	NA	NA	NA	female	NA	no	NA	NA	NA	NA	UNIVERSITY OF LAUSANNE	SRA582578	NA	public	5541D64D0882F5954E73ACBB2372D3AA	CA87ECB86C727D10497813AD81892F73
SRR5786849	2018-07-05 00:05:29	2017-06-30 20:51:32	29209010	2950110010	0	101	1001	NA	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-14/SRR005/786/SRR5786849.sralite.1	SRX2973358	Tpa_SF_LG_Re1	RNA-Seq	unspecified	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 2000	SRP110799	PRJNA392384	3	392384	SRS2328362	SAMN07297606	simple	61482	Timema podura	Tpa_SF_LG_Re1	NA	NA	NA	NA	female	NA	no	NA	NA	NA	NA	UNIVERSITY OF LAUSANNE	SRA582578	NA	public	F1B670128786EFD0EC88D6FDDA598B00	D18EBEF782572BD170BD406C9FE96D74
SRR5786838	2018-07-05 00:05:30	2017-06-30 20:52:15	31833155	3215148655	0	101	1090	NA	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-14/SRR005/786/SRR5786838.sralite.1	SRX2973369	Tpa_SF_LG_Re2	RNA-Seq	unspecified	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 2000	SRP110799	PRJNA392384	3	392384	SRS2328374	SAMN07297607	simple	61482	Timema podura	Tpa_SF_LG_Re2	NA	NA	NA	NA	female	NA	no	NA	NA	NA	NA	UNIVERSITY OF LAUSANNE	SRA582578	NA	public	EC602EA4AF2CC858D239ED225FAEA3E9	D89A0F5ABAFECD2DFBD2272333036023
SRR5786836	2018-07-05 00:05:30	2017-06-30 20:51:41	30564667	3087031367	0	101	1048	NA	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-14/SRR005/786/SRR5786836.sralite.1	SRX2973370	Tpa_SF_LG_Re3	RNA-Seq	unspecified	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 2000	SRP110799	PRJNA392384	3	392384	SRS2328375	SAMN07297608	simple	61482	Timema podura	Tpa_SF_LG_Re3	NA	NA	NA	NA	female	NA	no	NA	NA	NA	NA	UNIVERSITY OF LAUSANNE	SRA582578	NA	public	5882C189F62AD22FD2BF076616C91F08	99F25C2A97EBDB1E4ACB4F66A1ECA259
SRR5748996	2018-07-03 00:16:41	2017-06-24 20:55:39	20388826	2059271426	0	101	678	NA	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-14/SRR005/748/SRR5748996.sralite.1	SRX2949433	Tpa_SF_Md_R1	RNA-Seq	unspecified	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 2000	SRP110229	PRJNA380865	2	380865	SRS2307919	SAMN07268507	simple	61482	Timema podura	Tpa_SF_Md_R1	NA	NA	NA	NA	female	NA	no	NA	NA	NA	NA	UNIVERSITY OF LAUSANNE	SRA580229	NA	public	42CE4859D90A094B31DF5002E37CBA50	1BA6486F90038E03F6E6411BE8634DCF
SRR5748992	2018-07-03 00:16:41	2017-06-24 20:58:16	29551172	2984668372	0	101	980	NA	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-14/SRR005/748/SRR5748992.sralite.1	SRX2949434	Tpa_SF_Md_R2	RNA-Seq	unspecified	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 2000	SRP110229	PRJNA380865	2	380865	SRS2307920	SAMN07268508	simple	61482	Timema podura	Tpa_SF_Md_R2	NA	NA	NA	NA	female	NA	no	NA	NA	NA	NA	UNIVERSITY OF LAUSANNE	SRA580229	NA	public	422CC3922B207CD4D8B09C2919E409A0	74378F93040B2ED428C4727C61440266
