Run	ReleaseDate	LoadDate	spots	bases	spots_with_mates	avgLength	size_MB	AssemblyName	download_path	Experiment	LibraryName	LibraryStrategy	LibrarySelection	LibrarySource	LibraryLayout	InsertSize	InsertDev	Platform	Model	SRAStudy	BioProject	Study_Pubmed_id	ProjectID	Sample	BioSample	SampleType	TaxID	ScientificName	SampleName	g1k_pop_code	source	g1k_analysis_group	Subject_ID	Sex	Disease	Tumor	Affection_Status	Analyte_Type	Histological_Type	Body_Site	CenterName	Submission	dbgap_study_accession	Consent	RunHash	ReadHash
ERR2198827	2018-07-03 15:49:50	2018-07-07 07:30:49	44292078	13287623400	44292078	300	8679		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/ERR219/8827/ERR2198827.sralite.1	ERX2254393	trasc_brain	RNA-Seq	Inverse rRNA	TRANSCRIPTOMIC	PAIRED	300	0	ILLUMINA	Illumina HiSeq 2000	ERP023736	PRJEB21481		476073	ERS1797072	SAMEA104138054	simple	34903	Trachemys scripta	SAMEA104138054							no					AARHUS UNIVERSITY, DEPARTMENT OF MOLECULAR BIOLOGY	ERA1138226		public	88EDE3E9C1B6A8E53060A0B85AD6F018	A3A4A777CB8930A33C3DB16E33BD068B
ERR2198830	2018-07-03 15:49:50	2018-07-07 07:42:47	22741770	6822531000	22741770	300	4441		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/ERR219/8830/ERR2198830.sralite.1	ERX2254396	trasc_liver	RNA-Seq	Inverse rRNA	TRANSCRIPTOMIC	PAIRED	300	0	ILLUMINA	Illumina HiSeq 2000	ERP023736	PRJEB21481		476073	ERS1797073	SAMEA104138055	simple	34903	Trachemys scripta	SAMEA104138055							no					AARHUS UNIVERSITY, DEPARTMENT OF MOLECULAR BIOLOGY	ERA1138226		public	FDC3F8A66C28B762C56F5F68337F0730	DD81B55DFB97707B344D3103C09066F4
ERR2198829	2018-07-03 15:49:50	2018-07-07 07:44:09	57981380	17394414000	57981380	300	11638		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/ERR219/8829/ERR2198829.sralite.1	ERX2254395	trasc_kidney	RNA-Seq	Inverse rRNA	TRANSCRIPTOMIC	PAIRED	300	0	ILLUMINA	Illumina HiSeq 2000	ERP023736	PRJEB21481		476073	ERS1797074	SAMEA104138056	simple	34903	Trachemys scripta	SAMEA104138056							no					AARHUS UNIVERSITY, DEPARTMENT OF MOLECULAR BIOLOGY	ERA1138226		public	F3855DA36733809853CBC4E2091A9505	E766027DEED01147F43F08EAE33A6EEB
ERR2198828	2018-07-03 15:49:50	2018-07-07 07:29:46	38632413	11589723900	38632413	300	7357		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/ERR219/8828/ERR2198828.sralite.1	ERX2254394	trasc_gonad	RNA-Seq	Inverse rRNA	TRANSCRIPTOMIC	PAIRED	300	0	ILLUMINA	Illumina HiSeq 2000	ERP023736	PRJEB21481		476073	ERS1797075	SAMEA104138057	simple	34903	Trachemys scripta	SAMEA104138057							no					AARHUS UNIVERSITY, DEPARTMENT OF MOLECULAR BIOLOGY	ERA1138226		public	7D3C02FB350FA035DA403BBDA162BFBF	D4FC99D4977F33233D526E925B0D9DFE
SRR6075334	2018-05-04 00:04:47	2017-09-26 04:19:53	1749712	236211120	1749712	135	191		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-14/SRR006/075/SRR6075334.sralite.1	SRX3216024	Turtle_Sample08.1_DS2N701_Cortex_116Cells_Lane2	RNA-Seq	other	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	NextSeq 500	SRP118871	PRJNA408230	3	408230	SRS2541095	SAMN07692413	simple	34903	Trachemys scripta	Turtle_Sample08.1_CerebralCortex					female		no					MAX-PLANCK INSTITUTE FOR BRAIN RESEARCH	SRA613136		public	63E89962F0DC1157574BE2CD87CABC55	7D93E5BD6F085FDC6D8FE140138A8AA1
SRR6075335	2018-05-04 00:04:47	2017-09-26 04:19:56	1755078	236935530	1755078	135	192		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-14/SRR006/075/SRR6075335.sralite.1	SRX3216023	Turtle_Sample08.1_DS2N701_Cortex_116Cells_Lane1	RNA-Seq	other	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	NextSeq 500	SRP118871	PRJNA408230	3	408230	SRS2541095	SAMN07692413	simple	34903	Trachemys scripta	Turtle_Sample08.1_CerebralCortex					female		no					MAX-PLANCK INSTITUTE FOR BRAIN RESEARCH	SRA613136		public	BAEA462ADDD52CD89C05207E96CE7070	C330EC2E481CAAE76BB4A94C48893030
SRR6075336	2018-05-04 00:04:47	2017-09-26 04:22:09	10866959	1467039465	10866959	135	1180		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-14/SRR006/075/SRR6075336.sralite.1	SRX3216022	Turtle_Sample08.1_DS2N702_Cortex_800Cells_Lane2	RNA-Seq	other	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	NextSeq 500	SRP118871	PRJNA408230	3	408230	SRS2541095	SAMN07692413	simple	34903	Trachemys scripta	Turtle_Sample08.1_CerebralCortex					female		no					MAX-PLANCK INSTITUTE FOR BRAIN RESEARCH	SRA613136		public	8AC57CEE4221FC0B0606B9BEE70EC463	677E443AA176C4C82C25E1604D974646
SRR6075337	2018-05-04 00:04:47	2017-09-26 04:21:50	10885605	1469556675	10885605	135	1184		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-14/SRR006/075/SRR6075337.sralite.1	SRX3216021	Turtle_Sample08.1_DS2N702_Cortex_800Cells_Lane1	RNA-Seq	other	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	NextSeq 500	SRP118871	PRJNA408230	3	408230	SRS2541095	SAMN07692413	simple	34903	Trachemys scripta	Turtle_Sample08.1_CerebralCortex					female		no					MAX-PLANCK INSTITUTE FOR BRAIN RESEARCH	SRA613136		public	FE3536A056F931A6E61BDF7ABA5BBCC2	371201A190474905F49F53160B26B9BE
SRR6075342	2018-05-04 00:04:46	2017-09-26 04:24:27	9323999	1258739865	9323999	135	1024		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-14/SRR006/075/SRR6075342.sralite.1	SRX3216016	Turtle_Sample08.1_DS2N703_Cortex_800Cells_Lane2	RNA-Seq	other	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	NextSeq 500	SRP118871	PRJNA408230	3	408230	SRS2541095	SAMN07692413	simple	34903	Trachemys scripta	Turtle_Sample08.1_CerebralCortex					female		no					MAX-PLANCK INSTITUTE FOR BRAIN RESEARCH	SRA613136		public	6DAD13FCB0B682BDDF31A57063772367	1F6F56403C375008314CE4B75068F23D
SRR6075343	2018-05-04 00:04:46	2017-09-26 04:21:42	9331722	1259782470	9331722	135	1026		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-14/SRR006/075/SRR6075343.sralite.1	SRX3216015	Turtle_Sample08.1_DS2N703_Cortex_800Cells_Lane1	RNA-Seq	other	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	NextSeq 500	SRP118871	PRJNA408230	3	408230	SRS2541095	SAMN07692413	simple	34903	Trachemys scripta	Turtle_Sample08.1_CerebralCortex					female		no					MAX-PLANCK INSTITUTE FOR BRAIN RESEARCH	SRA613136		public	152A9034DCCF22232A2D7F914F6D6EE6	7995E5F63BDB8B7A29D25DF8FDDF3326
