Run	ReleaseDate	LoadDate	spots	bases	spots_with_mates	avgLength	size_MB	AssemblyName	download_path	Experiment	LibraryName	LibraryStrategy	LibrarySelection	LibrarySource	LibraryLayout	InsertSize	InsertDev	Platform	Model	SRAStudy	BioProject	Study_Pubmed_id	ProjectID	Sample	BioSample	SampleType	TaxID	ScientificName	SampleName	g1k_pop_code	source	g1k_analysis_group	Subject_ID	Sex	Disease	Tumor	Affection_Status	Analyte_Type	Histological_Type	Body_Site	CenterName	Submission	dbgap_study_accession	Consent	RunHash	ReadHash
SRR4228537	2017-10-11 13:32:12	2016-09-09 18:52:10	27419783	7088503654	27419783	258	3568	NA	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-14/SRR004/228/SRR4228537.sralite.1	SRX2155834	NA	RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	NextSeq 500	SRP087934	PRJNA342504	3	342504	SRS1685839	SAMN05761505	simple	127582	Trichechus manatus latirostris	GSM2308775	NA	NA	NA	NA	NA	NA	no	NA	NA	NA	NA	GEO	SRA465687	NA	public	BC8AEACF6F66C8EED91C8E2FDAF32A58	001EBBC403FBDC25874E8B897D5DCB4C
SRR4228538	2017-10-11 13:32:12	2016-09-09 18:50:15	27740442	7617911708	27740442	274	3792	NA	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-14/SRR004/228/SRR4228538.sralite.1	SRX2155835	NA	RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	NextSeq 500	SRP087934	PRJNA342504	3	342504	SRS1685840	SAMN05761504	simple	127582	Trichechus manatus latirostris	GSM2308776	NA	NA	NA	NA	NA	NA	no	NA	NA	NA	NA	GEO	SRA465687	NA	public	D316204AA95AE080652840EACB8B4571	EA4475C44CBE459901E74147062ABCB3
SRR4228539	2017-10-11 13:32:12	2016-09-09 18:55:53	26850526	7562057965	26850526	281	3799	NA	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-14/SRR004/228/SRR4228539.sralite.1	SRX2155836	NA	RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	NextSeq 500	SRP087934	PRJNA342504	3	342504	SRS1685841	SAMN05761503	simple	127582	Trichechus manatus latirostris	GSM2308777	NA	NA	NA	NA	NA	NA	no	NA	NA	NA	NA	GEO	SRA465687	NA	public	D9F16CB61282D8468A331409242532F6	4791144036D4441B81C1A9D6457FB5A1
SRR4228540	2017-10-11 13:32:12	2016-09-09 18:58:06	31225911	8285689387	31225911	265	4165	NA	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-14/SRR004/228/SRR4228540.sralite.1	SRX2155837	NA	RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	NextSeq 500	SRP087934	PRJNA342504	3	342504	SRS1685842	SAMN05761502	simple	127582	Trichechus manatus latirostris	GSM2308778	NA	NA	NA	NA	NA	NA	no	NA	NA	NA	NA	GEO	SRA465687	NA	public	AF55B1BC96248EC68E32B863F8A0CE42	5E17BD26A4B2FE47F80D2744469DEC9A
SRR4228541	2017-10-11 13:32:12	2016-09-09 18:55:02	31051984	8536469330	31051984	274	4264	NA	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-14/SRR004/228/SRR4228541.sralite.1	SRX2155838	NA	RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	NextSeq 500	SRP087934	PRJNA342504	3	342504	SRS1685843	SAMN05761512	simple	127582	Trichechus manatus latirostris	GSM2308779	NA	NA	NA	NA	NA	NA	no	NA	NA	NA	NA	GEO	SRA465687	NA	public	4A40BA7A088923120B1C007C99ED8CD7	ADC18A2587BBB4D3B0F0BB1357C17A07
SRR4228542	2017-10-11 13:32:12	2016-09-09 18:55:36	30742881	8018831580	30742881	260	4001	NA	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-14/SRR004/228/SRR4228542.sralite.1	SRX2155839	NA	RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	NextSeq 500	SRP087934	PRJNA342504	3	342504	SRS1685844	SAMN05761511	simple	127582	Trichechus manatus latirostris	GSM2308780	NA	NA	NA	NA	NA	NA	no	NA	NA	NA	NA	GEO	SRA465687	NA	public	D9E1BE287A6D45AD97E23A76F2498653	C6299AA0DA809C5600E53B4F4C4E6FBF
SRR4228543	2017-10-11 13:32:12	2016-09-09 18:55:46	30141018	8184204445	30141018	271	4100	NA	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-14/SRR004/228/SRR4228543.sralite.1	SRX2155840	NA	RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	NextSeq 500	SRP087934	PRJNA342504	3	342504	SRS1685845	SAMN05761510	simple	127582	Trichechus manatus latirostris	GSM2308781	NA	NA	NA	NA	NA	NA	no	NA	NA	NA	NA	GEO	SRA465687	NA	public	A5042648E4387D1E5EFD3A5200BF682C	1F19208EEB566CEEC633344F5890EE3C
SRR4228544	2017-10-11 13:32:12	2016-09-09 18:48:48	23663218	6395438031	23663218	270	3198	NA	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-14/SRR004/228/SRR4228544.sralite.1	SRX2155841	NA	RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	NextSeq 500	SRP087934	PRJNA342504	3	342504	SRS1685846	SAMN05761509	simple	127582	Trichechus manatus latirostris	GSM2308782	NA	NA	NA	NA	NA	NA	no	NA	NA	NA	NA	GEO	SRA465687	NA	public	F78020A05105D350126B2501967D40E1	8F6FEE2A9149BFAB1F224034C08E285A
SRR4228545	2017-10-11 13:32:12	2016-09-09 18:48:51	21832019	5864600325	21832019	268	2964	NA	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-14/SRR004/228/SRR4228545.sralite.1	SRX2155842	NA	RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	NextSeq 500	SRP087934	PRJNA342504	3	342504	SRS1685847	SAMN05761508	simple	127582	Trichechus manatus latirostris	GSM2308783	NA	NA	NA	NA	NA	NA	no	NA	NA	NA	NA	GEO	SRA465687	NA	public	C5AB127553061F26FA43D1E4C9CF87A3	6C199F8CDA8954AC9159C28956833F08
SRR4228546	2017-10-11 13:32:12	2016-09-09 18:57:41	34966939	9400622696	34966939	268	4721	NA	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-14/SRR004/228/SRR4228546.sralite.1	SRX2155843	NA	RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	NextSeq 500	SRP087934	PRJNA342504	3	342504	SRS1685848	SAMN05761507	simple	127582	Trichechus manatus latirostris	GSM2308784	NA	NA	NA	NA	NA	NA	no	NA	NA	NA	NA	GEO	SRA465687	NA	public	FF5D98077CFDF5A4579437A927EF037C	ADED7930D5B0DC38E1AE9AB7C9D79103
