Run	ReleaseDate	LoadDate	spots	bases	spots_with_mates	avgLength	size_MB	AssemblyName	download_path	Experiment	LibraryName	LibraryStrategy	LibrarySelection	LibrarySource	LibraryLayout	InsertSize	InsertDev	Platform	Model	SRAStudy	BioProject	Study_Pubmed_id	ProjectID	Sample	BioSample	SampleType	TaxID	ScientificName	SampleName	g1k_pop_code	source	g1k_analysis_group	Subject_ID	Sex	Disease	Tumor	Affection_Status	Analyte_Type	Histological_Type	Body_Site	CenterName	Submission	dbgap_study_accession	Consent	RunHash	ReadHash
SRR1514901	2014-08-01 09:19:34	2014-07-15 17:08:07	34853551	3485355100	34853551	100	2136	NA	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-14/SRR001/514/SRR1514901.sralite.1	SRX652517	AUMS5736	RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 2000	SRP044330	PRJNA254752	NA	254752	SRS660134	SAMN02837065	simple	2585209	Trichonephila clavipes	AUMS5736	NA	NA	NA	NA	female	NA	no	NA	NA	NA	NA	AUBURN UNIVERSITY	SRA174822	NA	public	D0C6073E6DDAF081C4038677DA6A5E8F	7FAAB640F09EB1142061E9F72A7396B5
SRR5139362	2017-04-28 00:01:03	2017-01-03 12:52:45	3430059	674505552	3430059	196	416	NA	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-14/SRR005/139/SRR5139362.sralite.1	SRX2458127	Nep005_rna_A_body_trim	RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 2000	SRP095945	PRJNA356433	NA	356433	SRS1891132	SAMN06132063	simple	2585209	Trichonephila clavipes	Nep005	NA	NA	NA	NA	female	NA	no	NA	NA	NA	NA	UNIVERSITY OF PENNSYLVANIA	SRA518320	NA	public	626309F54759FB49E3DD3B58424BA80C	FA164F5956B8866B98F4324B2714E941
SRR5139361	2017-04-28 00:01:02	2017-01-03 13:12:15	42277934	8339062452	42277934	197	5084	NA	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-14/SRR005/139/SRR5139361.sralite.1	SRX2458126	Nep007_rna_B_body_trim	RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 2000	SRP095945	PRJNA356433	NA	356433	SRS1891131	SAMN06132065	simple	2585209	Trichonephila clavipes	Nep007	NA	NA	NA	NA	female	NA	no	NA	NA	NA	NA	UNIVERSITY OF PENNSYLVANIA	SRA518320	NA	public	0362F28F12A3C98DF2E3327B0CAC052E	19A833B0B004581B7B448619C17FE410
SRR5139349	2017-04-28 00:01:01	2017-01-03 13:21:40	45168241	8898123780	45168241	196	5456	NA	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-14/SRR005/139/SRR5139349.sralite.1	SRX2458114	Nep008_rna_L_brain_trim	RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 2000	SRP095945	PRJNA356433	NA	356433	SRS1891125	SAMN06132066	simple	2585209	Trichonephila clavipes	Nep008_brain_01	NA	NA	NA	NA	female	NA	no	NA	NA	NA	NA	UNIVERSITY OF PENNSYLVANIA	SRA518320	NA	public	F6E5C17DDC4C06B64E8558BACF324158	C44692C419BB6C9EAD505734CD6D5CC5
SRR5139357	2017-04-28 00:01:02	2017-01-03 13:15:31	49606692	9597227041	49606692	193	6086	NA	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-14/SRR005/139/SRR5139357.sralite.1	SRX2458122	Nep008_rna_E_silk_trim	RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 2000	SRP095945	PRJNA356433	NA	356433	SRS1891129	SAMN06132068	simple	2585209	Trichonephila clavipes	Nep008_silk_01	NA	NA	NA	NA	female	NA	no	NA	NA	NA	NA	UNIVERSITY OF PENNSYLVANIA	SRA518320	NA	public	4993397A8489E81094DCACD36EBD144A	507F5087DD33171265804F12E2326878
SRR5139330	2017-04-28 00:01:00	2017-01-03 13:15:24	59541950	11535053572	59541950	193	7317	NA	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-14/SRR005/139/SRR5139330.sralite.1	SRX2458095	Nep008_rna_F_silk_trim	RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 2000	SRP095945	PRJNA356433	NA	356433	SRS1891121	SAMN06132069	simple	2585209	Trichonephila clavipes	Nep008_silk_02	NA	NA	NA	NA	female	NA	no	NA	NA	NA	NA	UNIVERSITY OF PENNSYLVANIA	SRA518320	NA	public	EDE4DB7BBC17B8614CD00363B1E4D702	3C0887356A3D4A418CF8F81295C4C485
SRR5139355	2017-04-28 00:01:02	2017-01-03 13:11:24	48914808	9546786920	48914808	195	5978	NA	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-14/SRR005/139/SRR5139355.sralite.1	SRX2458120	Nep008_rna_G_silk_trim	RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 2000	SRP095945	PRJNA356433	NA	356433	SRS1891127	SAMN06132070	simple	2585209	Trichonephila clavipes	Nep008_silk_03	NA	NA	NA	NA	female	NA	no	NA	NA	NA	NA	UNIVERSITY OF PENNSYLVANIA	SRA518320	NA	public	4D3D9DFE996122AE7C20F12F7F3B4B44	0EA2F90912B6A198D9452AD9705DB1BF
SRR5139343	2017-04-28 00:01:01	2017-01-03 13:04:11	38191308	7516813651	38191308	196	4623	NA	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-14/SRR005/139/SRR5139343.sralite.1	SRX2458108	Nep008_rna_H_silk_trim	RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 2000	SRP095945	PRJNA356433	NA	356433	SRS1891123	SAMN06132071	simple	2585209	Trichonephila clavipes	Nep008_silk_04	NA	NA	NA	NA	female	NA	no	NA	NA	NA	NA	UNIVERSITY OF PENNSYLVANIA	SRA518320	NA	public	8A2F34E42191EE0C6C3BFDD5D74BDC93	4E8AA1BA14444F5F7452D4EA606024EF
SRR5139327	2017-04-28 00:01:00	2017-01-03 13:33:46	94012993	18482975957	94012993	196	11437	NA	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-14/SRR005/139/SRR5139327.sralite.1	SRX2458092	Nep008_rna_I_silk_trim	RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 2000	SRP095945	PRJNA356433	NA	356433	SRS1891119	SAMN06132072	simple	2585209	Trichonephila clavipes	Nep008_silk_05	NA	NA	NA	NA	female	NA	no	NA	NA	NA	NA	UNIVERSITY OF PENNSYLVANIA	SRA518320	NA	public	0CC16BF8E12552DA118CB621BC0F2692	B3706308C3804FE7C34FF11E77A42DE1
SRR5139345	2017-04-28 00:01:01	2017-01-03 13:32:08	57096795	11185419453	57096795	195	6958	NA	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-14/SRR005/139/SRR5139345.sralite.1	SRX2458110	Nep008_rna_J_silk_trim	RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 2000	SRP095945	PRJNA356433	NA	356433	SRS1891124	SAMN06132073	simple	2585209	Trichonephila clavipes	Nep008_silk_06	NA	NA	NA	NA	female	NA	no	NA	NA	NA	NA	UNIVERSITY OF PENNSYLVANIA	SRA518320	NA	public	3AEB8F19484C298E9BE5DEE237B1083C	BA7CC595B6DF02A94779076605E3C7AC
SRR5139359	2017-04-28 00:01:02	2017-01-03 13:18:46	55170582	10815757165	55170582	196	6729	NA	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-14/SRR005/139/SRR5139359.sralite.1	SRX2458124	Nep008_rna_K_venom_trim	RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 2000	SRP095945	PRJNA356433	NA	356433	SRS1891130	SAMN06132067	simple	2585209	Trichonephila clavipes	Nep008_venom_01	NA	NA	NA	NA	female	NA	no	NA	NA	NA	NA	UNIVERSITY OF PENNSYLVANIA	SRA518320	NA	public	B1399C641AACFAF8E100DC64D60DBCCC	4DD427A877569C68B8B733B82685F0B3
SRR5139329	2017-04-28 00:01:00	2017-01-03 13:15:36	70809306	13860915734	70809306	195	8661	NA	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-14/SRR005/139/SRR5139329.sralite.1	SRX2458094	Nep009_rna_R_brain_trim	RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 2000	SRP095945	PRJNA356433	NA	356433	SRS1891120	SAMN06132074	simple	2585209	Trichonephila clavipes	Nep009_brain_02	NA	NA	NA	NA	female	NA	no	NA	NA	NA	NA	UNIVERSITY OF PENNSYLVANIA	SRA518320	NA	public	6D83299F9BB79658CA96B6EDDB1B4499	DD31AF914D36344D5240BE7251E3C22E
SRR5139333	2017-04-28 00:01:00	2017-01-03 13:06:51	49936035	9650289298	49936035	193	6126	NA	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-14/SRR005/139/SRR5139333.sralite.1	SRX2458098	Nep009_rna_M_silk_trim	RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 2000	SRP095945	PRJNA356433	NA	356433	SRS1891122	SAMN06132076	simple	2585209	Trichonephila clavipes	Nep009_silk_07	NA	NA	NA	NA	female	NA	no	NA	NA	NA	NA	UNIVERSITY OF PENNSYLVANIA	SRA518320	NA	public	38C0DD2BBB777996ECBA751CE124FEC8	7135916CAD8011FA31562A3083B935A9
SRR5139365	2017-04-28 00:01:03	2017-01-03 13:16:37	49893782	9704170097	49893782	194	6106	NA	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-14/SRR005/139/SRR5139365.sralite.1	SRX2458130	Nep009_rna_N_silk_trim	RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 2000	SRP095945	PRJNA356433	NA	356433	SRS1891133	SAMN06132077	simple	2585209	Trichonephila clavipes	Nep009_silk_08	NA	NA	NA	NA	female	NA	no	NA	NA	NA	NA	UNIVERSITY OF PENNSYLVANIA	SRA518320	NA	public	C1D2537D5721E5B51FF2366CC464945A	9029CDF84C83D56300B9284E6DED3452
SRR5139318	2017-04-27 12:54:11	2017-01-03 13:02:14	47726965	9281679325	47726965	194	5856	NA	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-14/SRR005/139/SRR5139318.sralite.1	SRX2458083	Nep009_rna_O_silk_trim	RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 2000	SRP095945	PRJNA356433	NA	356433	SRS1891115	SAMN06132078	simple	2585209	Trichonephila clavipes	Nep009_silk_09	NA	NA	NA	NA	female	NA	no	NA	NA	NA	NA	UNIVERSITY OF PENNSYLVANIA	SRA518320	NA	public	84C598C9F73CF89A89624A4A880F9888	903CFB1239E8EEC77CAC5FD972ED02F1
SRR5139356	2017-04-28 00:01:02	2017-01-03 13:13:51	53755042	10408539587	53755042	193	6623	NA	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-14/SRR005/139/SRR5139356.sralite.1	SRX2458121	Nep009_rna_P_silk_trim	RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 2000	SRP095945	PRJNA356433	NA	356433	SRS1891128	SAMN06132079	simple	2585209	Trichonephila clavipes	Nep009_silk_10	NA	NA	NA	NA	female	NA	no	NA	NA	NA	NA	UNIVERSITY OF PENNSYLVANIA	SRA518320	NA	public	2AB2AEFE1EB197B6C7288D9DF35438DF	43697DFA5699F41CCF6AB2212C9B369E
SRR5139324	2017-04-28 00:00:59	2017-01-03 12:40:30	168882	33005400	168882	195	20	NA	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-14/SRR005/139/SRR5139324.sralite.1	SRX2458089	Nep009_rna_Q_venom_trim	RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 2000	SRP095945	PRJNA356433	NA	356433	SRS1891118	SAMN06132075	simple	2585209	Trichonephila clavipes	Nep009_venom_02	NA	NA	NA	NA	female	NA	no	NA	NA	NA	NA	UNIVERSITY OF PENNSYLVANIA	SRA518320	NA	public	4C162C1DE3E4393A076D8FE65ABEE067	C7C4D6AB0DC497766617BB4F1E600E65
DRR235163	2021-07-21 13:40:34	2021-07-21 13:35:18	1346178	681266011	0	506	583	NA	https://sra-pub-run-odp.s3.amazonaws.com/sra/DRR235163/DRR235163	DRX225353	Nanopore direct-RNA library	RNA-Seq	Oligo-dT	TRANSCRIPTOMIC	SINGLE	0	0	OXFORD_NANOPORE	GridION	DRP007523	PRJDB10126	3	748955	DRS196466	SAMD00233890	simple	2585209	Trichonephila clavipes	SAMD00233890	NA	NA	NA	NA		NA	no	NA	NA	NA	NA	KEIO-IAB	DRA010409	NA	public	0A98A3EE1361AF424E3F1CC43BFDA7F3	C82E82B4DC41BFB53F77CD4A3111547F
DRR276538	2021-07-21 13:40:34	2021-07-21 13:52:14	50067124	15013878639	50067124	299	6002	NA	https://sra-pub-run-odp.s3.amazonaws.com/sra/DRR276538/DRR276538	DRX266122	Silk gland-specific RNA-seq (Trichonephila clavipes)	RNA-Seq	Oligo-dT	TRANSCRIPTOMIC	PAIRED	300	0	ILLUMINA	NextSeq 500	DRP007524	PRJDB11252	3	748958	DRS196473	SAMD00282859	simple	2585209	Trichonephila clavipes	SAMD00282859	NA	NA	NA	NA	female	NA	no	NA	NA	NA	NA	KEIO-IAB	DRA011606	NA	public	3A5C48B0C3B142093C8D84BA1511C1FA	912319F3EB506EBA6CD7C1AB7720727E
DRR276539	2021-07-21 13:40:34	2021-07-21 13:52:21	83837883	24854774395	83837883	296	10454	NA	https://sra-pub-run-odp.s3.amazonaws.com/sra/DRR276539/DRR276539	DRX266123	Major ampullate gland-specific RNA-seq (Trichonephila clavipes)	RNA-Seq	Oligo-dT	TRANSCRIPTOMIC	PAIRED	300	0	ILLUMINA	NextSeq 500	DRP007524	PRJDB11252	3	748958	DRS196474	SAMD00282860	simple	2585209	Trichonephila clavipes	SAMD00282860	NA	NA	NA	NA	female	NA	no	NA	NA	NA	NA	KEIO-IAB	DRA011606	NA	public	6088708395490C121520AF6B3A130CAF	398C2167DBC6FE970D06E77A962C9316
DRR276540	2021-07-21 13:40:34	2021-07-21 13:54:16	77922210	22776479510	77922210	292	9549	NA	https://sra-pub-run-odp.s3.amazonaws.com/sra/DRR276540/DRR276540	DRX266124	Minor ampullate gland-specific RNA-seq (Trichonephila clavipes)	RNA-Seq	Oligo-dT	TRANSCRIPTOMIC	PAIRED	300	0	ILLUMINA	NextSeq 500	DRP007524	PRJDB11252	3	748958	DRS196475	SAMD00282861	simple	2585209	Trichonephila clavipes	SAMD00282861	NA	NA	NA	NA	female	NA	no	NA	NA	NA	NA	KEIO-IAB	DRA011606	NA	public	2D6A92BED30AB7938EEF5197D9635264	D0AD4278EA92C0734098371623A8C1B8
ERR1823513	2019-01-24 16:35:51	2019-01-27 06:35:50	0	0	0	0	43579	NA	https://sra-pub-run-odp.s3.amazonaws.com/sra/ERR1823513/ERR1823513	ERX1886017	Sample 1_p	RNA-Seq	RANDOM	TRANSCRIPTOMIC	PAIRED	150	50	ILLUMINA	Illumina HiSeq 2500	ERP021369	PRJEB19361	NA	514475	ERS1545894	SAMEA80834668	simple	2585209	Trichonephila clavipes	SAMEA80834668	NA	NA	NA	NA		NA	no	NA	NA	NA	NA	xxx	ERA809227	NA	public	57612602EFCA1717C1156CD8DD5C1B06	99E605B14C0F926E375064799284251A
