Run	ReleaseDate	LoadDate	spots	bases	spots_with_mates	avgLength	size_MB	AssemblyName	download_path	Experiment	LibraryName	LibraryStrategy	LibrarySelection	LibrarySource	LibraryLayout	InsertSize	InsertDev	Platform	Model	SRAStudy	BioProject	Study_Pubmed_id	ProjectID	Sample	BioSample	SampleType	TaxID	ScientificName	SampleName	g1k_pop_code	source	g1k_analysis_group	Subject_ID	Sex	Disease	Tumor	Affection_Status	Analyte_Type	Histological_Type	Body_Site	CenterName	Submission	dbgap_study_accession	Consent	RunHash	ReadHash
SRR1041658	2015-07-22 17:11:33	2015-12-15 17:10:07	19643846	3535892280	19643846	180	2344		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/SRR001/041/SRR1041658/SRR1041658.sralite.1	SRX386001	Trichuris suis stichosome mRNA library	RNA-Seq	PolyA	TRANSCRIPTOMIC	PAIRED	400	25	ILLUMINA	Illumina HiSeq 2000	SRP033425	PRJNA208415	2	208415	SRS509999	SAMN02423288	simple	68888	Trichuris suis	Trichuris suis adult (mixed sex)	NA	NA	NA	NA	male/female (50:50 mix)	NA	no	NA	NA	NA	Large intestine	UNIVERSITY OF MELBOURNE	SRA114422	NA	public	2BBE1CDAA929AD3F3008570C2196C986	726B61D3E2683744E65DE58468C36B3D
SRR1041655	2015-07-22 17:10:38	2015-12-16 14:14:26	18971184	3414813120	18971184	180	2207		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/SRR001/041/SRR1041655/SRR1041655.sralite.1	SRX386004	Trichuris suis female mRNA library	RNA-Seq	PolyA	TRANSCRIPTOMIC	PAIRED	400	25	ILLUMINA	Illumina HiSeq 2000	SRP033425	PRJNA208415	2	208415	SRS510020	SAMN02423287	simple	68888	Trichuris suis	Trichuris suis female	NA	NA	NA	NA	female	NA	no	NA	NA	NA		UNIVERSITY OF MELBOURNE	SRA114419	NA	public	161E1E8F5E6FFA4B40B746A625080E6B	9FDE0DE37AEF220AFE0D9236BAC4569F
SRR1041657	2015-07-22 17:11:33	2015-12-16 14:13:20	20624427	3712396860	20624427	180	2293		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/SRR001/041/SRR1041657/SRR1041657.sralite.1	SRX386002	Trichuris suis female posterior body mRNA library	RNA-Seq	PolyA	TRANSCRIPTOMIC	PAIRED	400	25	ILLUMINA	Illumina HiSeq 2000	SRP033425	PRJNA208415	2	208415	SRS510020	SAMN02423287	simple	68888	Trichuris suis	Trichuris suis female	NA	NA	NA	NA	female	NA	no	NA	NA	NA		UNIVERSITY OF MELBOURNE	SRA114421	NA	public	7B27EFD44F6D2A8AE7E46F00DDF29B2A	71DB649DE51881AB557B296B4EB383AE
SRR1041654	2015-07-22 17:12:07	2015-12-23 13:42:30	19208567	3457542060	19208567	180	2139		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-14/SRR001/041/SRR1041654.sralite.1	SRX386005	Trichuris suis male mRNA library	RNA-Seq	PolyA	TRANSCRIPTOMIC	PAIRED	400	25	ILLUMINA	Illumina HiSeq 2000	SRP033425	PRJNA208415	2	208415	SRS510022	SAMN02423286	simple	68888	Trichuris suis	Trichuris suis male	NA	NA	NA	NA	male	NA	no	NA	NA	NA		UNIVERSITY OF MELBOURNE	SRA114418	NA	public	165D5D338F12B598E407C61FB4A062EF	632890EDEDE6A6F28C99D8B4B729DD66
SRR1041656	2015-07-22 17:12:07	2015-12-15 17:10:02	19730282	3551450760	19730282	180	2242		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/SRR001/041/SRR1041656/SRR1041656.sralite.1	SRX386003	Trichuris suis male posterior body mRNA library	RNA-Seq	PolyA	TRANSCRIPTOMIC	PAIRED	400	25	ILLUMINA	Illumina HiSeq 2000	SRP033425	PRJNA208415	2	208415	SRS510022	SAMN02423286	simple	68888	Trichuris suis	Trichuris suis male	NA	NA	NA	NA	male	NA	no	NA	NA	NA		UNIVERSITY OF MELBOURNE	SRA114420	NA	public	F2E2CC60777E2AD98675C546C5D7BC34	5B321B530E2273DB8B66AAD74E53914F
SRR1041653	2015-07-22 17:10:38	2015-12-16 15:28:08	20649049	3716828820	20649049	180	2395		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/SRR001/041/SRR1041653/SRR1041653.sralite.1	SRX386006	Trichuris suis L4 larvae mRNA library	RNA-Seq	PolyA	TRANSCRIPTOMIC	PAIRED	400	25	ILLUMINA	Illumina HiSeq 2000	SRP033425	PRJNA208415	2	208415	SRS510025	SAMN02423291	simple	68888	Trichuris suis	Trichuris suis L4 larvae	NA	NA	NA	NA	larval	NA	no	NA	NA	NA		UNIVERSITY OF MELBOURNE	SRA114417	NA	public	CBC20659774B252C06493E472D580C38	809765AD7B7BD618C14B299E75E85D45
SRR1041652	2015-07-22 17:10:15	2015-12-16 14:14:57	20603515	3708632700	20603515	180	2282		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/SRR001/041/SRR1041652/SRR1041652.sralite.1	SRX386007	Trichuris suis L3 larvae mRNA library	RNA-Seq	PolyA	TRANSCRIPTOMIC	PAIRED	400	25	ILLUMINA	Illumina HiSeq 2000	SRP033425	PRJNA208415	2	208415	SRS510026	SAMN02423290	simple	68888	Trichuris suis	Trichuris suis L3 larvae	NA	NA	NA	NA	larval	NA	no	NA	NA	NA		UNIVERSITY OF MELBOURNE	SRA114416	NA	public	D48DA03F1B2CD1E477ACF062A8E5343F	4C2840FAADCC01A3F61A35FD57A44BBB
SRR1041651	2015-07-22 17:12:43	2015-12-16 14:14:39	20177502	3631950360	20177502	180	2195		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/SRR001/041/SRR1041651/SRR1041651.sralite.1	SRX386008	Trichuris suis L1/L2 (50:50) larvae mRNA library	RNA-Seq	PolyA	TRANSCRIPTOMIC	PAIRED	400	25	ILLUMINA	Illumina HiSeq 2000	SRP033425	PRJNA208415	2	208415	SRS510027	SAMN02423289	simple	68888	Trichuris suis	Trichuris suis L1/L2 (50:50) larvae	NA	NA	NA	NA	larval	NA	no	NA	NA	NA		UNIVERSITY OF MELBOURNE	SRA114415	NA	public	661645F5062C6266DB15D1A2AF15A1FB	6D77E38D2FD86AB64353315FC037D5DB
SRR1616935	2014-10-20 18:22:09	2014-10-20 18:15:19	70610663	14122132600	70610663	200	10163		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/SRR001/616/SRR1616935/SRR1616935.sralite.1	SRX736470	2882276089	RNA-Seq	unspecified	TRANSCRIPTOMIC	PAIRED	366	0	ILLUMINA	Illumina HiSeq 2000	SRP039506	PRJNA179528	NA	179528	SRS724572	SAMN03147257	simple	68888	Trichuris suis	378136	NA	NA	NA	NA		NA	no	NA	NA	NA		WUGSC	SRA192706	NA	public	B73942AE936344892A033F6D6523B588	D51CDBE5A92FF9DA3FE674376CF07A95
SRR1616939	2014-10-20 19:02:11	2014-10-20 18:53:42	83233437	16646687400	83233437	200	11990		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/SRR001/616/SRR1616939/SRR1616939.sralite.1	SRX736471	2882276154	RNA-Seq	unspecified	TRANSCRIPTOMIC	PAIRED	388	0	ILLUMINA	Illumina HiSeq 2000	SRP039506	PRJNA179528	NA	179528	SRS724573	SAMN03147258	simple	68888	Trichuris suis	378140	NA	NA	NA	NA		NA	no	NA	NA	NA		WUGSC	SRA192711	NA	public	2081425C37197CA6B6F6764551277508	7B0B529C2336EFC3A1F219039FF02947
