Run	ReleaseDate	LoadDate	spots	bases	spots_with_mates	avgLength	size_MB	AssemblyName	download_path	Experiment	LibraryName	LibraryStrategy	LibrarySelection	LibrarySource	LibraryLayout	InsertSize	InsertDev	Platform	Model	SRAStudy	BioProject	Study_Pubmed_id	ProjectID	Sample	BioSample	SampleType	TaxID	ScientificName	SampleName	g1k_pop_code	source	g1k_analysis_group	Subject_ID	Sex	Disease	Tumor	Affection_Status	Analyte_Type	Histological_Type	Body_Site	CenterName	Submission	dbgap_study_accession	Consent	RunHash	ReadHash
SRR1583976	2015-09-19 00:00:00	2015-08-10 05:27:49	27855942	5626900284	27855942	202	3814	NA	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/SRR001/583/SRR1583976/SRR1583976.sralite.1	SRX708558	Tuta_absoluta-egg	RNA-Seq	unspecified	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 2000	SRP047412	PRJNA261241	NA	261241	SRS707633	SAMN03075943	simple	702717	Tuta absoluta	Tuta_absoluta-egg	NA	NA	NA	NA	male and female	NA	no	NA	NA	NA	NA	UNIVERSIDADE DE SAO PAULO	SRA185357	NA	public	1E4CCB4E6EC045E94B29C85DD9786697	85A5DE2A40E4063AD3B8355A2C10B424
SRR1586018	2015-09-23 00:00:00	2015-08-10 05:16:04	18158667	3668050734	18158667	202	2510	NA	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/SRR001/586/SRR1586018/SRR1586018.sralite.1	SRX708824	Tuta_absoluta_adult	RNA-Seq	unspecified	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 2000	SRP047412	PRJNA261241	NA	261241	SRS707887	SAMN03075948	simple	702717	Tuta absoluta	Tuta_absoluta-adult	NA	NA	NA	NA	male and female	NA	no	NA	NA	NA	NA	UNIVERSIDADE DE SAO PAULO	SRA185670	NA	public	8617594DD4E332AD6865CC8EAB73CC54	014488E457C6BEAE0C3E40EC204B159A
SRR1586021	2015-09-23 00:00:00	2015-08-10 05:01:26	17312469	3497118738	17312469	202	2380	NA	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/SRR001/586/SRR1586021/SRR1586021.sralite.1	SRX708830	Tuta_absoluta-2_instar_larvae	RNA-Seq	unspecified	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 2000	SRP047412	PRJNA261241	NA	261241	SRS707893	SAMN03075945	simple	702717	Tuta absoluta	Tuta_absoluta-2_larvae_instar	NA	NA	NA	NA	male and female	NA	no	NA	NA	NA	NA	UNIVERSIDADE DE SAO PAULO	SRA185673	NA	public	CB0AB08749DDBDA288B1AEA44D01513D	54CC047AFC69B408CDC303E44C8A684F
SRR1586020	2015-09-23 00:00:00	2015-08-10 05:10:29	22124667	4469182734	22124667	202	3051	NA	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/SRR001/586/SRR1586020/SRR1586020.sralite.1	SRX708833	Tuta_absoluta-3_larvae_instar	RNA-Seq	unspecified	TRANSCRIPTOMIC	PAIRED	100	0	ILLUMINA	Illumina HiSeq 2000	SRP047412	PRJNA261241	NA	261241	SRS707894	SAMN03075946	simple	702717	Tuta absoluta	Tuta_absoluta-3_larvae_instar	NA	NA	NA	NA	male and female	NA	no	NA	NA	NA	NA	UNIVERSIDADE DE SAO PAULO	SRA185675	NA	public	B5720EDDA95315FAF5108ADE2FEB5536	63F0A76EA14B7CC83B33BC7541209DF8
SRR1586019	2015-09-23 00:00:00	2015-08-10 05:12:56	18609524	3759123848	18609524	202	2571	NA	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/SRR001/586/SRR1586019/SRR1586019.sralite.1	SRX708837	Tuta_absoluta-4_larvae_instar	RNA-Seq	unspecified	TRANSCRIPTOMIC	PAIRED	100	0	ILLUMINA	Illumina HiSeq 2000	SRP047412	PRJNA261241	NA	261241	SRS707898	SAMN03075947	simple	702717	Tuta absoluta	Tuta_absoluta-4_larvae_instar	NA	NA	NA	NA	male and female	NA	no	NA	NA	NA	NA	UNIVERSIDADE DE SAO PAULO	SRA185677	NA	public	D356811252AF7695E2763E5BC28022F1	A26C1C9F2EACE98E0B2CDD46933F70F4
SRR2147319	2015-08-07 00:00:00	2015-08-07 05:36:42	17312469	3497118738	17312469	202	2380	NA	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/SRR002/147/SRR2147319/SRR2147319.sralite.1	SRX1134903	Larvae Stage 2	RNA-Seq	PolyA	TRANSCRIPTOMIC	PAIRED	101	0	ILLUMINA	Illumina HiSeq 2000	SRP062030	PRJNA291932	NA	291932	SRS794929	SAMN03267189	simple	702717	Tuta absoluta	TranscriptomeSequencing_Tuta_absoluta	NA	NA	NA	NA		NA	no	NA	NA	NA	NA	PONTIFÍCIA UNIVERSIDADE CATÓLICA DO PARANÁ	SRA281942	NA	public	CB0AB08749DDBDA288B1AEA44D01513D	54CC047AFC69B408CDC303E44C8A684F
SRR2147320	2015-08-07 00:00:00	2015-08-07 05:32:35	22124667	4469182734	22124667	202	3051	NA	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/SRR002/147/SRR2147320/SRR2147320.sralite.1	SRX1134905	Larvae Stage 3	RNA-Seq	PolyA	TRANSCRIPTOMIC	PAIRED	101	0	ILLUMINA	Illumina HiSeq 2000	SRP062030	PRJNA291932	NA	291932	SRS794929	SAMN03267189	simple	702717	Tuta absoluta	TranscriptomeSequencing_Tuta_absoluta	NA	NA	NA	NA		NA	no	NA	NA	NA	NA	PONTIFÍCIA UNIVERSIDADE CATÓLICA DO PARANÁ	SRA281942	NA	public	B5720EDDA95315FAF5108ADE2FEB5536	63F0A76EA14B7CC83B33BC7541209DF8
SRR2147321	2015-08-07 00:00:00	2015-08-07 05:26:28	18609524	3759123848	18609524	202	2571	NA	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/SRR002/147/SRR2147321/SRR2147321.sralite.1	SRX1134906	Larvae Stage 4	RNA-Seq	PolyA	TRANSCRIPTOMIC	PAIRED	101	0	ILLUMINA	Illumina HiSeq 2000	SRP062030	PRJNA291932	NA	291932	SRS794929	SAMN03267189	simple	702717	Tuta absoluta	TranscriptomeSequencing_Tuta_absoluta	NA	NA	NA	NA		NA	no	NA	NA	NA	NA	PONTIFÍCIA UNIVERSIDADE CATÓLICA DO PARANÁ	SRA281942	NA	public	D356811252AF7695E2763E5BC28022F1	A26C1C9F2EACE98E0B2CDD46933F70F4
SRR2147322	2015-08-07 00:00:00	2015-08-07 05:19:24	18158667	3668050734	18158667	202	2510	NA	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/SRR002/147/SRR2147322/SRR2147322.sralite.1	SRX1134908	Larvae Stage Adult	RNA-Seq	PolyA	TRANSCRIPTOMIC	PAIRED	101	0	ILLUMINA	Illumina HiSeq 2000	SRP062030	PRJNA291932	NA	291932	SRS794929	SAMN03267189	simple	702717	Tuta absoluta	TranscriptomeSequencing_Tuta_absoluta	NA	NA	NA	NA		NA	no	NA	NA	NA	NA	PONTIFÍCIA UNIVERSIDADE CATÓLICA DO PARANÁ	SRA281942	NA	public	8617594DD4E332AD6865CC8EAB73CC54	014488E457C6BEAE0C3E40EC204B159A
SRR2147323	2015-08-07 00:00:00	2015-08-07 05:17:31	27855942	5626900284	27855942	202	3814	NA	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/SRR002/147/SRR2147323/SRR2147323.sralite.1	SRX1134907	Larvae Stage Egg	RNA-Seq	PolyA	TRANSCRIPTOMIC	PAIRED	101	0	ILLUMINA	Illumina HiSeq 2000	SRP062030	PRJNA291932	NA	291932	SRS794929	SAMN03267189	simple	702717	Tuta absoluta	TranscriptomeSequencing_Tuta_absoluta	NA	NA	NA	NA		NA	no	NA	NA	NA	NA	PONTIFÍCIA UNIVERSIDADE CATÓLICA DO PARANÁ	SRA281942	NA	public	1E4CCB4E6EC045E94B29C85DD9786697	85A5DE2A40E4063AD3B8355A2C10B424
