Run	ReleaseDate	LoadDate	spots	bases	spots_with_mates	avgLength	size_MB	AssemblyName	download_path	Experiment	LibraryName	LibraryStrategy	LibrarySelection	LibrarySource	LibraryLayout	InsertSize	InsertDev	Platform	Model	SRAStudy	BioProject	Study_Pubmed_id	ProjectID	Sample	BioSample	SampleType	TaxID	ScientificName	SampleName	g1k_pop_code	source	g1k_analysis_group	Subject_ID	Sex	Disease	Tumor	Affection_Status	Analyte_Type	Histological_Type	Body_Site	CenterName	Submission	dbgap_study_accession	Consent	RunHash	ReadHash
SRR6131237	2019-09-01 01:22:35	2017-10-04 13:23:52	20536722	4107344400	20536722	200	1222		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-14/SRR006/131/SRR6131237.sralite.1	SRX3243653	CLHi	RNA-Seq	RANDOM	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 2500	SRP119422	PRJNA413091		413091	SRS2566636	SAMN07736421	simple	9644	Ursus arctos	CLHi					female		no					WASHINGTON STATE UNIVERSITY	SRA617004		public	CF05DAA58F63E464BC2A27E30C8FF6AE	BEBC2DF94788F9A5CF4810DBB7FA8E45
SRR6131236	2019-09-01 01:22:35	2017-10-04 13:20:18	18904802	3780960400	18904802	200	1130		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-14/SRR006/131/SRR6131236.sralite.1	SRX3243654	JFA	RNA-Seq	RANDOM	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 2500	SRP119422	PRJNA413091		413091	SRS2566635	SAMN07736422	simple	9644	Ursus arctos	JFA					male		no					WASHINGTON STATE UNIVERSITY	SRA617004		public	3803C59B2B93F3D83BF67E42F6DBEF30	0B23C0837F3BA7537D70D6E9B40F192D
SRR6131247	2019-09-01 01:22:35	2017-10-04 13:22:13	22568327	4513665400	22568327	200	1360		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-14/SRR006/131/SRR6131247.sralite.1	SRX3243643	JFHy	RNA-Seq	RANDOM	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 2500	SRP119422	PRJNA413091		413091	SRS2566625	SAMN07736401	simple	9644	Ursus arctos	JFHy					male		no					WASHINGTON STATE UNIVERSITY	SRA617004		public	1707092E7D1E2843F26E16C5568DFB95	F025BC53E5BAD0ADCA8FB42EB653BA11
SRR6131262	2019-09-01 01:22:34	2017-10-04 13:23:15	21178165	4235633000	21178165	200	1270		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-14/SRR006/131/SRR6131262.sralite.1	SRX3243628	JLA	RNA-Seq	RANDOM	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 2500	SRP119422	PRJNA413091		413091	SRS2566610	SAMN07736394	simple	9644	Ursus arctos	JLA					male		no					WASHINGTON STATE UNIVERSITY	SRA617004		public	CD4857FF975E55D520AA7FCB7BBF4DD5	2C08028BF5FFA11997784E23E7BA468C
SRR6131261	2019-09-01 01:22:34	2017-10-04 13:24:13	21518102	4303620400	21518102	200	1283		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-14/SRR006/131/SRR6131261.sralite.1	SRX3243629	JLHi	RNA-Seq	RANDOM	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 2500	SRP119422	PRJNA413091		413091	SRS2566611	SAMN07736391	simple	9644	Ursus arctos	JLHi					male		no					WASHINGTON STATE UNIVERSITY	SRA617004		public	4D692AF15C1011EF6DD55577F14DD9C1	9FE4B9DD10E5C0622E329CAEAA45455C
SRR6131248	2019-09-01 01:22:35	2017-10-04 13:23:38	18519818	3703963600	18519818	200	1100		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-14/SRR006/131/SRR6131248.sralite.1	SRX3243642	JMA	RNA-Seq	RANDOM	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 2500	SRP119422	PRJNA413091		413091	SRS2566624	SAMN07736408	simple	9644	Ursus arctos	JMA					male		no					WASHINGTON STATE UNIVERSITY	SRA617004		public	86D89E8760B4DC722E8270AA36EE3CE1	C49E0CAD5B212E10B9F3EA8F795167D2
SRR6131242	2019-09-01 01:22:35	2017-10-04 13:25:38	19880113	3976022600	19880113	200	1193		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-14/SRR006/131/SRR6131242.sralite.1	SRX3243648	JMHi	RNA-Seq	RANDOM	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 2500	SRP119422	PRJNA413091		413091	SRS2566630	SAMN07736428	simple	9644	Ursus arctos	JMHi					male		no					WASHINGTON STATE UNIVERSITY	SRA617004		public	EEE2B35211C0B1562A4771653ECFC6B1	DE72F10BEF3B5ABC033CD2553497AADA
SRR6131251	2019-09-01 01:22:35	2017-10-04 13:24:58	23630050	4726010000	23630050	200	1407		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-14/SRR006/131/SRR6131251.sralite.1	SRX3243639	OFA	RNA-Seq	RANDOM	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 2500	SRP119422	PRJNA413091		413091	SRS2566621	SAMN07736405	simple	9644	Ursus arctos	OFA					female		no					WASHINGTON STATE UNIVERSITY	SRA617004		public	C794035620AB119BCF661464F720F1D3	6AAFE828914BFC86DC993C846CF0A02F
SRR6131250	2019-09-01 01:22:35	2017-10-04 13:19:08	15246456	3049291200	15246456	200	911		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-14/SRR006/131/SRR6131250.sralite.1	SRX3243640	OFHi	RNA-Seq	RANDOM	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 2500	SRP119422	PRJNA413091		413091	SRS2566622	SAMN07736406	simple	9644	Ursus arctos	OFHi					female		no					WASHINGTON STATE UNIVERSITY	SRA617004		public	2FAC1CF4C7353FC19427C8795B6A1575	A8A1216C37F66C73C4DA6B63E55BC302
SRR6131252	2019-09-01 01:22:35	2017-10-04 13:25:13	21079502	4215900400	21079502	200	1269		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-14/SRR006/131/SRR6131252.sralite.1	SRX3243638	OLA	RNA-Seq	RANDOM	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 2500	SRP119422	PRJNA413091		413091	SRS2566620	SAMN07736410	simple	9644	Ursus arctos	OLA					female		no					WASHINGTON STATE UNIVERSITY	SRA617004		public	C026449CD3C6B153E33CB09C4F197438	F1E3F44C6CA62B2509640C0EEA776615
