Run	ReleaseDate	LoadDate	spots	bases	spots_with_mates	avgLength	size_MB	AssemblyName	download_path	Experiment	LibraryName	LibraryStrategy	LibrarySelection	LibrarySource	LibraryLayout	InsertSize	InsertDev	Platform	Model	SRAStudy	BioProject	Study_Pubmed_id	ProjectID	Sample	BioSample	SampleType	TaxID	ScientificName	SampleName	g1k_pop_code	source	g1k_analysis_group	Subject_ID	Sex	Disease	Tumor	Affection_Status	Analyte_Type	Histological_Type	Body_Site	CenterName	Submission	dbgap_study_accession	Consent	RunHash	ReadHash
SRR13871593	2021-10-20 23:29:40	2021-03-06 23:41:42	42415323	12724596900	42415323	300	3900	NA	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-zq-24/SRR013/13871/SRR13871593/SRR13871593.lite.1	SRX10252206	Mi_Hebei2018-10_Am	RNA-Seq	RANDOM	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina NovaSeq 6000	SRP309600	PRJNA706851	NA	706851	SRS8392973	SAMN18146163	simple	109461	Varroa destructor	Mi-010-HB2018-10	NA	NA	NA	NA		NA	no	NA	NA	NA	NA	CHINESE ACADEMY OF AGRICULTURAL SCIENCES	SRA1203640	NA	public	FB24B671D2FDC0FE56FDDAA79C1449C3	34D5DAEE79BCA8E18F4A7DD4D9C24994
SRR13871696	2021-10-20 23:29:39	2021-03-06 23:41:13	36870866	11061259800	36870866	300	3207	NA	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-zq-24/SRR013/13871/SRR13871696/SRR13871696.lite.1	SRX10252103	Mi_Zhejiang2018_Am	RNA-Seq	RANDOM	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina NovaSeq 6000	SRP309600	PRJNA706851	NA	706851	SRS8392870	SAMN18146171	simple	109461	Varroa destructor	Mi-032-ZJ2018	NA	NA	NA	NA		NA	no	NA	NA	NA	NA	CHINESE ACADEMY OF AGRICULTURAL SCIENCES	SRA1203640	NA	public	DCDAD18E87D75183CE8D66B0344B5F0A	C30F37FD29F14D9CCB1C157F1C0281C1
SRR13871597	2021-10-20 23:29:40	2021-03-06 23:49:47	33387577	10016273100	33387577	300	3093	NA	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-zq-24/SRR013/13871/SRR13871597/SRR13871597.lite.1	SRX10252202	Mi_Anhui2018_Am	RNA-Seq	RANDOM	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina NovaSeq 6000	SRP309600	PRJNA706851	NA	706851	SRS8392969	SAMN18146159	simple	109461	Varroa destructor	Mi002-AH2018	NA	NA	NA	NA		NA	no	NA	NA	NA	NA	CHINESE ACADEMY OF AGRICULTURAL SCIENCES	SRA1203640	NA	public	76E77D9FA48861D5DAFA1CC0BAC2E454	57D407526CB47F88E2B7129F47AF2476
SRR13959561	2021-10-20 23:29:41	2021-03-13 20:55:18	501213	319382658	0	637	276	NA	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos1/sra-pub-zq-38/SRR013/13959/SRR13959561/SRR13959561.lite.1	SRX10337789	Mi_Anhui2018_Am_cDNA	RNA-Seq	RANDOM PCR	TRANSCRIPTOMIC	SINGLE	0	0	OXFORD_NANOPORE	PromethION	SRP309600	PRJNA706851	NA	706851	SRS8392969	SAMN18146159	simple	109461	Varroa destructor	Mi002-AH2018	NA	NA	NA	NA		NA	no	NA	NA	NA	NA	CHINESE ACADEMY OF AGRICULTURAL SCIENCES	SRA1206188	NA	public	BBDAC8C17B92B711AC2A48D901C3EE87	7BD9791BCBA9F67724C830BD4A8A265A
SRR13959560	2021-10-20 23:29:41	2021-03-13 20:55:09	564099	357208168	0	633	311	NA	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos4/sra-pub-zq-1/SRR013/13959/SRR13959560/SRR13959560.lite.1	SRX10337790	Mi_Beijing2018_Am_cDNA	RNA-Seq	RANDOM PCR	TRANSCRIPTOMIC	SINGLE	0	0	OXFORD_NANOPORE	PromethION	SRP309600	PRJNA706851	NA	706851	SRS8392970	SAMN18146160	simple	109461	Varroa destructor	Mi004-BJ2018	NA	NA	NA	NA		NA	no	NA	NA	NA	NA	CHINESE ACADEMY OF AGRICULTURAL SCIENCES	SRA1206188	NA	public	FAC29642ED569A33217BDFEDE9CFF71A	F07678EC0D26DC420B88C728D688D831
SRR13871596	2021-10-20 23:29:40	2021-03-06 23:31:42	31784421	9535326300	31784421	300	2898	NA	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-zq-24/SRR013/13871/SRR13871596/SRR13871596.lite.1	SRX10252203	Mi_Beijing2018_Am	RNA-Seq	RANDOM	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina NovaSeq 6000	SRP309600	PRJNA706851	NA	706851	SRS8392970	SAMN18146160	simple	109461	Varroa destructor	Mi004-BJ2018	NA	NA	NA	NA		NA	no	NA	NA	NA	NA	CHINESE ACADEMY OF AGRICULTURAL SCIENCES	SRA1203640	NA	public	53D9E31FE712092766EBFCC325EA6A75	03D9EEBC3CC764443109F00AB6FCFE7B
SRR13871595	2021-10-20 23:29:40	2021-03-06 23:29:11	22632556	6789766800	22632556	300	2048	NA	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-zq-24/SRR013/13871/SRR13871595/SRR13871595.lite.1	SRX10252204	Mi_Gansu2018_Am	RNA-Seq	RANDOM	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina NovaSeq 6000	SRP309600	PRJNA706851	NA	706851	SRS8392971	SAMN18146161	simple	109461	Varroa destructor	Mi006-GS2018	NA	NA	NA	NA		NA	no	NA	NA	NA	NA	CHINESE ACADEMY OF AGRICULTURAL SCIENCES	SRA1203640	NA	public	1E8BD02FFB23EE84D46CC95150A59776	E628F57A1705121A52F3E12D997A52ED
SRR13871594	2021-10-20 23:29:40	2021-03-06 23:46:08	33848686	10154605800	33848686	300	3128	NA	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-zq-24/SRR013/13871/SRR13871594/SRR13871594.lite.1	SRX10252205	Mi_Hebei2018-9_Am	RNA-Seq	RANDOM	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina NovaSeq 6000	SRP309600	PRJNA706851	NA	706851	SRS8392972	SAMN18146162	simple	109461	Varroa destructor	Mi008-HB2018-9	NA	NA	NA	NA		NA	no	NA	NA	NA	NA	CHINESE ACADEMY OF AGRICULTURAL SCIENCES	SRA1203640	NA	public	ED0671A7DD2C681AD5AE5657F9A25510	F0D3DF19857C3B7BF0C9978EAA5AD4DA
SRR13871592	2021-10-20 23:29:40	2021-03-06 23:47:26	43381720	13014516000	43381720	300	3931	NA	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-zq-24/SRR013/13871/SRR13871592/SRR13871592.lite.1	SRX10252207	Mi_Hebei2018-11_Am	RNA-Seq	RANDOM	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina NovaSeq 6000	SRP309600	PRJNA706851	NA	706851	SRS8392974	SAMN18146164	simple	109461	Varroa destructor	Mi012-HB2018-11	NA	NA	NA	NA		NA	no	NA	NA	NA	NA	CHINESE ACADEMY OF AGRICULTURAL SCIENCES	SRA1203640	NA	public	BE5FBFE5CA762140225C042C954FFCF2	A88876F4EC0EC781164EC557D0166B56
SRR13871591	2021-10-20 23:29:40	2021-03-06 23:41:29	43277093	12983127900	43277093	300	3988	NA	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-zq-24/SRR013/13871/SRR13871591/SRR13871591.lite.1	SRX10252208	Mi_Heilongjiang2018-10_Am	RNA-Seq	RANDOM	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina NovaSeq 6000	SRP309600	PRJNA706851	NA	706851	SRS8392975	SAMN18146165	simple	109461	Varroa destructor	Mi016-HLJ2018	NA	NA	NA	NA		NA	no	NA	NA	NA	NA	CHINESE ACADEMY OF AGRICULTURAL SCIENCES	SRA1203640	NA	public	F53F5659F3994B04024108C5FE7FDA85	D600D56614083C60A8DFEC7895EDADA6
