Run	ReleaseDate	LoadDate	spots	bases	spots_with_mates	avgLength	size_MB	AssemblyName	download_path	Experiment	LibraryName	LibraryStrategy	LibrarySelection	LibrarySource	LibraryLayout	InsertSize	InsertDev	Platform	Model	SRAStudy	BioProject	Study_Pubmed_id	ProjectID	Sample	BioSample	SampleType	TaxID	ScientificName	SampleName	g1k_pop_code	source	g1k_analysis_group	Subject_ID	Sex	Disease	Tumor	Affection_Status	Analyte_Type	Histological_Type	Body_Site	CenterName	Submission	dbgap_study_accession	Consent	RunHash	ReadHash
SRR10255733	2020-11-09 00:02:33	2019-10-10 02:54:01	8344649	817775602	8344649	98	399		https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR10255733/SRR10255733	SRX6973687	L03	RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 2500	SRP225015	PRJNA576763		576763	SRS5499088	SAMN13006710	simple	3914	Vigna angularis	L03							no					BEIJING UNIVERSITY OF AGRICULTURE	SRA976862		public	84F3F155AC907E7F33EA44A6C1745013	F620426DDE89BA03B382E138B6712FEB
SRR10255732	2020-11-09 00:02:33	2019-10-10 02:52:57	8385977	821825746	8385977	98	393		https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR10255732/SRR10255732	SRX6973688	L04	RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 2500	SRP225015	PRJNA576763		576763	SRS5499089	SAMN13006711	simple	3914	Vigna angularis	L04							no					BEIJING UNIVERSITY OF AGRICULTURE	SRA976862		public	BA878C25CFBCAE2B870E0D003E1009F8	AC86BD81BAAE3B97E55A43C533A34760
SRR10255731	2020-11-09 00:02:33	2019-10-10 02:52:03	9000800	882078400	9000800	98	426		https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR10255731/SRR10255731	SRX6973689	L05	RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 2500	SRP225015	PRJNA576763		576763	SRS5499090	SAMN13006712	simple	3914	Vigna angularis	L05							no					BEIJING UNIVERSITY OF AGRICULTURE	SRA976862		public	3A50526546139BB3FED501F6AC2B8608	E7F8B076BBC420DE63283D3D2246D33E
SRR10255730	2020-11-09 00:02:33	2019-10-10 02:52:18	9514693	932439914	9514693	98	453		https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR10255730/SRR10255730	SRX6973690	L06	RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 2500	SRP225015	PRJNA576763		576763	SRS5499091	SAMN13006713	simple	3914	Vigna angularis	L06							no					BEIJING UNIVERSITY OF AGRICULTURE	SRA976862		public	962BA53A430FCFE167C067550F9759DF	C8C3E4D698CB4BD858C50A62848B0500
SRR10255729	2020-11-09 00:02:33	2019-10-10 02:52:50	9702628	950857544	9702628	98	480		https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR10255729/SRR10255729	SRX6973691	P01	RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 2500	SRP225015	PRJNA576763		576763	SRS5499092	SAMN13006714	simple	3914	Vigna angularis	P01							no					BEIJING UNIVERSITY OF AGRICULTURE	SRA976862		public	29B5A79DCAB396CBBC016D649520FB83	676A406D6EDBFDF4FAF88795B2D1BBEC
SRR10255728	2020-11-09 00:02:33	2019-10-10 02:47:00	11942983	1170412334	11942983	98	589		https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR10255728/SRR10255728	SRX6973692	P02	RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 2500	SRP225015	PRJNA576763		576763	SRS5499093	SAMN13006715	simple	3914	Vigna angularis	P02							no					BEIJING UNIVERSITY OF AGRICULTURE	SRA976862		public	E8254C449E2CBDA0EA81AA7EC960A497	D6311B647043EC6CCE7F0B6214487BC4
SRR10255727	2020-11-09 00:02:33	2019-10-10 02:46:37	9520681	933026738	9520681	98	470		https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR10255727/SRR10255727	SRX6973693	P03	RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 2500	SRP225015	PRJNA576763		576763	SRS5499094	SAMN13006716	simple	3914	Vigna angularis	P03							no					BEIJING UNIVERSITY OF AGRICULTURE	SRA976862		public	A93AC738D6EED90C1CC4C708E721A73D	E01BEDEA04EDA8914C9F8290F4C243C0
SRR10255726	2020-11-09 00:02:33	2019-10-10 02:46:19	10278569	1007299762	10278569	98	521		https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR10255726/SRR10255726	SRX6973694	P04	RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 2500	SRP225015	PRJNA576763		576763	SRS5499095	SAMN13006717	simple	3914	Vigna angularis	P04							no					BEIJING UNIVERSITY OF AGRICULTURE	SRA976862		public	5A56B61BF84D4165D9E1AE5C80296912	01312286EF79A5DF39247C6EC3C77058
SRR10255740	2020-11-09 00:02:32	2019-10-10 03:05:33	8010176	784997248	8010176	98	397		https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR10255740/SRR10255740	SRX6973680	P06	RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 2500	SRP225015	PRJNA576763		576763	SRS5499081	SAMN13006719	simple	3914	Vigna angularis	P06							no					BEIJING UNIVERSITY OF AGRICULTURE	SRA976862		public	5D16313BC4BCB655D9E70F8605B2974B	2E6777EFE50694930C857E94737BE2F2
SRR10255739	2020-11-09 00:02:32	2019-10-10 03:06:11	7942356	1429624080	7942356	180	951		https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR10255739/SRR10255739	SRX6973681	T01	RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 2500	SRP225015	PRJNA576763		576763	SRS5499082	SAMN13006720	simple	3914	Vigna angularis	T01							no					BEIJING UNIVERSITY OF AGRICULTURE	SRA976862		public	ABD6EEFA906B28FF4EB6D6AA517805D4	405F7A5126C524AC6727559F6450B2E1
SRR10255738	2020-11-09 00:02:32	2019-10-10 03:06:10	8803881	1584698580	8803881	180	1055		https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR10255738/SRR10255738	SRX6973682	T02	RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 2500	SRP225015	PRJNA576763		576763	SRS5499083	SAMN13006721	simple	3914	Vigna angularis	T02							no					BEIJING UNIVERSITY OF AGRICULTURE	SRA976862		public	13362F702CCF237DE84D3150349B4E66	C200EA1D2A25BE6FDFDD370F5F2FE5BD
SRR10255737	2020-11-09 00:02:33	2019-10-10 03:01:42	8940074	1609213320	8940074	180	1069		https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR10255737/SRR10255737	SRX6973683	T03	RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 2500	SRP225015	PRJNA576763		576763	SRS5499084	SAMN13006722	simple	3914	Vigna angularis	T03							no					BEIJING UNIVERSITY OF AGRICULTURE	SRA976862		public	D533B3E17213B8475196B3C026236203	D6F1BD6F6312F3C01B5888D6F36AD915
SRR10255736	2020-11-09 00:02:33	2019-10-10 02:57:30	8885182	1599332760	8885182	180	1066		https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR10255736/SRR10255736	SRX6973684	T04	RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 2500	SRP225015	PRJNA576763		576763	SRS5499085	SAMN13006723	simple	3914	Vigna angularis	T04							no					BEIJING UNIVERSITY OF AGRICULTURE	SRA976862		public	37E1BEB7AEA5E9665EFF10E0EFE6B94C	D1A5ABC326AF62CA920DEF00D0FFBD49
SRR10255735	2020-11-09 00:02:33	2019-10-10 02:56:31	9027792	1625002560	9027792	180	1088		https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR10255735/SRR10255735	SRX6973685	T05	RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 2500	SRP225015	PRJNA576763		576763	SRS5499086	SAMN13006724	simple	3914	Vigna angularis	T05							no					BEIJING UNIVERSITY OF AGRICULTURE	SRA976862		public	6BC9049ABF30296ACA3E6C1856C2DE33	635CBA4114AEA6394C5A02AA4FC75163
