Run	ReleaseDate	LoadDate	spots	bases	spots_with_mates	avgLength	size_MB	AssemblyName	download_path	Experiment	LibraryName	LibraryStrategy	LibrarySelection	LibrarySource	LibraryLayout	InsertSize	InsertDev	Platform	Model	SRAStudy	BioProject	Study_Pubmed_id	ProjectID	Sample	BioSample	SampleType	TaxID	ScientificName	SampleName	g1k_pop_code	source	g1k_analysis_group	Subject_ID	Sex	Disease	Tumor	Affection_Status	Analyte_Type	Histological_Type	Body_Site	CenterName	Submission	dbgap_study_accession	Consent	RunHash	ReadHash
SRR14086626	2021-03-27 10:28:00	2021-03-27 10:19:55	32321770	9643173316	32321770	298	2910		https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR14086626/SRR14086626	SRX10460822	Library 1	RNA-Seq	Oligo-dT	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	HiSeq X Ten	SRP312419	PRJNA717930		717930	SRS8591741	SAMN18520098	simple	157791	Vigna radiata	BL-1							no					HEILONGJIANG BAYI AGRICULTURAL UNIVERSITY	SRA1211328		public	635BA59E2E5017AFA40BFB442185FB98	ECDDE73309521FCD6F8F82038E950BDF
SRR14086625	2021-03-27 16:25:18	2021-03-27 16:21:17	27148957	8100940524	27148957	298	2468		https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR14086625/SRR14086625	SRX10460823	Library 2	RNA-Seq	Oligo-dT	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	HiSeq X Ten	SRP312419	PRJNA717930		717930	SRS8591742	SAMN18520096	simple	157791	Vigna radiata	BL-2							no					HEILONGJIANG BAYI AGRICULTURAL UNIVERSITY	SRA1211328		public	72F4B2A7BF38A8A5B9C32CBB609143CD	508CE3DF4A7A610983DC846B528DC9E9
SRR14086624	2021-03-27 17:28:39	2021-03-27 17:25:52	30028955	8956983366	30028955	298	2731		https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR14086624/SRR14086624	SRX10460824	Library 3	RNA-Seq	Oligo-dT	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	HiSeq X Ten	SRP312419	PRJNA717930		717930	SRS8591743	SAMN18520097	simple	157791	Vigna radiata	BL-3							no					HEILONGJIANG BAYI AGRICULTURAL UNIVERSITY	SRA1211328		public	7CEEB34DA34B8E22B62B646B1E2B160D	5A8C1DB075C995D244D51C984E11F54E
SRR14086623	2021-03-27 16:02:58	2021-03-27 15:58:02	25448310	7604321152	25448310	298	2335		https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR14086623/SRR14086623	SRX10460825	Library 4	RNA-Seq	Oligo-dT	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	HiSeq X Ten	SRP312419	PRJNA717930		717930	SRS8591744	SAMN18520099	simple	157791	Vigna radiata	BLCK-1							no					HEILONGJIANG BAYI AGRICULTURAL UNIVERSITY	SRA1211328		public	0CA0C74C4E47F12E5149CCB210BE5CFB	F4EBA8F9D422E2780EA126051E739D1C
SRR14086622	2021-03-27 16:20:44	2021-03-27 16:11:14	25852378	7711943826	25852378	298	2370		https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR14086622/SRR14086622	SRX10460826	Library 5	RNA-Seq	Oligo-dT	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	HiSeq X Ten	SRP312419	PRJNA717930		717930	SRS8591745	SAMN18520100	simple	157791	Vigna radiata	BLCK-2							no					HEILONGJIANG BAYI AGRICULTURAL UNIVERSITY	SRA1211328		public	B5C5D155CCDB0A52EED543A0ECF05FF8	951490D19ED43EEF57D706E9FD312A8B
SRR14086621	2021-03-27 16:24:17	2021-03-27 16:15:37	24930653	7437647488	24930653	298	2303		https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR14086621/SRR14086621	SRX10460827	Library 6	RNA-Seq	Oligo-dT	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	HiSeq X Ten	SRP312419	PRJNA717930		717930	SRS8591746	SAMN18520101	simple	157791	Vigna radiata	BLCK-3							no					HEILONGJIANG BAYI AGRICULTURAL UNIVERSITY	SRA1211328		public	7AA71F4A5D626A58FFA24F2DB29C2622	52F6AC02D10ACBFC6C2E2960CBF37576
SRR14087022	2021-03-28 03:32:02	2021-03-28 03:23:28	28984804	8643552528	28984804	298	2628		https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR14087022/SRR14087022	SRX10461196	Library 4	RNA-Seq	Oligo-dT	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	HiSeq X Ten	SRP312435	PRJNA717987		717987	SRS8592036	SAMN18520500	simple	157791	Vigna radiata	JLCK-1							no					HEILONGJIANG BAYI AGRICULTURAL UNIVERSITY	SRA1211372		public	997099E7BE37C3FE78EC00F9A7598CFC	E2E48C9F8AF5105C5BC59F6066B8F6CA
SRR14087021	2021-03-28 04:47:00	2021-03-28 04:39:49	29992862	8955273768	29992862	298	2735		https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR14087021/SRR14087021	SRX10461197	Library 5	RNA-Seq	Oligo-dT	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	HiSeq X Ten	SRP312435	PRJNA717987		717987	SRS8592037	SAMN18520501	simple	157791	Vigna radiata	JLCK-2							no					HEILONGJIANG BAYI AGRICULTURAL UNIVERSITY	SRA1211372		public	66A2BDDD4BFA833504997B6E55D29802	DC08D5C32EEB10C887E9A72D6B0B9DD3
SRR14087020	2021-03-27 20:57:15	2021-03-27 20:50:20	27663823	8268349234	27663823	298	2479		https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR14087020/SRR14087020	SRX10461198	Library 6	RNA-Seq	Oligo-dT	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	HiSeq X Ten	SRP312435	PRJNA717987		717987	SRS8592038	SAMN18520502	simple	157791	Vigna radiata	JLCK-3							no					HEILONGJIANG BAYI AGRICULTURAL UNIVERSITY	SRA1211372		public	B325D9D00A670D8F0AF5B0A9103CA093	0B8D4A9CD08572BD92F2FFDFDB80486E
SRR11783805	2021-04-05 07:10:55	2020-05-13 11:21:40	18368774	5510632200	18368774	300	2163		https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR11783805/SRR11783805	SRX8336253	1_L4_R1	RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 2500	SRP261420	PRJNA631469		631469	SRS6655096	SAMN14864039	simple	157791	Vigna radiata	1_L4_R1							no					IARI	SRA1075070		public	9C002038FE19FE854F79FA9F05C34BC5	94E75DF0429334F90E5A93D76FD7C0D7
SRR11783804	2021-04-05 07:10:55	2020-05-13 11:22:50	20758708	6227612400	20758708	300	2452		https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR11783804/SRR11783804	SRX8336254	2_L4_R1	RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 2500	SRP261420	PRJNA631469		631469	SRS6655097	SAMN14864041	simple	157791	Vigna radiata	2_L4_R1							no					IARI	SRA1075070		public	5FEDF880A5DD2709AC50EFC2DE2E2910	22AF5C2D5C9AAD9FEFD67DEDDCF46B93
SRR9264661	2019-09-19 21:18:32	2019-06-11 10:37:40	16251759	4094463762	16251759	251	2621		https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR9264661/SRR9264661	SRX6035002	T01	RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 2000	SRP201019	PRJNA546066		546066	SRS4938569	SAMN11950988	simple	157791	Vigna radiata	A01							no					SOUTH CHINA UNIVERSITY OF TECHNOLOGY	SRA893784		public	1407A52885466B33229E497F93E68B92	4C6031C0B5C9F92D68133D26A125EE9E
SRR9264660	2019-09-19 21:18:32	2019-06-11 10:39:17	17429940	4391356345	17429940	251	2814		https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR9264660/SRR9264660	SRX6035003	T02	RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 2000	SRP201019	PRJNA546066		546066	SRS4938570	SAMN11950989	simple	157791	Vigna radiata	A02							no					SOUTH CHINA UNIVERSITY OF TECHNOLOGY	SRA893784		public	7D092E3A6FFF11E6E30E4BAB84F658F7	E3B98BB95D4E70515D3A191716A5F5B6
