Run	ReleaseDate	LoadDate	spots	bases	spots_with_mates	avgLength	size_MB	AssemblyName	download_path	Experiment	LibraryName	LibraryStrategy	LibrarySelection	LibrarySource	LibraryLayout	InsertSize	InsertDev	Platform	Model	SRAStudy	BioProject	Study_Pubmed_id	ProjectID	Sample	BioSample	SampleType	TaxID	ScientificName	SampleName	g1k_pop_code	source	g1k_analysis_group	Subject_ID	Sex	Disease	Tumor	Affection_Status	Analyte_Type	Histological_Type	Body_Site	CenterName	Submission	dbgap_study_accession	Consent	RunHash	ReadHash
SRR13375951	2021-01-07 02:49:40	2021-01-07 02:43:47	38465064	11539519200	38465064	300	4320		https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR13375951/SRR13375951	SRX9799295	1	RNA-Seq	PCR	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 4000	SRP300722	PRJNA687350		687350	SRS7983955	SAMN17141509	simple	3917	Vigna unguiculata	DT1							no					BHABHA ATOMIC RESEARCH CENTRE	SRA1181168		public	7FD678605050428A0CE3666EF0AB9675	C9CE30C54323568DE0FA7BCAE5CDB935
SRR13375950	2021-01-07 02:47:42	2021-01-07 02:43:24	38950652	11685195600	38950652	300	4450		https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR13375950/SRR13375950	SRX9799296	2	RNA-Seq	PCR	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 4000	SRP300722	PRJNA687350		687350	SRS7983956	SAMN17141510	simple	3917	Vigna unguiculata	DT2							no					BHABHA ATOMIC RESEARCH CENTRE	SRA1181168		public	3C3508FCCDB0B9AD950C0EA17EB660AE	4AA9DBEC28A8146CBF11895B4C9B6A33
SRR13375949	2021-01-07 02:49:40	2021-01-07 02:42:39	35561840	10668552000	35561840	300	4004		https://sra-pub-sars-cov2.s3.amazonaws.com/run/SRR13375949/SRR13375949	SRX9799297	3	RNA-Seq	PCR	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 4000	SRP300722	PRJNA687350		687350	SRS7983957	SAMN17141511	simple	3917	Vigna unguiculata	ID1							no					BHABHA ATOMIC RESEARCH CENTRE	SRA1181168		public	4C109A04C9C4D5ADE4E554E86114AB90	6C46C7B71F1CBA32FE33196098FE4C2D
SRR13375948	2021-01-07 02:59:38	2021-01-07 02:52:58	46126023	13837806900	46126023	300	5199		https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR13375948/SRR13375948	SRX9799298	4	RNA-Seq	PCR	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 4000	SRP300722	PRJNA687350		687350	SRS7983958	SAMN17141512	simple	3917	Vigna unguiculata	ID2							no					BHABHA ATOMIC RESEARCH CENTRE	SRA1181168		public	690A8CC7365350DD2D6C2FE932189BE1	ECF6C00C5B4A65EE13073733A8636CA9
SRR13375945	2021-01-07 02:45:41	2021-01-07 02:38:56	38659262	11597778600	38659262	300	4381		https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR13375945/SRR13375945	SRX9799301	7	RNA-Seq	PCR	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 4000	SRP300722	PRJNA687350		687350	SRS7983961	SAMN17141515	simple	3917	Vigna unguiculata	R2_1							no					BHABHA ATOMIC RESEARCH CENTRE	SRA1181168		public	1532AC304AD2D1956B1E17C1098C7AF0	2DCABE4985341708CB82EE54ABBD58B0
SRR13375944	2021-01-07 03:01:44	2021-01-07 02:54:32	45011563	13503468900	45011563	300	5073		https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR13375944/SRR13375944	SRX9799302	8	RNA-Seq	PCR	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 4000	SRP300722	PRJNA687350		687350	SRS7983962	SAMN17141516	simple	3917	Vigna unguiculata	R2_2							no					BHABHA ATOMIC RESEARCH CENTRE	SRA1181168		public	F28322DD86D6FA871C254A5AA166A364	B4DF9B01218FE3AC91D280EEA401E706
SRR13375947	2021-01-07 03:08:39	2021-01-07 03:00:11	48919713	14675913900	48919713	300	5502		https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR13375947/SRR13375947	SRX9799299	5	RNA-Seq	PCR	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 4000	SRP300722	PRJNA687350		687350	SRS7983959	SAMN17141513	simple	3917	Vigna unguiculata	S1							no					BHABHA ATOMIC RESEARCH CENTRE	SRA1181168		public	866A548EB34B7DD8A1342C52F6A1887A	91193BEBD82426F7C04924EDE2A8FF66
SRR13375946	2021-01-07 02:45:41	2021-01-07 02:41:56	42453766	12736129800	42453766	300	4820		https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR13375946/SRR13375946	SRX9799300	6	RNA-Seq	PCR	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 4000	SRP300722	PRJNA687350		687350	SRS7983960	SAMN17141514	simple	3917	Vigna unguiculata	S2							no					BHABHA ATOMIC RESEARCH CENTRE	SRA1181168		public	285E0645180C173AC296FA8A48F2FCC1	A7204E5BBAA2F12278034CA1EDB3DE00
DRR173108	2021-04-02 15:31:44	2021-04-02 17:33:35	7602160	1535636320	7602160	202	883		https://sra-pub-run-odp.s3.amazonaws.com/sra/DRR173108/DRR173108	DRX163719		RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	146	0	ILLUMINA	Illumina HiSeq 1500	DRP007108	PRJDB8134		719493	DRS177821	SAMD00166112	simple	3917	Vigna unguiculata	SAMD00166112							no					KOBE_U	DRA008222		public	F5F6D4EC2C0F5D88C6B5B12369E4E1CA	AB8832159C4BA83719A0F7341868E518
DRR173109	2021-04-02 15:31:44	2021-04-02 15:31:34	6461532	1305229464	6461532	202	758		https://sra-pub-run-odp.s3.amazonaws.com/sra/DRR173109/DRR173109	DRX163720		RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	146	0	ILLUMINA	Illumina HiSeq 1500	DRP007108	PRJDB8134		719493	DRS177822	SAMD00166113	simple	3917	Vigna unguiculata	SAMD00166113							no					KOBE_U	DRA008222		public	02AC0B654CC9EEB9D8C30BD12A47BFB0	8E26DA8CBDE2CD6A43216646B70E8441
