Run	ReleaseDate	LoadDate	spots	bases	spots_with_mates	avgLength	size_MB	AssemblyName	download_path	Experiment	LibraryName	LibraryStrategy	LibrarySelection	LibrarySource	LibraryLayout	InsertSize	InsertDev	Platform	Model	SRAStudy	BioProject	Study_Pubmed_id	ProjectID	Sample	BioSample	SampleType	TaxID	ScientificName	SampleName	g1k_pop_code	source	g1k_analysis_group	Subject_ID	Sex	Disease	Tumor	Affection_Status	Analyte_Type	Histological_Type	Body_Site	CenterName	Submission	dbgap_study_accession	Consent	RunHash	ReadHash
SRR11036582	2021-06-30 00:32:13	2020-02-07 13:10:47	25094337	7528301100	25094337	300	2942	NA	https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR11036582/SRR11036582	SRX7688836	28d_1	RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	HiSeq X Ten	SRP247542	PRJNA602411	NA	602411	SRS6115129	SAMN13899407	simple	494514	Vulpes lagopus	28d_1	NA	NA	NA	NA	female	NA	no	NA	NA	NA	NA	HEBEI NORMAL UNIVERSITY OF SCIENCE AND TECHNOLOGY	SRA1039167	NA	public	76E1800CA70F8187AC479846C3F030AC	B5DB4209DC1B39048BA8ECFC0ADC20EA
SRR11036581	2021-06-30 00:32:13	2020-02-07 13:10:33	24718772	7415631600	24718772	300	2891	NA	https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR11036581/SRR11036581	SRX7688837	28d_2	RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	HiSeq X Ten	SRP247542	PRJNA602411	NA	602411	SRS6115130	SAMN13899408	simple	494514	Vulpes lagopus	28d_2	NA	NA	NA	NA	female	NA	no	NA	NA	NA	NA	HEBEI NORMAL UNIVERSITY OF SCIENCE AND TECHNOLOGY	SRA1039167	NA	public	015239D8DD2A7E1E519255910481DFDA	F2D72D1B822660442C0F144872D76080
SRR11036580	2021-06-30 00:32:13	2020-02-07 13:13:08	27711665	8313499500	27711665	300	3238	NA	https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR11036580/SRR11036580	SRX7688838	28d_3	RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	HiSeq X Ten	SRP247542	PRJNA602411	NA	602411	SRS6115131	SAMN13899409	simple	494514	Vulpes lagopus	28d_3	NA	NA	NA	NA	female	NA	no	NA	NA	NA	NA	HEBEI NORMAL UNIVERSITY OF SCIENCE AND TECHNOLOGY	SRA1039167	NA	public	EF9ABA906C2B3E526E107C5963AA57FB	3F27D3DA8E4EEA41C9E7BAB112A5A4C5
SRR11036579	2021-06-30 00:32:13	2020-02-07 13:10:25	22520190	6756057000	22520190	300	2616	NA	https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR11036579/SRR11036579	SRX7688839	36d_1	RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	HiSeq X Ten	SRP247542	PRJNA602411	NA	602411	SRS6115132	SAMN13899410	simple	494514	Vulpes lagopus	36d_1	NA	NA	NA	NA	female	NA	no	NA	NA	NA	NA	HEBEI NORMAL UNIVERSITY OF SCIENCE AND TECHNOLOGY	SRA1039167	NA	public	2830239E299C796A865B5D30621B9EF6	19ECF5687412973495FA033C21E14230
SRR11036578	2021-06-30 00:32:13	2020-02-07 13:14:41	29448978	8834693400	29448978	300	3420	NA	https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR11036578/SRR11036578	SRX7688840	36d_2	RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	HiSeq X Ten	SRP247542	PRJNA602411	NA	602411	SRS6115133	SAMN13899411	simple	494514	Vulpes lagopus	36d_2	NA	NA	NA	NA	female	NA	no	NA	NA	NA	NA	HEBEI NORMAL UNIVERSITY OF SCIENCE AND TECHNOLOGY	SRA1039167	NA	public	381E004533A2150496039F5E5A6622B8	305C2C9060DBD871058E203A64700192
SRR11036577	2021-06-30 00:32:13	2020-02-07 13:07:51	21098608	6329582400	21098608	300	2360	NA	https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR11036577/SRR11036577	SRX7688841	36d_3	RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	HiSeq X Ten	SRP247542	PRJNA602411	NA	602411	SRS6115134	SAMN13899412	simple	494514	Vulpes lagopus	36d_3	NA	NA	NA	NA	female	NA	no	NA	NA	NA	NA	HEBEI NORMAL UNIVERSITY OF SCIENCE AND TECHNOLOGY	SRA1039167	NA	public	88648EBAB78D3B10FAF59F4E62F1F9ED	1D739FFBFA66B85BCB5E467A0F71E1D5
ERR687853	2015-08-09 08:44:20	2015-08-09 08:50:25	44895212	8440299856	44895212	188	5953	NA	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/ERR000/687/ERR687853.sralite.1	ERX632793	unspecified	RNA-Seq	Oligo-dT	TRANSCRIPTOMIC	PAIRED	380	0	ILLUMINA	Illumina HiSeq 2000	ERP008762	PRJEB7790	NA	292359	ERS610082	SAMEA3138147	simple	494514	Vulpes lagopus	SAMEA3138147	NA	NA	NA	NA		NA	no	NA	NA	NA	NA	BIODIVERSITY AND CLIMATE RESEARCH CENTER, FRANKFUR	ERA386923	NA	public	C749D8129732DCA7C6C9078C3B35E554	EF6346FE584BA8D83ADDBC5B5B8D688B
ERR687854	2015-08-09 08:44:20	2015-08-09 08:50:32	55306262	10397577256	55306262	188	7341	NA	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/ERR000/687/ERR687854.sralite.1	ERX632794	unspecified	RNA-Seq	Oligo-dT	TRANSCRIPTOMIC	PAIRED	380	0	ILLUMINA	Illumina HiSeq 2000	ERP008762	PRJEB7790	NA	292359	ERS610083	SAMEA3138148	simple	494514	Vulpes lagopus	SAMEA3138148	NA	NA	NA	NA		NA	no	NA	NA	NA	NA	BIODIVERSITY AND CLIMATE RESEARCH CENTER, FRANKFUR	ERA386923	NA	public	976E553F813D3C149448AE78859D3A66	659922370968AA7112CC7022D8D9DA88
SRR10811364	2021-01-31 00:04:30	2020-01-01 09:31:34	20494759	6148427700	20494759	300	2373	NA	https://sra-pub-sars-cov2.s3.amazonaws.com/run/SRR10811364/SRR10811364	SRX7484888	Vla_laf1	RNA-Seq	RANDOM	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	HiSeq X Ten	SRP239221	PRJNA598055	NA	598055	SRS5927170	SAMN13697693	simple	494514	Vulpes lagopus	Vulpes lagopus transcriptome	NA	NA	NA	NA	female	NA	no	NA	NA	NA	NA	HEBEI NORMAL UNIVERSITY OF SCIENCE AND TECHNOLOGY	SRA1018590	NA	public	B60A12D93A15F8BF3FE450F29E9E9981	A6E08EAA297FF68FE6133948E4019B7A
SRR10811365	2021-01-31 00:04:30	2020-01-01 09:34:57	25264360	7579308000	25264360	300	2747	NA	https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR10811365/SRR10811365	SRX7484887	Vla_l3	RNA-Seq	RANDOM	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	HiSeq X Ten	SRP239221	PRJNA598055	NA	598055	SRS5927170	SAMN13697693	simple	494514	Vulpes lagopus	Vulpes lagopus transcriptome	NA	NA	NA	NA	female	NA	no	NA	NA	NA	NA	HEBEI NORMAL UNIVERSITY OF SCIENCE AND TECHNOLOGY	SRA1018590	NA	public	FA7ADD069CB4AE8DBD64CBF871A58A30	2E6CE2FC156A0E6829E1C459DEAA619F
SRR10811366	2021-01-31 00:04:30	2020-01-01 09:39:04	26511689	7953506700	26511689	300	2912	NA	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-16/SRR010/10811/SRR10811366/SRR10811366.lite.1	SRX7484886	Vla_l2	RNA-Seq	RANDOM	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	HiSeq X Ten	SRP239221	PRJNA598055	NA	598055	SRS5927170	SAMN13697693	simple	494514	Vulpes lagopus	Vulpes lagopus transcriptome	NA	NA	NA	NA	female	NA	no	NA	NA	NA	NA	HEBEI NORMAL UNIVERSITY OF SCIENCE AND TECHNOLOGY	SRA1018590	NA	public	6D1440C6055F4BED50E9C8F6F93C78A2	72C906FEB0E0889D9BFE24D339E0C417
