Run	ReleaseDate	LoadDate	spots	bases	spots_with_mates	avgLength	size_MB	AssemblyName	download_path	Experiment	LibraryName	LibraryStrategy	LibrarySelection	LibrarySource	LibraryLayout	InsertSize	InsertDev	Platform	Model	SRAStudy	BioProject	Study_Pubmed_id	ProjectID	Sample	BioSample	SampleType	TaxID	ScientificName	SampleName	g1k_pop_code	source	g1k_analysis_group	Subject_ID	Sex	Disease	Tumor	Affection_Status	Analyte_Type	Histological_Type	Body_Site	CenterName	Submission	dbgap_study_accession	Consent	RunHash	ReadHash
SRR8986285	2019-04-30 17:07:21	2019-04-29 14:35:38	17291798	3471221736	17291798	200	1549		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-14/SRR008/986/SRR8986285.sralite.1	SRX5765504		RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 2500	SRP194164	PRJNA540273	3	540273	SRS4699882	SAMN11527038	simple	8355	Xenopus laevis	GSM3738805							no					GEO	SRA880624		public	4E25C2FD8378538D18E17B2C3E06BCF7	4F3979C68E595B221513F306AD11BDF8
SRR8986286	2019-04-30 17:07:21	2019-04-29 14:35:51	16348282	3281838621	16348282	200	1454		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-14/SRR008/986/SRR8986286.sralite.1	SRX5765504		RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 2500	SRP194164	PRJNA540273	3	540273	SRS4699882	SAMN11527038	simple	8355	Xenopus laevis	GSM3738805							no					GEO	SRA880624		public	0B5195F003595F605CB252D61DEC5CFC	99B3354D9F9ED8FBDEDD915C2BE6FE05
SRR8986287	2019-04-30 17:07:21	2019-04-29 14:34:54	17059350	3426328076	17059350	200	1547		https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR8986287/SRR8986287	SRX5765505		RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 2500	SRP194164	PRJNA540273	3	540273	SRS4699883	SAMN11527037	simple	8355	Xenopus laevis	GSM3738806							no					GEO	SRA880624		public	D9924FD8CA375287B50CA499DE2340AB	5B8E7A103D49D2755FBC37BE456E3881
SRR8986288	2019-04-30 17:07:21	2019-04-29 14:35:30	16874317	3389285128	16874317	200	1527		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-14/SRR008/986/SRR8986288.sralite.1	SRX5765505		RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 2500	SRP194164	PRJNA540273	3	540273	SRS4699883	SAMN11527037	simple	8355	Xenopus laevis	GSM3738806							no					GEO	SRA880624		public	9C60E5980F7AD4F060975D83D26C68F9	BDBE053C7FAB9C2A0528B887653985D3
SRR8986289	2019-04-30 17:07:21	2019-04-29 14:34:26	15639635	3140953735	15639635	200	1398		https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR8986289/SRR8986289	SRX5765506		RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 2500	SRP194164	PRJNA540273	3	540273	SRS4699884	SAMN11527036	simple	8355	Xenopus laevis	GSM3738807							no					GEO	SRA880624		public	B7849EF013DEE53BC7D8091BA8F3F895	2AA1207C250604ABC23AACC3536C7C7F
SRR8986290	2019-04-30 17:07:21	2019-04-29 14:35:27	15312180	3075191666	15312180	200	1359		https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR8986290/SRR8986290	SRX5765506		RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 2500	SRP194164	PRJNA540273	3	540273	SRS4699884	SAMN11527036	simple	8355	Xenopus laevis	GSM3738807							no					GEO	SRA880624		public	6E736653911AAF6314217891D9BDEDFD	8661053999D5F8CF357010E16E12354C
SRR8986291	2019-04-30 17:07:21	2019-04-29 14:34:50	14787347	2970168706	14787347	200	1343		https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR8986291/SRR8986291	SRX5765507		RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 2500	SRP194164	PRJNA540273	3	540273	SRS4699885	SAMN11527039	simple	8355	Xenopus laevis	GSM3738808							no					GEO	SRA880624		public	0545D69BF73961A26BB84740FA9115C4	00E74207A65AA63D674DCA35013C8B2E
SRR8986292	2019-04-30 17:07:21	2019-04-29 14:34:37	14504545	2913386181	14504545	200	1307		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-14/SRR008/986/SRR8986292.sralite.1	SRX5765507		RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 2500	SRP194164	PRJNA540273	3	540273	SRS4699885	SAMN11527039	simple	8355	Xenopus laevis	GSM3738808							no					GEO	SRA880624		public	009A0F0F197AB8E1361253A067797758	9BF4F06AACAC847767AB3B901053BF48
SRR8986293	2019-04-30 17:07:21	2019-04-29 14:35:41	17400076	3492532092	17400076	200	1535		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-16/SRR008/986/SRR8986293.sralite.1	SRX5765508		RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 2500	SRP194164	PRJNA540273	3	540273	SRS4699886	SAMN11527035	simple	8355	Xenopus laevis	GSM3738809							no					GEO	SRA880624		public	06501642BE63C0D45EEF1F19386E3771	682F6944BB32F8F4D45E07D28D402096
SRR8986294	2019-04-30 17:07:21	2019-04-29 14:35:32	17094751	3431388122	17094751	200	1506		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-14/SRR008/986/SRR8986294.sralite.1	SRX5765508		RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 2500	SRP194164	PRJNA540273	3	540273	SRS4699886	SAMN11527035	simple	8355	Xenopus laevis	GSM3738809							no					GEO	SRA880624		public	21564A279CC10CE50A07327B2CB49767	1B8E11DF94BC9C55BB9BEE84EFAE0F8C
SRR8986295	2019-04-30 17:07:21	2019-04-29 14:34:15	14941248	3000974066	14941248	200	1364		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-16/SRR008/986/SRR8986295.sralite.1	SRX5765509		RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 2500	SRP194164	PRJNA540273	3	540273	SRS4699888	SAMN11527034	simple	8355	Xenopus laevis	GSM3738810							no					GEO	SRA880624		public	029607066302FCB02FE8DE9B04DCB631	697DF69CD0A1E4F9DB53F8709062CB45
SRR8986296	2019-04-30 17:07:21	2019-04-29 14:35:36	15482253	3109647776	15482253	200	1404		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-16/SRR008/986/SRR8986296.sralite.1	SRX5765509		RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 2500	SRP194164	PRJNA540273	3	540273	SRS4699888	SAMN11527034	simple	8355	Xenopus laevis	GSM3738810							no					GEO	SRA880624		public	00B946FE490D7C44608B369D4B30D919	767E872E575AE7D19645B13121FDA3B2
SRR8986297	2019-04-30 17:07:21	2019-04-29 14:34:52	16043332	3221268539	16043332	200	1437		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-16/SRR008/986/SRR8986297.sralite.1	SRX5765510		RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 2500	SRP194164	PRJNA540273	3	540273	SRS4699889	SAMN11527040	simple	8355	Xenopus laevis	GSM3738811							no					GEO	SRA880624		public	9AC51C7157A127FFA560D1C7C8EE9A7C	32CA069D749EA88D2EF3FE2F181FA191
SRR8986298	2019-04-30 17:07:21	2019-04-29 14:35:17	15732964	3158950376	15732964	200	1397		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-14/SRR008/986/SRR8986298.sralite.1	SRX5765510		RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 2500	SRP194164	PRJNA540273	3	540273	SRS4699889	SAMN11527040	simple	8355	Xenopus laevis	GSM3738811							no					GEO	SRA880624		public	CB2BE537E2927198F9C3B2A87B095B00	59186BAC4CC13D8156CDC148CFC84E45
SRR8986263	2019-04-30 17:07:20	2019-04-29 14:33:42	16436717	3300659233	16436717	200	1463		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-14/SRR008/986/SRR8986263.sralite.1	SRX5765493		RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 2500	SRP194164	PRJNA540273	3	540273	SRS4699872	SAMN11527033	simple	8355	Xenopus laevis	GSM3738794							no					GEO	SRA880624		public	FEB829E3D13FFAAAFAA73D23E0F03B00	81CCE657FA2692A17520DE1EAF3DC0FC
SRR8986264	2019-04-30 17:07:20	2019-04-29 14:33:42	16306799	3274642115	16306799	200	1448		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-14/SRR008/986/SRR8986264.sralite.1	SRX5765493		RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 2500	SRP194164	PRJNA540273	3	540273	SRS4699872	SAMN11527033	simple	8355	Xenopus laevis	GSM3738794							no					GEO	SRA880624		public	D98CA88F8103E095E368EC9D5B5A48EB	1926440DC26B2E6D8FB54F09DB92AF45
SRR8986265	2019-04-30 17:07:20	2019-04-29 14:33:00	12696917	2550624949	12696917	200	1130		https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR8986265/SRR8986265	SRX5765494		RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 2500	SRP194164	PRJNA540273	3	540273	SRS4699873	SAMN11527032	simple	8355	Xenopus laevis	GSM3738795							no					GEO	SRA880624		public	B62597645BD3FB65F9449A9EB062A02B	61A6022B5CCE59971C46716CB3616CC7
SRR8986266	2019-04-30 17:07:20	2019-04-29 14:32:10	12011194	2412946876	12011194	200	1067		https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR8986266/SRR8986266	SRX5765494		RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 2500	SRP194164	PRJNA540273	3	540273	SRS4699873	SAMN11527032	simple	8355	Xenopus laevis	GSM3738795							no					GEO	SRA880624		public	678EB8AA30471E680BFC619D55306F7F	AE7225F070DD0079241D3C63C9D46023
SRR8986267	2019-04-30 17:07:21	2019-04-29 14:33:42	15711911	3155616179	15711911	200	1423		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-14/SRR008/986/SRR8986267.sralite.1	SRX5765495		RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 2500	SRP194164	PRJNA540273	3	540273	SRS4699874	SAMN11527031	simple	8355	Xenopus laevis	GSM3738796							no					GEO	SRA880624		public	14AEBD0F8BA92D04153FB5DAEE5C7EBA	EE627832D6557F2FB41F334CD7A8EC7A
SRR8986268	2019-04-30 17:07:21	2019-04-29 14:33:54	15582742	3129647526	15582742	200	1399		https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR8986268/SRR8986268	SRX5765495		RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 2500	SRP194164	PRJNA540273	3	540273	SRS4699874	SAMN11527031	simple	8355	Xenopus laevis	GSM3738796							no					GEO	SRA880624		public	88532EF9A097A549A27E7DA3EF7CBD8A	3B668FB6A168C3D4424110DAF6E59708
