Run	ReleaseDate	LoadDate	spots	bases	spots_with_mates	avgLength	size_MB	AssemblyName	download_path	Experiment	LibraryName	LibraryStrategy	LibrarySelection	LibrarySource	LibraryLayout	InsertSize	InsertDev	Platform	Model	SRAStudy	BioProject	Study_Pubmed_id	ProjectID	Sample	BioSample	SampleType	TaxID	ScientificName	SampleName	g1k_pop_code	source	g1k_analysis_group	Subject_ID	Sex	Disease	Tumor	Affection_Status	Analyte_Type	Histological_Type	Body_Site	CenterName	Submission	dbgap_study_accession	Consent	RunHash	ReadHash
SRR10398021	2019-11-14 17:20:10	2019-11-05 21:13:05	64981211	19624325722	64981211	302	8417	NA	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-14/SRR010/398/SRR10398021.sralite.1	SRX7098271	zwd_wd_s1	RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	NextSeq 500	SRP228513	PRJNA587792	3	587792	SRS5610555	SAMN13219057	simple	33412	Zerene cesonia	BAC_ZWD11	NA	NA	NA	NA		NA	no	NA	NA	NA	NA	UNIVERSITY OF MONTANA	SRA991294	NA	public	6124F132316A46F437AB90BEF554F0B6	BF134C7C4180C2FC235E0C3CC94D78F5
SRR10398020	2019-11-14 17:20:10	2019-11-05 21:07:01	49046260	14811970520	49046260	302	6343	NA	https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR10398020/SRR10398020	SRX7098272	zwd_wd_s2	RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	NextSeq 500	SRP228513	PRJNA587792	3	587792	SRS5610556	SAMN13219058	simple	33412	Zerene cesonia	BAC_ZWD38	NA	NA	NA	NA		NA	no	NA	NA	NA	NA	UNIVERSITY OF MONTANA	SRA991294	NA	public	5CCA527A561CA3408CA679D24E136EBA	0F2396F3E6E259E1AAD4CA21029E9AD7
SRR10398019	2019-11-14 17:20:10	2019-11-05 21:06:02	50297741	15189917782	50297741	302	6578	NA	https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR10398019/SRR10398019	SRX7098273	zwd_wd_s3	RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	NextSeq 500	SRP228513	PRJNA587792	3	587792	SRS5610557	SAMN13219059	simple	33412	Zerene cesonia	BAC_ZWD48	NA	NA	NA	NA		NA	no	NA	NA	NA	NA	UNIVERSITY OF MONTANA	SRA991294	NA	public	CBE4685B1DB6C721513EA6B6ABE1E4E7	1D53B83F48D7863A2B79644AF624FA4D
SRR10398018	2019-11-14 17:20:10	2019-11-05 20:52:13	44868675	13550339850	44868675	302	5896	NA	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-16/SRR010/398/SRR10398018.sralite.1	SRX7098274	zwd_wd_s4	RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	NextSeq 500	SRP228513	PRJNA587792	3	587792	SRS5610558	SAMN13219060	simple	33412	Zerene cesonia	BAC_ZWD57	NA	NA	NA	NA		NA	no	NA	NA	NA	NA	UNIVERSITY OF MONTANA	SRA991294	NA	public	FBC5EA6F59E5965C0AA566C72B1D3DF2	42C903751A3512A535CDA0CA2B5699C1
SRR10398017	2019-11-14 17:20:10	2019-11-05 21:11:59	70084407	21165490914	70084407	302	9078	NA	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-14/SRR010/398/SRR10398017.sralite.1	SRX7098275	zwd_wd_s5	RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	NextSeq 500	SRP228513	PRJNA587792	3	587792	SRS5610559	SAMN13219061	simple	33412	Zerene cesonia	BAC_ZWD63	NA	NA	NA	NA		NA	no	NA	NA	NA	NA	UNIVERSITY OF MONTANA	SRA991294	NA	public	F31ED752A18FA7FE763A400CED8F6600	701C771B29BBE88243FC1C6EA1DC4981
SRR10398016	2019-11-14 17:20:10	2019-11-05 20:50:25	23484025	5299240055	11610280	225	2235	NA	https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR10398016/SRR10398016	SRX7098276	zwd_wd_s6	RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	NextSeq 500	SRP228513	PRJNA587792	3	587792	SRS5610560	SAMN13219062	simple	33412	Zerene cesonia	BAC_ZWD85	NA	NA	NA	NA		NA	no	NA	NA	NA	NA	UNIVERSITY OF MONTANA	SRA991294	NA	public	10072EFA9F4601747FA718D8BD706F7C	557072BAD2D13E6152DD2E0EA6F85B1B
SRR10398023	2019-11-14 17:20:10	2019-11-05 20:56:04	42813666	12929727132	42813666	302	5530	NA	https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR10398023/SRR10398023	SRX7098269	zwd_hd_s7	RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	NextSeq 500	SRP228513	PRJNA587792	3	587792	SRS5610553	SAMN13219055	simple	33412	Zerene cesonia	BAC_ZWDhd	NA	NA	NA	NA		NA	no	NA	NA	NA	NA	UNIVERSITY OF MONTANA	SRA991294	NA	public	89142DC2A8EFFD0F3C28221F40C22F39	D74E90D5E4477150D24EEE0E170573CE
SRR10398022	2019-11-14 17:20:10	2019-11-05 21:08:55	58601445	17697636390	58601445	302	7538	NA	https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR10398022/SRR10398022	SRX7098270	zwd_tx_s8	RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	NextSeq 500	SRP228513	PRJNA587792	3	587792	SRS5610554	SAMN13219056	simple	33412	Zerene cesonia	BAC_ZWDtx	NA	NA	NA	NA		NA	no	NA	NA	NA	NA	UNIVERSITY OF MONTANA	SRA991294	NA	public	8F5FBE4DE8A3FFBFCEC8969722773E15	BAECF2DA12AD1C6FEA106C90F3F90538
SRR12099812	2020-06-26 17:57:45	2020-06-26 17:54:33	50458664	7418815485	50458664	147	3367	NA	https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR12099812/SRR12099812	SRX8624480	ZWDF1	RNA-Seq	RANDOM	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	HiSeq X Five	SRP228513	PRJNA587792	3	587792	SRS6912419	SAMN14995746	simple	33412	Zerene cesonia	ZWD_1F	NA	NA	NA	NA	female	NA	no	NA	NA	NA	NA	MISSISSIPPI STATE UNIVERSITY	SRA1091441	NA	public	08AA0B43AC5F8521D01CDA304D845C1A	FE55655771795D14F48C5D503CF9DB55
SRR12099811	2020-06-26 17:56:02	2020-06-26 17:53:44	34282138	5021716150	34282138	146	2142	NA	https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR12099811/SRR12099811	SRX8624481	ZWDM1	RNA-Seq	RANDOM	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	HiSeq X Five	SRP228513	PRJNA587792	3	587792	SRS6912421	SAMN14995747	simple	33412	Zerene cesonia	ZWD_1M	NA	NA	NA	NA	male	NA	no	NA	NA	NA	NA	MISSISSIPPI STATE UNIVERSITY	SRA1091441	NA	public	6B89F5ADF398A12ED87145D3B7A27170	1B87C753F6BDEA9BBF1229A762706184
