Run	ReleaseDate	LoadDate	spots	bases	spots_with_mates	avgLength	size_MB	AssemblyName	download_path	Experiment	LibraryName	LibraryStrategy	LibrarySelection	LibrarySource	LibraryLayout	InsertSize	InsertDev	Platform	Model	SRAStudy	BioProject	Study_Pubmed_id	ProjectID	Sample	BioSample	SampleType	TaxID	ScientificName	SampleName	g1k_pop_code	source	g1k_analysis_group	Subject_ID	Sex	Disease	Tumor	Affection_Status	Analyte_Type	Histological_Type	Body_Site	CenterName	Submission	dbgap_study_accession	Consent	RunHash	ReadHash
SRR11516845	2020-04-10 20:17:40	2020-04-10 19:30:44	31714872	5264668752	31714872	166	3460		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-16/SRR011/516/SRR11516845.sralite.1	SRX8088485	10DZD_1	RNA-Seq	other	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 2000	SRP255844	PRJNA624182		624182	SRS6455866	SAMN14570436	simple	326968	Ziziphus jujuba	10DZD_1							no					BEIJING FORESTRY UNIVERSITY	SRA1064212		public	EA1FBB84DAC76EE889B90F9C4C54AC57	A16C3F2A3AC87E43C32B828C1CEB7E99
SRR11516871	2020-04-10 18:22:45	2020-04-10 18:17:39	31884184	5292774544	31884184	166	3506		https://sra-pub-sars-cov2.s3.amazonaws.com/run/SRR11516871/SRR11516871	SRX8088459	12DZD_3	RNA-Seq	other	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 2000	SRP255844	PRJNA624182		624182	SRS6455839	SAMN14570438	simple	326968	Ziziphus jujuba	12DZD_3							no					BEIJING FORESTRY UNIVERSITY	SRA1064212		public	574B334FA389A4BCE8FC267DA9F73A78	F103DDA9FA73A8427179DFAA4BF98DC1
SRR11516870	2020-04-10 18:52:32	2020-04-10 17:54:01	31944283	5302750978	31944283	166	3530		https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR11516870/SRR11516870	SRX8088460	13DZCK_1	RNA-Seq	other	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 2000	SRP255844	PRJNA624182		624182	SRS6455841	SAMN14570439	simple	326968	Ziziphus jujuba	13DZCK_1							no					BEIJING FORESTRY UNIVERSITY	SRA1064212		public	B76305488E4EC10F9E818CBF8C05C6AB	8CE01279514E0EFF392B1392229986A1
SRR11516869	2020-04-10 22:10:42	2020-04-10 19:21:30	31302244	5196172504	31302244	166	3395		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-16/SRR011/516/SRR11516869.sralite.1	SRX8088461	14DZCK_2	RNA-Seq	other	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 2000	SRP255844	PRJNA624182		624182	SRS6455843	SAMN14570440	simple	326968	Ziziphus jujuba	14DZCK_2							no					BEIJING FORESTRY UNIVERSITY	SRA1064212		public	3D68D087964432C629C118602E3E1C61	0C5DC3CCF5268B489900FE9ED9C9EE3E
SRR11516868	2020-04-11 00:20:38	2020-04-10 22:34:16	31586767	5243403322	31586767	166	3448		https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR11516868/SRR11516868	SRX8088462	15DZCK_3	RNA-Seq	other	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 2000	SRP255844	PRJNA624182		624182	SRS6455861	SAMN14570441	simple	326968	Ziziphus jujuba	15DZCK_3							no					BEIJING FORESTRY UNIVERSITY	SRA1064212		public	7C1A8861776B44C28C4A8B2806BA5031	939CC7D0956546D0668817B7095D96CE
SRR11516867	2020-04-10 22:09:16	2020-04-10 21:07:57	32154723	5337684018	32154723	166	3486		https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR11516867/SRR11516867	SRX8088463	16JSA_1	RNA-Seq	other	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 2000	SRP255844	PRJNA624182		624182	SRS6455844	SAMN14570442	simple	326968	Ziziphus jujuba	16JSA_1							no					BEIJING FORESTRY UNIVERSITY	SRA1064212		public	7CA9A9575B2DB1142F124940314BAAC8	41C16320C748A62740B83CDE53A86044
SRR11516866	2020-04-10 22:37:29	2020-04-10 22:34:28	32629643	5416520738	32629643	166	3510		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-16/SRR011/516/SRR11516866.sralite.1	SRX8088464	17JSA_2	RNA-Seq	other	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 2000	SRP255844	PRJNA624182		624182	SRS6455845	SAMN14570443	simple	326968	Ziziphus jujuba	17JSA_2							no					BEIJING FORESTRY UNIVERSITY	SRA1064212		public	C3C1BC14FF71B29D95C43F93035A3F1F	93AA4BAA548F2F6264DB7606617C97C1
SRR11516865	2020-04-10 20:18:28	2020-04-10 20:14:24	31434260	5218087160	31434260	166	3391		https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR11516865/SRR11516865	SRX8088465	18JSA_3	RNA-Seq	other	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 2000	SRP255844	PRJNA624182		624182	SRS6455847	SAMN14570444	simple	326968	Ziziphus jujuba	18JSA_3							no					BEIJING FORESTRY UNIVERSITY	SRA1064212		public	93A83DBED04A4DFE0F8200AB82DB1A94	68E4B1FCFA44E10EB619F0F215B80F61
SRR11516864	2020-04-10 22:10:42	2020-04-10 19:57:07	32839432	5451345712	32839432	166	3516		https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR11516864/SRR11516864	SRX8088466	19JSB_1	RNA-Seq	other	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 2000	SRP255844	PRJNA624182		624182	SRS6455846	SAMN14570445	simple	326968	Ziziphus jujuba	19JSB_1							no					BEIJING FORESTRY UNIVERSITY	SRA1064212		public	4DC659CF4767BE2B1784E626D61EDDC2	471B7FF0954B54A696295F1CD422F950
SRR11516863	2020-04-10 21:01:40	2020-04-10 19:57:26	31519249	5232195334	31519249	166	3421		https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR11516863/SRR11516863	SRX8088467	20JSB_2	RNA-Seq	other	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 2000	SRP255844	PRJNA624182		624182	SRS6455848	SAMN14570446	simple	326968	Ziziphus jujuba	20JSB_2							no					BEIJING FORESTRY UNIVERSITY	SRA1064212		public	D43C27126F7FDC995BB6FF83C4089D80	D546D51592BD17462BA15A535E6AAE4D
