Run	ReleaseDate	LoadDate	spots	bases	spots_with_mates	avgLength	size_MB	AssemblyName	download_path	Experiment	LibraryName	LibraryStrategy	LibrarySelection	LibrarySource	LibraryLayout	InsertSize	InsertDev	Platform	Model	SRAStudy	BioProject	Study_Pubmed_id	ProjectID	Sample	BioSample	SampleType	TaxID	ScientificName	SampleName	g1k_pop_code	source	g1k_analysis_group	Subject_ID	Sex	Disease	Tumor	Affection_Status	Analyte_Type	Histological_Type	Body_Site	CenterName	Submission	dbgap_study_accession	Consent	RunHash	ReadHash
DRR110536	2018-04-05 14:20:33	2018-04-05 15:17:58	14823656	1497189256	0	101	794		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/DRR110/536/DRR110536.sralite.1	DRX103625	Zn1_AR015_W_PGP_head	RNA-Seq	RANDOM	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 1500	DRP004149	PRJDB6415		448699	DRS061055	SAMD00097136	simple	136038	Zootermopsis nevadensis nevadensis	SAMD00097136							no					NIBB	DRA006300		public	85C8B5C30E6889E4F4592E1034D41A3D	3F12687176A69E6F745529ADB428C953
DRR110537	2018-04-05 14:20:33	2018-04-05 15:18:07	10981801	1109161901	0	101	589		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/DRR110/537/DRR110537.sralite.1	DRX103626	Zn1_AR007_W_GP0_head	RNA-Seq	RANDOM	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 1500	DRP004149	PRJDB6415		448699	DRS061056	SAMD00097137	simple	136038	Zootermopsis nevadensis nevadensis	SAMD00097137							no					NIBB	DRA006300		public	DAA3B5A7FA7EF3214ADDDEA30E0BBF95	11659E9AD90CC12D0CEC04CEE6F51930
DRR110538	2018-04-05 14:20:33	2018-04-05 15:19:03	9416795	951096295	0	101	511		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/DRR110/538/DRR110538.sralite.1	DRX103627	Zn1_AR012_W_GP3_head	RNA-Seq	RANDOM	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 1500	DRP004149	PRJDB6415		448699	DRS061057	SAMD00097138	simple	136038	Zootermopsis nevadensis nevadensis	SAMD00097138							no					NIBB	DRA006300		public	AF1F47D40386F5FA697D84BB2AD8FC83	B4F162ADA73EAC2DCCEE1A9F09531849
DRR110539	2018-04-05 14:20:33	2018-04-05 14:33:16	13231623	1336393923	0	101	744		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/DRR110/539/DRR110539.sralite.1	DRX103628	Zn3_AR011_W_M0_head	RNA-Seq	RANDOM	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 1500	DRP004149	PRJDB6415		448699	DRS061058	SAMD00097139	simple	136038	Zootermopsis nevadensis nevadensis	SAMD00097139							no					NIBB	DRA006300		public	78E3B9C1E082229B2AAA2BA97348EF39	1B98735E7C1DA0A0E2B2F960309F41CC
DRR110540	2018-04-05 14:20:33	2018-04-05 15:20:49	12602085	1272810585	0	101	706		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/DRR110/540/DRR110540.sralite.1	DRX103629	Zn3_AR020_4_W_M3_head	RNA-Seq	RANDOM	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 1500	DRP004149	PRJDB6415		448699	DRS061059	SAMD00097140	simple	136038	Zootermopsis nevadensis nevadensis	SAMD00097140							no					NIBB	DRA006300		public	A3B234ACC6C85930A94FF16705764224	B369BCAE79A68DB3C8CA6B4424FFE109
DRR110541	2018-04-05 14:20:33	2018-04-05 15:17:30	9554927	965047627	0	101	512		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/DRR110/541/DRR110541.sralite.1	DRX103630	Zn1_AR013_PS_PGP_head	RNA-Seq	RANDOM	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 1500	DRP004149	PRJDB6415		448699	DRS061060	SAMD00097141	simple	136038	Zootermopsis nevadensis nevadensis	SAMD00097141							no					NIBB	DRA006300		public	30844D5FD2969854783CBFA8F7AA6854	B3F1A38E8B5718BD7A6EBF2737683C1C
DRR110542	2018-04-05 14:20:33	2018-04-05 15:20:19	9367115	946078615	0	101	503		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/DRR110/542/DRR110542.sralite.1	DRX103631	Zn1_AR002_PS_GP0_head	RNA-Seq	RANDOM	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 1500	DRP004149	PRJDB6415		448699	DRS061061	SAMD00097142	simple	136038	Zootermopsis nevadensis nevadensis	SAMD00097142							no					NIBB	DRA006300		public	BEEC8C88FB60FC7E48088F7C3F873CC6	1DC8282E6B10E08DC4856487D31E7F17
DRR110543	2018-04-05 14:20:33	2018-04-05 15:17:53	11223220	1133545220	0	101	607		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/DRR110/543/DRR110543.sralite.1	DRX103632	Zn1_AR004_PS_GP3_head	RNA-Seq	RANDOM	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 1500	DRP004149	PRJDB6415		448699	DRS061062	SAMD00097143	simple	136038	Zootermopsis nevadensis nevadensis	SAMD00097143							no					NIBB	DRA006300		public	F9806D79D7B4E52AF3BED48C8896947A	C614670AA0647D067F9BA34B1DBE342C
DRR110544	2018-04-05 14:20:33	2018-04-05 15:19:50	9996686	1009665286	0	101	541		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/DRR110/544/DRR110544.sralite.1	DRX103633	Zn1_AR001_PS_M0_head	RNA-Seq	RANDOM	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 1500	DRP004149	PRJDB6415		448699	DRS061063	SAMD00097144	simple	136038	Zootermopsis nevadensis nevadensis	SAMD00097144							no					NIBB	DRA006300		public	EB4C1B9AD253C4AE25D67267975B186C	66AA79CB7F9C99AE111A2ED7C6CBBCDC
DRR110545	2018-04-05 14:20:33	2018-04-05 15:19:49	15161559	1531317459	0	101	839		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/DRR110/545/DRR110545.sralite.1	DRX103634	Zn3_AR008_PS_M3_head	RNA-Seq	RANDOM	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 1500	DRP004149	PRJDB6415		448699	DRS061064	SAMD00097145	simple	136038	Zootermopsis nevadensis nevadensis	SAMD00097145							no					NIBB	DRA006300		public	0627F4F672C3C466F5852D0E1D4CE670	4BD9F1373DA64BDC36B9009DE429DB0F
DRR110546	2018-04-05 14:20:33	2018-04-05 15:20:21	11891202	1201011402	0	101	639		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/DRR110/546/DRR110546.sralite.1	DRX103635	Zn1_AR014_S_PGP_head	RNA-Seq	RANDOM	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 1500	DRP004149	PRJDB6415		448699	DRS061065	SAMD00097146	simple	136038	Zootermopsis nevadensis nevadensis	SAMD00097146							no					NIBB	DRA006300		public	65FFB4834513B220BB05532F4AE216A6	4B97426F1C1E929095D08AA403DC2625
DRR110547	2018-04-05 14:20:33	2018-04-05 15:18:33	12714876	1284202476	0	101	684		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/DRR110/547/DRR110547.sralite.1	DRX103636	Zn1_AR005_S_GP0_head	RNA-Seq	RANDOM	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 1500	DRP004149	PRJDB6415		448699	DRS061066	SAMD00097147	simple	136038	Zootermopsis nevadensis nevadensis	SAMD00097147							no					NIBB	DRA006300		public	6E4D56F1D328A4A5D7E3F8979E0B55F7	9D6FDC7488A9EBF730C39C25EBF6BBC5
DRR110548	2018-04-05 14:20:33	2018-04-05 15:19:22	13760371	1389797471	0	101	747		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/DRR110/548/DRR110548.sralite.1	DRX103637	Zn1_AR006_S_GP3_head	RNA-Seq	RANDOM	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 1500	DRP004149	PRJDB6415		448699	DRS061067	SAMD00097148	simple	136038	Zootermopsis nevadensis nevadensis	SAMD00097148							no					NIBB	DRA006300		public	77BE3834B6641B2F1F0492DB735C9EBA	ECC3DEB33525675C318174F2A8EFECDA
DRR110549	2018-04-05 14:20:33	2018-04-05 14:33:10	12570914	1269662314	0	101	701		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/DRR110/549/DRR110549.sralite.1	DRX103638	Zn3_AR009_S_M0_head	RNA-Seq	RANDOM	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 1500	DRP004149	PRJDB6415		448699	DRS061068	SAMD00097149	simple	136038	Zootermopsis nevadensis nevadensis	SAMD00097149							no					NIBB	DRA006300		public	8D358F92A5F97327EE683CC94E07FF99	65D051214F410FCF09FC2001E34B59CB
DRR110550	2018-04-05 14:20:33	2018-04-05 14:33:10	12384062	1250790262	0	101	689		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/DRR110/550/DRR110550.sralite.1	DRX103639	Zn3_AR010_S_M3_head	RNA-Seq	RANDOM	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 1500	DRP004149	PRJDB6415		448699	DRS061069	SAMD00097150	simple	136038	Zootermopsis nevadensis nevadensis	SAMD00097150							no					NIBB	DRA006300		public	23B669EAF60D708A163CF8DCCB51CE84	6EC525545488D20A654567A86FE80117
