species	NCBI.taxid	mass_kg	mass_db	lifespan_days	lifespan_db	length_cm	length_db	polymorphism_derived_Ne
Acanthaster_planci	133434	NA	NA	6205	ADW text	70	ADW	NA
Acanthochromis_polyacanthus	80966	NA	NA	NA	NA	14	EOL;fishbase	NA
Acanthopagrus_latus	8177	1.5	fishbase	NA	NA	40	fishbase;EOL	NA
Accipiter_gentilis	8957	1.364	ADW	8030	AnAge	61	ADW	NA
Acinonyx_jubatus	32536	72	ADW	7482.5	AnAge	150	ADW	NA
Acipenser_ruthenus	7906	16	fishbase	16826.5	AnAge	125	fishbase;EOL	NA
Acomys_russatus	60746	0.08	ADW	1095	ADW	15	ADW	NA
Acromyrmex_echinatior	103372	NA	NA	5475	Romiguier 2014	1.4	Romiguier 2014	NA
Acropora_millepora	45264	NA	NA	NA	NA	1.5	ADW text	NA
Acyrthosiphon_pisum	7029	0.0000005	Lynch et al. 2023	30	Abanda 2012	0.25	EOL image	3951981.10488093
Aedes_aegypti	7159	NA	NA	40	ADW Aedes albopictus	1	ADW Aedes albopictus	NA
Aedes_albopictus	7160	NA	NA	117	ADW	1	ADW	NA
Aegithalos_caudatus	73327	0.009	ADW	4051.5	AnAge	14	ADW	NA
Aegotheles_bennettii	48278	0.06	EOL	NA	NA	NA	NA	NA
Aethina_tumida	116153	NA	NA	360	ADW	0.7	ADW	NA
Agelaius_phoeniceus	39638	0.0705	ADW	7300	AnAge;ADW	24	ADW	NA
Agrilus_planipennis	224129	NA	NA	365	ADW	1.5	ADW	NA
Ailuropoda_melanoleuca	9646	125	ADW	13432	AnAge	180	ADW	NA
Aix_galericulata	8832	0.693	ADW	3796	AnAge;EOL	NA	NA	NA
Albula_glossodonta	121402	8.61	EOL	NA	NA	90	EOL;fishbase	NA
Albula_goreensis	1534307	9	ADW	7300	ADW	100	ADW	NA
Aleadryas_rufinucha	461220	0.0471	EOL	NA	NA	NA	NA	NA
Alectura_lathami	81907	2.34	AnAge;EOL	4562.5	AnAge;EOL	NA	NA	NA
Alligator_mississippiensis	8496	360	ADW	28105	AnAge	437	ADW	NA
Alligator_sinensis	38654	14.6	AnAge	25550	ADW	220	ADW	NA
Alosa_alosa	278164	4	fishbase	3650	AnAge;fishbase;EOL	83	fishbase;EOL	NA
Alosa_sapidissima	34773	5.5	fishbase	4745	AnAge;fishbase	76.2	ADW	NA
Amazona_guildingii	175529	0.646	AnAge;EOL	10220	AnAge;EOL	NA	NA	NA
Amblyraja_radiata	386614	11.4	fishbase	10220	EOL;fishbase	105	EOL;fishbase	NA
Ameiurus_melas	219545	3.63	ADW	3650	AnAge;ADW;fishbase	66	EOL;fishbase	NA
Amphibalanus_amphitrite	1232801	NA	NA	NA	NA	1.2	EOL	NA
Amphiprion_ocellaris	80972	0.001	Lynch et al. 2023	3650	ADW	11	ADW;EOL;fishbase	107189.750835893
Anabarilius_grahami	495550	NA	NA	NA	NA	15.6	EOL;fishbase	NA
Anabas_testudineus	64144	NA	NA	2920	AnAge;EOL	25	fishbase;EOL	NA
Anarrhichthys_ocellatus	433405	18.4	EOL;fishbase	NA	NA	240	EOL;fishbase	NA
Anas_platyrhynchos	8839	1.082	ADW	10621.5	AnAge	98	EOL	NA
Ancylostoma_caninum	29170	NA	NA	NA	NA	2	ADW	NA
Ancylostoma_ceylanicum	53326	NA	NA	NA	NA	1.3	Blaine et al. 2022	NA
Ancylostoma_duodenale	51022	NA	NA	NA	NA	1.3	ADW	NA
Angiostrongylus_cantonensis	6313	NA	NA	NA	NA	3.284	EOL	NA
Angiostrongylus_costaricensis	334426	NA	NA	NA	NA	4.2	EOL	NA
Anguilla_anguilla	7936	6.6	fishbase	32120	AnAge	150	EOL	NA
Anhinga_anhinga	56067	1.35	ADW	5986	AnAge;ADW	85	ADW	NA
Anisakis_simplex	6269	NA	NA	NA	NA	20	EOL	NA
Anolis_carolinensis	28377	0.006	ADW	3650	ADW	20.32	ADW	NA
Anopheles_coluzzii	1518534	0.00000035	Lynch et al. 2023	NA	NA	NA	NA	6673511.2936345
Anopheles_gambiae	7165	NA	NA	NA	NA	0.4	EOL image	NA
Anopheles_stephensi	30069	0.0000004175	Lynch et al. 2023	NA	NA	NA	NA	2576964.81149493
Anoplophora_glabripennis	217634	NA	NA	66	ADW	3.5	ADW	NA
Anoplopoma_fimbria	229290	31.35	AnAge;EOL	41610	AnAge	120	EOL;fishbase	NA
Anser_cygnoides	8845	3.15	ADW	14600	ADW	94	ADW	NA
Anseranas_semipalmata	8851	3	ADW	11680	ADW	90	ADW	NA
Antechinus_flavipes	38775	0.045	AnAge	1423.5	AnAge	NA	NA	NA
Anthonomus_grandis	7044	NA	NA	NA	NA	0.7	ADW	NA
Anthoscopus_minutus	156561	0.0076	EOL	NA	NA	NA	NA	NA
Aotus_nancymaae	37293	0.95	ADW	NA	NA	77.4	ADW	NA
Apaloderma_vittatum	57397	0.059	EOL	NA	NA	NA	NA	NA
Aphelenchus_avenae	70226	NA	NA	NA	NA	0.075	http://nemaplex.ucdavis.edu/	NA
Aphelocoma_coerulescens	39617	0.0787	AnAge;ADW	5767	ADW	30	ADW	NA
Apis_cerana	7461	NA	NA	1095	Apis_mellifera	2	Apis_mellifera	NA
Apis_florea	7463	NA	NA	1095	Apis_mellifera	2	Apis_mellifera	NA
Apis_mellifera	7460	0.00002245	Lynch et al. 2023	2920	AnAge	2	ADW	163647.60194272
Aplysia_californica	6500	2.3	ADW	365	ADW	40	ADW	NA
Apodemus_sylvaticus	10129	0.0234	AnAge;ADW	2299.5	AnAge	15	ADW	NA
Aptenodytes_forsteri	9233	45	ADW	18250	ADW	132	ADW	67943.712094349
Aptenodytes_patagonicus	9234	17.3	ADW	9855	AnAge	95	ADW	NA
Apteryx_rowi	308060	3.5	ADW Apteryx australis	14600	ADW Apteryx australis	54	ADW Apteryx australis	NA
Apus_apus	8895	0.0449	ADW	7701.5	AnAge	17	ADW format	NA
Aquila_chrysaetos	8962	6.125	ADW	17520	ADW;AnAge	84	ADW	NA
Arabidopsis_thaliana	3702	NA	NA	NA	NA	NA	NA	252182.596290194
Archocentrus_centrarchus	63155	NA	NA	2920	en.aqua-fish.net	11	EOL;fishbase	NA
Ardeotis_kori	89386	19	ADW	9490	ADW	128	ADW	NA
Arenaria_interpres	54971	0.19	ADW	8139.5	AnAge	57	EOL	NA
Armadillidium_vulgare	13347	0.000116	ADW	730	ADW	1.8	ADW	NA
Artibeus_jamaicensis	9417	0.06	ADW	7008	AnAge	8.5	ADW	NA
Arvicanthis_niloticus	61156	0.183	ADW	2445.5	ADW;AnAge	20.4	ADW	NA
Arvicola_amphibius	1047088	0.25	ADW	1825	ADW	22	ADW format	NA
Astatotilapia_calliptera	8154	NA	NA	NA	NA	15	fishbase;EOL	NA
Asterias_rubens	7604	0.495358	EOL	3650	http://www.marlin.ac.uk/	28	EOL	NA
Astyanax_mexicanus	7994	NA	NA	5475	AnAge	12	fishbase;EOL	NA
Athalia_rosae	37344	NA	NA	11.64	Park 2017	0.73	Kamangar 2012	NA
Athene_cunicularia	194338	0.255	ADW	4015	AnAge;ADW	25	ADW	NA
Atlantisia_rogersi	2478892	0.042	EOL	NA	NA	NA	NA	NA
Atractosteus_spatula	7917	137	ADW;fishbase	18250	ADW	305	fishbase	NA
Atrichornis_clamosus	449594	0.041525	AnAge	2847	AnAge	NA	NA	NA
Atta_cephalotes	12957	0.00002	ADW Atta sexdens	5475	ADW Atta sexdens	2.54	ADW Atta sexdens	NA
Austrofundulus_limnaeus	52670	NA	NA	NA	NA	8	EOL;fishbase	NA
Aythya_fuligula	219594	1.0262	ADW	16498	AnAge	48	ADW	NA
Bagarius_yarrelli	175774	NA	NA	NA	NA	230	fishbase	NA
Balaeniceps_rex	33584	5.984	AnAge	13140	ADW	140	ADW	NA
Balaenoptera_acutorostrata	9767	10000	ADW text	18250	ADW;AnAge	1020	ADW text	NA
Balaenoptera_musculus	9771	190000	ADW	40150	AnAge;ADW text	3350	ADW	NA
Balearica_regulorum	925459	4	ADW	9928	AnAge	110	ADW format	NA
Bambusicola_thoracicus	9083	0.297	EOL	NA	NA	NA	NA	NA
Baryphthengus_martii	176943	0.2	EOL	NA	NA	NA	NA	NA
Betta_splendens	158456	0.000625	Lynch et al. 2023	730	EOL;AnAge;fishbase;ADW	7.5	ADW text	185229.466404759
Bicyclus_anynana	110368	NA	NA	182.5	AnAge;EOL	NA	NA	NA
