species	genome_assembly	clade;qual	lifespan_days;quant	length_cm;quant	weight_kg;quant	RGBIF_observation;quant	genome_size;quant	GC_content_proportion;quant	No_prot_annot;quant	median_coverage_exon;buscodataset_embryophyta;quant	No_genes;buscodataset_embryophyta;quant	No_introns;buscodataset_embryophyta;quant	median_length_introns;buscodataset_embryophyta;quant	No_multi_exonic_genes;buscodataset_embryophyta;quant	No_intron_per_gene;buscodataset_embryophyta;quant	prop_intron_annotated;buscodataset_embryophyta;quant	median_gene_fpkm;buscodataset_embryophyta;quant	average_svr;svr_class_all;buscodataset_embryophyta;quant	average_svr;svr_class_high_SV;buscodataset_embryophyta;quant	average_svr;svr_class_low_SV;buscodataset_embryophyta;quant	median_coverage_exon;buscodataset_eukaryota;quant	No_genes;buscodataset_eukaryota;quant	No_introns;buscodataset_eukaryota;quant	median_length_introns;buscodataset_eukaryota;quant	No_multi_exonic_genes;buscodataset_eukaryota;quant	No_intron_per_gene;buscodataset_eukaryota;quant	prop_intron_annotated;buscodataset_eukaryota;quant	median_gene_fpkm;buscodataset_eukaryota;quant	average_svr;svr_class_all;buscodataset_eukaryota;quant	average_svr;svr_class_high_SV;buscodataset_eukaryota;quant	average_svr;svr_class_low_SV;buscodataset_eukaryota;quant	median_coverage_exon;buscodataset_None;quant	No_genes;buscodataset_None;quant	No_introns;buscodataset_None;quant	median_length_introns;buscodataset_None;quant	No_multi_exonic_genes;buscodataset_None;quant	No_intron_per_gene;buscodataset_None;quant	prop_intron_annotated;buscodataset_None;quant	median_gene_fpkm;buscodataset_None;quant	average_svr;svr_class_all;buscodataset_None;quant	average_svr;svr_class_high_SV;buscodataset_None;quant	average_svr;svr_class_low_SV;buscodataset_None;quant	median_coverage_exon;buscodataset_metazoa;quant	No_genes;buscodataset_metazoa;quant	No_introns;buscodataset_metazoa;quant	median_length_introns;buscodataset_metazoa;quant	No_multi_exonic_genes;buscodataset_metazoa;quant	No_intron_per_gene;buscodataset_metazoa;quant	prop_intron_annotated;buscodataset_metazoa;quant	median_gene_fpkm;buscodataset_metazoa;quant	average_svr;svr_class_all;buscodataset_metazoa;quant	average_svr;svr_class_high_SV;buscodataset_metazoa;quant	average_svr;svr_class_low_SV;buscodataset_metazoa;quant	Embryophyta_dn;quant	Embryophyta_ds;quant	Embryophyta_dnds;quant	Eukaryota_dn;quant	Eukaryota_ds;quant	Eukaryota_dnds;quant	Metazoa_dn;quant	Metazoa_ds;quant	Metazoa_dnds;quant	per_clade_dn;quant	per_clade_ds;quant	per_clade_dnds;quant
Arabidopsis_thaliana	GCF_000001735.4	Embryophyta	NA	NA	NA	205310	119.482427	0.36	48265	2787.75929468645	1414	8799	97	1201	7.32639467110741	0.997727014433458	9.12459	0.0145254072868274	0.170571908626755	0.00355412912425855	5280.86645299146	232	1812	100	212	8.54716981132075	0.998344370860927	15.36855	0.00894947297063991	0.189039628979553	0.00246252052434975	1550.10791059857	27496	100493	97	17454	5.75759138306405	0.996427611873464	4.274815	0.010974939857972	0.168115599306019	0.00285264547977851	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.03895571678	0.2068860032	0.188295564598156	0.03153053911	0.2007863089	0.157035304263218	NA	NA	NA	NA	NA	NA
Glycine_max	GCF_000004515.6	Embryophyta	NA	NA	NA	117209	953.032797	0.35	74248	1370.29572529783	576	3430	250	459	7.47276688453159	0.996501457725948	4.45871	0.0223886693532418	0.145312766546988	0.00661880162114931	2065.24498159838	52	434	213	50	8.68	0.997695852534562	7.7906	0.0136788243098515	0.116957151776193	0.00490016647521253	804.241549295774	47065	181016	223	31021	5.83527287966216	0.996674327131303	2.14686	0.0177576791684534	0.155814973992892	0.0046957910701092	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Coffea_arabica	GCF_003713225.1	Embryophyta	NA	NA	NA	11164	1092.174253	0.37	67222	305.912931478619	455	2828	268	391	7.23273657289003	0.994695898161245	4.42237	0.0357102453175648	0.17450771034776	0.00640525591290248	442.004727987592	77	598	223	73	8.19178082191781	0.994983277591973	5.112565	0.0218497768098341	0.156293345212012	0.00460041331672445	118.181977252843	44759	115764	247	21788	5.31319992656508	0.994670191078401	0.2676265	0.02488156727983	0.162070917601229	0.00473712244553131	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Populus_trichocarpa	GCF_000002775.4	Embryophyta	NA	NA	NA	17291	423.097627	0.34	51717	635.898675260771	1180	7469	202	1013	7.37314906219151	0.992502343017807	3.31528	0.0233626065380719	0.157843654069186	0.00558672758595251	1052.41473286562	146	1275	175	140	9.10714285714286	0.99843137254902	7.8124125	0.0151078782080819	0.145918777073368	0.00469617245589147	459.756607929516	31641	123068	181	21021	5.854526425955	0.989006077940651	1.4012725	0.0185152825445375	0.158470018775766	0.00440826975739523	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0323401589	0.1214515121	0.266280413811332	NA	NA	NA	NA	NA	NA	NA	NA	NA
Sorghum_bicolor	GCF_000003195.3	Embryophyta	NA	NA	NA	142853	675.97327	0.44	39248	1825.76138996139	1416	9058	160	1216	7.44901315789474	0.996467211304924	5.451315	0.0191826630930624	0.156970760545361	0.0052279536489572	3127.17855216138	230	1924	143	217	8.86635944700461	0.998440748440748	9.960545	0.009466016722472	0.151763064586184	0.00313140329965745	936.812826293308	28236	102471	142	18321	5.59308989683969	0.996106215417045	1.754535	0.0161610122727998	0.163649073552031	0.00421820560177946	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.03962450902	0.168333814	0.235392450740764	NA	NA	NA	NA	NA	NA	NA	NA	NA
Phaseolus_vulgaris	GCF_000499845.1	Embryophyta	NA	NA	NA	237663	472.453824	0.35	32720	2522.71468515431	1290	8081	229	1118	7.22808586762075	0.995173864620715	7.2668725	0.0214314994384946	0.160883204939051	0.00555457197557801	5750.46727952048	242	2080	193.5	232	8.96551724137931	0.998557692307692	16.328025	0.0101102868517828	0.142997090624461	0.00368028021762098	1647.3496461005	28134	103241	196	18460	5.59268689057421	0.993287550488662	3.856875	0.01517813846183	0.156477664934559	0.00427934663296674	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.04590158773	0.169440114	0.270901539466622	0.03857232841	0.180331502	0.213896784434258	NA	NA	NA	NA	NA	NA
Ananas_comosus	GCF_001540865.1	Embryophyta	NA	NA	NA	6943	375.253684	0.38	35775	2967.8322889232	1308	8148	307	1123	7.25556544968833	0.991163475699558	8.1526625	0.0328527194172829	0.17009784546064	0.00727412865789184	6372.92718639864	245	1991	273	229	8.6943231441048	0.995981918633852	17.19225	0.0174993699612988	0.151525046778687	0.00570803992435919	2579.70422535211	22251	90345	268	15690	5.75812619502868	0.993867950633682	5.423025	0.0229544272778315	0.163171899474763	0.00556723743251549	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.2146911124	1.127555664	0.190404003327325	0.1693581749	1.196206001	0.141579439292581	NA	NA	NA	NA	NA	NA
Punica_granatum	GCF_007655135.1	Embryophyta	NA	NA	NA	42472	320.47548	0.4	36608	2954.69589004975	1341	8740	166.5	1164	7.5085910652921	0.996338672768879	8.5249	0.0279105492414824	0.157476767533428	0.00693053676081365	6884.82575696203	255	2180	153	236	9.23728813559322	0.999082568807339	18.44105	0.0162831342784661	0.137750566967386	0.0054833325708598	2279.87808641975	23795	97580	157	17251	5.65648368210539	0.995706087312974	4.7511225	0.0214442480171903	0.15714977618111	0.00562741265231754	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.2682609207	1.543234105	0.173830347470192	0.203818056	1.580046968	0.128994935041703	NA	NA	NA	NA	NA	NA
Camelina_sativa	GCF_000633955.1	Embryophyta	NA	NA	NA	10426	596.303844	0.37	107481	1697.96615309502	45	257	99	37	6.94594594594595	0.988326848249027	1.539465	0.0269649294820638	0.194711192127701	0.00479581988131874	2683.04181520126	5	26	144	4	6.5	1	1.5672	0.0364377418130647	0.207418164657428	0.00535039220499857	705.843360995851	82569	275803	101	49558	5.56525687073732	0.991820248510712	0.924826	0.0153912840595626	0.169507767149324	0.00357194478341914	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Nelumbo_nucifera	GCF_000365185.1	Embryophyta	NA	NA	NA	5373	707.618458	0.38	38191	1712.36859288279	1253	8197	492	1063	7.71119473189087	0.996584116140051	6.355895	0.0307267157935458	0.152676345762007	0.00836840338414116	3653.27868376099	212	1798	382.5	194	9.2680412371134	0.99888765294772	13.02455	0.0182796396871791	0.146091809794249	0.00639194240670393	1702.77937120794	24073	102048	288	17137	5.95483456847756	0.996256663530887	4.7369775	0.0238341915909411	0.153810487641208	0.00661950454956037	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.2310536032	1.147410088	0.201369680828534	0.1820329472	1.243416586	0.146397393479839	NA	NA	NA	NA	NA	NA
