Run	ReleaseDate	LoadDate	spots	bases	spots_with_mates	avgLength	size_MB	AssemblyName	download_path	Experiment	LibraryName	LibraryStrategy	LibrarySelection	LibrarySource	LibraryLayout	InsertSize	InsertDev	Platform	Model	SRAStudy	BioProject	Study_Pubmed_id	ProjectID	Sample	BioSample	SampleType	TaxID	ScientificName	SampleName	g1k_pop_code	source	g1k_analysis_group	Subject_ID	Sex	Disease	Tumor	Affection_Status	Analyte_Type	Histological_Type	Body_Site	CenterName	Submission	dbgap_study_accession	Consent	RunHash	ReadHash
DRR196654	2020-05-11 02:34:49	2020-05-11 02:59:21	25120774	5074396348	25120774	202	2545		https://sra-pub-run-odp.s3.amazonaws.com/sra/DRR196654/DRR196654	DRX187071		RNA-Seq	RANDOM	TRANSCRIPTOMIC	PAIRED	100	0	ILLUMINA	Illumina HiSeq 2500	DRP005128	PRJDB8398		546141	DRS138017	SAMD00191399	simple	145527	Carassius auratus auratus	SAMD00191399							no					TOYAMA_PREF	DRA009188		public	8A7E687DE9D935394C6264823C6F7A8A	CBC199AFF4BD7AD74FA5CF07B3A0162F
DRR196655	2020-05-11 02:34:49	2020-05-11 02:59:35	24027734	4853602268	24027734	202	2431		https://sra-pub-run-odp.s3.amazonaws.com/sra/DRR196655/DRR196655	DRX187072		RNA-Seq	RANDOM	TRANSCRIPTOMIC	PAIRED	100	0	ILLUMINA	Illumina HiSeq 2500	DRP005128	PRJDB8398		546141	DRS138018	SAMD00191400	simple	145527	Carassius auratus auratus	SAMD00191400							no					TOYAMA_PREF	DRA009188		public	8750FCD7EF36966891E4061C3EA5DD4C	CEC28F4D65D6B3522381F9BC09A9A9CA
DRR196656	2020-05-11 02:34:49	2020-05-11 02:59:50	24379991	4924758182	24379991	202	2471		https://sra-pub-run-odp.s3.amazonaws.com/sra/DRR196656/DRR196656	DRX187073		RNA-Seq	RANDOM	TRANSCRIPTOMIC	PAIRED	100	0	ILLUMINA	Illumina HiSeq 2500	DRP005128	PRJDB8398		546141	DRS138019	SAMD00191401	simple	145527	Carassius auratus auratus	SAMD00191401							no					TOYAMA_PREF	DRA009188		public	310A04E8EAA5AFF9AA231B22A65D48B9	5E806428C628948DD567AD37F9574DA7
DRR118371	2019-11-24 16:29:51	2019-11-24 16:35:44	32707114	6479196638	32707114	198	3628		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-16/DRR000/118/DRR118371.sralite.1	DRX111438		RNA-Seq	PolyA	TRANSCRIPTOMIC	PAIRED	350	0	ILLUMINA	Illumina HiSeq 2500	DRP005623	PRJDB6521		591482	DRS114503	SAMD00106299	simple	145924	Carassius auratus buergeri	SAMD00106299							no					KYOTO_SC	DRA006363		public	71AF48D0F1B5BBBCF8D54C8192091400	F57A248292F651865BE3575C8E5848AC
DRR118370	2019-11-24 16:29:51	2019-11-24 16:34:30	10850155	6498927443	10850155	598	3669		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-16/DRR000/118/DRR118370.sralite.1	DRX111437		RNA-Seq	PolyA	TRANSCRIPTOMIC	PAIRED	650	0	ILLUMINA	Illumina MiSeq	DRP005623	PRJDB6521		591482	DRS114503	SAMD00106299	simple	145924	Carassius auratus buergeri	SAMD00106299							no					KYOTO_SC	DRA006363		public	9CD6B87528BBBD7F1AF9B59EF4C01078	0D5AAB60824AF068E140B5E538624478
DRR118372	2019-11-24 16:29:51	2019-11-24 16:33:13	29304711	5822116686	29304711	198	3203		https://sra-pub-run-odp.s3.amazonaws.com/sra/DRR118372/DRR118372	DRX111439		RNA-Seq	PolyA	TRANSCRIPTOMIC	PAIRED	350	0	ILLUMINA	Illumina HiSeq 2500	DRP005623	PRJDB6521		591482	DRS114504	SAMD00106300	simple	145924	Carassius auratus buergeri	SAMD00106300							no					KYOTO_SC	DRA006363		public	E071A8EF2A1F767DD1F46041480BC003	0E8083141F028B90CD33D50B15D85C31
DRR118373	2019-11-24 16:29:52	2019-11-24 16:31:31	19539199	3874110894	19539199	198	2119		https://sra-pub-run-odp.s3.amazonaws.com/sra/DRR118373/DRR118373	DRX111440		RNA-Seq	PolyA	TRANSCRIPTOMIC	PAIRED	350	0	ILLUMINA	Illumina HiSeq 2500	DRP005623	PRJDB6521		591482	DRS114505	SAMD00106301	simple	145924	Carassius auratus buergeri	SAMD00106301							no					KYOTO_SC	DRA006363		public	C45930A5D202E8EE7396F5DB7B489DC9	041BE8C33AEEF2FC99905C3956AB09F2
DRR118374	2019-11-24 16:29:52	2019-11-24 16:34:04	25911914	5136343801	25911914	198	2819		https://sra-pub-run-odp.s3.amazonaws.com/sra/DRR118374/DRR118374	DRX111441		RNA-Seq	PolyA	TRANSCRIPTOMIC	PAIRED	350	0	ILLUMINA	Illumina HiSeq 2500	DRP005623	PRJDB6521		591482	DRS114506	SAMD00106302	simple	145924	Carassius auratus buergeri	SAMD00106302							no					KYOTO_SC	DRA006363		public	331D5EC9D7FD06F8F27A9752C6CA7D7A	BCE101113FAD704D6768EF5A685C7F79
DRR118375	2019-11-24 16:29:52	2019-11-24 16:35:55	33672264	6801797328	33672264	202	2371		https://sra-pub-run-odp.s3.amazonaws.com/sra/DRR118375/DRR118375	DRX111442		RNA-Seq	PolyA	TRANSCRIPTOMIC	PAIRED	350	0	ILLUMINA	Illumina HiSeq 4000	DRP005623	PRJDB6521		591482	DRS114507	SAMD00106303	simple	145924	Carassius auratus buergeri	SAMD00106303							no					KYOTO_SC	DRA006363		public	7978D8BA949A5DA01243BCE6B2978AF9	2C9462C84B4E33BFFE28E26C4CAA82E7
DRR118376	2019-11-24 16:29:52	2019-11-24 16:34:53	37950253	7665951106	37950253	202	2600		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-16/DRR000/118/DRR118376.sralite.1	DRX111443		RNA-Seq	PolyA	TRANSCRIPTOMIC	PAIRED	350	0	ILLUMINA	Illumina HiSeq 4000	DRP005623	PRJDB6521		591482	DRS114508	SAMD00106304	simple	145924	Carassius auratus buergeri	SAMD00106304							no					KYOTO_SC	DRA006363		public	DC81664FDBD708CCF52958C6F831B447	D7709606D4CA43EC18970C7198021789
