Run	ReleaseDate	LoadDate	spots	bases	spots_with_mates	avgLength	size_MB	AssemblyName	download_path	Experiment	LibraryName	LibraryStrategy	LibrarySelection	LibrarySource	LibraryLayout	InsertSize	InsertDev	Platform	Model	SRAStudy	BioProject	Study_Pubmed_id	ProjectID	Sample	BioSample	SampleType	TaxID	ScientificName	SampleName	g1k_pop_code	source	g1k_analysis_group	Subject_ID	Sex	Disease	Tumor	Affection_Status	Analyte_Type	Histological_Type	Body_Site	CenterName	Submission	dbgap_study_accession	Consent	RunHash	ReadHash
ERR4037771	2021-05-12 01:21:47	2021-05-15 05:37:49	23543106	1177155300	0	50	697	NA	https://sra-pub-run-odp.s3.amazonaws.com/sra/ERR4037771/ERR4037771	ERX4039069		RNA-Seq	PolyA	TRANSCRIPTOMIC	SINGLE	0	0	BGISEQ	BGISEQ-500	ERP120326	PRJEB37036	NA	727119	ERS4425148	SAMEA6675612	simple	3476	Parasponia andersonii	SAMEA6675612	NA	NA	NA	NA	NA	NA	no	NA	NA	NA	NA	WAGENINGEN UNIVERSITY (BIOINFORMATICS)	ERA2509203	NA	public	AD5FE8A0262996F515B5BC1156D8338F	C1ED905983C0159AE81C86D5A8DCB1D4
ERR4037773	2021-05-12 01:21:47	2021-05-15 05:37:45	23642240	1182112000	0	50	695	NA	https://sra-pub-run-odp.s3.amazonaws.com/sra/ERR4037773/ERR4037773	ERX4039071		RNA-Seq	PolyA	TRANSCRIPTOMIC	SINGLE	0	0	BGISEQ	BGISEQ-500	ERP120326	PRJEB37036	NA	727119	ERS4425149	SAMEA6675613	simple	3476	Parasponia andersonii	SAMEA6675613	NA	NA	NA	NA	NA	NA	no	NA	NA	NA	NA	WAGENINGEN UNIVERSITY (BIOINFORMATICS)	ERA2509205	NA	public	7B3D7FAA8D627714337DCFBE6096A480	A2E092A2BE02DADDCD33E00CE14CF52A
ERR4037774	2021-05-12 01:21:48	2021-05-15 05:38:22	23549573	1177478650	0	50	700	NA	https://sra-pub-run-odp.s3.amazonaws.com/sra/ERR4037774/ERR4037774	ERX4039072		RNA-Seq	PolyA	TRANSCRIPTOMIC	SINGLE	0	0	BGISEQ	BGISEQ-500	ERP120326	PRJEB37036	NA	727119	ERS4425150	SAMEA6675614	simple	3476	Parasponia andersonii	SAMEA6675614	NA	NA	NA	NA	NA	NA	no	NA	NA	NA	NA	WAGENINGEN UNIVERSITY (BIOINFORMATICS)	ERA2509206	NA	public	0ADD70B4BE09DFEAD8D93C22814F2C12	A453971443A4CB3CE0C036E929383F39
ERR4037776	2021-05-12 01:21:48	2021-05-15 05:38:30	23571187	1178559350	0	50	690	NA	https://sra-pub-run-odp.s3.amazonaws.com/sra/ERR4037776/ERR4037776	ERX4039074		RNA-Seq	PolyA	TRANSCRIPTOMIC	SINGLE	0	0	BGISEQ	BGISEQ-500	ERP120326	PRJEB37036	NA	727119	ERS4425151	SAMEA6675615	simple	3476	Parasponia andersonii	SAMEA6675615	NA	NA	NA	NA	NA	NA	no	NA	NA	NA	NA	WAGENINGEN UNIVERSITY (BIOINFORMATICS)	ERA2509209	NA	public	5BFB83FB41009937DA0C452AF399B2F2	C897503ED7B93AFDE5497DC54AE1F408
ERR4037777	2021-05-12 01:21:48	2021-05-15 05:44:34	23570790	1178539500	0	50	700	NA	https://sra-pub-run-odp.s3.amazonaws.com/sra/ERR4037777/ERR4037777	ERX4039075		RNA-Seq	PolyA	TRANSCRIPTOMIC	SINGLE	0	0	BGISEQ	BGISEQ-500	ERP120326	PRJEB37036	NA	727119	ERS4425152	SAMEA6675616	simple	3476	Parasponia andersonii	SAMEA6675616	NA	NA	NA	NA	NA	NA	no	NA	NA	NA	NA	WAGENINGEN UNIVERSITY (BIOINFORMATICS)	ERA2509210	NA	public	F5DAC5C306310325DBF2454984772420	72E974D5684BFE0613C8EB03E59B7EC8
ERR4037778	2021-05-12 01:21:48	2021-05-15 05:39:45	23557675	1177883750	0	50	694	NA	https://sra-pub-run-odp.s3.amazonaws.com/sra/ERR4037778/ERR4037778	ERX4039076		RNA-Seq	PolyA	TRANSCRIPTOMIC	SINGLE	0	0	BGISEQ	BGISEQ-500	ERP120326	PRJEB37036	NA	727119	ERS4425153	SAMEA6675617	simple	3476	Parasponia andersonii	SAMEA6675617	NA	NA	NA	NA	NA	NA	no	NA	NA	NA	NA	WAGENINGEN UNIVERSITY (BIOINFORMATICS)	ERA2509211	NA	public	7E028187A21D2780FCD086D240306E42	E73D874E7BC5C1E7C76015B32D63C421
ERR4037780	2021-05-12 01:21:48	2021-05-15 05:37:29	23518019	1175900950	0	50	698	NA	https://sra-pub-run-odp.s3.amazonaws.com/sra/ERR4037780/ERR4037780	ERX4039078		RNA-Seq	PolyA	TRANSCRIPTOMIC	SINGLE	0	0	BGISEQ	BGISEQ-500	ERP120326	PRJEB37036	NA	727119	ERS4425154	SAMEA6675618	simple	3476	Parasponia andersonii	SAMEA6675618	NA	NA	NA	NA	NA	NA	no	NA	NA	NA	NA	WAGENINGEN UNIVERSITY (BIOINFORMATICS)	ERA2509213	NA	public	12728BB44BF27F1F37BDA525E007B23A	45B228E6891347A4CC5E7A7AFBD81FAB
ERR4037781	2021-05-12 01:21:48	2021-05-15 05:37:08	23512564	1175628200	0	50	685	NA	https://sra-pub-run-odp.s3.amazonaws.com/sra/ERR4037781/ERR4037781	ERX4039079		RNA-Seq	PolyA	TRANSCRIPTOMIC	SINGLE	0	0	BGISEQ	BGISEQ-500	ERP120326	PRJEB37036	NA	727119	ERS4425155	SAMEA6675619	simple	3476	Parasponia andersonii	SAMEA6675619	NA	NA	NA	NA	NA	NA	no	NA	NA	NA	NA	WAGENINGEN UNIVERSITY (BIOINFORMATICS)	ERA2509214	NA	public	AEC0D117B4ECD7404893DFB692CDAFC3	0A21C827954B1F8D59B5A46D90D38504
ERR4037782	2021-05-12 01:21:48	2021-05-15 05:38:16	23063929	1153196450	0	50	670	NA	https://sra-pub-run-odp.s3.amazonaws.com/sra/ERR4037782/ERR4037782	ERX4039080		RNA-Seq	PolyA	TRANSCRIPTOMIC	SINGLE	0	0	BGISEQ	BGISEQ-500	ERP120326	PRJEB37036	NA	727119	ERS4425156	SAMEA6675620	simple	3476	Parasponia andersonii	SAMEA6675620	NA	NA	NA	NA	NA	NA	no	NA	NA	NA	NA	WAGENINGEN UNIVERSITY (BIOINFORMATICS)	ERA2509215	NA	public	E9C4B151E729D5D9BC6F4DD676AE1C33	753BD9931511FD6AC5FF87F440E1468B
ERR4037784	2021-05-12 01:21:48	2021-05-15 05:36:25	23741131	1187056550	0	50	692	NA	https://sra-pub-run-odp.s3.amazonaws.com/sra/ERR4037784/ERR4037784	ERX4039082		RNA-Seq	PolyA	TRANSCRIPTOMIC	SINGLE	0	0	BGISEQ	BGISEQ-500	ERP120326	PRJEB37036	NA	727119	ERS4425157	SAMEA6675621	simple	3476	Parasponia andersonii	SAMEA6675621	NA	NA	NA	NA	NA	NA	no	NA	NA	NA	NA	WAGENINGEN UNIVERSITY (BIOINFORMATICS)	ERA2509217	NA	public	AB05E1DCB5CE3577B1A1CE29CC881658	EDD0A0592ACBB94690834D98532BB030
