Run	ReleaseDate	LoadDate	spots	bases	spots_with_mates	avgLength	size_MB	AssemblyName	download_path	Experiment	LibraryName	LibraryStrategy	LibrarySelection	LibrarySource	LibraryLayout	InsertSize	InsertDev	Platform	Model	SRAStudy	BioProject	Study_Pubmed_id	ProjectID	Sample	BioSample	SampleType	TaxID	ScientificName	SampleName	g1k_pop_code	source	g1k_analysis_group	Subject_ID	Sex	Disease	Tumor	Affection_Status	Analyte_Type	Histological_Type	Body_Site	CenterName	Submission	dbgap_study_accession	Consent	RunHash	ReadHash
SRR8113222	2018-11-24 00:57:21	2018-10-25 18:15:04	42775504	8555100800	42775504	200	3724	NA	https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR8113222/SRR8113222	SRX4939612	NV_Rep1	RNA-Seq	Oligo-dT	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 2000	SRP166901	PRJNA498538	NA	498538	SRS3983474	SAMN10316162	simple	161013	Thrips palmi	NV_Ad-24_Rep1	NA	NA	NA	NA		NA	no	NA	NA	NA	NA	THE UNIVERSITY OF QUEENSLAND	SRA799193	NA	public	5EB08FBD13151AECCB4E8C5BA73C6F87	12E99F5752CA1A85A0C5124F6F4282AB
SRR8113223	2018-11-24 00:57:21	2018-10-25 18:14:39	42712378	8542475600	42712378	200	3733	NA	https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR8113223/SRR8113223	SRX4939611	NV_Rep2	RNA-Seq	Oligo-dT	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 2000	SRP166901	PRJNA498538	NA	498538	SRS3983473	SAMN10316163	simple	161013	Thrips palmi	NV_Ad-24_Rep2	NA	NA	NA	NA		NA	no	NA	NA	NA	NA	THE UNIVERSITY OF QUEENSLAND	SRA799193	NA	public	D17B43D97C23FDB8F8ABE86DA36DB61F	8312BD36B892A7D35CAEB3C026058B90
SRR8113224	2018-11-24 00:57:21	2018-10-25 18:11:07	40167395	8033479000	40167395	200	3527	NA	https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR8113224/SRR8113224	SRX4939610	NV_Rep3	RNA-Seq	Oligo-dT	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 2000	SRP166901	PRJNA498538	NA	498538	SRS3983472	SAMN10316164	simple	161013	Thrips palmi	NV_Ad-24_Rep3	NA	NA	NA	NA		NA	no	NA	NA	NA	NA	THE UNIVERSITY OF QUEENSLAND	SRA799193	NA	public	FDE5C30E767CA702C370A8FE938841D0	5CE6D08B941057500CE9879B36AB24A5
SRR8113225	2018-11-24 00:57:21	2018-10-25 18:14:58	39893045	7978609000	39893045	200	3475	NA	https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR8113225/SRR8113225	SRX4939609	V_Rep1	RNA-Seq	Oligo-dT	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 2000	SRP166901	PRJNA498538	NA	498538	SRS3983471	SAMN10316165	simple	161013	Thrips palmi	V_Ad-24_Rep1	NA	NA	NA	NA		NA	no	NA	NA	NA	NA	THE UNIVERSITY OF QUEENSLAND	SRA799193	NA	public	7C90083C75B4595D9F4EA4A55AB9B85D	0ECBAB8446704E61E3CDF207B639C7AD
SRR8113226	2018-11-24 00:57:21	2018-10-25 18:11:28	40320266	8064053200	40320266	200	3517	NA	https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR8113226/SRR8113226	SRX4939608	V_Rep2	RNA-Seq	Oligo-dT	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 2000	SRP166901	PRJNA498538	NA	498538	SRS3983470	SAMN10316166	simple	161013	Thrips palmi	V_Ad-24_Rep2	NA	NA	NA	NA		NA	no	NA	NA	NA	NA	THE UNIVERSITY OF QUEENSLAND	SRA799193	NA	public	E38F397074411A7856F529EF169B16F8	F50760A04E3104196F7C3DD90E9DE6FD
SRR8113227	2018-11-24 00:57:21	2018-10-25 18:10:51	37677423	7535484600	37677423	200	3285	NA	https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR8113227/SRR8113227	SRX4939607	V_Rep3	RNA-Seq	Oligo-dT	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 2000	SRP166901	PRJNA498538	NA	498538	SRS3983469	SAMN10316167	simple	161013	Thrips palmi	V_Ad-24_Rep3	NA	NA	NA	NA		NA	no	NA	NA	NA	NA	THE UNIVERSITY OF QUEENSLAND	SRA799193	NA	public	0D5ED526A1523C7C85120153D2268A49	411AF7128B3F6F2E109BD40090C40C25
SRR11177283	2020-04-27 07:53:36	2020-02-25 05:16:28	39709888	11912966400	39709888	300	3586	NA	https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR11177283/SRR11177283	SRX7797962	BJF0_biological replicate 1	RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina NovaSeq 6000	SRP250633	PRJNA607377	NA	607377	SRS6213148	SAMN14131131	simple	161013	Thrips palmi	Thrips palmi_BJF0_01	NA	NA	NA	NA		NA	no	NA	NA	NA	NA	BEIJING ACADEMY OF AGRICULTURE AND FORESTRY SCIENCES	SRA1045590	NA	public	14F429012558B5CF17BAAB74397C711E	861C41EEEBC3D2ED6B06BAA02486D9A8
SRR11177282	2020-04-27 07:53:36	2020-02-25 05:10:48	37768092	11330427600	37768092	300	3377	NA	https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR11177282/SRR11177282	SRX7797963	BJF0_biological replicate 2	RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina NovaSeq 6000	SRP250633	PRJNA607377	NA	607377	SRS6213149	SAMN14131132	simple	161013	Thrips palmi	Thrips palmi_BJF0_02	NA	NA	NA	NA		NA	no	NA	NA	NA	NA	BEIJING ACADEMY OF AGRICULTURE AND FORESTRY SCIENCES	SRA1045590	NA	public	DA811964CB10365E6528C58466353133	75880095FB44E792AC780A5802EBB6C9
SRR11177275	2020-04-27 07:53:36	2020-02-25 05:20:03	41305505	12391651500	41305505	300	3755	NA	https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR11177275/SRR11177275	SRX7797970	BJF0_biological replicate 3	RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina NovaSeq 6000	SRP250633	PRJNA607377	NA	607377	SRS6213156	SAMN14131133	simple	161013	Thrips palmi	Thrips palmi_BJF0_03	NA	NA	NA	NA		NA	no	NA	NA	NA	NA	BEIJING ACADEMY OF AGRICULTURE AND FORESTRY SCIENCES	SRA1045590	NA	public	E30076A9CD1D0139D046E5875208CB76	7C3017295D15A15DB2DFC0F29E48E55B
SRR11177274	2020-04-27 07:53:36	2020-02-25 05:24:32	40565679	12169703700	40565679	300	3635	NA	https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR11177274/SRR11177274	SRX7797971	BJF0_biological replicate 4	RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina NovaSeq 6000	SRP250633	PRJNA607377	NA	607377	SRS6213157	SAMN14131134	simple	161013	Thrips palmi	Thrips palmi_BJF0_04	NA	NA	NA	NA		NA	no	NA	NA	NA	NA	BEIJING ACADEMY OF AGRICULTURE AND FORESTRY SCIENCES	SRA1045590	NA	public	4958B1213EAC29DFC3049BD1C8389BA5	FD157A800599346288711299BBAE8D8E
